##NAMES=Opal
##RRUFFID=X070003
##IDEAL CHEMISTRY=SiO_2_&#183;<i>n</i>H_2_O
##LOCALITY=Synthetic
##OWNER=Taka Yamanaka
##SOURCE=Taka Yamanaka
##DESCRIPTION=Black polished cab, with Raman spectra that match Libyan desert glass
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/X070003
575.3710, 61.51392
575.8531, 72.52695
576.3353, 78.31084
576.8174, 76.52759
577.2995, 72.91968
577.7816, 73.47510
578.2637, 78.76920
578.7458, 81.88120
579.2280, 81.29990
579.7101, 78.89661
580.1922, 78.39848
580.6743, 79.55843
581.1564, 80.10330
581.6385, 77.43427
582.1207, 74.01315
582.6028, 72.82924
583.0849, 73.98811
583.5670, 77.34140
584.0491, 86.17319
584.5313, 94.45207
585.0134, 96.95850
585.4955, 91.17342
585.9776, 86.90398
586.4597, 87.86816
586.9418, 91.34256
587.4240, 93.99246
587.9061, 93.76147
588.3882, 95.23114
588.8703, 99.98584
589.3524, 106.4051
589.8345, 109.3608
590.3167, 107.9447
590.7988, 106.5890
591.2809, 107.4630
591.7630, 109.8930
592.2451, 110.8205
592.7272, 110.4334
593.2094, 109.8398
593.6915, 109.3622
594.1736, 109.3415
594.6557, 110.7046
595.1378, 113.6306
595.6199, 115.9884
596.1021, 115.4364
596.5842, 113.6119
597.0663, 112.8215
597.5485, 113.9884
598.0306, 116.7270
598.5127, 122.4300
598.9948, 129.7079
599.4769, 133.6692
599.9590, 131.9337
600.4412, 130.0633
600.9233, 129.9595
601.4054, 131.7203
601.8875, 131.9023
602.3696, 130.4078
602.8517, 127.1008
603.3339, 120.2126
603.8160, 110.3876
604.2981, 106.7586
604.7802, 111.2634
605.2623, 118.0882
605.7444, 120.2843
606.2266, 118.8119
606.7087, 116.2002
607.1908, 111.8475
607.6729, 108.2338
608.1550, 109.0996
608.6371, 112.7127
609.1193, 113.2441
609.6014, 104.1809
610.0835, 94.88052
610.5656, 89.84238
611.0477, 89.70001
611.5298, 91.03691
612.0120, 97.01050
612.4941, 101.2580
612.9762, 98.62694
613.4583, 86.19049
613.9404, 77.32022
614.4225, 73.19058
614.9047, 71.72205
