##NAMES=Parasibirskite
##RRUFFID=R110009
##IDEAL CHEMISTRY=CaHBO_3_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=Jin-Xiao Mi
##DESCRIPTION=Loose aggregate of colorless tabular crystals, mixed with CaLiBO3 crystals (R110010)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110009
419.4088, 21.65555
419.8909, 21.08731
420.3730, 20.53064
420.8552, 20.09317
421.3373, 20.05862
421.8194, 20.75287
422.3015, 21.64841
422.7836, 22.05383
423.2657, 21.97482
423.7479, 22.01010
424.2300, 22.52048
424.7121, 23.15521
425.1942, 23.33722
425.6763, 22.97641
426.1584, 22.64697
426.6406, 22.65079
427.1227, 22.83218
427.6048, 22.86877
428.0869, 22.69083
428.5690, 22.63284
429.0511, 23.08109
429.5333, 24.03455
430.0154, 24.66949
430.4975, 24.64240
430.9796, 24.61816
431.4617, 25.04599
431.9438, 25.77557
432.4260, 26.48221
432.9081, 27.05289
433.3902, 27.32709
433.8723, 26.86789
434.3544, 24.72339
434.8365, 23.42938
435.3187, 23.74548
435.8008, 24.48849
436.2829, 24.53015
436.7650, 23.85428
437.2471, 23.42346
437.7292, 24.28192
438.2114, 26.49817
438.6935, 27.40039
439.1756, 25.39081
439.6577, 23.83398
440.1398, 23.80301
440.6219, 24.58145
441.1040, 25.23404
441.5862, 25.30295
442.0683, 25.02005
442.5504, 25.00372
443.0325, 25.51831
443.5146, 25.62268
443.9967, 24.75372
444.4789, 23.86307
444.9610, 23.42978
445.4431, 23.43268
445.9252, 23.61765
446.4073, 23.91815
446.8894, 24.23978
447.3716, 24.14835
447.8537, 23.43362
448.3358, 22.82376
448.8179, 22.78183
449.3000, 22.96545
449.7821, 22.98108
450.2643, 22.69684
450.7464, 22.35086
451.2285, 22.09149
451.7106, 21.94281
452.1927, 22.05374
452.6748, 22.66513
453.1570, 23.21619
453.6391, 22.63226
454.1212, 21.13092
454.6033, 20.12100
455.0854, 20.67221
455.5675, 21.38791
456.0497, 20.54901
456.5318, 18.48517
457.0139, 17.47519
457.4960, 19.04620
457.9781, 21.95673
458.4602, 22.66132
458.9424, 20.04358
459.4245, 18.08017
459.9066, 17.65973
460.3887, 17.97839
460.8708, 18.42679
461.3529, 18.81836
461.8351, 18.96896
462.3172, 18.67056
462.7993, 17.92093
463.2814, 17.59241
463.7635, 18.29459
464.2456, 18.59482
464.7278, 17.46393
465.2099, 15.93689
465.6920, 15.74561
466.1741, 17.50934
466.6562, 19.78989
467.1383, 19.93155
467.6205, 16.89188
468.1026, 14.96390
468.5847, 15.51944
469.0668, 16.11041
469.5489, 15.32492
470.0310, 13.62192
470.5132, 12.45071
470.9953, 12.84229
471.4774, 14.22360
471.9595, 15.25650
472.4416, 16.02750
472.9237, 16.12186
473.4059, 14.57233
473.8880, 12.76379
474.3701, 12.16119
474.8522, 12.97372
475.3343, 13.61322
475.8164, 12.63495
476.2986, 10.76083
476.7807, 9.824677
477.2628, 10.12445
477.7449, 10.87616
478.2270, 11.80173
478.7091, 12.70984
479.1913, 12.88312
479.6734, 11.48441
480.1555, 10.23196
480.6376, 10.25882
481.1197, 11.04596
481.6018, 11.50516
482.0839, 11.27802
482.5660, 10.69043
483.0482, 10.15961
483.5303, 9.668488
484.0124, 9.337738
484.4945, 9.199982
484.9766, 9.180054
485.4587, 9.407379
485.9409, 9.717194
486.4230, 9.694763
486.9051, 9.081177
487.3872, 8.150726
487.8693, 7.766357
488.3514, 8.580200
488.8336, 8.688934
489.3157, 7.341736
489.7978, 5.846466
490.2799, 5.084351
490.7620, 5.058960
491.2441, 5.266052
491.7263, 5.429077
492.2084, 5.485870
492.6905, 5.043518
493.1726, 3.840057
493.6547, 2.776886
494.1368, 2.326019
494.6190, 2.161346
495.1011, 1.919586
495.5832, 1.500671
496.0653, 1.302399
496.5474, 2.138245
497.0295, 3.452271
497.5117, 3.234467
497.9938, 0.8206480
498.4759, 1.582428
498.9580, 2.066040
499.4401, 0.9277340
499.9222, 2.9083000E-02
500.4044, 0.6622920
500.8865, 1.127533
501.3686, 1.399139
501.8507, 1.576904
502.3328, 1.989319
502.8149, 2.766083
503.2971, 3.406006
503.7792, 3.125305
504.2613, 1.500366
504.7434, 0.4765930
505.2255, 0.5388790
505.7076, 0.6597900
506.1898, 0.2525630
506.6719, 0.4606930
507.1540, 0.9869690
507.6361, 1.071320
508.1182, 0.7850340
508.6003, 0.1302190
509.0825, 1.422211
509.5646, 1.918365
510.0467, 0.2801510
510.5288, 2.342865
511.0109, 2.523956
511.4930, 1.119568
511.9752, 0.3968510
512.4573, 1.212189
512.9394, 1.460327
513.4215, 1.216644
513.9036, 0.3011170
514.3857, 0.1215210
514.8679, 2.227478
515.3500, 4.569000
515.8321, 4.245453
516.3142, 0.8778990
516.7963, 2.162415
517.2784, 3.410675
517.7606, 3.498688
518.2427, 3.038605
518.7248, 2.144165
519.2069, 1.476440
519.6890, 1.615753
520.1711, 2.286957
520.6533, 2.086456
521.1354, 0.1260680
521.6175, 1.382202
522.0996, 1.909515
522.5817, 1.909943
523.0638, 1.606659
523.5460, 1.164581
524.0281, 1.023773
524.5102, 1.685089
524.9923, 3.113037
525.4744, 4.132782
525.9565, 4.639771
526.4387, 4.820984
526.9208, 4.297119
527.4029, 3.703888
527.8850, 3.938690
528.3671, 5.165710
528.8492, 6.247406
529.3314, 5.666931
529.8135, 3.654724
530.2956, 2.504425
530.7777, 2.547424
531.2598, 3.041473
531.7419, 3.766327
532.2241, 4.585907
532.7062, 5.324493
533.1883, 6.067596
533.6704, 6.480621
534.1525, 5.955414
534.6346, 4.965668
535.1168, 4.704987
535.5989, 5.479645
536.0810, 6.586700
536.5631, 7.285950
537.0452, 7.553192
537.5273, 8.281677
538.0095, 10.29053
538.4916, 11.80618
538.9737, 11.68304
539.4558, 10.82190
539.9379, 10.68130
540.4200, 11.69995
540.9022, 13.03513
541.3843, 13.49277
541.8664, 12.91052
542.3485, 12.37671
542.8306, 11.96924
543.3127, 11.53421
543.7948, 10.84723
544.2769, 10.15720
544.7590, 9.891418
545.2411, 10.24045
545.7233, 10.78860
546.2054, 10.87747
546.6875, 10.56961
547.1696, 10.84927
547.6517, 12.02307
548.1339, 13.49820
548.6160, 15.06696
549.0981, 16.57233
549.5802, 17.48691
550.0623, 17.45840
550.5444, 17.07458
551.0266, 16.27512
551.5087, 15.43881
551.9908, 15.70389
552.4729, 17.46335
552.9550, 19.38995
553.4371, 19.74155
553.9193, 18.13516
554.4014, 17.27869
554.8835, 17.86819
555.3656, 18.32971
555.8477, 17.79645
556.3298, 16.81238
556.8120, 16.44287
557.2941, 17.10944
557.7762, 18.10345
558.2583, 18.41492
558.7404, 17.97446
559.2225, 17.35117
559.7047, 15.91562
560.1868, 15.19006
560.6689, 16.70325
561.1510, 19.11588
561.6331, 20.07077
562.1152, 18.56458
562.5974, 16.26862
563.0795, 14.36765
563.5616, 12.91150
564.0437, 12.18417
564.5258, 12.31070
565.0079, 12.73889
565.4901, 13.08768
565.9722, 13.35110
566.4543, 13.39536
566.9364, 12.64499
567.4185, 12.29175
567.9006, 13.22125
568.3828, 14.56927
568.8649, 15.18839
569.3470, 14.88330
569.8291, 14.45639
570.3112, 14.83441
570.7933, 16.07886
571.2755, 17.05814
571.7576, 17.87146
572.2397, 18.25638
572.7218, 18.16107
573.2039, 17.62375
573.6860, 16.47607
574.1682, 14.70111
574.6503, 13.00800
575.1324, 12.32434
575.6145, 12.49060
576.0966, 12.68399
576.5787, 12.96445
577.0609, 12.86145
577.5430, 11.52808
578.0251, 9.731018
578.5072, 9.522797
578.9893, 12.04944
579.4714, 13.84698
579.9536, 12.71356
580.4357, 10.59851
580.9178, 10.31488
581.3999, 11.92392
581.8820, 12.87704
582.3641, 10.99594
582.8463, 7.013550
583.3284, 5.199707
583.8105, 7.128510
584.2926, 9.054291
584.7747, 11.18881
585.2568, 12.89548
585.7390, 13.36127
586.2211, 12.84961
586.7032, 12.45798
587.1853, 13.09872
587.6674, 14.32504
588.1495, 15.02231
588.6317, 15.21994
589.1138, 14.58261
589.5959, 12.09351
590.0780, 9.592377
590.5601, 9.419067
591.0422, 11.52451
591.5244, 13.57663
592.0065, 15.00186
592.4886, 15.96307
592.9707, 16.53091
593.4528, 16.73975
593.9349, 16.62173
594.4171, 16.16696
594.8992, 15.55939
595.3813, 15.09793
595.8634, 14.73444
596.3455, 14.67328
596.8276, 15.27783
597.3098, 15.75696
597.7919, 15.54596
598.2740, 15.05844
598.7561, 15.04340
599.2382, 15.86185
599.7203, 16.83035
600.2025, 16.78452
600.6846, 15.81348
601.1667, 15.91519
601.6488, 17.99500
602.1309, 19.65836
602.6130, 18.59021
603.0952, 16.01779
603.5773, 14.51096
604.0594, 15.17670
604.5415, 15.45328
605.0236, 13.30792
605.5057, 10.21945
605.9879, 8.557861
606.4700, 8.648346
606.9521, 9.258606
607.4342, 9.400421
607.9163, 9.162079
608.3984, 9.210144
608.8806, 10.46463
609.3627, 10.57660
609.8448, 7.856476
610.3269, 5.057831
610.8090, 4.748108
611.2911, 6.645874
611.7733, 8.307861
612.2554, 7.935516
612.7375, 6.282806
613.2196, 5.100037
613.7017, 4.422974
614.1838, 3.782593
614.6660, 2.952057
615.1481, 2.135284
615.6302, 1.640533
616.1123, 1.477509
616.5944, 1.398865
617.0765, 1.499573
617.5587, 1.535156
618.0408, 1.127197
618.5229, 0.5707400
619.0050, 0.6608890
619.4871, 1.699585
619.9692, 2.809021
620.4514, 2.643829
620.9335, 0.8805540
621.4156, 0.3029790
621.8977, 2.174377
622.3798, 3.783112
622.8619, 4.245117
623.3441, 4.157013
623.8262, 4.382996
624.3083, 5.112366
624.7904, 5.433899
625.2725, 3.806946
625.7546, 1.248444
626.2367, 1.114380
626.7188, 3.828400
627.2009, 5.839905
627.6830, 4.968872
628.1652, 2.507477
628.6473, 1.505829
629.1294, 2.500549
629.6115, 2.949799
630.0936, 1.662262
630.5757, 0.4081120
631.0579, 0.7284550
631.5400, 2.177582
632.0221, 3.343109
632.5042, 3.500366
632.9863, 3.154266
633.4684, 3.289124
633.9506, 4.062225
634.4327, 4.549500
634.9148, 4.858429
635.3969, 4.646088
635.8790, 3.001587
636.3611, 0.9673160
636.8433, 0.5853880
637.3254, 2.722900
637.8075, 5.003021
638.2896, 5.843109
638.7717, 5.679993
639.2538, 5.298004
639.7360, 4.815491
640.2181, 4.072876
640.7002, 2.829590
641.1823, 1.201782
641.6644, 1.3245000E-02
642.1465, 1.042633
642.6287, 1.222961
643.1108, 0.5180360
643.5929, 2.197540
644.0750, 2.208527
644.5571, 0.9829410
645.0392, 5.4749001E-02
645.5214, 0.3165590
646.0035, 1.174042
646.4856, 1.642365
646.9677, 1.742767
647.4498, 2.014404
647.9319, 2.546417
648.4141, 2.982605
648.8962, 3.026672
649.3783, 2.810028
649.8604, 2.796844
650.3425, 2.991211
650.8246, 3.436005
651.3068, 4.706299
651.7889, 5.941284
652.2710, 5.852631
652.7531, 4.439819
653.2352, 2.864838
653.7173, 2.026611
654.1995, 1.752045
654.6816, 1.225586
655.1637, 1.3120000E-03
655.6458, 0.2875370
656.1279, 2.030182
656.6100, 4.029327
657.0922, 3.547394
657.5743, 1.221436
658.0564, 0.5614930
658.5385, 0.6878660
659.0206, 0.1022640
659.5027, 0.2472840
659.9849, 0.3920290
660.4670, 0.8814390
660.9491, 1.856995
661.4312, 2.590485
661.9133, 2.266235
662.3954, 1.010925
662.8776, 0.6393130
663.3597, 2.496552
663.8418, 3.480042
664.3239, 2.740601
664.8060, 1.430298
665.2881, 0.2269590
665.7703, 0.6590580
666.2524, 1.035767
666.7345, 0.6940000
667.2166, 6.8115003E-02
667.6987, 0.8219910
668.1808, 1.570618
668.6630, 2.035309
669.1451, 2.153900
669.6272, 1.892181
670.1093, 1.021454
670.5914, 0.3679500
671.0735, 1.214630
671.5557, 1.408539
672.0378, 1.207184
672.5199, 0.3714600
673.0020, 0.6437990
673.4841, 1.475647
673.9662, 1.990845
674.4484, 1.983337
674.9305, 1.168060
675.4126, 4.8523001E-02
675.8947, 0.2691960
676.3768, 0.6880800
676.8589, 1.621246
677.3411, 2.534241
677.8232, 3.106689
678.3053, 2.923492
678.7874, 2.203979
679.2695, 1.489502
679.7516, 0.7105100
