##NAMES=Armalcolite
##RRUFFID=R070260
##IDEAL CHEMISTRY=(Mg,Fe^2+^)Ti^4+^_2_O_5_
##LOCALITY=Chelyabinsk Oblast', Urals Region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Gray semimetallic, elongated tabular crystals on coal
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070260
778.9548, 17.52454
779.4369, 17.80503
779.9190, 18.82040
780.4011, 19.82765
780.8832, 19.99422
781.3654, 19.31198
781.8475, 18.71173
782.3296, 18.43645
782.8117, 18.36845
783.2938, 18.51137
783.7759, 18.90965
784.2581, 18.94996
784.7402, 18.50597
785.2223, 18.05765
785.7044, 18.01855
786.1865, 18.34762
786.6686, 18.81525
787.1508, 19.39143
787.6329, 19.72674
788.1150, 19.29372
788.5971, 18.64127
789.0792, 18.46213
789.5613, 19.01320
790.0435, 19.13540
790.5256, 17.78059
791.0077, 16.58289
791.4898, 16.55638
791.9719, 17.98348
792.4540, 18.52577
792.9362, 18.05407
793.4183, 17.18784
793.9004, 16.16180
794.3825, 15.16878
794.8646, 14.88115
795.3467, 15.36081
795.8289, 15.91771
796.3110, 16.29095
796.7931, 16.34062
797.2752, 15.80785
797.7573, 14.42445
798.2394, 13.55539
798.7216, 13.56256
799.2037, 13.87638
799.6858, 14.27420
800.1679, 14.84348
800.6500, 14.67644
801.1321, 13.65647
801.6143, 12.62459
802.0964, 12.42953
802.5785, 12.74007
803.0606, 12.98681
803.5427, 13.11207
804.0248, 13.02894
804.5070, 12.47791
804.9891, 11.84195
805.4712, 11.38103
805.9533, 11.08883
806.4354, 11.18598
806.9175, 12.11183
807.3997, 12.78266
807.8818, 12.05904
808.3639, 9.997398
808.8460, 9.162815
809.3281, 9.710384
809.8102, 10.62220
810.2924, 11.24196
810.7745, 11.54509
811.2566, 11.37173
811.7387, 10.64148
812.2208, 10.08425
812.7029, 10.15371
813.1851, 10.39021
813.6672, 10.44792
814.1493, 10.22257
814.6314, 10.30618
815.1135, 10.85605
815.5956, 11.32035
816.0778, 11.14548
816.5599, 10.48027
817.0420, 10.04022
817.5241, 9.865578
818.0062, 9.680458
818.4883, 9.176472
818.9705, 8.606407
819.4526, 8.180435
819.9347, 7.912411
820.4168, 7.896782
820.8989, 8.500881
821.3810, 9.043015
821.8632, 9.166180
822.3453, 8.832123
822.8274, 8.403976
823.3095, 7.856861
823.7916, 7.421127
824.2737, 7.351208
824.7559, 7.510616
825.2380, 7.721500
825.7201, 7.959389
826.2022, 7.940308
826.6843, 7.076168
827.1664, 6.220692
827.6486, 6.022911
828.1307, 6.658417
828.6128, 7.088146
829.0949, 7.220192
829.5770, 7.301651
830.0591, 7.502205
830.5413, 7.795238
831.0234, 7.891598
831.5055, 7.791710
831.9876, 7.577766
832.4697, 7.167385
832.9518, 6.762199
833.4340, 6.639717
833.9161, 6.778477
834.3982, 6.859802
834.8803, 6.820621
835.3624, 6.679325
835.8445, 6.401978
836.3267, 6.001785
836.8088, 5.774254
837.2909, 5.749313
837.7730, 5.770931
838.2551, 5.794807
838.7372, 5.810539
839.2194, 5.681438
839.7015, 5.402416
840.1836, 5.203537
840.6657, 5.420895
841.1478, 5.616322
841.6299, 5.461105
842.1121, 4.991261
842.5942, 4.636559
843.0763, 4.429890
843.5584, 4.322716
844.0405, 4.329300
844.5226, 4.413506
845.0048, 4.358944
845.4869, 4.187542
845.9690, 4.251148
846.4511, 5.066536
846.9332, 5.918163
847.4153, 5.819469
847.8975, 5.098946
848.3796, 4.708515
848.8617, 5.654377
849.3438, 6.177761
849.8259, 5.481815
850.3080, 4.089626
850.7902, 3.665493
851.2723, 4.437447
851.7544, 4.876595
852.2365, 4.383335
852.7186, 3.590992
853.2007, 3.682526
853.6829, 4.404621
854.1650, 5.087509
854.6471, 5.619209
855.1292, 5.803360
855.6113, 5.226643
856.0934, 4.337330
856.5756, 3.968548
857.0577, 4.399727
857.5398, 4.867065
858.0219, 5.351688
858.5040, 5.723038
858.9861, 5.778996
859.4683, 5.551598
859.9504, 5.177650
860.4325, 4.666218
860.9146, 4.115189
861.3967, 3.494240
861.8788, 2.946190
862.3610, 2.653122
862.8431, 2.839691
863.3252, 2.969814
863.8073, 2.916084
864.2894, 2.851921
864.7715, 3.127098
865.2537, 3.783783
865.7358, 3.846188
866.2179, 3.173935
866.7000, 2.377796
867.1821, 2.039177
867.6642, 2.040527
868.1464, 2.264179
868.6285, 2.715679
869.1106, 2.813431
869.5927, 1.815300
870.0748, 0.8813590
870.5569, 0.8218040
871.0391, 1.794552
871.5212, 2.511292
872.0033, 2.953014
872.4854, 3.207836
872.9675, 3.408592
873.4496, 3.430801
873.9318, 2.715603
874.4139, 1.358181
874.8960, 0.5160640
875.3781, 1.523190
875.8602, 2.713089
876.3423, 2.930794
876.8245, 2.114986
877.3066, 1.632912
877.7887, 1.481144
878.2708, 1.715836
878.7529, 2.610287
879.2350, 3.799877
879.7172, 3.951962
880.1993, 3.206409
880.6814, 2.370255
881.1635, 1.483345
881.6456, 0.8738140
882.1277, 1.075745
882.6099, 1.776287
883.0920, 2.011169
883.5741, 0.9679530
884.0562, 0.3410000
884.5383, 0.5354160
885.0204, 1.191647
885.5026, 1.486103
885.9847, 1.444660
886.4668, 1.406761
886.9489, 1.462757
887.4310, 1.641186
887.9131, 2.043613
888.3953, 2.446980
888.8774, 2.538490
889.3595, 2.143883
889.8416, 1.526051
890.3237, 0.3036310
890.8058, 0.7592810
891.2880, 0.7072490
891.7701, 0.5796390
892.2522, 1.372967
892.7343, 1.510399
893.2164, 1.294331
893.6985, 0.8326340
894.1807, 0.3063850
894.6628, 1.3863000E-02
895.1449, 5.1846001E-02
895.6270, 1.1864000E-02
896.1091, 0.8206020
896.5912, 1.346149
897.0734, 0.8249510
897.5555, 0.8853680
898.0376, 1.810848
898.5197, 1.879421
899.0018, 1.577972
899.4839, 1.011063
899.9661, 0.4375340
900.4482, 0.2824060
900.9303, 0.4910280
901.4124, 0.7655490
901.8945, 1.070282
902.3766, 1.301128
902.8588, 1.458309
903.3409, 1.509449
903.8230, 1.163376
904.3051, 0.1822400
904.7872, 0.1837040
905.2693, 0.8309060
905.7515, 2.260551
906.2336, 1.802326
906.7157, 8.8932000E-02
907.1978, 1.038567
907.6799, 0.4523930
908.1620, 0.4188500
908.6442, 1.162106
909.1263, 1.703575
909.6084, 1.952488
910.0905, 1.910744
910.5726, 1.498905
911.0547, 0.5382690
911.5369, 0.3918420
912.0190, 0.3686030
912.5011, 0.2957800
912.9832, 0.7281110
913.4653, 0.7726860
913.9474, 0.6241870
914.4296, 0.2007290
914.9117, 0.2256700
915.3938, 0.3994790
915.8759, 0.2412830
916.3580, 0.1058200
916.8401, 1.1387000E-02
917.3223, 0.1283450
917.8044, 0.3654560
918.2865, 0.6939130
918.7686, 1.281506
919.2507, 2.055073
919.7328, 2.363182
920.2150, 1.203239
920.6971, 1.0956000E-02
921.1792, 0.3126750
921.6613, 0.2110440
922.1434, 0.5523150
922.6255, 0.6619530
923.1077, 0.6513820
923.5898, 0.5561980
924.0719, 0.3543590
924.5540, 0.1732480
925.0361, 0.8939090
925.5182, 1.237587
926.0004, 0.7736090
926.4825, 0.2457120
926.9646, 0.1257320
927.4467, 0.2335400
927.9288, 0.3014600
928.4109, 0.2790600
928.8931, 0.2870860
929.3752, 0.3653410
929.8573, 0.4032970
930.3394, 0.2313460
930.8215, 8.9576997E-02
931.3036, 0.3756070
931.7858, 0.6145100
932.2679, 0.7170830
932.7500, 0.3852650
933.2321, 7.1696997E-02
933.7142, 0.2116430
934.1964, 0.9359780
934.6785, 1.237747
935.1606, 0.9198720
935.6427, 0.6744310
936.1248, 1.061783
936.6069, 1.744286
937.0891, 1.366749
937.5712, 0.1456990
938.0533, 0.8272130
938.5354, 0.9506190
939.0175, 0.6623610
939.4996, 8.7219000E-02
939.9818, 1.052151
940.4639, 1.533279
940.9460, 1.365406
941.4281, 1.064404
941.9102, 0.6173900
942.3923, 0.2580490
942.8745, 0.6226270
943.3566, 1.393963
943.8387, 1.521095
944.3208, 0.5123710
944.8029, 0.2640110
945.2850, 0.2324940
945.7672, 1.159561
946.2493, 1.758625
946.7314, 1.988110
947.2135, 1.891384
947.6956, 1.366859
948.1777, 0.8796460
948.6599, 0.8617170
949.1420, 1.137665
949.6241, 1.235764
950.1062, 1.160301
950.5883, 1.158405
951.0704, 1.543503
951.5526, 1.827618
952.0347, 1.629421
952.5168, 1.120663
952.9989, 0.9853780
953.4810, 1.314548
953.9631, 1.546333
954.4453, 1.466751
954.9274, 1.355171
955.4095, 1.843597
955.8916, 2.541004
956.3737, 2.589031
956.8558, 1.152946
957.3380, 0.1056900
957.8201, 0.3134730
958.3022, 1.053726
958.7843, 1.745064
959.2664, 2.456596
959.7485, 2.603455
960.2307, 2.082348
960.7128, 1.641006
961.1949, 2.231819
961.6770, 3.175777
962.1591, 3.473427
962.6412, 3.007072
963.1234, 2.539936
963.6055, 2.313679
964.0876, 2.207958
964.5697, 2.220898
965.0518, 2.266964
965.5339, 2.189369
966.0161, 1.975883
966.4982, 1.832012
966.9803, 1.803368
967.4624, 1.914242
967.9445, 2.491512
968.4266, 3.194103
968.9088, 3.447197
969.3909, 2.468067
969.8730, 1.933582
970.3551, 2.161137
970.8372, 2.621754
971.3193, 2.873260
971.8015, 2.909363
972.2836, 2.467457
972.7657, 1.499012
973.2478, 0.7990910
973.7299, 1.345901
974.2120, 2.176735
974.6942, 2.441147
975.1763, 2.067898
975.6584, 1.890533
976.1405, 1.998989
976.6226, 2.159115
977.1047, 2.265396
977.5869, 2.385578
978.0690, 2.857361
978.5511, 3.520779
979.0332, 3.786793
979.5153, 3.228691
979.9974, 2.584316
980.4796, 2.135082
980.9617, 1.903454
981.4438, 1.941315
981.9259, 2.406883
982.4080, 2.574566
982.8901, 2.311569
983.3723, 2.034641
983.8544, 2.278873
984.3365, 2.813019
984.8186, 3.218945
985.3007, 3.444778
985.7828, 3.455833
986.2650, 3.157574
986.7471, 2.717377
987.2292, 2.084442
987.7113, 1.369114
988.1934, 1.241295
988.6755, 1.738129
989.1577, 2.146236
989.6398, 2.138363
990.1219, 1.980541
990.6040, 1.897160
991.0861, 1.899849
991.5682, 2.057999
992.0504, 2.841415
992.5325, 3.011848
993.0146, 2.080372
993.4967, 1.064114
993.9788, 1.058022
994.4609, 1.913422
994.9431, 2.330906
995.4252, 2.220966
995.9073, 1.848206
996.3894, 1.292332
996.8715, 0.8016430
997.3536, 0.5883520
997.8358, 0.6333810
998.3179, 0.6558950
998.8000, 0.5467760
999.2821, 0.7337910
999.7642, 1.496292
1000.246, 2.377655
1000.728, 2.271614
1001.211, 1.568672
1001.693, 1.338367
1002.175, 2.267998
1002.657, 2.848770
1003.139, 2.031380
1003.621, 0.9776080
1004.103, 0.7934110
1004.585, 1.714733
1005.068, 2.100201
1005.550, 1.914505
1006.032, 1.551548
1006.514, 1.255875
1006.996, 1.010338
1007.478, 0.6190340
1007.960, 0.1830710
1008.442, 0.2611310
1008.924, 1.592598
1009.407, 2.738258
1009.889, 3.503742
1010.371, 3.828640
1010.853, 3.396645
1011.335, 2.369339
1011.817, 1.819469
1012.299, 2.077190
1012.781, 2.465366
1013.263, 2.574833
1013.746, 2.509018
1014.228, 2.287933
1014.710, 1.808464
1015.192, 1.855766
1015.674, 2.725517
1016.156, 3.350903
1016.638, 2.781349
1017.120, 1.625774
1017.603, 1.363747
1018.085, 1.722290
1018.567, 1.747093
1019.049, 0.2249300
1019.531, 0.7205920
1020.013, 0.2217640
1020.495, 1.022537
1020.977, 2.241283
1021.459, 3.450672
1021.942, 3.732883
1022.424, 2.890732
1022.906, 1.748837
1023.388, 0.7338640
1023.870, 2.2282001E-02
1024.352, 0.1305540
1024.834, 0.3391570
1025.316, 0.8758280
1025.799, 1.686989
1026.281, 2.019650
1026.763, 1.373280
1027.245, 0.2180210
1027.727, 0.3585170
1028.209, 0.4099240
1028.691, 0.1019860
1029.173, 0.7554890
1029.656, 1.558220
1030.138, 2.201916
1030.620, 2.511684
1031.102, 2.248863
1031.584, 1.286057
1032.066, 0.5801010
1032.548, 0.1359250
1033.030, 1.2909000E-02
1033.512, 0.4662480
1033.995, 1.059265
1034.477, 1.044731
1034.959, 0.5077320
1035.441, 0.1702380
1035.923, 5.7686001E-02
1036.405, 0.4356190
1036.887, 1.655312
1037.369, 3.040455
1037.851, 3.122150
1038.334, 2.205444
1038.816, 1.422466
1039.298, 0.9981690
1039.780, 0.8724900
1040.262, 1.301079
1040.744, 1.780312
1041.226, 1.890163
1041.708, 1.610718
1042.191, 1.322651
1042.673, 1.014481
1043.155, 0.7603490
1043.637, 0.4975200
1044.119, 0.3978810
1044.601, 0.9349290
1045.083, 1.801334
1045.565, 2.271866
1046.047, 1.513264
1046.530, 1.329323
1047.012, 2.263382
1047.494, 3.222019
1047.976, 2.659714
1048.458, 0.9967310
1048.940, 0.4207380
1049.422, 1.067310
1049.904, 1.778248
1050.386, 1.781219
1050.869, 1.671879
1051.351, 1.896961
1051.833, 2.330593
1052.315, 2.329575
1052.797, 1.798645
1053.279, 1.552414
1053.761, 1.892338
1054.243, 2.371052
1054.726, 2.360394
1055.208, 2.155014
1055.690, 2.235458
1056.172, 2.929722
1056.654, 3.088848
1057.136, 2.334248
1057.618, 1.605076
1058.100, 1.533592
1058.583, 1.920891
1059.065, 1.854633
1059.547, 1.483582
1060.029, 1.503407
1060.511, 2.968597
1060.993, 4.091190
1061.475, 3.814045
1061.957, 2.901218
1062.439, 2.383465
1062.922, 2.306187
1063.404, 2.173653
1063.886, 1.938168
1064.368, 1.746399
1064.850, 1.940697
1065.332, 2.090034
1065.814, 1.588604
1066.296, 0.4908910
1066.778, 0.1667440
1067.261, 0.2841070
1067.743, 2.9716000E-02
1068.225, 0.6631090
1068.707, 1.516453
1069.189, 2.123070
1069.671, 2.459522
1070.153, 2.371246
1070.635, 1.648983
1071.118, 1.158890
1071.600, 1.446056
1072.082, 1.902020
1072.564, 2.198013
1073.046, 2.347614
1073.528, 2.627289
1074.010, 3.011349
1074.492, 3.087006
1074.974, 2.389030
1075.457, 1.542656
1075.939, 0.7489620
1076.421, 0.2068330
1076.903, 0.3254590
1077.385, 1.433510
1077.867, 2.021683
1078.349, 1.932171
1078.831, 1.664181
1079.313, 1.685493
1079.796, 1.845203
1080.278, 1.967083
1080.760, 2.026604
1081.242, 1.939892
1081.724, 1.416416
1082.206, 1.097275
1082.688, 1.223866
1083.170, 1.530434
1083.652, 1.567421
1084.135, 1.367985
1084.617, 0.9922140
1085.099, 0.3867650
1085.581, 3.9912999E-02
1086.063, 0.5282520
1086.545, 1.195358
1087.027, 1.674606
1087.509, 1.942856
1087.992, 1.862877
1088.474, 1.430664
1088.956, 1.024872
1089.438, 0.7310830
1089.920, 0.6626240
1090.402, 1.256428
1090.884, 1.981831
1091.366, 2.047401
1091.849, 0.8596610
1092.331, 0.4205210
1092.813, 0.9281540
1093.295, 1.503910
1093.777, 1.357010
1094.259, 0.9170990
1094.741, 1.114681
1095.223, 1.742344
1095.705, 2.054840
1096.188, 1.259377
1096.670, 0.8684580
1097.152, 1.344635
1097.634, 2.013130
1098.116, 1.887661
1098.598, 1.169975
1099.080, 0.7803960
1099.562, 0.7851600
1100.044, 1.054153
1100.527, 1.849785
1101.009, 2.538208
1101.491, 2.767044
1101.973, 2.626953
1102.455, 2.341171
1102.937, 1.906967
1103.419, 1.305954
1103.901, 0.4121740
1104.384, 0.1379620
1104.866, 0.7033420
1105.348, 1.926674
1105.830, 2.491871
1106.312, 2.204067
1106.794, 1.981014
1107.276, 1.825306
1107.758, 1.739254
1108.240, 1.742779
1108.723, 1.791737
1109.205, 1.900463
1109.687, 1.981567
1110.169, 1.849773
1110.651, 1.119244
1111.133, 0.8405300
1111.615, 1.284424
1112.097, 1.793415
1112.579, 1.822536
1113.062, 1.507736
1113.544, 1.203476
1114.026, 0.9584500
1114.508, 1.006592
1114.990, 2.071419
1115.472, 2.667759
1115.954, 1.944805
1116.436, 0.8438030
1116.919, 0.6894070
1117.401, 1.387699
1117.883, 1.498882
1118.365, 0.8967780
1118.847, 0.4888380
1119.329, 1.377460
1119.811, 2.255619
1120.293, 2.084675
1120.776, 1.178856
1121.258, 0.6361810
1121.740, 0.4771960
1122.222, 0.4860650
1122.704, 0.6281360
1123.186, 0.8798480
1123.668, 1.407936
1124.150, 1.913326
1124.632, 2.018425
1125.115, 1.633213
1125.597, 1.433502
1126.079, 1.497807
1126.561, 1.469212
1127.043, 1.153316
1127.525, 0.7715070
1128.007, 0.7585110
1128.489, 0.9176830
1128.971, 0.8961490
1129.454, 0.5075420
1129.936, 0.2180370
1130.418, 0.1042980
1130.900, 2.7462000E-02
1131.382, 0.1691590
1131.864, 0.3653910
1132.346, 1.6045000E-02
1132.828, 0.6924290
1133.311, 1.076565
1133.793, 0.4017600
1134.275, 0.1281590
1134.757, 0.1732140
1135.239, 2.4800000E-03
1135.721, 0.1382060
1136.203, 0.2617650
1136.685, 0.4842300
1137.167, 0.8160100
1137.650, 1.302074
1138.132, 2.501198
1138.614, 3.278397
1139.096, 2.770565
1139.578, 1.618374
1140.060, 0.6771510
1140.542, 6.4948998E-02
1141.024, 7.5207002E-02
1141.506, 0.7425800
1141.989, 1.499069
1142.471, 1.427456
1142.953, 1.078114
1143.435, 0.7869720
1143.917, 0.5863720
1144.399, 0.5191420
1144.881, 0.6236990
1145.363, 0.5846290
1145.846, 0.3066860
1146.328, 1.4198000E-02
1146.810, 0.2664950
1147.292, 0.3766780
1147.774, 0.2038230
1148.256, 0.3186300
1148.738, 0.6692160
1149.220, 0.8605080
1149.703, 0.9450260
1150.185, 0.9300420
1150.667, 0.8389470
1151.149, 0.5397420
1151.631, 0.2512550
1152.113, 0.4166790
1152.595, 1.423229
1153.077, 1.729828
1153.559, 0.9257620
1154.042, 0.2145650
1154.524, 0.4060130
1155.006, 1.011353
1155.488, 0.8013800
1155.970, 0.1244390
1156.452, 0.1504970
1156.934, 0.6392060
1157.416, 1.131615
1157.898, 1.037785
1158.381, 0.8334270
1158.863, 0.9271090
1159.345, 0.8086930
1159.827, 1.140663
1160.309, 0.8254780
1160.791, 0.6314770
1161.273, 0.8082390
1161.755, 1.042332
1162.238, 1.337551
1162.720, 1.532883
1163.202, 1.408344
1163.684, 1.045162
1164.166, 1.039795
1164.648, 1.387527
1165.130, 1.651375
1165.612, 1.480434
1166.094, 1.344185
1166.577, 1.624615
1167.059, 1.935883
1167.541, 1.467400
1168.023, 0.3221050
1168.505, 7.6029999E-03
1168.987, 0.6820300
1169.469, 1.269779
1169.951, 0.7731740
1170.433, 0.2080150
1170.916, 6.8405002E-02
1171.398, 0.3581240
1171.880, 1.459030
1172.362, 3.316505
1172.844, 3.929443
1173.326, 2.816895
1173.808, 1.567120
1174.290, 1.524704
1174.773, 1.855179
1175.255, 1.955978
1175.737, 1.843090
1176.219, 1.665707
1176.701, 1.413868
1177.183, 1.294624
1177.665, 1.389252
1178.147, 1.538921
1178.630, 1.550678
1179.112, 1.571110
1179.594, 1.776382
1180.076, 2.171005
1180.558, 2.549503
1181.040, 2.944996
1181.522, 3.017181
1182.004, 2.523857
1182.486, 1.899937
1182.969, 1.553600
1183.451, 1.383354
1183.933, 1.264526
1184.415, 1.171177
1184.897, 1.188511
1185.379, 1.304840
1185.861, 1.637234
1186.343, 2.492271
1186.825, 3.253716
1187.308, 2.987625
1187.790, 2.205387
1188.272, 1.744431
1188.754, 1.976578
1189.236, 1.659359
1189.718, 0.6665460
1190.200, 0.2208060
1190.682, 0.5363580
1191.165, 0.4687880
1191.647, 5.1086001E-02
1192.129, 0.5144160
1192.611, 0.8176730
1193.093, 0.5562440
1193.575, 0.5775300
1194.057, 0.9538310
1194.539, 1.365219
1195.021, 1.570953
1195.504, 1.657619
1195.986, 1.808296
1196.468, 1.938057
1196.950, 1.764229
1197.432, 0.9409600
1197.914, 0.5054590
1198.396, 0.5650670
1198.878, 0.8400730
1199.360, 1.123825
1199.843, 1.416180
1200.325, 1.808369
1200.807, 2.230267
1201.289, 2.359241
1201.771, 1.978004
1202.253, 1.654785
1202.735, 1.430202
1203.217, 1.350204
1203.700, 1.753635
1204.182, 2.163578
1204.664, 1.559422
1205.146, 0.1408620
1205.628, 0.3583370
1206.110, 0.8564380
1206.592, 1.743950
1207.074, 1.975151
1207.557, 1.832153
1208.039, 1.493034
1208.521, 1.107655
1209.003, 0.9540370
1209.485, 1.028095
1209.967, 0.8671300
1210.449, 0.1316220
1210.931, 0.1403660
1211.413, 0.3445210
1211.896, 1.161655
1212.378, 2.007500
1212.860, 2.687279
1213.342, 2.838867
1213.824, 2.424694
1214.306, 1.909302
1214.788, 1.122639
1215.270, 0.9589880
1215.752, 1.852501
1216.235, 2.965210
1216.717, 3.151180
1217.199, 2.757538
1217.681, 2.232746
1218.163, 1.626518
1218.645, 0.9630130
1219.127, 2.0450000E-03
1219.609, 0.2102470
1220.092, 0.9684100
1220.574, 2.339321
1221.056, 1.825901
1221.538, 0.4944690
1222.020, 0.1042670
1222.502, 0.3965720
1222.984, 0.8025820
1223.466, 1.027695
1223.948, 1.229221
1224.431, 1.407467
1224.913, 1.709023
1225.395, 2.743362
1225.877, 3.840618
1226.359, 3.962616
1226.841, 2.658134
1227.323, 1.926460
1227.805, 1.946770
1228.287, 1.732189
1228.770, 0.6561280
1229.252, 0.4633980
1229.734, 0.4694820
1230.216, 0.1686330
1230.698, 0.8672790
1231.180, 1.566353
1231.662, 2.233398
1232.144, 2.912094
1232.627, 3.325668
1233.109, 3.300591
1233.591, 3.031528
1234.073, 2.609917
1234.555, 2.162941
1235.037, 1.817852
1235.519, 1.530548
1236.001, 1.875832
1236.484, 2.992664
1236.966, 3.531979
1237.448, 2.481945
1237.930, 1.116859
1238.412, 0.6138150
1238.894, 0.6352960
1239.376, 0.7551770
1239.858, 0.9289130
1240.340, 1.360493
1240.823, 2.070656
1241.305, 2.460918
1241.787, 2.013214
1242.269, 1.395550
1242.751, 1.069916
1243.233, 0.9728280
1243.715, 1.039433
1244.197, 1.274563
1244.679, 1.590500
1245.162, 1.977127
1245.644, 2.078201
1246.126, 1.442577
1246.608, 0.8579710
1247.090, 0.8509220
1247.572, 1.188232
1248.054, 1.613148
1248.536, 2.103657
1249.019, 1.808247
1249.501, 0.8234710
1249.983, 0.2163200
1250.465, 1.019138
1250.947, 1.795547
1251.429, 1.639416
1251.911, 1.248688
1252.393, 1.317959
1252.875, 1.808281
1253.358, 1.991844
1253.840, 1.887894
1254.322, 1.638012
1254.804, 1.134460
1255.286, 0.7343520
1255.768, 0.4192960
1256.250, 0.2905460
1256.732, 0.6017270
1257.214, 1.190941
1257.697, 1.105225
1258.179, 0.5027770
1258.661, 0.2119100
1259.143, 0.9333190
1259.625, 1.545158
1260.107, 1.839909
1260.589, 2.130745
1261.071, 2.085136
1261.554, 2.092041
1262.036, 1.859348
1262.518, 1.428841
1263.000, 1.073860
1263.482, 0.7679250
1263.964, 0.9541050
1264.446, 1.922321
1264.928, 2.765259
1265.411, 2.431770
1265.893, 1.602581
1266.375, 1.644661
1266.857, 2.286705
1267.339, 2.681477
1267.821, 2.333107
1268.303, 1.983673
1268.785, 1.636017
1269.267, 1.339066
1269.750, 1.177662
1270.232, 1.058155
1270.714, 0.6873020
1271.196, 0.2848890
1271.678, 0.4664270
1272.160, 1.584362
1272.642, 2.251198
1273.124, 2.418030
1273.606, 2.238789
1274.089, 1.346539
1274.571, 0.6203730
1275.053, 1.099163
1275.535, 2.209320
1276.017, 2.979553
1276.499, 3.415680
1276.981, 3.084225
1277.463, 2.007339
1277.946, 1.098064
1278.428, 1.222683
1278.910, 1.418674
1279.392, 0.9362110
1279.874, 0.2964320
1280.356, 0.1490140
1280.838, 0.4751320
1281.320, 0.8134190
1281.802, 1.179947
1282.285, 1.637165
1282.767, 2.856590
1283.249, 3.328079
1283.731, 1.810905
1284.213, 9.1205999E-02
1284.695, 0.1061670
1285.177, 0.8451690
1285.659, 1.100613
1286.141, 0.8201070
1286.624, 0.7239950
1287.106, 1.188194
1287.588, 1.819714
1288.070, 2.829979
1288.552, 3.492546
1289.034, 2.910236
1289.516, 1.687016
1289.998, 1.041615
1290.481, 0.8894000
1290.963, 0.9989470
1291.445, 1.596928
1291.927, 1.937859
1292.409, 2.087265
1292.891, 1.942635
1293.373, 0.9229660
1293.855, 5.2733999E-02
1294.338, 0.6429020
1294.820, 2.218658
1295.302, 2.806255
1295.784, 2.074383
1296.266, 1.295376
1296.748, 0.4467430
1297.230, 5.0517999E-02
1297.712, 0.1430660
1298.194, 0.7018430
1298.677, 1.705505
1299.159, 2.710728
1299.641, 2.682381
1300.123, 1.524902
1300.605, 0.5250090
1301.087, 0.2596660
1301.569, 0.2302020
1302.051, 3.8099999E-04
1302.533, 0.1526760
1303.016, 0.0000000E+00
##END=



