##NAMES=Stringhamite
##RRUFFID=R060934
##IDEAL CHEMISTRY=CaCu^2+^SiO_4_&#183;H_2_O
##LOCALITY=Santos mine, Tierra Amarilla, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Azure blue crust, there is no diffraction from this material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060934
594.0022, 38.66064
594.4843, 32.05762
594.9664, 33.72852
595.4485, 46.83691
595.9307, 61.48633
596.4128, 55.89502
596.8949, 23.51270
597.3770, 3.720703
597.8591, 16.99121
598.3412, 30.87988
598.8234, 21.78662
599.3055, 3.354004
599.7876, 29.06689
600.2697, 48.73730
600.7518, 58.33301
601.2339, 47.58789
601.7161, 15.24854
602.1982, 8.701172
602.6803, 18.78125
603.1624, 27.33887
603.6445, 35.88281
604.1266, 49.53516
604.6088, 83.75928
605.0909, 161.4639
605.5730, 208.2451
606.0551, 170.6870
606.5372, 102.7622
607.0193, 57.35400
607.5015, 39.60742
607.9836, 36.97021
608.4657, 42.76807
608.9478, 53.04883
609.4299, 56.86572
609.9120, 51.66455
610.3942, 48.82861
610.8763, 52.99072
611.3584, 55.91748
611.8405, 54.09521
612.3226, 47.41016
612.8047, 35.03760
613.2869, 4.735352
613.7690, 17.82568
614.2511, 9.521484
614.7332, 14.98486
615.2153, 32.24756
615.6974, 37.76855
616.1796, 36.03125
616.6617, 29.89941
617.1438, 20.65527
617.6259, 15.79541
618.1080, 17.37158
618.5901, 19.28467
619.0723, 16.57959
619.5544, 17.11328
620.0365, 27.84326
620.5186, 47.08643
621.0007, 66.56982
621.4828, 91.08496
621.9650, 105.9790
622.4471, 89.02002
622.9292, 52.22461
623.4113, 24.49219
623.8934, 13.38721
624.3755, 15.68896
624.8577, 30.81006
625.3398, 58.05518
625.8219, 71.45312
626.3040, 57.20996
626.7861, 50.18555
627.2682, 68.20947
627.7504, 87.15088
628.2325, 81.76318
628.7146, 53.65088
629.1967, 32.38525
629.6788, 38.59668
630.1609, 55.85156
630.6431, 68.14600
631.1252, 75.29102
631.6073, 75.25293
632.0894, 67.11328
632.5715, 56.85449
633.0536, 51.57666
633.5358, 51.57129
634.0179, 51.78711
634.5000, 46.43506
634.9821, 49.18018
635.4642, 72.49854
635.9464, 98.73828
636.4285, 110.0239
636.9106, 104.6694
637.3927, 95.71191
637.8748, 84.88184
638.3569, 78.45361
638.8391, 92.80420
639.3212, 121.2070
639.8033, 130.5098
640.2854, 107.5454
640.7675, 74.26611
641.2496, 60.85010
641.7318, 70.66553
642.2139, 70.62158
642.6960, 45.92773
643.1781, 29.98145
643.6602, 38.28320
644.1423, 54.10742
644.6245, 58.93506
645.1066, 50.64648
645.5887, 43.14160
646.0708, 49.79688
646.5529, 58.91699
647.0350, 50.15234
647.5172, 30.64209
647.9993, 23.05713
648.4814, 36.52832
648.9635, 58.29004
649.4456, 68.58057
649.9277, 65.81738
650.4099, 66.20508
650.8920, 74.11670
651.3741, 79.14355
651.8562, 73.72510
652.3383, 67.20020
652.8204, 72.76123
653.3026, 91.34814
653.7847, 102.2388
654.2668, 82.45068
654.7489, 56.59570
655.2310, 55.99023
655.7131, 76.22314
656.1953, 98.65527
656.6774, 116.6763
657.1595, 128.0908
657.6416, 129.8140
658.1237, 121.9722
658.6058, 109.1709
659.0880, 85.30615
659.5701, 70.58203
660.0522, 75.22070
660.5343, 85.27637
661.0164, 90.31348
661.4985, 89.01318
661.9807, 80.57227
662.4628, 56.90381
662.9449, 32.32227
663.4270, 22.70166
663.9091, 25.03369
664.3912, 27.49316
664.8734, 25.91748
665.3555, 23.04785
665.8376, 20.84131
666.3197, 19.47119
666.8018, 20.77979
667.2839, 25.17188
667.7661, 31.38379
668.2482, 47.64258
668.7303, 59.26465
669.2124, 44.35107
669.6945, 4.777832
670.1766, 13.14160
670.6588, 25.06641
671.1409, 66.70312
671.6230, 75.97070
672.1051, 66.79443
672.5872, 61.05957
673.0693, 63.16895
673.5515, 64.78271
674.0336, 54.39648
674.5157, 37.52734
674.9978, 50.56445
675.4799, 105.1768
675.9620, 143.3389
676.4442, 144.1201
676.9263, 129.1650
677.4084, 117.0200
677.8905, 107.8242
678.3726, 103.8359
678.8547, 110.4712
679.3369, 116.5566
679.8190, 120.0493
680.3011, 118.7163
680.7832, 105.8047
681.2653, 83.68994
681.7474, 66.81445
682.2296, 68.06299
682.7117, 78.80762
683.1938, 75.25684
683.6759, 56.97070
684.1580, 55.42773
684.6401, 84.11182
685.1223, 111.9087
685.6044, 108.6919
686.0865, 78.22412
686.5686, 59.21191
687.0507, 59.96289
687.5328, 60.45166
688.0150, 52.21338
688.4971, 45.91016
688.9792, 56.30225
689.4613, 77.62500
689.9434, 89.29688
690.4255, 77.17090
690.9077, 61.17236
691.3898, 74.10889
691.8719, 104.6660
692.3540, 108.4961
692.8361, 78.49121
693.3182, 46.50977
693.8004, 33.79346
694.2825, 35.48047
694.7646, 35.32861
695.2467, 25.92529
695.7288, 28.75684
696.2109, 60.44434
696.6931, 87.03809
697.1752, 86.58350
697.6573, 71.52832
698.1394, 66.51514
698.6215, 80.59961
699.1036, 93.24756
699.5858, 88.84961
700.0679, 76.63037
700.5500, 66.04395
701.0321, 59.36377
701.5142, 63.08594
701.9963, 79.80029
702.4785, 98.86328
702.9606, 107.0332
703.4427, 105.1416
703.9248, 81.64941
704.4069, 16.66016
704.8890, 30.40674
705.3712, 22.06836
