##NAMES=Westerveldite
##RRUFFID=R060507
##IDEAL CHEMISTRY=FeAs
##LOCALITY=Kvanefjeld, Ilimaussaq, Greenland
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metallic silver massive, associated with elongated dark-green diopside.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060507
336.1448, 4.476593
336.6270, 1.799805
337.1091, 3.082214
337.5912, 6.488770
338.0733, 8.251190
338.5554, 7.959839
339.0375, 7.311707
339.5197, 6.905945
340.0018, 6.755768
340.4839, 6.761139
340.9660, 7.018280
341.4481, 7.291412
341.9302, 7.595337
342.4124, 7.922058
342.8945, 8.537323
343.3766, 9.864807
343.8587, 11.51434
344.3408, 11.33630
344.8229, 9.057739
345.3051, 6.866211
345.7872, 7.301422
346.2693, 9.901031
346.7514, 11.41040
347.2335, 10.75436
347.7156, 9.160706
348.1978, 9.441437
348.6799, 11.42126
349.1620, 12.86414
349.6441, 11.67200
350.1262, 8.880280
350.6083, 6.952271
351.0905, 6.306854
351.5726, 6.429443
352.0547, 6.726379
352.5368, 7.071411
353.0189, 7.439819
353.5010, 8.745453
353.9832, 9.939911
354.4653, 9.226776
354.9474, 6.331726
355.4295, 3.301453
355.9116, 1.530579
356.3937, 0.8572690
356.8759, 1.070251
357.3580, 2.789154
357.8401, 4.432831
358.3222, 4.742035
358.8043, 3.986450
359.2864, 3.472809
359.7686, 4.355255
360.2507, 5.531311
360.7328, 5.986816
361.2149, 4.990417
361.6970, 4.296600
362.1791, 4.768524
362.6613, 5.810181
363.1434, 6.556244
363.6255, 6.454437
364.1076, 6.200012
364.5897, 6.199677
365.0718, 6.590302
365.5540, 6.589508
366.0361, 5.307983
366.5182, 3.821198
367.0003, 3.415924
367.4824, 5.941162
367.9645, 7.847015
368.4467, 7.923737
368.9288, 5.972687
369.4109, 5.084686
369.8930, 6.404327
370.3751, 7.908813
370.8572, 8.172180
371.3394, 6.022003
371.8215, 4.664948
372.3036, 4.747711
372.7857, 5.777161
373.2678, 5.913635
373.7499, 4.695679
374.2321, 3.368530
374.7142, 2.393890
375.1963, 1.635193
375.6784, 1.939941
376.1605, 3.758789
376.6426, 6.082779
377.1248, 7.193176
377.6069, 6.886642
378.0890, 6.552216
378.5711, 6.869415
379.0532, 7.630493
379.5353, 7.060028
380.0175, 4.922043
380.4996, 2.541260
380.9817, 1.061523
381.4638, 0.4458160
381.9459, 0.4237520
382.4280, 1.216080
382.9102, 2.326065
383.3923, 2.334732
383.8744, 1.225433
384.3565, 0.3312530
384.8386, 0.8298190
385.3207, 2.121140
385.8029, 3.048630
386.2850, 3.514435
386.7671, 3.329422
387.2492, 1.438217
387.7313, 1.293045
388.2134, 2.863007
388.6956, 1.247314
389.1777, 1.195816
389.6598, 2.316040
390.1419, 2.140121
390.6240, 1.761597
391.1061, 1.935135
391.5883, 2.199860
392.0704, 2.032242
392.5525, 0.7900540
393.0346, 0.2030490
393.5167, 0.3580020
393.9988, 0.1952820
394.4810, 1.073486
394.9631, 2.633362
395.4452, 4.105759
395.9273, 5.236374
396.4094, 6.208069
396.8915, 6.154510
397.3737, 3.536072
397.8558, 0.2500150
398.3379, 1.364319
398.8200, 0.9939880
399.3021, 2.844940
399.7842, 2.891800
400.2664, 1.144119
400.7485, 0.6532290
401.2306, 2.510147
401.7127, 4.572723
402.1948, 5.457993
402.6769, 4.664536
403.1591, 3.677261
403.6412, 2.129715
404.1233, 0.6512300
404.6054, 1.160706
405.0875, 4.558243
405.5696, 7.270691
406.0518, 7.621857
406.5339, 5.544632
407.0160, 3.604568
407.4981, 1.836685
407.9802, 0.1939540
408.4623, 1.686386
408.9445, 3.777130
409.4266, 4.557404
409.9087, 3.092651
410.3908, 0.5121920
410.8729, 0.2705990
411.3550, 0.6825410
411.8372, 1.580399
412.3193, 0.5811920
412.8014, 1.380890
413.2835, 1.830200
413.7656, 0.1206360
414.2477, 1.852005
414.7299, 1.882401
415.2120, 0.5706330
415.6941, 0.6567380
416.1762, 1.116455
416.6583, 1.202286
417.1404, 1.295578
417.6226, 1.389847
418.1047, 1.224075
418.5868, 0.2217410
419.0689, 1.600494
419.5510, 1.526489
420.0331, 2.054199
420.5153, 4.881683
420.9974, 4.373154
421.4795, 1.803299
421.9616, 0.4177090
422.4437, 2.348816
422.9258, 4.512192
423.4080, 5.681686
423.8901, 5.664398
424.3722, 5.093140
424.8543, 2.957611
425.3364, 0.8088070
425.8185, 0.2239070
426.3007, 2.580933
426.7828, 4.504120
427.2649, 5.563461
427.7470, 5.809174
428.2291, 5.463333
428.7112, 4.194321
429.1934, 2.913269
429.6755, 2.015808
430.1576, 1.472641
430.6397, 1.649734
431.1218, 2.855835
431.6039, 4.307968
432.0861, 4.711548
432.5682, 4.005814
433.0503, 3.095047
433.5324, 2.083527
434.0145, 1.144028
434.4966, 1.082397
434.9788, 1.929443
435.4609, 2.776535
435.9430, 2.672195
436.4251, 1.964096
436.9072, 1.627304
437.3893, 1.879135
437.8715, 2.433838
438.3536, 3.450577
438.8357, 4.576035
439.3178, 4.822510
439.7999, 2.400208
440.2820, 0.3382870
440.7642, 0.8830260
441.2463, 0.8993230
441.7284, 2.518250
442.2105, 2.012329
442.6926, 0.9559020
443.1747, 0.9012300
443.6569, 3.668304
444.1390, 5.795898
444.6211, 5.297409
445.1032, 3.223145
445.5853, 2.564804
446.0674, 6.063477
446.5496, 9.303406
447.0317, 10.25172
447.5138, 7.724655
447.9959, 6.326904
448.4780, 6.792633
448.9601, 7.873505
449.4423, 8.367035
449.9244, 8.075653
450.4065, 7.606644
450.8886, 6.991638
451.3707, 6.269424
451.8528, 5.531860
452.3350, 4.718842
452.8171, 3.966324
453.2992, 3.190536
453.7813, 2.381836
454.2634, 2.388412
454.7455, 3.437119
455.2277, 4.611649
455.7098, 4.349854
456.1919, 2.843307
456.6740, 2.218552
457.1561, 3.479324
457.6382, 5.514816
458.1204, 6.254379
458.6025, 5.864258
459.0846, 5.499222
459.5667, 6.440582
460.0488, 7.667160
460.5309, 7.673264
461.0131, 6.013992
461.4952, 4.254196
461.9773, 3.182617
462.4594, 2.804764
462.9415, 3.113663
463.4236, 4.727524
463.9058, 6.401367
464.3879, 7.835114
464.8700, 8.954651
465.3521, 9.417496
465.8342, 8.741989
466.3163, 7.609924
466.7985, 6.253830
467.2806, 3.740997
467.7627, 2.976059
468.2448, 5.819427
468.7269, 9.723236
469.2090, 11.01648
469.6912, 8.146408
470.1733, 5.627914
470.6554, 4.444794
471.1375, 4.427048
471.6196, 4.756668
472.1017, 5.479843
472.5839, 6.249039
473.0660, 6.802231
473.5481, 7.109482
474.0302, 7.523209
474.5123, 8.075699
474.9944, 8.707886
475.4766, 9.635300
475.9587, 10.71541
476.4408, 10.90085
476.9229, 9.028564
477.4050, 6.543839
477.8871, 5.993561
478.3693, 7.095856
478.8514, 8.558853
479.3335, 9.751404
479.8156, 10.63426
480.2977, 11.29332
480.7798, 11.73279
481.2620, 11.77679
481.7441, 10.93629
482.2262, 9.714218
482.7083, 8.850082
483.1904, 8.284576
483.6725, 8.368698
484.1547, 9.915421
484.6368, 12.68741
485.1189, 14.30388
485.6010, 13.98612
486.0831, 12.74423
486.5652, 10.92636
487.0474, 7.453217
487.5295, 5.826019
488.0116, 7.155136
488.4937, 9.522308
488.9758, 10.02734
489.4579, 7.823547
489.9401, 6.382980
490.4222, 6.801941
490.9043, 8.580246
491.3864, 9.425598
491.8685, 9.259018
492.3506, 8.625076
492.8328, 7.596603
493.3149, 6.352051
493.7970, 5.836044
494.2791, 6.213638
494.7612, 6.809937
495.2433, 6.870056
495.7255, 6.556229
496.2076, 6.275665
496.6897, 6.145142
497.1718, 6.130661
497.6539, 6.350632
498.1360, 6.622482
498.6182, 6.594498
499.1003, 5.846344
499.5824, 4.994827
500.0645, 4.478333
500.5466, 4.345276
501.0287, 4.442749
501.5109, 5.030731
501.9930, 5.724182
502.4751, 6.142639
502.9572, 6.266205
503.4393, 6.035629
503.9214, 5.146896
504.4036, 3.895798
504.8857, 3.340561
505.3678, 3.725296
505.8499, 4.359207
506.3320, 5.007248
506.8141, 5.683304
507.2963, 6.546646
507.7784, 7.838730
508.2605, 8.659698
508.7426, 7.553040
509.2247, 4.701340
509.7068, 3.054260
510.1890, 3.414993
510.6711, 4.729355
511.1532, 5.441345
511.6353, 5.602768
512.1174, 5.457687
512.5995, 4.679291
513.0817, 3.878632
513.5638, 4.126953
514.0459, 5.370438
514.5280, 6.167648
515.0101, 4.936920
515.4922, 3.181198
515.9744, 2.383728
516.4565, 3.387497
516.9386, 4.333939
517.4207, 4.698822
517.9028, 4.567062
518.3849, 4.088409
518.8671, 2.830093
519.3492, 1.719559
519.8313, 0.8105010
520.3134, 0.1300200
520.7955, 0.1943660
521.2776, 1.719513
521.7598, 2.945877
522.2419, 2.701141
522.7240, 0.6082760
523.2061, 1.042023
523.6882, 2.303894
524.1703, 2.911331
524.6525, 2.372589
525.1346, 0.7556150
525.6167, 1.068024
526.0988, 3.061783
526.5809, 4.893936
527.0630, 5.978745
527.5452, 6.326828
528.0273, 6.052628
528.5094, 4.810684
528.9915, 3.225464
529.4736, 1.808929
529.9557, 0.5899510
530.4379, 3.6331002E-02
530.9200, 0.9404910
531.4021, 2.375519
531.8842, 3.449188
532.3663, 3.990082
532.8484, 4.083206
533.3306, 3.200912
533.8127, 1.923645
534.2948, 1.502548
534.7769, 3.104706
535.2590, 4.301437
535.7411, 4.318405
536.2233, 3.226639
536.7054, 2.862839
537.1875, 3.437637
537.6696, 4.363281
538.1517, 5.387100
538.6339, 6.532562
539.1160, 7.298599
539.5981, 7.606689
540.0802, 7.676056
540.5623, 7.854431
541.0444, 8.082047
541.5266, 7.984283
542.0087, 7.197311
542.4908, 6.308395
542.9729, 6.519363
543.4550, 7.494904
543.9371, 7.859695
544.4193, 6.042664
544.9014, 3.806503
545.3835, 2.722626
545.8656, 3.008377
546.3477, 3.299011
546.8298, 2.753632
547.3120, 2.096512
547.7941, 1.920044
548.2762, 2.473801
548.7583, 3.330673
549.2404, 4.703339
549.7225, 6.299728
550.2047, 7.686981
550.6868, 9.178650
551.1689, 9.776184
551.6510, 8.921341
552.1331, 6.921677
552.6152, 5.728012
553.0974, 5.485931
553.5795, 5.799042
554.0616, 6.892715
554.5437, 8.523468
555.0258, 8.375702
555.5079, 6.120926
555.9901, 3.648743
556.4722, 2.819061
556.9543, 3.229904
557.4364, 4.153854
557.9185, 5.816925
558.4006, 7.197678
558.8828, 7.015717
559.3649, 5.947739
559.8470, 5.529175
560.3291, 7.454300
560.8112, 9.171661
561.2933, 9.292191
561.7755, 7.759018
562.2576, 6.780457
562.7397, 7.560226
563.2218, 8.119766
563.7039, 7.389938
564.1860, 4.508362
564.6682, 2.632248
565.1503, 1.726852
565.6324, 1.846008
566.1145, 3.637039
566.5966, 7.471725
567.0787, 9.696152
567.5609, 9.253143
568.0430, 7.123932
568.5251, 4.861496
569.0072, 2.568542
569.4893, 1.210052
569.9714, 2.042358
570.4536, 3.772751
570.9357, 4.311630
571.4178, 3.729431
571.8999, 3.620712
572.3820, 6.312195
572.8641, 9.119507
573.3463, 9.242523
573.8284, 4.737793
574.3105, 1.666809
574.7926, 3.392395
575.2747, 6.978912
575.7568, 8.707367
576.2390, 6.083481
576.7211, 4.610352
577.2032, 5.323654
577.6853, 7.584030
578.1674, 9.290802
578.6495, 10.48132
579.1317, 10.85777
579.6138, 10.21361
580.0959, 8.649780
580.5780, 6.365860
581.0601, 3.141663
581.5422, 1.011536
582.0244, 3.102188
582.5065, 7.643967
582.9886, 9.775970
583.4707, 8.506561
583.9528, 6.587891
584.4349, 6.368774
584.9171, 7.151093
585.3992, 7.912613
585.8813, 8.691147
586.3634, 8.887161
586.8455, 7.712280
587.3276, 5.748444
587.8098, 4.609970
588.2919, 5.430878
588.7740, 6.305634
589.2561, 6.770569
589.7382, 6.821442
590.2203, 6.337845
590.7025, 5.033707
591.1846, 3.705383
591.6667, 2.669037
592.1488, 1.877609
592.6309, 2.589706
593.1130, 5.211792
593.5952, 7.880753
594.0773, 8.024231
594.5594, 6.247192
595.0415, 4.887787
595.5236, 4.653397
596.0057, 4.840881
596.4879, 4.730392
596.9700, 4.429672
597.4521, 4.198517
597.9342, 4.303238
598.4163, 4.381012
598.8984, 3.870041
599.3806, 2.924057
599.8627, 2.978409
600.3448, 5.533188
600.8269, 8.165207
601.3090, 9.916306
601.7911, 10.91490
602.2733, 10.31171
602.7554, 7.266373
603.2375, 3.789398
603.7196, 1.750824
604.2017, 1.214539
604.6838, 1.458450
605.1660, 2.671829
605.6481, 4.013382
606.1302, 3.853088
606.6123, 2.515228
607.0944, 1.508652
607.5765, 1.530548
608.0587, 2.008804
608.5408, 2.711472
609.0229, 3.403214
609.5050, 3.275055
609.9871, 0.4211880
610.4692, 2.195068
610.9514, 2.465942
611.4335, 0.1256560
611.9156, 1.926071
612.3977, 3.327667
612.8798, 4.077484
613.3619, 4.076630
613.8441, 2.745605
614.3262, 2.044022
614.8083, 2.035614
615.2904, 2.573334
615.7725, 3.699478
616.2546, 5.477753
616.7368, 6.804184
617.2189, 7.596024
617.7010, 7.634872
618.1831, 5.999130
618.6652, 3.116333
619.1473, 0.7207030
