##NAMES=Ferro-katophorite
##RRUFFID=R050633
##IDEAL CHEMISTRY=NaNaCa[Fe^2+^_4_Al](Si_7_Al)O_22_(OH)_2_
##LOCALITY=Taguchi mine, Shidara, Kitashidara-Gun, Aichi Prefecture, Japan
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Dark green fragment associated with yoshimuraite, R050266.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R050633
372.6171, 33.60571
373.0992, 33.47809
373.5813, 33.30405
374.0634, 33.16812
374.5456, 33.30826
375.0277, 33.76434
375.5098, 33.60007
375.9919, 32.06384
376.4740, 30.70276
376.9561, 30.29547
377.4383, 30.60114
377.9204, 31.04312
378.4025, 31.34113
378.8846, 31.52271
379.3667, 31.67084
379.8488, 31.80240
380.3310, 31.85333
380.8131, 31.56506
381.2952, 31.28665
381.7773, 31.56088
382.2594, 32.68140
382.7415, 33.63760
383.2237, 32.89743
383.7058, 30.47382
384.1879, 29.08023
384.6700, 30.13617
385.1521, 31.66016
385.6342, 31.77829
386.1164, 30.58984
386.5985, 29.29861
387.0806, 28.56226
387.5627, 28.18326
388.0448, 27.77652
388.5269, 27.41354
389.0091, 26.69513
389.4912, 24.86575
389.9733, 22.45834
390.4554, 20.69550
390.9375, 20.27145
391.4196, 20.17401
391.9018, 19.32278
392.3839, 17.84167
392.8660, 16.87186
393.3481, 17.06314
393.8302, 17.77240
394.3123, 17.78436
394.7945, 16.95309
395.2766, 15.98691
395.7587, 15.10822
396.2408, 14.31531
396.7229, 13.68460
397.2050, 13.24625
397.6872, 12.78491
398.1693, 12.04565
398.6514, 11.00110
399.1335, 9.933472
399.6156, 8.729340
400.0977, 7.589417
400.5798, 6.586761
401.0620, 5.756500
401.5441, 5.205322
402.0262, 5.025696
402.5083, 5.180756
402.9904, 5.412750
403.4725, 6.341858
403.9547, 6.578033
404.4368, 5.174500
404.9189, 3.101990
405.4010, 1.680725
405.8831, 1.315186
406.3652, 1.645844
406.8474, 2.212372
407.3295, 3.216095
407.8116, 3.857208
408.2937, 3.917145
408.7758, 3.857697
409.2579, 3.875397
409.7401, 3.999939
410.2222, 4.267151
410.7043, 4.766022
411.1864, 5.402893
411.6685, 5.349792
412.1506, 3.712036
412.6328, 2.469482
413.1149, 2.071747
413.5970, 2.139404
414.0791, 2.309631
414.5612, 2.444275
415.0433, 2.509033
415.5255, 2.436432
416.0076, 2.186798
416.4897, 1.927002
416.9718, 1.492371
417.4539, 1.220367
417.9360, 1.396484
418.4182, 1.914886
418.9003, 2.451141
419.3824, 2.714844
419.8645, 2.764801
420.3466, 3.113525
420.8287, 3.932098
421.3109, 4.748535
421.7930, 5.377319
422.2751, 5.894409
422.7572, 6.499756
423.2393, 7.355103
423.7214, 7.801880
424.2036, 6.632629
424.6857, 3.947906
425.1678, 2.419067
425.6499, 3.251526
426.1320, 4.669647
426.6141, 4.784912
427.0963, 3.802124
427.5784, 3.349884
428.0605, 4.882446
428.5426, 7.051361
429.0247, 7.576111
