##NAMES=Potassic-fluoro-pargasite
##RRUFFID=R110065
##IDEAL CHEMISTRY=KCa_2_(Mg_4_Al)Si_6_Al_2_O_22_F_2_
##LOCALITY=Tranomaro, Fort Dauphine area, Madagascar
##OWNER=RRUFF
##SOURCE=Renato & Adriana Pagano
##DESCRIPTION=Black blocky euhedral single-crystal, from the original find
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110065
285.8965, 26.71375
286.3787, 24.43481
286.8608, 20.49878
287.3429, 15.67065
287.8250, 12.89722
288.3071, 13.82227
288.7892, 16.33472
289.2714, 17.51624
289.7535, 17.38306
290.2356, 16.34363
290.7177, 14.06750
291.1998, 11.00488
291.6819, 8.250977
292.1641, 5.925171
292.6462, 4.212646
293.1283, 3.561890
293.6104, 3.835083
294.0925, 3.988770
294.5746, 3.172729
295.0568, 2.029297
295.5389, 2.022583
296.0210, 3.633423
296.5031, 5.446167
296.9852, 6.282104
297.4673, 6.369507
297.9495, 6.179443
298.4316, 6.236328
298.9137, 5.960693
299.3958, 4.022949
299.8779, 4.0160999E-02
300.3600, 3.631226
300.8422, 4.575928
301.3243, 3.911011
301.8064, 3.315430
302.2885, 3.593140
302.7706, 3.653076
303.2527, 1.420166
303.7349, 3.398071
304.2170, 6.345947
304.6991, 3.515503
305.1812, 1.586060
305.6633, 4.068970
306.1454, 2.679443
306.6276, 0.2720950
307.1097, 0.3507080
307.5918, 0.6528320
308.0739, 0.2897950
308.5560, 3.671753
309.0381, 8.293823
309.5203, 10.06555
310.0024, 8.671265
310.4845, 6.890015
310.9666, 6.543945
311.4487, 7.398926
311.9308, 8.249390
312.4130, 8.565674
312.8951, 9.293823
313.3772, 11.29102
313.8593, 14.42847
314.3414, 17.95093
314.8235, 21.94202
315.3057, 26.02795
315.7878, 29.01892
316.2699, 30.21484
316.7520, 31.75525
317.2341, 35.36218
317.7162, 40.45349
318.1984, 45.99011
318.6805, 52.03345
319.1626, 58.10144
319.6447, 63.30432
320.1268, 67.48352
320.6089, 71.60974
321.0911, 76.34021
321.5732, 81.35803
322.0553, 86.11316
322.5374, 90.17517
323.0195, 94.48926
323.5016, 100.5356
323.9838, 108.3683
324.4659, 115.1775
324.9480, 119.1350
325.4301, 121.9924
325.9122, 125.7877
326.3943, 130.7098
326.8765, 136.2975
327.3586, 142.5715
327.8407, 149.3857
328.3228, 155.7993
328.8049, 161.5490
329.2870, 166.8503
329.7692, 172.1865
330.2513, 177.4941
330.7334, 181.8934
331.2155, 184.2427
331.6976, 185.4233
332.1797, 187.4500
332.6619, 190.5701
333.1440, 194.4309
333.6261, 199.4258
334.1082, 204.9984
334.5903, 209.7812
335.0724, 212.3086
335.5546, 214.3213
336.0367, 218.5836
336.5188, 225.3689
337.0009, 231.4729
337.4830, 235.1212
337.9651, 236.7590
338.4473, 237.1483
338.9294, 235.5875
339.4115, 234.0337
339.8936, 234.5830
340.3757, 236.8706
340.8578, 238.0544
341.3400, 236.7162
341.8221, 234.1168
342.3042, 232.3041
342.7863, 231.4133
343.2684, 230.3977
343.7505, 228.5039
344.2327, 226.1086
344.7148, 224.2184
345.1969, 223.1776
345.6790, 222.2559
346.1611, 220.1641
346.6432, 217.1675
347.1254, 215.3689
347.6075, 216.3069
348.0896, 218.2107
348.5717, 218.8796
349.0538, 218.0930
349.5359, 216.8875
350.0181, 216.0068
350.5002, 215.3328
350.9823, 214.3195
351.4644, 212.3811
351.9465, 210.6117
352.4286, 209.7201
352.9108, 209.6135
353.3929, 209.9846
353.8750, 210.9166
354.3571, 212.0496
354.8392, 212.3927
355.3214, 211.4304
355.8035, 210.8934
356.2856, 211.4688
356.7677, 212.8768
357.2498, 214.9169
357.7319, 217.6631
358.2141, 220.0198
358.6962, 219.9542
359.1783, 216.7207
359.6604, 216.2729
360.1425, 222.1672
360.6246, 229.3368
361.1068, 232.8243
361.5889, 232.3419
362.0710, 230.8909
362.5531, 230.7141
363.0352, 231.8229
363.5173, 233.5996
363.9995, 236.8970
364.4816, 240.1774
364.9637, 242.5863
365.4458, 244.2970
