##NAMES=Metazeunerite
##RRUFFID=R060301
##IDEAL CHEMISTRY=Cu^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Joachimstal, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Green blocky dipyramidal single crystals associated with yellow walpurgite, R050573
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060301
454.0850, 0.9419440
454.5671, 0.9031680
455.0492, 0.9273400
455.5313, 0.9677010
456.0135, 1.057032
456.4956, 1.146334
456.9777, 1.205076
457.4598, 1.225554
457.9419, 1.205667
458.4240, 1.126236
458.9062, 0.9850580
459.3883, 0.9718250
459.8704, 1.294300
460.3525, 1.511486
460.8346, 1.425055
461.3167, 1.218126
461.7989, 1.175203
462.2810, 1.399891
462.7631, 1.651640
463.2452, 1.489021
463.7273, 0.8098770
464.2094, 0.3871080
464.6916, 0.4292110
465.1737, 0.6632500
465.6558, 1.089510
466.1379, 1.601868
466.6200, 1.868097
467.1021, 1.517277
467.5843, 0.8835350
468.0664, 0.6814790
468.5485, 0.9729290
469.0306, 1.237900
469.5127, 1.215153
469.9948, 1.040131
470.4770, 0.9212890
470.9591, 0.8536490
471.4412, 0.8494820
471.9233, 0.9611470
472.4054, 1.131035
472.8875, 1.274546
473.3697, 1.378712
473.8518, 1.381666
474.3339, 1.184275
474.8160, 0.8078440
475.2981, 0.6094110
475.7802, 0.5995580
476.2624, 0.6955870
476.7445, 0.9743940
477.2266, 1.322111
477.7087, 1.479179
478.1908, 1.344759
478.6729, 1.060265
479.1551, 0.8597980
479.6372, 0.7239840
480.1193, 0.7332440
480.6014, 1.056063
481.0835, 1.353167
481.5656, 1.425360
482.0478, 1.305319
482.5299, 1.128517
483.0120, 0.9815920
483.4941, 0.8507250
483.9762, 0.6723420
484.4583, 0.3608250
484.9405, 0.1827930
485.4226, 0.3091070
485.9047, 0.4964500
486.3868, 0.5289590
486.8689, 0.3918690
487.3510, 0.2761360
487.8332, 0.3928760
488.3153, 0.6766950
488.7974, 0.8189700
489.2795, 0.7542320
489.7616, 0.6886540
490.2437, 0.8046150
490.7259, 0.9899710
491.2080, 1.062328
491.6901, 0.9398040
492.1722, 0.7981660
492.6543, 0.7523940
493.1364, 0.7880170
493.6186, 0.8796790
494.1007, 1.035990
494.5828, 1.184395
495.0649, 1.241110
495.5470, 1.197081
496.0291, 1.130016
496.5113, 1.064602
496.9934, 0.9557880
497.4755, 0.6877350
497.9576, 0.3560750
498.4397, 0.2214620
498.9218, 0.4207190
499.4040, 0.7762600
499.8861, 0.8793910
500.3682, 0.4995630
500.8503, 0.2884710
501.3324, 0.3193050
501.8145, 0.4328820
502.2967, 0.5932480
502.7788, 0.7578530
503.2609, 0.8378220
503.7430, 0.7484040
504.2251, 0.5544850
504.7072, 0.5262280
505.1894, 0.7563440
505.6715, 0.9401170
506.1536, 1.013348
506.6357, 1.007568
507.1178, 0.9121380
507.5999, 0.7342780
508.0821, 0.5709820
508.5642, 0.4849000
509.0463, 0.4688010
509.5284, 0.5269200
510.0105, 0.6861990
510.4926, 0.7976880
510.9748, 0.7177890
511.4569, 0.5376510
511.9390, 0.4875070
512.4211, 0.6903150
512.9032, 0.8196070
513.3853, 0.5770280
513.8674, 0.1909810
514.3495, 0.1110130
514.8317, 0.4356860
515.3138, 0.8220620
515.7959, 0.9114170
516.2780, 0.6770080
516.7601, 0.5428850
517.2422, 0.6483780
517.7244, 0.6799370
518.2065, 0.4461000
518.6886, 0.1012210
519.1707, 0.1452410
519.6528, 0.2157380
520.1349, 0.1478820
520.6171, 4.6257000E-02
521.0992, 0.4476280
521.5813, 0.6453650
522.0634, 0.4615760
522.5455, 0.2399620
523.0276, 8.1574999E-02
523.5098, 2.2399999E-02
523.9919, 0.1119560
524.4740, 0.2189980
524.9561, 0.2809180
525.4382, 0.1446880
525.9203, 0.1948680
526.4025, 0.3741660
526.8846, 0.2258510
527.3667, 2.5899999E-04
527.8488, 7.6759003E-02
528.3309, 1.9207001E-02
528.8130, 8.9570999E-02
529.2952, 0.2808570
529.7773, 0.4705580
530.2594, 0.6465000
530.7415, 0.7781580
531.2236, 0.6925510
531.7057, 0.2632520
532.1879, 0.2766380
532.6700, 0.4608940
533.1521, 5.2000001E-02
533.6342, 0.1779630
534.1163, 2.7193001E-02
534.5984, 0.1459290
535.0806, 8.1138998E-02
535.5627, 0.1705040
536.0448, 0.4131320
536.5269, 0.5278850
537.0090, 0.5386470
537.4911, 0.4991720
537.9733, 0.3371160
538.4554, 0.2865370
538.9375, 0.5190030
539.4196, 0.7468850
539.9017, 0.7691040
540.3839, 0.6101550
540.8660, 0.4446790
541.3481, 0.3828220
541.8302, 0.3908860
542.3123, 0.3838830
542.7944, 0.3526840
543.2766, 0.3921620
543.7587, 0.6125410
544.2408, 0.8608360
544.7229, 0.8894900
545.2050, 0.6678810
545.6871, 0.5128900
546.1693, 0.6159550
546.6514, 0.7882520
547.1335, 0.8245200
547.6156, 0.7213540
548.0977, 0.5545250
548.5798, 0.3442130
