##NAMES=Symplesite
##RRUFFID=R120074
##IDEAL CHEMISTRY=Fe^2+^_3_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Saubachbruch, Muldenberg, Vogtland, Sachsen, Germany
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Aggregate of black bladed crystals,  2-fold twin around [1 -1 0]
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120074
493.8575, 6.926025
494.3397, 6.987007
494.8218, 7.147425
495.3039, 7.315203
495.7860, 7.360121
496.2681, 7.302887
496.7502, 7.213852
497.2324, 7.057446
497.7145, 6.931841
498.1966, 6.968300
498.6787, 7.173517
499.1608, 7.335102
499.6429, 7.301672
500.1251, 7.195007
500.6072, 7.120787
501.0893, 7.108776
501.5714, 7.123610
502.0535, 7.239309
502.5356, 7.373396
503.0178, 7.338261
503.4999, 6.907583
503.9820, 6.536699
504.4641, 6.367636
504.9462, 6.409460
505.4283, 6.370481
505.9105, 6.200270
506.3926, 6.029070
506.8747, 5.963594
507.3568, 6.020582
507.8389, 6.079315
508.3210, 6.142849
508.8032, 6.185879
509.2853, 6.095949
509.7674, 5.878536
510.2495, 5.764648
510.7316, 5.951813
511.2137, 6.269650
511.6959, 6.287289
512.1780, 6.005430
512.6601, 5.665901
513.1422, 5.389763
513.6243, 5.196228
514.1064, 5.133743
514.5886, 5.246033
515.0707, 5.359274
515.5528, 5.364531
516.0349, 5.303429
516.5170, 5.236065
516.9991, 5.199207
517.4813, 5.143084
517.9634, 5.031197
518.4455, 4.872875
518.9276, 4.747826
519.4097, 4.693380
519.8918, 4.650999
520.3740, 4.599329
520.8561, 4.533037
521.3382, 4.472744
521.8203, 4.427034
522.3024, 4.377184
522.7845, 4.282843
523.2667, 4.123327
523.7488, 4.045519
524.2309, 4.127737
524.7130, 4.289774
525.1951, 4.297060
525.6772, 4.140562
526.1594, 3.960562
526.6415, 3.845417
527.1236, 3.773346
527.6057, 3.694092
528.0878, 3.607597
