##NAMES=Ludlamite
##RRUFFID=R090071
##IDEAL CHEMISTRY=Fe^2+^_3_(PO_4_)_2_&#183;4H_2_O
##LOCALITY=Cigana Mine (ex-Jocão Mine), Galiléia, Minas Gerais  Brazil
##OWNER=RRUFF
##SOURCE=Royal Ontario Museum 
##DESCRIPTION=Groups of colorless tabular crystals on reddish-brown reddingite R090069, associated with pink hureaulite R090070.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R090071
352.1701, 8.414024
352.6523, 8.601585
353.1344, 7.050220
353.6165, 6.413202
354.0986, 8.205742
354.5807, 10.31598
355.0628, 11.09003
355.5450, 10.27187
356.0271, 8.975044
356.5092, 8.033543
356.9913, 7.454653
357.4734, 7.314703
357.9555, 8.011606
358.4377, 8.724800
358.9198, 9.272627
359.4019, 9.584270
359.8840, 9.490124
360.3661, 8.741709
360.8482, 7.624039
361.3304, 6.997803
361.8125, 6.982534
362.2946, 7.224367
362.7767, 7.837311
363.2588, 8.522966
363.7409, 9.030121
364.2231, 9.285706
364.7052, 9.188911
365.1873, 8.339832
365.6694, 6.582779
366.1515, 5.505804
366.6336, 5.909327
367.1158, 6.798061
367.5979, 7.614052
368.0800, 8.295958
368.5621, 8.664553
369.0442, 8.578466
369.5263, 7.909414
370.0085, 6.708553
370.4906, 4.740467
370.9727, 3.233849
371.4548, 3.387135
371.9369, 4.664312
372.4190, 5.947855
372.9012, 7.203489
373.3833, 7.979198
373.8654, 7.238647
374.3475, 4.769846
374.8296, 2.649567
375.3117, 2.008720
375.7939, 2.318058
376.2760, 2.724220
376.7581, 3.054544
377.2402, 3.670437
377.7223, 5.423841
378.2044, 8.014420
378.6866, 9.688255
379.1687, 9.917912
379.6508, 9.165781
380.1329, 7.838968
380.6150, 5.973232
381.0971, 4.050280
381.5793, 1.813492
382.0614, 0.2328360
382.5435, 1.320869
383.0256, 1.353840
383.5077, 0.8417760
383.9898, 2.5129000E-02
384.4720, 1.063797
384.9541, 2.124237
385.4362, 3.445480
385.9183, 4.457699
386.4004, 4.711435
386.8825, 4.342466
387.3647, 3.721039
387.8468, 2.894012
388.3289, 2.135033
388.8110, 2.295513
389.2931, 3.956394
389.7752, 5.097651
390.2574, 4.792404
390.7395, 3.989117
391.2216, 3.864124
391.7037, 4.664406
392.1858, 5.779861
392.6679, 6.565552
393.1501, 7.015226
393.6322, 6.975533
394.1143, 5.999369
394.5964, 4.975002
395.0785, 4.476254
395.5606, 4.385084
396.0428, 4.133514
396.5249, 3.271193
397.0070, 2.057186
397.4891, 1.904659
397.9712, 4.823301
398.4533, 6.373276
398.9355, 5.116756
399.4176, 2.701565
399.8997, 0.8449730
400.3818, 9.9606000E-02
400.8639, 6.1368998E-02
401.3460, 0.4618400
401.8282, 1.372843
402.3103, 1.726164
402.7924, 1.448349
403.2745, 0.7733060
403.7566, 0.6899720
404.2387, 2.520809
404.7209, 3.599424
405.2030, 2.889111
405.6851, 0.7225910
406.1672, 0.2886940
406.6493, 0.6481420
407.1314, 1.673819
407.6136, 2.492130
408.0957, 3.099493
408.5778, 3.477377
409.0599, 3.615982
409.5420, 3.610302
410.0241, 3.842598
410.5063, 4.591053
410.9884, 4.023346
411.4705, 0.5683310
411.9526, 4.466089
412.4347, 4.196459
412.9168, 0.4244100
413.3990, 3.143354
413.8811, 3.629930
414.3632, 1.840174
414.8453, 0.6963600
415.3274, 0.2291510
415.8095, 0.3445360
416.2917, 1.544529
416.7738, 3.131392
417.2559, 4.173416
417.7380, 4.377235
418.2201, 4.129765
