##NAMES=Quadridavyne
##RRUFFID=R141084
##IDEAL CHEMISTRY=Na_6_Ca_2_Si_6_Al_6_O_24_Cl_4_
##LOCALITY=Mt Vesuvius, Naples Province, Campania, Italy
##OWNER=RRUFF
##SOURCE=Ch. and H. Schäfer
##DESCRIPTION=Short hexagonal prismatic white crystals, associated with sodalite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R141084
329.2433, 11.13790
329.7254, 11.36459
330.2075, 11.60739
330.6896, 11.87962
331.1718, 12.10037
331.6539, 12.15448
332.1360, 12.01793
332.6181, 11.97842
333.1002, 12.14310
333.5823, 12.33009
334.0645, 12.37627
334.5466, 12.29632
335.0287, 12.24838
335.5108, 12.33809
335.9929, 12.55962
336.4750, 12.82217
336.9572, 13.25542
337.4393, 13.59244
337.9214, 13.67264
338.4035, 13.57043
338.8856, 13.44468
339.3677, 13.35303
339.8499, 13.31747
340.3320, 13.42615
340.8141, 13.83660
341.2962, 14.08722
341.7783, 13.87547
342.2604, 13.53378
342.7426, 13.57607
343.2247, 14.14112
343.7068, 14.82364
344.1889, 15.04910
344.6710, 14.57884
345.1531, 14.35818
345.6353, 14.62217
346.1174, 14.96410
346.5995, 15.05554
347.0816, 14.88734
347.5637, 14.66955
348.0458, 14.58178
348.5280, 14.62917
349.0101, 14.70173
349.4922, 14.89050
349.9743, 15.01688
350.4564, 14.97974
350.9385, 14.82031
351.4207, 14.63196
351.9028, 14.45692
352.3849, 14.29303
352.8670, 14.14745
353.3491, 14.06850
353.8312, 13.96054
354.3134, 13.81232
354.7955, 13.62911
355.2776, 13.40314
355.7597, 13.13470
356.2418, 12.85846
356.7239, 12.62780
357.2061, 12.43320
357.6882, 12.31590
358.1703, 12.38110
358.6524, 12.43678
359.1345, 12.31699
359.6166, 12.03169
360.0987, 11.74621
360.5808, 11.64706
361.0630, 11.78048
361.5451, 11.63811
362.0272, 10.75156
362.5093, 10.09155
362.9914, 10.21869
363.4735, 10.79449
363.9557, 11.13481
364.4378, 10.80558
364.9199, 9.983498
365.4020, 9.423317
365.8841, 9.337219
366.3662, 9.241020
366.8484, 9.079269
367.3305, 8.881241
367.8126, 8.674446
368.2947, 8.469505
368.7768, 8.263420
369.2589, 8.042740
369.7411, 7.782440
370.2232, 7.579735
370.7053, 7.498390
371.1874, 7.420128
371.6695, 7.303711
372.1516, 7.134972
372.6338, 6.893585
373.1159, 6.531624
373.5980, 6.056206
374.0801, 5.691238
374.5622, 5.473869
375.0443, 5.333824
375.5265, 5.291733
376.0086, 5.295921
376.4907, 5.277229
376.9728, 5.207222
377.4549, 5.082642
377.9370, 4.864258
378.4192, 4.477066
378.9013, 4.212341
379.3834, 4.194397
379.8655, 4.301064
380.3476, 4.514496
380.8297, 4.825996
381.3119, 5.038445
381.7940, 4.826889
382.2761, 4.205017
382.7582, 3.917648
383.2403, 4.299713
383.7224, 4.761391
384.2046, 4.901970
384.6867, 4.779060
385.1688, 4.617455
385.6509, 4.561707
386.1330, 4.546768
386.6151, 4.403702
387.0973, 4.096497
387.5794, 3.791687
388.0615, 3.600693
388.5436, 3.465485
389.0257, 3.301956
389.5078, 3.074776
389.9900, 2.850548
390.4721, 2.733162
390.9542, 2.697441
391.4363, 2.529228
391.9184, 2.077950
392.4005, 1.564537
392.8827, 1.332413
393.3648, 1.404831
393.8469, 1.406281
394.3290, 1.107590
394.8111, 0.6746370
395.2932, 0.3641050
395.7754, 0.2118230
396.2575, 0.1635590
396.7396, 0.1973800
397.2217, 0.3085860
397.7038, 0.4078060
398.1859, 0.6013260
398.6681, 0.6864550
399.1501, 0.4220890
399.6323, 9.0103000E-02
400.1144, 0.4671710
400.5965, 0.4912720
401.0786, 0.3002850
401.5607, 0.3008040
402.0428, 0.6442790
402.5250, 0.8839190
