##NAMES=Brianyoungite
##RRUFFID=R060431
##IDEAL CHEMISTRY=Zn^2+^_3_CO_3_(OH)_4_
##LOCALITY=Brownley Hill mine, Nenthead, Cumbria, England
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Sprays of white bladed crystals, associated with colorless tabular or prismatic gypsum.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060431
##MEASURED CHEMISTRY=EDS analysis shows the presence of Zn, with trace S.
251.5960, 6.871338
252.0781, 8.081055
252.5602, 10.31812
253.0423, 13.88843
253.5244, 16.53784
254.0065, 14.96021
254.4887, 10.68408
254.9708, 7.944824
255.4529, 8.609131
255.9350, 11.07690
256.4171, 13.49121
256.8992, 16.04370
257.3813, 17.85742
257.8635, 17.08203
258.3456, 14.93433
258.8277, 13.64160
259.3098, 14.18579
259.7919, 15.78931
260.2740, 17.50513
260.7562, 19.36963
261.2383, 21.31689
261.7204, 24.07617
262.2025, 26.62158
262.6846, 27.20532
263.1667, 24.02612
263.6489, 20.02124
264.1310, 20.19971
264.6131, 26.00342
265.0952, 30.55469
265.5773, 28.90234
266.0594, 25.17944
266.5416, 23.26465
267.0237, 24.48267
267.5058, 27.08789
267.9879, 28.99438
268.4700, 30.23950
268.9521, 30.67041
269.4343, 29.12305
269.9164, 27.33154
270.3985, 26.72803
270.8806, 27.70532
271.3627, 29.35693
271.8448, 30.71753
272.3270, 31.82373
272.8091, 32.42407
273.2912, 31.56079
273.7733, 30.70166
274.2554, 30.81201
274.7375, 32.02979
275.2197, 33.73608
275.7018, 35.53906
276.1839, 37.60034
276.6660, 38.60889
277.1481, 37.13354
277.6302, 35.40479
278.1124, 34.06079
278.5945, 33.36157
279.0766, 33.88989
279.5587, 37.11401
280.0408, 43.63403
280.5229, 47.59229
281.0051, 46.63916
281.4872, 44.71509
281.9693, 42.70776
282.4514, 41.02441
282.9335, 40.27734
283.4156, 41.31885
283.8978, 44.20215
284.3799, 46.44458
284.8620, 47.44482
285.3441, 48.34033
285.8262, 49.57397
286.3083, 50.99951
286.7905, 52.19507
287.2726, 52.71240
287.7547, 52.68726
288.2368, 53.60498
288.7189, 57.46240
289.2010, 59.78589
289.6832, 57.62744
290.1653, 53.55469
290.6474, 51.83521
291.1295, 55.40332
291.6116, 62.36157
292.0938, 64.76343
292.5759, 59.05688
293.0580, 53.60913
293.5401, 49.65991
294.0222, 46.99292
294.5043, 45.70312
294.9865, 45.89331
295.4686, 46.67041
295.9507, 45.65601
296.4328, 41.08521
296.9149, 37.90527
297.3970, 37.71753
297.8792, 38.39990
298.3613, 38.23218
298.8434, 36.66260
299.3255, 34.14795
299.8076, 31.31079
300.2897, 27.73608
300.7719, 24.77710
301.2540, 22.03589
301.7361, 20.11621
302.2182, 20.03320
302.7003, 21.60767
303.1824, 23.08984
303.6646, 22.10083
304.1467, 17.65137
304.6288, 14.31787
305.1109, 12.88428
305.5930, 11.76758
306.0751, 10.28979
306.5573, 8.451904
307.0394, 6.587646
307.5215, 4.946045
308.0036, 3.493164
308.4857, 2.590088
308.9678, 2.633057
309.4500, 2.861572
309.9321, 3.371094
310.4142, 3.889160
310.8963, 3.850098
311.3784, 2.734375
311.8605, 0.7888180
312.3427, 3.2226998E-02
312.8248, 2.490967
313.3069, 3.758301
313.7890, 1.925049
314.2711, 1.204346
314.7532, 3.215088
315.2354, 2.868408
315.7175, 0.9738770
316.1996, 0.1879880
316.6817, 0.5473630
317.1638, 0.1948240
317.6459, 1.275391
318.1281, 3.119629
318.6102, 4.914063
319.0923, 6.459229
319.5744, 7.390625
320.0565, 7.063477
320.5386, 5.191895
321.0208, 2.634033
321.5029, 2.126465
321.9850, 6.287354
322.4671, 7.697510
322.9492, 6.353760
323.4313, 4.118408
323.9135, 2.851807
324.3956, 2.572754
324.8777, 3.196777
325.3598, 5.874023
325.8419, 8.372559
326.3240, 9.452393
326.8062, 9.553955
327.2883, 10.10205
327.7704, 12.40674
328.2525, 16.30615
328.7346, 18.91235
329.2167, 19.67139
329.6989, 19.63647
330.1810, 18.63403
330.6631, 17.13770
