##NAMES=Chestermanite
##RRUFFID=R070351
##IDEAL CHEMISTRY=Mg_2_(Fe^3+^,Mg,Al,Sb^5+^)O_2_BO_3_
##LOCALITY=Twin Lakes region, Kaiser Peak quadrangle, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black bladed associated with calcite, co-type sample
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070351
284.1725, 57.85425
284.6546, 60.93872
285.1367, 67.20923
285.6188, 72.32178
286.1009, 73.91284
286.5830, 73.01343
287.0652, 76.32812
287.5473, 85.18042
288.0294, 90.12549
288.5115, 75.55640
288.9936, 44.22852
289.4757, 19.54126
289.9579, 11.51807
290.4400, 15.06226
290.9221, 15.60229
291.4042, 12.78589
291.8863, 11.38306
292.3684, 19.59302
292.8506, 34.47754
293.3327, 43.06641
293.8148, 37.18652
294.2969, 24.91870
294.7790, 22.69556
295.2611, 30.55127
295.7433, 40.91113
296.2254, 49.67114
296.7075, 56.10303
297.1896, 57.76172
297.6717, 52.92676
298.1538, 44.00635
298.6360, 30.11938
299.1181, 12.21411
299.6002, 2.765625
300.0823, 20.72534
300.5644, 52.83716
301.0465, 73.23926
301.5287, 69.39209
302.0108, 58.35547
302.4929, 61.94873
302.9750, 77.27026
303.4571, 87.36401
303.9392, 73.37720
304.4214, 49.57080
304.9035, 35.21338
305.3856, 37.40259
305.8677, 46.55908
306.3498, 57.18652
306.8319, 68.72827
307.3141, 78.55664
307.7962, 84.22266
308.2783, 87.72754
308.7604, 91.42432
309.2425, 96.55762
309.7246, 99.42676
310.2068, 94.98096
310.6889, 86.10889
311.1710, 80.34570
311.6531, 84.45117
312.1352, 92.58447
312.6173, 99.07861
313.0995, 101.2388
313.5816, 103.8574
314.0637, 114.6113
314.5458, 128.2764
315.0279, 134.2573
315.5100, 120.4922
315.9922, 102.5781
316.4743, 89.04102
316.9564, 81.94434
317.4385, 76.34326
317.9206, 70.90625
318.4027, 66.43408
318.8849, 63.53564
319.3670, 63.62695
319.8491, 61.35156
320.3312, 55.40527
320.8133, 46.68994
321.2954, 40.15137
321.7776, 36.96924
322.2597, 33.09326
322.7418, 24.82080
323.2239, 4.294434
323.7060, 20.50293
324.1881, 7.726074
324.6703, 38.19629
325.1524, 68.11768
325.6345, 69.69873
326.1166, 57.45752
326.5987, 43.16846
327.0808, 17.09668
327.5630, 0.2890630
328.0451, 2.368652
328.5272, 9.079102
329.0093, 21.11621
329.4914, 36.60791
329.9735, 49.31396
330.4557, 53.90723
330.9378, 40.10938
331.4199, 37.42578
331.9020, 53.82031
332.3841, 83.87061
332.8662, 99.94824
333.3484, 93.39453
333.8305, 85.86523
334.3126, 90.83203
334.7947, 115.4707
335.2768, 130.5547
335.7589, 132.4429
336.2411, 126.7773
336.7232, 130.6494
337.2053, 147.1392
337.6874, 160.7002
338.1695, 167.1255
338.6516, 167.3477
339.1338, 166.8115
339.6159, 165.4141
340.0980, 164.8604
340.5801, 165.0845
341.0622, 165.3311
341.5443, 170.6851
342.0265, 186.5815
342.5086, 211.6812
342.9907, 235.7183
343.4728, 258.4819
343.9549, 276.8931
344.4370, 287.3789
344.9192, 290.7280
345.4013, 294.7998
345.8834, 303.1147
346.3655, 313.6455
346.8476, 318.8877
347.3297, 318.2114
347.8119, 319.3589
348.2940, 335.5942
348.7761, 360.3862
349.2582, 373.1279
349.7403, 362.5088
350.2225, 343.9370
350.7046, 337.0205
351.1867, 340.9775
351.6688, 351.7690
352.1509, 375.3486
352.6331, 401.8740
353.1152, 414.8145
353.5973, 404.5835
354.0794, 390.8706
354.5615, 393.0835
355.0436, 406.5708
355.5258, 417.3394
356.0079, 418.6611
356.4900, 413.0522
356.9721, 399.5957
357.4542, 374.0591
357.9363, 357.0474
358.4185, 369.5449
358.9006, 396.2388
359.3827, 411.2969
359.8648, 392.2056
360.3469, 368.9053
360.8290, 359.1021
361.3112, 366.6978
361.7933, 368.7485
362.2754, 353.1440
362.7575, 329.8672
363.2396, 310.1050
363.7217, 296.2837
364.2039, 286.7397
364.6860, 284.6470
365.1681, 290.0015
365.6502, 287.2280
366.1323, 266.4590
366.6144, 241.9146
367.0966, 223.3125
367.5787, 209.9736
368.0608, 204.0464
368.5429, 209.9526
369.0250, 224.7969
369.5071, 233.2500
369.9893, 230.2485
370.4714, 226.6885
370.9535, 228.4658
371.4356, 240.4175
371.9177, 246.5879
372.3998, 246.4644
372.8820, 240.6021
373.3641, 228.2632
373.8462, 204.9878
374.3283, 186.8853
374.8104, 182.1240
375.2925, 192.1147
375.7747, 199.4502
376.2568, 204.3701
376.7389, 206.3530
377.2210, 203.9414
377.7031, 196.8853
378.1852, 188.7832
378.6674, 179.3584
379.1495, 169.7769
379.6316, 165.6890
380.1137, 167.4443
380.5958, 171.2983
381.0779, 173.0767
381.5601, 173.2388
382.0422, 175.0171
382.5243, 179.8789
383.0064, 185.5073
383.4885, 189.3872
383.9706, 191.8442
384.4528, 194.8369
384.9349, 204.3613
385.4170, 213.7856
385.8991, 211.2119
386.3812, 192.5913
386.8633, 171.8296
387.3455, 163.0850
387.8276, 162.2090
388.3097, 159.8022
388.7918, 152.1572
389.2739, 140.2842
389.7560, 125.2710
390.2382, 107.1299
390.7203, 84.75830
391.2024, 44.20264
391.6845, 3.679199
392.1666, 16.14502
392.6487, 25.67725
393.1309, 57.77441
393.6130, 36.27100
394.0951, 32.49561
394.5772, 71.58838
395.0593, 27.75684
395.5414, 30.57227
396.0236, 60.15869
396.5057, 24.32910
396.9878, 3.959473
397.4699, 16.98584
397.9520, 17.50293
398.4341, 13.95654
398.9163, 1.352051
399.3984, 12.64453
399.8805, 11.67041
400.3626, 11.29346
400.8447, 16.34180
401.3268, 7.277344
401.8090, 40.87354
402.2911, 57.20068
402.7732, 48.84863
403.2553, 42.04932
403.7374, 44.04492
404.2195, 54.34961
404.7017, 64.28955
405.1838, 74.01074
405.6659, 83.13428
406.1480, 90.81592
406.6301, 97.06885
407.1122, 104.3120
407.5944, 112.6396
408.0765, 122.6265
408.5586, 138.3442
409.0407, 159.6865
409.5228, 175.5308
410.0049, 171.0347
410.4871, 155.0303
410.9692, 154.0889
411.4513, 173.1289
411.9334, 198.3896
412.4155, 219.7339
412.8976, 235.6943
413.3798, 241.4326
413.8619, 223.3389
414.3440, 200.8735
414.8261, 195.3027
415.3082, 207.1011
415.7903, 223.2559
416.2725, 237.8960
416.7546, 251.2729
417.2367, 264.4873
417.7188, 287.7153
418.2009, 299.4644
418.6830, 278.6670
419.1652, 235.0400
419.6473, 204.8521
420.1294, 214.5562
420.6115, 230.1182
421.0937, 232.9839
