##NAMES=Uranophane-beta
##RRUFFID=R120075
##IDEAL CHEMISTRY=Ca(U^6+^O_2_)_2_(SiO_3_OH)_2_&#183;5H_2_O
##LOCALITY=Capoeira pegmatite,  Parelhas, Borborema mineral province, Rio Grande do Norte, Brazil
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Yellow prismatic crystals on albite, associated with a yellow fibrous unknown mineral
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120075
327.6936, 9.232422
328.1757, 5.230469
328.6578, 13.90820
329.1400, 13.31445
329.6221, 8.837891
330.1042, 1.699219
330.5863, 16.37695
331.0684, 23.15430
331.5505, 4.841797
332.0327, 22.87891
332.5148, 23.50781
332.9969, 24.00195
333.4790, 68.76172
333.9611, 91.79883
334.4432, 84.41992
334.9254, 87.25195
335.4075, 105.5977
335.8896, 127.9688
336.3717, 137.3867
336.8538, 126.9980
337.3359, 118.6172
337.8180, 119.1289
338.3001, 128.3262
338.7823, 134.3301
339.2644, 138.0469
339.7465, 137.5117
340.2286, 130.3711
340.7107, 116.3359
341.1928, 99.59375
341.6750, 79.27734
342.1571, 57.97656
342.6392, 46.41992
343.1213, 46.78711
343.6034, 47.33203
344.0855, 37.92773
344.5677, 19.18164
345.0498, 3.740234
345.5319, 7.517578
346.0140, 13.49023
346.4961, 7.677734
346.9782, 9.138672
347.4604, 21.75781
347.9425, 14.91406
348.4246, 3.949219
348.9067, 6.435547
349.3888, 11.12109
349.8709, 32.41992
350.3531, 32.59570
350.8352, 18.14258
351.3173, 13.11719
351.7994, 39.75781
352.2815, 78.49609
352.7636, 94.25977
353.2458, 86.68164
353.7279, 72.99805
354.2100, 59.48242
354.6921, 50.65625
355.1742, 55.73242
355.6563, 89.50586
356.1385, 125.5000
356.6206, 135.7070
357.1027, 124.4355
357.5848, 112.9648
358.0669, 115.0020
358.5490, 122.6758
359.0312, 129.3574
359.5133, 135.8496
359.9954, 137.8418
360.4775, 130.9922
360.9596, 118.3789
361.4417, 105.9961
361.9239, 95.22266
362.4060, 86.82422
362.8881, 83.16406
363.3702, 86.51172
363.8523, 85.46289
364.3344, 67.64844
364.8166, 46.54297
365.2987, 37.62695
365.7808, 55.16602
366.2629, 73.80469
366.7450, 85.29492
367.2271, 89.65430
367.7093, 100.5039
368.1914, 130.4375
368.6735, 161.2051
369.1556, 179.3105
369.6377, 168.3770
370.1198, 159.5723
370.6020, 152.1094
371.0841, 147.0449
371.5662, 149.3809
372.0483, 164.1699
372.5304, 179.2812
373.0125, 190.4414
373.4947, 198.5527
373.9768, 198.4668
374.4589, 188.0957
374.9410, 171.4707
375.4231, 154.1895
375.9052, 135.5137
376.3874, 119.8926
376.8695, 109.6504
377.3516, 105.3164
377.8337, 100.5352
378.3158, 94.62500
378.7979, 92.67773
379.2801, 103.1250
379.7622, 127.7402
380.2443, 142.9023
380.7264, 141.0039
381.2085, 129.7129
381.6906, 129.0547
382.1728, 139.6309
382.6549, 158.7832
383.1370, 188.5781
383.6191, 223.4355
384.1012, 243.6738
384.5833, 244.3828
385.0655, 237.0234
385.5476, 234.5820
386.0297, 236.1270
386.5118, 238.9355
386.9939, 243.1055
387.4760, 248.5000
387.9582, 256.8945
388.4403, 269.4395
388.9224, 278.7910
389.4045, 273.7832
389.8866, 260.4961
390.3687, 249.2617
390.8509, 245.3711
391.3330, 245.9414
391.8151, 254.3398
392.2972, 267.3965
392.7793, 273.4277
393.2614, 263.6738
393.7436, 246.5781
394.2257, 226.1367
394.7078, 197.2988
395.1899, 178.4551
395.6720, 183.8066
396.1541, 201.5547
396.6363, 212.8691
397.1184, 198.8574
397.6005, 190.5586
398.0826, 204.9258
398.5647, 247.4551
399.0468, 270.5410
399.5290, 256.2754
400.0111, 227.9336
400.4932, 204.0547
400.9753, 178.1387
401.4574, 167.0352
401.9395, 181.4746
402.4217, 213.5547
402.9038, 224.4004
403.3859, 199.9531
403.8680, 175.4160
404.3501, 169.6328
404.8322, 189.3223
405.3144, 206.7422
405.7965, 222.6680
406.2786, 232.5371
406.7607, 227.4062
407.2428, 204.7852
407.7249, 187.1211
408.2071, 183.1172
408.6892, 189.6602
409.1713, 187.3223
409.6534, 174.9941
410.1355, 166.3555
410.6176, 177.8965
411.0998, 205.5312
411.5819, 226.2871
412.0640, 234.9414
412.5461, 235.6719
413.0282, 236.4453
413.5103, 236.6387
413.9925, 231.7539
414.4746, 213.3301
414.9567, 189.9922
415.4388, 177.6465
415.9209, 179.0684
416.4030, 178.7715
416.8852, 162.3105
417.3673, 136.0273
417.8494, 110.3750
418.3315, 91.23828
418.8136, 73.06250
419.2957, 50.66602
419.7779, 25.50195
420.2600, 5.720703
420.7421, 1.939453
421.2242, 3.824219
421.7063, 4.843750
422.1884, 5.523438
422.6706, 5.207031
423.1527, 0.4941410
423.6348, 5.937500
424.1169, 8.056641
424.5990, 2.148438
425.0811, 5.966797
425.5633, 20.42578
426.0454, 45.98828
426.5275, 46.38477
427.0096, 0.6914060
427.4917, 52.87500
427.9738, 82.03125
428.4560, 73.38281
428.9381, 66.60938
429.4202, 64.98047
429.9023, 67.73438
430.3844, 76.97852
430.8665, 97.76953
431.3487, 109.9570
431.8308, 98.15625
432.3129, 60.61328
432.7950, 39.50586
433.2771, 39.44336
433.7592, 45.36328
434.2414, 36.14258
434.7235, 13.41992
435.2056, 5.146484
435.6877, 14.37109
436.1698, 15.31836
436.6519, 4.765625
437.1341, 16.64258
437.6162, 32.13672
438.0983, 27.85352
438.5804, 10.27930
439.0625, 14.13477
439.5446, 50.08789
440.0268, 72.90430
440.5089, 48.09961
440.9910, 5.859375
441.4731, 50.37500
441.9552, 64.52539
442.4373, 66.72461
442.9195, 67.35156
443.4016, 66.61133
443.8837, 63.47656
444.3658, 57.76172
444.8479, 48.62891
445.3300, 34.51953
445.8122, 4.656250
446.2943, 23.66211
446.7764, 9.1797002E-02
447.2585, 49.78711
447.7406, 82.29883
448.2227, 77.02734
448.7049, 72.18359
449.1870, 83.19336
449.6691, 116.2266
450.1512, 126.3770
450.6333, 102.3125
451.1154, 68.19531
451.5976, 47.09375
452.0797, 42.41406
452.5618, 42.11914
453.0439, 47.81836
453.5260, 55.63086
454.0081, 51.94922
454.4903, 34.87109
454.9724, 20.38867
455.4545, 16.99805
455.9366, 23.78711
456.4187, 38.89844
456.9008, 63.36719
457.3830, 86.82422
457.8651, 89.77930
458.3472, 79.46484
458.8293, 79.71094
459.3114, 105.4980
459.7935, 137.4336
460.2757, 151.0703
460.7578, 148.5254
461.2399, 143.3848
461.7220, 140.3105
462.2041, 140.7500
462.6862, 148.9941
463.1684, 169.1504
463.6505, 182.0723
464.1326, 174.4551
464.6147, 155.1387
465.0968, 135.6582
465.5789, 119.6816
466.0611, 104.6973
466.5432, 88.42969
467.0253, 71.94531
467.5074, 63.15039
467.9895, 68.33008
468.4716, 77.73438
468.9538, 86.54883
469.4359, 92.59570
469.9180, 101.9160
470.4001, 116.6094
470.8822, 132.7676
471.3643, 144.8164
471.8465, 151.8379
472.3286, 155.6992
472.8107, 154.8809
473.2928, 150.4961
473.7749, 153.3926
474.2570, 164.6641
474.7392, 175.5547
475.2213, 177.1895
475.7034, 171.4961
476.1855, 174.5449
476.6676, 191.1973
477.1497, 206.9062
477.6319, 198.4297
478.1140, 171.8789
478.5961, 146.5195
479.0782, 125.7539
479.5603, 114.3906
480.0424, 125.3594
480.5246, 155.6133
481.0067, 179.3164
481.4888, 176.3633
481.9709, 161.1641
482.4530, 144.1602
482.9352, 122.4297
483.4173, 109.5859
483.8994, 122.3789
484.3815, 145.3477
484.8636, 155.0156
485.3457, 124.8672
485.8279, 96.94141
486.3100, 84.05469
486.7921, 86.71484
487.2742, 86.35938
487.7563, 81.66406
488.2384, 76.61719
488.7206, 74.08203
489.2027, 77.18750
489.6848, 75.10938
490.1669, 64.99219
490.6490, 53.42969
491.1311, 52.28125
491.6133, 62.93359
492.0954, 73.32812
492.5775, 79.39453
493.0596, 81.89062
493.5417, 84.13281
494.0238, 85.91016
494.5060, 90.90625
494.9881, 102.2734
495.4702, 117.2773
495.9523, 131.1172
496.4344, 142.3516
496.9165, 152.2500
497.3987, 163.4570
497.8808, 173.8086
498.3629, 180.2930
498.8450, 180.3281
499.3271, 175.7344
499.8092, 170.1172
500.2914, 163.0469
500.7735, 149.7891
501.2556, 119.1211
501.7377, 89.76172
502.2198, 75.69141
502.7019, 89.93359
503.1841, 91.00000
503.6662, 58.23047
504.1483, 16.08203
504.6304, 4.691406
505.1125, 8.363281
505.5946, 20.90625
506.0768, 29.61328
506.5589, 33.74609
507.0410, 27.02734
507.5231, 1.253906
508.0052, 13.55469
508.4873, 7.625000
508.9695, 64.54297
509.4516, 91.56250
509.9337, 83.63281
510.4158, 63.85938
510.8979, 54.96484
511.3800, 56.10156
511.8622, 65.09766
512.3443, 85.96094
512.8264, 107.6250
513.3085, 113.7070
513.7906, 107.8750
514.2728, 103.0859
514.7549, 118.9023
515.2370, 131.3750
515.7191, 114.1836
516.2012, 64.01562
516.6833, 19.53906
517.1655, 2.824219
517.6476, 10.44531
518.1297, 9.445313
518.6118, 6.531250
519.0939, 21.95703
519.5760, 37.39062
520.0582, 50.39844
520.5403, 55.55078
521.0224, 38.89453
521.5045, 33.25781
521.9866, 49.78906
522.4688, 88.40234
522.9509, 125.1367
523.4330, 161.9766
523.9151, 191.9609
524.3972, 203.5625
524.8793, 195.6641
525.3615, 206.8438
525.8436, 244.2734
526.3257, 290.7070
526.8078, 325.6133
527.2899, 348.2812
527.7720, 353.7695
528.2542, 328.5938
528.7363, 293.6797
529.2184, 276.5078
529.7005, 275.1133
530.1826, 278.9414
530.6647, 289.9883
531.1469, 298.6445
531.6290, 293.0820
532.1111, 266.9609
532.5932, 251.8906
533.0753, 276.5156
533.5574, 312.1992
534.0396, 328.5469
534.5217, 300.7578
535.0038, 277.4922
535.4859, 265.0977
535.9680, 262.4258
536.4501, 266.2109
536.9323, 278.9062
537.4144, 293.9922
537.8965, 309.3828
538.3786, 324.8047
538.8607, 339.2617
539.3428, 352.5078
539.8250, 363.3750
540.3071, 367.7227
540.7892, 366.2344
541.2713, 372.1836
541.7534, 389.8594
542.2355, 408.0312
542.7177, 410.1016
543.1998, 399.5039
543.6819, 386.7578
544.1640, 378.3398
544.6461, 368.9805
545.1282, 347.9141
545.6104, 318.6406
546.0925, 302.0117
546.5746, 319.3008
547.0567, 345.7695
547.5388, 366.3203
548.0209, 378.7773
548.5031, 385.2383
548.9852, 380.6250
549.4673, 372.9062
549.9494, 370.9766
550.4315, 384.6445
550.9136, 387.4297
551.3958, 368.6680
551.8779, 338.7930
552.3600, 332.6523
552.8421, 358.2656
553.3242, 378.8516
553.8063, 377.7422
554.2885, 357.4688
554.7706, 337.0430
555.2527, 316.4570
555.7348, 297.0430
556.2169, 279.2656
556.6990, 263.8711
557.1812, 252.8164
557.6633, 247.1719
558.1454, 244.3828
558.6275, 247.9727
559.1096, 252.0977
559.5917, 246.6055
560.0739, 212.8047
560.5560, 182.3555
561.0381, 176.0586
561.5202, 188.1094
562.0023, 192.8398
562.4844, 171.1016
562.9666, 151.0391
563.4487, 146.6133
563.9308, 161.5586
564.4129, 172.3594
564.8950, 178.9492
565.3771, 180.7969
565.8593, 176.3477
566.3414, 163.6055
566.8235, 153.8125
567.3056, 150.5977
567.7877, 147.9805
568.2698, 129.8555
568.7520, 98.55859
569.2341, 79.74219
569.7162, 94.94531
570.1983, 122.8125
570.6804, 121.5352
571.1625, 94.11719
571.6447, 65.01562
572.1268, 45.83984
572.6089, 36.25391
573.0910, 38.56641
573.5731, 55.13672
574.0552, 74.84766
574.5374, 99.83984
575.0195, 122.0547
575.5016, 134.0391
575.9837, 121.7109
576.4658, 115.5391
576.9479, 119.0391
577.4301, 128.7461
577.9122, 138.1484
578.3943, 143.3594
578.8764, 154.1016
579.3585, 174.7031
579.8406, 202.6953
580.3228, 224.6250
580.8049, 240.7266
581.2870, 248.3945
581.7691, 243.2109
582.2512, 228.3203
582.7333, 217.1484
583.2155, 211.4258
583.6975, 204.0898
584.1796, 189.0508
584.6617, 170.8164
585.1439, 154.4688
585.6260, 134.6133
586.1081, 130.1250
586.5902, 175.6641
587.0723, 243.8633
587.5544, 280.3906
588.0366, 233.9844
588.5187, 190.1562
589.0008, 176.6602
589.4829, 192.4883
589.9650, 208.3086
590.4471, 224.8438
590.9293, 238.3242
591.4114, 246.3242
591.8935, 248.3203
592.3756, 247.3359
592.8577, 240.9922
593.3398, 234.2188
593.8220, 238.3242
594.3041, 250.8633
594.7862, 244.2656
595.2683, 207.2031
595.7504, 167.7773
596.2325, 170.7812
596.7147, 201.6289
597.1968, 221.4258
597.6789, 204.3047
598.1610, 178.3516
598.6431, 161.5117
599.1252, 153.0625
599.6074, 148.0117
600.0895, 151.4648
600.5716, 151.9102
601.0537, 141.4805
601.5358, 115.7266
602.0179, 97.75391
602.5001, 90.61719
602.9822, 88.50781
603.4643, 88.26562
603.9464, 91.75391
604.4285, 88.90625
604.9106, 75.75781
605.3928, 62.40625
605.8749, 66.34766
606.3570, 86.36328
606.8391, 106.1758
607.3212, 122.1406
607.8033, 133.1953
608.2855, 134.1523
608.7676, 128.2617
609.2497, 126.5938
609.7318, 141.8242
610.2139, 155.1758
610.6960, 148.6992
611.1782, 122.6641
611.6603, 107.5156
612.1424, 127.6211
612.6245, 152.0273
613.1066, 161.5625
613.5887, 149.6289
614.0709, 136.0898
614.5530, 120.6445
615.0351, 106.1992
615.5172, 92.06641
615.9993, 73.02344
616.4814, 72.62109
616.9636, 102.0469
617.4457, 142.1562
617.9278, 155.7656
618.4099, 144.2461
618.8920, 124.7812
619.3741, 96.59766
619.8563, 69.40234
620.3384, 61.57031
620.8205, 69.30078
621.3026, 75.00000
621.7847, 65.39844
622.2668, 51.82422
622.7490, 43.93750
623.2311, 43.57812
623.7132, 38.73047
624.1953, 18.65234
624.6774, 0.7343750
625.1595, 6.539063
625.6417, 21.32422
626.1238, 24.41797
626.6059, 6.914063
627.0880, 50.95703
627.5701, 82.60547
628.0522, 102.1289
628.5344, 101.8398
629.0165, 75.02734
629.4986, 35.21094
629.9807, 4.257813
630.4628, 17.35547
630.9449, 27.30469
631.4271, 10.87891
631.9092, 9.644531
632.3913, 8.269531
632.8734, 11.85156
633.3555, 32.48828
633.8376, 44.95703
634.3198, 54.02344
634.8019, 63.04297
635.2840, 73.04688
635.7661, 78.21094
636.2482, 71.83984
636.7303, 65.82422
637.2125, 70.68750
637.6946, 96.48438
638.1767, 103.9805
638.6588, 88.39844
639.1409, 61.11719
639.6230, 32.84375
640.1052, 4.703125
640.5873, 5.917969
641.0694, 12.42188
641.5515, 38.81250
642.0336, 36.57812
642.5157, 15.13672
642.9979, 2.070313
643.4800, 18.17578
643.9621, 41.20312
644.4442, 59.44922
644.9263, 71.97656
645.4084, 75.26953
645.8906, 58.98828
646.3727, 41.09766
646.8548, 30.22266
647.3369, 27.33984
647.8190, 25.50781
648.3011, 27.20312
648.7833, 26.45312
649.2654, 15.05469
649.7475, 8.871094
650.2296, 17.69922
650.7117, 8.621094
651.1938, 10.12500
651.6760, 29.69531
652.1581, 50.53125
652.6402, 74.10938
653.1223, 103.3438
653.6044, 129.5195
654.0865, 144.2031
654.5687, 150.5820
655.0508, 155.1797
655.5329, 166.1133
656.0150, 169.9453
656.4971, 154.9766
656.9792, 126.3555
657.4614, 110.9492
657.9435, 116.3164
658.4256, 125.7969
658.9077, 136.5664
659.3898, 148.0898
659.8719, 145.6719
660.3541, 125.9219
660.8362, 111.0508
661.3183, 124.8828
661.8004, 157.5000
662.2825, 167.6172
662.7646, 151.7383
663.2468, 130.3633
663.7289, 124.2891
664.2110, 122.6133
664.6931, 110.2461
665.1752, 79.95312
665.6573, 50.35547
666.1395, 22.43750
666.6216, 3.171875
667.1037, 1.183594
667.5858, 41.64844
668.0679, 69.03125
668.5500, 74.34375
669.0322, 66.13281
669.5143, 63.10156
669.9964, 66.86719
670.4785, 67.11719
670.9606, 60.28125
671.4427, 47.68359
671.9249, 27.68359
672.4070, 2.144531
672.8891, 11.78906
673.3712, 6.703125
673.8533, 35.90625
674.3354, 48.54297
674.8176, 45.78516
675.2997, 46.45312
675.7818, 62.65625
676.2639, 83.34766
676.7460, 105.6367
677.2281, 134.2812
677.7103, 139.6523
678.1924, 95.10938
678.6745, 53.45312
679.1566, 59.71094
679.6387, 129.6367
680.1208, 168.5547
680.6030, 164.6406
681.0851, 148.1328
681.5672, 162.7148
682.0493, 199.2031
682.5314, 216.6992
683.0135, 198.8477
683.4957, 175.4180
683.9778, 177.9570
684.4599, 194.4766
684.9420, 202.4609
685.4241, 194.3398
685.9063, 178.4766
686.3884, 149.3125
686.8705, 116.2305
687.3526, 107.5508
687.8347, 144.3125
688.3168, 175.3867
688.7990, 185.2969
689.2811, 177.3984
689.7632, 172.3828
690.2453, 172.0234
690.7274, 172.5742
691.2095, 167.3672
691.6917, 160.1875
692.1738, 165.6562
692.6559, 183.0234
693.1380, 199.5703
693.6201, 209.0508
694.1022, 210.4727
694.5844, 198.8945
695.0665, 170.2266
695.5486, 149.4609
696.0307, 146.7266
696.5128, 153.6328
696.9949, 165.0898
697.4771, 192.4492
697.9592, 198.2734
698.4413, 175.3086
698.9234, 142.4492
699.4055, 121.6094
699.8876, 113.3203
700.3698, 98.88672
700.8519, 73.96484
701.3340, 48.07031
701.8161, 33.23438
702.2982, 26.75781
702.7803, 21.63281
703.2625, 15.18359
703.7446, 9.859375
704.2267, 7.738281
704.7088, 7.769531
705.1909, 7.746094
705.6730, 0.4257810
706.1552, 0.4453130
706.6373, 9.042969
707.1194, 26.34375
707.6015, 42.38672
708.0836, 57.44531
708.5657, 70.65625
709.0479, 80.67188
709.5300, 87.60938
710.0121, 93.52344
710.4942, 98.29297
710.9763, 106.7070
711.4584, 130.7773
711.9406, 155.7227
712.4227, 161.6445
712.9048, 148.1602
713.3869, 130.9219
713.8690, 120.4961
714.3511, 107.7109
714.8333, 84.66406
715.3154, 44.87500
715.7975, 17.91406
716.2796, 12.16797
716.7617, 10.73438
717.2438, 0.3437500
717.7260, 19.23828
718.2081, 39.10547
718.6902, 59.11719
719.1723, 75.62891
719.6544, 84.60547
720.1365, 86.66406
720.6187, 83.10547
721.1008, 73.65234
721.5829, 61.51953
722.0650, 49.07422
722.5471, 36.05469
723.0292, 21.58203
723.5114, 11.61719
723.9935, 5.054688
724.4756, 33.80078
724.9577, 68.66406
725.4398, 102.8672
725.9219, 137.8906
726.4041, 157.8555
726.8862, 152.4648
727.3683, 136.9102
727.8504, 157.8203
728.3325, 207.9414
728.8146, 237.1328
729.2968, 205.0078
729.7789, 154.9844
730.2610, 134.6016
730.7431, 137.8359
731.2252, 145.5469
731.7073, 158.3828
732.1895, 163.7305
732.6716, 151.7109
733.1537, 124.0000
733.6358, 105.5938
734.1179, 100.1367
734.6000, 98.59375
735.0822, 99.84375
735.5643, 103.1719
736.0464, 95.91797
736.5285, 77.74219
737.0106, 60.78125
737.4927, 51.35547
737.9749, 49.96094
738.4570, 59.91797
738.9391, 80.97656
739.4212, 102.7148
739.9033, 133.6562
740.3854, 152.1562
740.8676, 132.3203
741.3497, 50.62891
741.8318, 16.96094
742.3139, 74.06641
742.7960, 138.1328
743.2781, 145.6172
743.7603, 83.72656
744.2424, 60.42578
744.7245, 84.51172
745.2066, 123.3828
745.6887, 150.9180
746.1708, 166.6367
746.6530, 163.0039
747.1351, 133.8711
747.6172, 113.3281
748.0993, 134.5977
748.5814, 175.1641
749.0635, 209.3203
749.5457, 224.3398
750.0278, 244.1484
750.5099, 269.3672
750.9920, 300.9531
751.4741, 342.8633
751.9562, 399.1094
752.4384, 442.3359
752.9205, 465.4023
753.4026, 478.1680
753.8847, 492.5664
754.3668, 509.1016
754.8489, 532.9414
755.3311, 571.0078
755.8132, 606.1562
756.2953, 619.5234
756.7774, 619.9883
757.2595, 622.9844
757.7416, 635.2891
758.2238, 649.2734
758.7059, 663.7344
759.1880, 679.8477
759.6701, 701.2109
760.1522, 732.5664
760.6343, 755.6211
761.1165, 761.3711
761.5986, 761.7422
762.0807, 787.2773
762.5628, 835.0586
763.0449, 887.0938
763.5270, 939.5352
764.0092, 988.0547
764.4913, 1026.844
764.9734, 1058.086
765.4555, 1089.973
765.9376, 1117.918
766.4197, 1153.820
766.9019, 1203.082
767.3840, 1263.309
767.8661, 1328.848
768.3482, 1406.023
768.8303, 1467.809
769.3124, 1496.402
769.7946, 1503.020
770.2767, 1525.750
770.7588, 1564.082
771.2409, 1613.738
771.7230, 1680.055
772.2051, 1751.145
772.6873, 1816.988
773.1694, 1877.660
773.6515, 1933.359
774.1336, 1980.676
774.6157, 2027.500
775.0978, 2077.215
775.5800, 2129.441
776.0621, 2183.195
776.5442, 2239.938
777.0263, 2294.156
777.5084, 2330.867
777.9905, 2361.363
778.4727, 2449.562
778.9548, 2592.297
779.4369, 2731.902
779.9190, 2814.656
780.4011, 2881.402
780.8832, 2968.562
781.3654, 3077.848
781.8475, 3209.043
782.3296, 3382.883
782.8117, 3559.230
