##NAMES=Belendorffite
##RRUFFID=R070346
##IDEAL CHEMISTRY=Cu_7_Hg_6_
##LOCALITY=Landsberg Mountain (Moschellandsberg Mountain), Obermoschel, Rhineland-Palatinate, Germany
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Fragment of a yellowish-brown hexagonal crystal, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070346
379.1495, 5.346191
379.6316, 2.445862
380.1137, 0.5038450
380.5958, 0.1679690
381.0779, 12.54614
381.5601, 33.34070
382.0422, 44.82117
382.5243, 40.65308
383.0064, 28.69458
383.4885, 19.94763
383.9706, 14.43378
384.4528, 12.84668
384.9349, 20.56537
385.4170, 31.20258
385.8991, 33.52740
386.3812, 24.24701
386.8633, 12.10974
387.3455, 2.147766
387.8276, 4.578247
388.3097, 5.712158
388.7918, 7.632568
389.2739, 22.15747
389.7560, 25.75330
390.2382, 16.61554
390.7203, 6.922241
391.2024, 2.733032
391.6845, 1.871582
392.1666, 1.778320
392.6487, 0.8836670
393.1309, 1.318237
393.6130, 6.892090
394.0951, 16.61908
394.5772, 19.17267
395.0593, 1.636902
395.5414, 17.76459
396.0236, 27.24219
396.5057, 15.17786
396.9878, 5.114807
397.4699, 0.2812500
397.9520, 2.041626
398.4341, 3.305786
398.9163, 2.266174
399.3984, 2.629395
399.8805, 6.393616
400.3626, 16.03070
400.8447, 21.44012
401.3268, 20.16345
401.8090, 16.28253
402.2911, 16.74799
402.7732, 24.82202
403.2553, 28.67151
403.7374, 22.78235
404.2195, 8.099182
404.7017, 2.916992
405.1838, 9.526672
405.6659, 19.35352
406.1480, 24.68817
406.6301, 25.51990
407.1122, 26.96619
407.5944, 30.50232
408.0765, 34.59473
408.5586, 34.78345
409.0407, 31.12341
409.5228, 27.73840
410.0049, 27.52441
410.4871, 29.76245
410.9692, 32.42993
411.4513, 35.35175
411.9334, 38.68542
412.4155, 44.77130
412.8976, 51.81549
413.3798, 54.53650
413.8619, 45.20477
414.3440, 32.56134
414.8261, 27.15540
415.3082, 30.56293
415.7903, 37.41150
416.2725, 46.89795
416.7546, 56.57629
417.2367, 63.91028
417.7188, 67.28076
418.2009, 68.79230
418.6830, 67.10718
419.1652, 63.68829
419.6473, 63.96667
420.1294, 78.07611
420.6115, 90.33301
421.0937, 90.59692
421.5758, 67.96777
422.0579, 53.71899
422.5400, 56.45850
423.0221, 69.19226
423.5042, 80.55481
423.9864, 87.85046
424.4685, 96.25751
424.9506, 108.5458
425.4327, 125.3123
425.9148, 135.7001
426.3969, 136.9874
426.8791, 134.4822
427.3612, 132.9216
427.8433, 133.1722
428.3254, 134.3031
428.8075, 135.6412
429.2896, 137.6205
429.7718, 142.1632
430.2539, 149.5695
430.7360, 157.8608
431.2181, 166.5150
431.7002, 175.3797
432.1823, 182.2995
432.6645, 187.1920
433.1466, 189.9993
433.6287, 188.2623
434.1108, 183.6353
434.5929, 183.2117
435.0750, 193.5430
435.5572, 208.2300
436.0393, 215.2171
436.5214, 214.8055
437.0035, 213.7691
437.4856, 218.1255
437.9677, 225.0969
438.4499, 230.2496
438.9320, 232.0226
439.4141, 233.2075
439.8962, 236.3505
440.3783, 240.5878
440.8604, 243.8061
441.3426, 242.8103
441.8247, 242.1905
442.3068, 246.0532
442.7889, 256.8323
443.2710, 262.4259
443.7531, 252.5544
444.2353, 238.6015
444.7174, 232.9993
445.1995, 251.0617
445.6816, 262.2812
446.1637, 259.0847
446.6458, 243.6677
447.1280, 231.4774
447.6101, 221.6010
448.0922, 215.7153
448.5743, 216.1798
449.0564, 227.9240
449.5385, 233.0676
450.0207, 230.7592
450.5028, 222.0628
450.9849, 206.1950
451.4670, 180.6034
451.9491, 162.0654
452.4312, 160.1667
452.9134, 172.1587
453.3955, 175.2155
453.8776, 169.1115
454.3597, 161.8026
454.8418, 161.0632
455.3239, 164.6058
455.8061, 163.4839
456.2882, 153.9953
456.7703, 141.5327
457.2524, 133.8842
457.7345, 130.1629
458.2166, 126.5038
458.6988, 118.7132
459.1809, 110.7990
459.6630, 107.2682
460.1451, 108.8419
460.6272, 113.0432
461.1093, 121.8467
461.5915, 131.3752
462.0736, 136.5772
462.5557, 133.3813
463.0378, 128.0101
463.5199, 122.1347
464.0020, 115.6582
464.4842, 109.2225
464.9663, 104.1948
465.4484, 98.90002
465.9305, 92.28320
466.4126, 82.29633
466.8947, 74.25623
467.3769, 66.56024
467.8590, 61.49225
468.3411, 64.05023
468.8232, 80.14838
469.3053, 91.96106
469.7874, 93.87634
470.2696, 86.46899
470.7517, 80.23352
471.2338, 75.38190
471.7159, 71.08893
472.1980, 65.71240
472.6801, 59.36450
473.1623, 58.29077
473.6444, 65.60944
474.1265, 74.14911
474.6086, 69.49829
475.0907, 53.57312
475.5728, 38.77051
476.0550, 31.11255
476.5371, 28.92828
477.0192, 31.43268
477.5013, 38.68500
477.9834, 44.42767
478.4655, 41.42328
478.9477, 34.75391
479.4298, 31.30084
479.9119, 36.48987
480.3940, 41.04480
480.8761, 38.03973
481.3582, 30.28290
481.8404, 25.91406
482.3225, 34.60852
482.8046, 41.40283
483.2867, 37.55896
483.7688, 17.21649
484.2509, 4.073730
484.7331, 4.694397
485.2152, 11.10297
485.6973, 16.23285
486.1794, 20.49353
486.6615, 22.67902
487.1436, 22.03345
487.6258, 19.17194
488.1079, 16.84290
488.5900, 14.94720
489.0721, 13.90375
489.5542, 14.04327
490.0363, 15.37006
490.5185, 17.84332
491.0006, 22.15759
491.4827, 25.21692
491.9648, 19.36115
492.4470, 7.039368
492.9291, 2.998718
493.4112, 19.59387
493.8933, 40.88403
494.3754, 36.90924
494.8575, 11.75812
495.3397, 8.622375
495.8218, 3.497253
496.3039, 13.40131
496.7860, 28.31268
497.2681, 40.19373
497.7502, 46.84729
498.2324, 45.72198
498.7145, 39.12329
499.1966, 30.32330
499.6787, 13.72138
500.1608, 1.711182
500.6429, 0.5841670
501.1251, 9.559814
501.6072, 15.26019
