##NAMES=Plancheite
##RRUFFID=R070233
##IDEAL CHEMISTRY=Cu^2+^_8_(Si_4_O_11_)_2_(OH)_4_&#183;H_2_O
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light blue radial fibrous, chatoyant crystals with drusy malachite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070233
780.8832, 34.33105
781.3654, 33.83740
781.8475, 33.79858
782.3296, 35.97290
782.8117, 37.80518
783.2938, 38.08740
783.7759, 36.74780
784.2581, 34.73096
784.7402, 31.86938
785.2223, 29.07935
785.7044, 26.90405
786.1865, 25.38403
786.6686, 24.88281
787.1508, 25.41870
787.6329, 25.30249
788.1150, 21.09766
788.5971, 16.99512
789.0792, 18.35132
789.5613, 26.61987
790.0435, 31.32910
790.5256, 26.87500
791.0077, 20.75806
791.4898, 16.40063
791.9719, 13.74097
792.4540, 13.56934
792.9362, 16.41431
793.4183, 19.45264
793.9004, 20.06519
794.3825, 18.87793
794.8646, 17.74390
795.3467, 17.10767
795.8289, 16.97485
796.3110, 17.39209
796.7931, 18.35718
797.2752, 20.69189
797.7573, 25.76367
798.2394, 26.45947
798.7216, 19.44434
799.2037, 10.93677
799.6858, 4.190430
800.1679, 1.028564
800.6500, 1.384766
801.1321, 3.854248
801.6143, 9.355225
802.0964, 9.684570
