##NAMES=Cobaltlotharmeyerite
##RRUFFID=R070400
##IDEAL CHEMISTRY=CaCo^2+^_2_(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Roter Berg District, Schneeberg District, Erzgebirge, Saxony, Germany
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Aggregates of light brown fibers on quartz, associated with metazeunerite R110205
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070400
593.0116, 17.30383
593.4937, 19.93433
593.9758, 22.21875
594.4579, 23.29456
594.9401, 26.07715
595.4222, 38.00806
595.9043, 44.93750
596.3864, 32.94971
596.8685, 10.35950
597.3506, 1.003784
597.8328, 10.88269
598.3149, 28.81348
598.7970, 38.43909
599.2791, 41.76794
599.7612, 44.25330
600.2433, 46.98120
600.7255, 47.79883
601.2076, 44.25732
601.6897, 37.22253
602.1718, 33.64258
602.6539, 35.75854
603.1360, 38.30627
603.6182, 41.36353
604.1003, 44.53137
604.5824, 48.74426
605.0645, 52.55762
605.5466, 51.66406
606.0287, 40.93298
606.5109, 27.93433
606.9930, 25.12097
607.4751, 31.35437
607.9572, 37.34973
608.4393, 41.25293
608.9214, 41.85010
609.4036, 36.74548
609.8857, 25.99609
610.3678, 19.84851
610.8499, 19.32043
611.3320, 22.66443
611.8141, 35.37842
612.2963, 48.18237
612.7784, 50.14001
613.2605, 41.40088
613.7426, 31.60571
614.2247, 27.11340
614.7068, 27.47534
615.1890, 33.06848
615.6711, 44.42493
616.1532, 54.51379
616.6353, 62.39404
617.1174, 65.37427
617.5995, 57.42957
618.0817, 38.28076
618.5638, 27.68445
619.0459, 34.18713
619.5280, 40.36523
620.0101, 38.85486
620.4922, 33.56421
620.9744, 28.80371
621.4565, 25.76160
621.9386, 24.19495
622.4207, 25.01599
622.9028, 27.92981
623.3849, 34.80530
623.8671, 46.52942
624.3492, 49.23315
624.8313, 34.93262
625.3134, 18.85657
625.7955, 21.99060
626.2776, 43.10742
626.7598, 56.55164
627.2419, 53.50989
627.7240, 45.71570
628.2061, 35.94043
628.6882, 26.77393
629.1703, 22.66138
629.6525, 24.71973
630.1346, 27.88342
630.6167, 27.56531
631.0988, 24.86633
631.5809, 25.18811
