##NAMES=Berzelianite
##RRUFFID=R110159
##IDEAL CHEMISTRY=Cu_2-x_Se (x &#8776; 0.12)
##LOCALITY=Facebaja, Romania
##OWNER=RRUFF
##SOURCE=Mark N Feinglos
##DESCRIPTION=Black metallic euhedral grains, associated with pale-yellow sulfur crystals.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110159
528.4012, 0.3013820
528.8834, 0.1865350
529.3655, 6.0230002E-02
529.8476, 0.2936610
530.3297, 0.4914050
530.8118, 0.6563510
531.2939, 0.7959880
531.7761, 0.8691520
532.2582, 0.7489780
532.7403, 0.2137740
533.2224, 0.1075150
533.7045, 9.3755998E-02
534.1866, 1.2661000E-02
534.6688, 9.6147999E-02
535.1509, 0.1453550
535.6330, 0.1786100
536.1151, 0.1942770
536.5972, 0.2024690
537.0793, 0.2372040
537.5615, 0.2915940
538.0436, 0.4152360
538.5257, 0.7268100
539.0078, 1.028751
539.4899, 1.142462
539.9720, 1.069765
540.4542, 0.9460600
540.9363, 0.7484460
541.4184, 0.5815870
541.9005, 0.6360530
542.3826, 0.9071100
542.8647, 1.178488
543.3469, 1.337887
543.8290, 1.425032
544.3111, 1.560783
544.7932, 1.871603
545.2753, 1.937538
545.7574, 1.350285
546.2396, 0.7404080
546.7217, 0.7055570
547.2038, 1.208788
547.6859, 1.856152
548.1680, 2.401314
548.6501, 2.813639
549.1323, 2.922815
549.6144, 2.397160
550.0965, 2.148966
550.5786, 2.489527
551.0607, 2.940607
551.5428, 3.170156
552.0250, 3.158972
552.5071, 3.071527
552.9892, 3.029469
553.4713, 2.998497
553.9534, 2.831972
554.4355, 2.476929
554.9177, 2.260067
555.3998, 2.353878
555.8819, 2.630075
556.3640, 2.941460
556.8461, 3.304195
557.3282, 3.544132
557.8104, 3.594126
558.2925, 3.487421
558.7746, 3.229212
559.2567, 2.833151
559.7388, 2.360327
560.2209, 1.800770
560.7031, 1.242579
561.1852, 1.027601
561.6673, 1.515411
562.1494, 1.852293
562.6315, 2.080618
563.1136, 2.116619
563.5958, 1.720510
564.0779, 1.009092
564.5600, 0.4951360
565.0421, 0.5893290
565.5242, 1.050991
566.0063, 1.092222
566.4885, 0.4619450
566.9706, 0.1603530
567.4527, 0.8298720
567.9348, 1.578407
568.4169, 1.764837
568.8990, 1.433929
569.3812, 1.087515
569.8633, 1.018785
570.3454, 1.075962
570.8275, 1.016024
571.3096, 0.8792880
571.7917, 0.8678380
572.2739, 1.011173
572.7560, 1.239361
573.2381, 1.388842
573.7202, 1.511148
574.2023, 1.482176
574.6844, 1.066092
575.1666, 0.6867080
575.6487, 0.7472650
576.1308, 1.088556
576.6129, 1.240150
577.0950, 0.9449840
577.5771, 0.3779960
578.0593, 3.8174000E-02
578.5414, 3.5696000E-02
579.0235, 8.8872999E-02
579.5056, 0.1262650
579.9877, 0.2406220
580.4698, 0.5742470
580.9520, 1.005770
581.4341, 1.270140
581.9162, 1.246294
582.3983, 1.062693
582.8804, 0.8169670
583.3625, 0.5354600
583.8447, 0.4538560
584.3268, 0.6914650
584.8089, 0.9638540
585.2910, 0.9363120
585.7731, 0.6338370
586.2552, 0.4182870
586.7374, 0.4162010
587.2195, 0.4721110
587.7016, 0.5148700
588.1837, 0.5374150
588.6658, 0.5160560
589.1479, 0.4497590
589.6301, 0.4243200
590.1122, 0.5730300
590.5943, 0.9319570
591.0764, 1.067976
591.5585, 0.8344000
592.0406, 0.5839960
592.5228, 0.2975220
593.0049, 8.0550998E-02
593.4870, 0.1023390
593.9691, 0.3965820
594.4512, 0.7080780
594.9333, 0.7523900
595.4155, 0.6026950
595.8976, 0.6026130
596.3797, 0.8084490
596.8618, 0.9883210
597.3439, 0.9837680
597.8260, 0.8664460
598.3082, 0.8242700
598.7903, 0.8923380
599.2724, 0.9458050
599.7545, 0.8428590
600.2366, 0.7706010
600.7188, 1.075994
601.2009, 1.676636
601.6830, 2.001236
602.1651, 1.622488
602.6472, 0.7795720
603.1293, 0.3720930
603.6115, 0.6816900
604.0936, 0.9149890
604.5757, 1.005648
605.0578, 1.030054
605.5399, 1.024046
606.0220, 0.9949260
606.5042, 0.9246100
606.9863, 0.8137190
607.4684, 0.7127340
607.9505, 0.6982570
608.4326, 0.7700040
608.9147, 0.9137690
609.3969, 1.138788
609.8790, 1.413332
610.3611, 1.784937
610.8432, 2.232239
611.3253, 2.398672
611.8074, 2.046993
612.2896, 1.614498
612.7717, 1.246174
613.2538, 0.9767720
613.7359, 0.8955310
614.2180, 1.014631
614.7001, 1.165604
615.1823, 1.130888
615.6644, 0.8942090
616.1465, 0.8186210
616.6286, 1.092182
617.1107, 1.267303
617.5928, 1.073530
618.0750, 0.8206880
618.5571, 0.9413320
619.0392, 1.490023
619.5213, 1.862265
620.0034, 1.335077
620.4855, 0.3661330
620.9677, 6.9055997E-02
621.4498, 0.5114570
621.9319, 0.9332390
622.4140, 0.9683040
622.8961, 0.7503930
623.3782, 0.4966370
623.8604, 8.7398998E-02
624.3425, 5.9299998E-04
624.8246, 0.6850950
625.3067, 1.372950
625.7888, 1.443123
626.2709, 1.069593
626.7531, 0.8102260
627.2352, 0.9436930
627.7173, 1.171896
628.1994, 0.8252370
628.6815, 0.3198050
629.1636, 0.7995340
629.6458, 1.1683000E-02
630.1279, 0.8278180
630.6100, 0.9662910
631.0921, 0.6856580
631.5742, 0.4174440
632.0563, 0.2404560
632.5385, 0.1726090
633.0206, 0.2658860
633.5027, 0.4706540
633.9848, 0.7317600
634.4669, 1.034101
634.9490, 1.218218
635.4312, 1.138859
635.9133, 0.8590110
636.3954, 0.6979410
636.8775, 0.6320590
637.3596, 0.7406350
637.8417, 1.344833
638.3239, 1.882568
638.8060, 1.888844
639.2881, 1.465195
639.7702, 1.053408
640.2523, 0.9079910
640.7344, 0.9246960
641.2166, 0.8947850
641.6987, 0.8122060
642.1808, 0.8786850
642.6629, 1.245560
643.1450, 1.561054
643.6271, 1.373835
644.1093, 0.8552040
644.5914, 0.6511440
645.0735, 1.131100
645.5556, 1.618465
646.0377, 1.879419
646.5198, 1.921515
647.0020, 1.605528
647.4841, 0.9837590
647.9662, 0.5529580
648.4483, 0.8225960
648.9304, 1.639324
649.4125, 1.877092
649.8947, 1.094503
650.3768, 0.5573010
650.8589, 0.5422590
651.3410, 0.7893830
651.8231, 1.290506
652.3052, 1.935345
652.7874, 2.331337
653.2695, 2.137222
653.7516, 1.736309
654.2337, 1.594027
654.7158, 1.662165
655.1979, 1.733431
655.6801, 1.757288
656.1622, 1.713076
656.6443, 1.550531
657.1264, 1.256565
657.6085, 1.109295
658.0906, 1.227688
658.5728, 1.324070
659.0549, 1.287729
