##NAMES=Pyrochlore
##RRUFFID=R080058
##IDEAL CHEMISTRY=Ca_2_Nb_2_O_7_
##LOCALITY=Samiresy, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange octahedron, amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080058
476.6005, 19.16724
477.0826, 18.11658
477.5648, 16.56763
478.0469, 18.88879
478.5290, 24.56470
479.0111, 28.66711
479.4932, 25.74475
479.9753, 20.11401
480.4575, 17.18848
480.9396, 18.71973
481.4217, 20.32629
481.9038, 19.01196
482.3859, 16.33423
482.8680, 14.58606
483.3502, 14.47925
483.8323, 15.07654
484.3144, 16.33252
484.7965, 18.15674
485.2786, 19.84094
485.7607, 21.97424
486.2429, 23.33154
486.7250, 23.33606
487.2071, 21.83337
487.6892, 19.09314
488.1713, 13.64819
488.6534, 7.961792
489.1356, 6.235229
489.6177, 10.11804
490.0998, 13.21851
490.5819, 14.13708
491.0640, 13.07471
491.5461, 10.39648
492.0283, 5.768555
492.5104, 2.427856
492.9925, 3.424194
493.4746, 7.935547
493.9567, 11.83508
494.4388, 14.98755
494.9210, 16.82581
495.4031, 15.93823
495.8852, 13.19812
496.3673, 10.77600
496.8494, 8.897705
497.3315, 8.166138
497.8137, 10.54980
498.2958, 15.05591
498.7779, 17.52808
499.2600, 13.53699
499.7421, 8.274902
500.2242, 5.704590
500.7064, 7.003662
501.1885, 7.873413
501.6706, 5.355591
502.1527, 2.536133
502.6348, 2.582153
503.1169, 11.57520
503.5991, 16.61646
504.0812, 14.31335
504.5633, 6.866577
505.0454, 2.447266
505.5275, 2.447632
506.0096, 3.257080
506.4918, 3.624146
506.9739, 3.555786
507.4560, 2.852417
507.9381, 1.381348
508.4202, 0.3764650
508.9023, 2.302979
509.3845, 4.326782
509.8666, 5.054688
510.3487, 4.001099
510.8308, 1.936401
511.3129, 0.6607670
511.7950, 3.443237
512.2772, 4.735107
512.7593, 1.647827
513.2414, 2.330933
513.7235, 2.333984
514.2056, 1.543823
514.6877, 5.144043
515.1699, 5.409302
515.6520, 4.362793
516.1341, 3.979370
516.6162, 5.418579
517.0983, 6.066162
517.5804, 4.443848
518.0626, 1.568115
518.5447, 0.8459470
519.0268, 4.360352
519.5089, 5.322998
519.9910, 1.308716
520.4731, 7.151245
520.9553, 11.28271
521.4374, 8.992188
521.9195, 5.368286
522.4016, 3.403442
522.8837, 3.698364
523.3658, 2.644043
