##NAMES=Kleinite
##RRUFFID=R150103
##IDEAL CHEMISTRY=Hg_2_N(Cl,S^6+^O_4_)&#183;nH_2_O
##LOCALITY=Terlingua, Brewster Co., Texas, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of orange short hexagonal prismatic crystals, associated with colorless or white prismatic gypsum. Part of the type find.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R150103
265.7558, 322.2463
266.2379, 328.5193
266.7200, 334.1270
267.2021, 338.3367
267.6843, 341.2744
268.1664, 345.4373
268.6485, 351.6648
269.1306, 357.4558
269.6127, 359.6316
270.0948, 356.6060
270.5770, 356.5664
271.0591, 361.3406
271.5412, 370.3223
272.0233, 380.4595
272.5054, 391.8472
272.9875, 402.8621
273.4697, 411.9087
273.9518, 418.5811
274.4339, 426.3335
274.9160, 435.6934
275.3981, 446.2939
275.8802, 457.7310
276.3624, 470.3672
276.8445, 481.9949
277.3266, 489.8601
277.8087, 493.4338
278.2908, 501.5334
278.7729, 515.8689
279.2551, 533.9858
279.7372, 550.3413
280.2193, 564.9536
280.7014, 578.1340
281.1835, 589.4451
281.6656, 598.9180
282.1478, 609.8340
282.6299, 622.4336
283.1120, 636.3447
283.5941, 650.7390
284.0762, 665.6250
284.5583, 681.8542
285.0405, 700.3000
285.5226, 720.8354
286.0047, 742.0205
286.4868, 764.0647
286.9689, 785.8965
287.4510, 805.4998
287.9332, 823.0374
288.4153, 841.6938
288.8974, 862.3052
289.3795, 884.7654
289.8616, 908.3298
290.3438, 933.0676
290.8259, 958.3320
291.3080, 985.3218
291.7901, 1012.978
292.2722, 1036.056
292.7543, 1049.974
293.2365, 1059.196
293.7186, 1074.723
294.2007, 1096.502
294.6828, 1119.505
295.1649, 1138.959
295.6470, 1155.779
296.1292, 1173.994
296.6113, 1195.774
297.0934, 1217.908
297.5755, 1235.069
298.0576, 1247.637
298.5397, 1258.854
299.0219, 1271.890
299.5040, 1285.462
299.9861, 1296.439
300.4682, 1303.753
300.9503, 1309.330
301.4324, 1314.281
301.9146, 1319.102
302.3967, 1326.031
302.8788, 1338.260
303.3609, 1352.899
303.8430, 1364.974
304.3251, 1372.997
304.8073, 1381.500
305.2894, 1395.418
305.7715, 1413.135
306.2536, 1431.141
306.7357, 1448.185
307.2178, 1464.108
307.7000, 1477.617
308.1821, 1488.207
308.6642, 1499.911
309.1463, 1515.311
309.6284, 1533.697
310.1105, 1554.268
310.5927, 1579.844
311.0748, 1604.859
311.5569, 1623.807
312.0390, 1636.696
312.5211, 1652.259
313.0032, 1678.593
313.4854, 1709.261
313.9675, 1737.085
314.4496, 1758.342
314.9317, 1777.453
315.4138, 1796.279
315.8959, 1814.794
316.3781, 1833.197
316.8602, 1852.099
317.3423, 1870.508
317.8244, 1887.939
318.3065, 1906.908
318.7886, 1921.126
319.2708, 1926.354
319.7529, 1924.850
320.2350, 1922.961
320.7171, 1926.337
321.1992, 1926.869
321.6813, 1920.593
322.1635, 1906.379
322.6456, 1886.680
323.1277, 1859.861
323.6098, 1828.117
324.0919, 1795.007
324.5740, 1765.103
325.0562, 1730.588
325.5383, 1689.052
326.0204, 1639.874
326.5025, 1585.892
326.9846, 1520.815
327.4667, 1453.792
327.9489, 1393.864
328.4310, 1355.300
328.9131, 1308.091
329.3952, 1244.574
329.8773, 1164.099
330.3594, 1086.857
330.8416, 1013.412
331.3237, 943.8699
331.8058, 878.5503
332.2879, 817.8452
332.7700, 759.9397
333.2521, 703.4192
333.7343, 648.9375
334.2164, 599.3042
334.6985, 555.8071
335.1806, 515.6746
335.6627, 477.5017
336.1448, 441.4922
336.6270, 408.6863
337.1091, 379.9971
337.5912, 354.1157
338.0733, 327.1592
338.5554, 297.7561
339.0375, 272.2654
339.5197, 254.2046
340.0018, 244.0820
340.4839, 232.9744
340.9660, 220.8970
341.4481, 208.7343
341.9302, 197.8403
342.4124, 188.2454
342.8945, 179.3357
343.3766, 170.6200
343.8587, 161.9794
344.3408, 153.6177
344.8229, 145.7296
345.3051, 138.3083
345.7872, 130.8406
346.2693, 123.6162
346.7514, 118.4611
347.2335, 116.6195
347.7156, 116.2419
348.1978, 113.0586
348.6799, 107.0985
349.1620, 101.1793
349.6441, 98.32410
350.1262, 97.54321
350.6083, 95.65735
351.0905, 91.71619
351.5726, 87.75476
352.0547, 86.66870
352.5368, 87.57581
353.0189, 88.02100
353.5010, 86.56067
353.9832, 84.33508
354.4653, 82.25598
354.9474, 80.27502
355.4295, 79.24487
355.9116, 80.60095
356.3937, 82.61414
356.8759, 83.27710
357.3580, 81.65186
357.8401, 79.53381
358.3222, 77.41016
358.8043, 74.94507
359.2864, 73.06885
359.7686, 74.10669
360.2507, 75.42310
360.7328, 74.47327
361.2149, 69.26453
361.6970, 63.89246
362.1791, 59.23303
362.6613, 55.56580
363.1434, 53.50916
363.6255, 55.22144
364.1076, 56.98352
364.5897, 57.14929
365.0718, 55.40698
365.5540, 52.53394
366.0361, 47.28064
366.5182, 41.34460
367.0003, 36.77673
367.4824, 34.50269
367.9645, 32.93762
368.4467, 32.22009
368.9288, 32.45398
369.4109, 31.69348
369.8930, 29.38428
370.3751, 26.57385
370.8572, 23.93274
371.3394, 21.46106
371.8215, 19.23181
372.3036, 17.10901
372.7857, 15.23621
373.2678, 14.19946
373.7499, 14.42749
374.2321, 14.65723
374.7142, 14.00281
375.1963, 11.82080
375.6784, 11.69409
376.1605, 14.53064
376.6426, 18.22144
377.1248, 18.91577
377.6069, 15.93481
378.0890, 14.17615
378.5711, 16.26843
379.0532, 21.29321
379.5353, 21.83105
380.0175, 17.25989
380.4996, 11.39319
380.9817, 7.570557
381.4638, 5.659180
381.9459, 4.543457
382.4280, 4.245728
382.9102, 4.298706
383.3923, 3.470215
383.8744, 1.884155
384.3565, 0.9849850
384.8386, 3.077515
385.3207, 6.289917
385.8029, 6.080688
386.2850, 1.445435
386.7671, 3.609985
387.2492, 4.380127
387.7313, 2.405273
388.2134, 1.189819
388.6956, 3.165771
389.1777, 6.050781
389.6598, 7.662354
390.1419, 8.024902
390.6240, 8.471924
391.1061, 10.21704
391.5883, 12.26355
392.0704, 13.48157
392.5525, 12.50317
393.0346, 12.05664
393.5167, 13.96680
393.9988, 17.43323
394.4810, 20.22888
394.9631, 21.94885
395.4452, 22.51843
395.9273, 21.82715
396.4094, 19.70129
396.8915, 16.83618
397.3737, 12.28687
397.8558, 7.441162
398.3379, 4.005493
398.8200, 2.793579
399.3021, 2.404663
399.7842, 3.393433
400.2664, 5.770264
400.7485, 5.819824
401.2306, 1.762329
401.7127, 2.810059
402.1948, 5.640015
402.6769, 6.194336
403.1591, 6.078369
403.6412, 5.283447
404.1233, 3.897217
404.6054, 1.785400
405.0875, 1.750732
405.5696, 3.875488
406.0518, 2.372314
406.5339, 2.974854
407.0160, 4.155029
407.4981, 0.2570800
407.9802, 5.192627
