##NAMES=Scheelite
##RRUFFID=R150130
##IDEAL CHEMISTRY=CaW^6+^O_4_
##LOCALITY=Tsumeb mine, Tsumeb, Otjikoto Region, Namibia
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Golden brown pseudo-octahedral crystals, associated with yellow disc-like siderite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150130
192.3223, 2431.312
192.8044, 2499.236
193.2865, 2564.353
193.7686, 2616.802
194.2507, 2659.669
194.7328, 2699.199
195.2150, 2739.730
195.6971, 2777.931
196.1792, 2806.351
196.6613, 2822.113
197.1434, 2832.540
197.6255, 2842.165
198.1077, 2851.102
198.5898, 2859.388
199.0719, 2864.187
199.5540, 2867.590
200.0361, 2878.399
200.5182, 2897.284
201.0004, 2924.336
201.4825, 2960.042
201.9646, 3002.771
202.4467, 3047.810
202.9288, 3090.987
203.4109, 3132.932
203.8930, 3181.045
204.3752, 3235.428
204.8573, 3296.677
205.3394, 3368.409
205.8215, 3446.938
206.3036, 3525.475
206.7857, 3597.527
207.2679, 3662.795
207.7500, 3726.938
208.2321, 3801.230
208.7142, 3863.854
209.1963, 3909.958
209.6784, 3938.148
210.1606, 3948.042
210.6427, 3939.660
211.1248, 3913.547
211.6069, 3863.376
212.0890, 3778.916
212.5711, 3682.875
213.0533, 3576.500
213.5354, 3464.648
214.0175, 3355.309
214.4996, 3255.844
214.9817, 3167.022
215.4638, 3082.945
215.9460, 2998.928
216.4281, 2922.221
216.9102, 2856.867
217.3923, 2802.492
217.8744, 2754.977
218.3565, 2710.839
218.8387, 2670.150
219.3208, 2636.677
219.8029, 2613.753
220.2850, 2594.265
220.7671, 2574.215
221.2492, 2553.366
221.7314, 2533.241
222.2135, 2514.845
222.6956, 2498.440
223.1777, 2484.444
223.6598, 2475.438
224.1419, 2466.924
224.6240, 2454.678
225.1062, 2438.701
225.5883, 2423.510
226.0704, 2413.335
226.5525, 2407.960
227.0346, 2402.996
227.5167, 2398.304
227.9989, 2393.730
228.4810, 2389.544
228.9631, 2385.843
229.4452, 2381.295
229.9273, 2373.993
230.4094, 2364.650
230.8916, 2355.918
231.3737, 2349.032
231.8558, 2342.628
232.3379, 2335.203
232.8200, 2326.739
233.3021, 2317.870
233.7843, 2308.216
234.2664, 2298.466
234.7485, 2289.776
235.2306, 2283.264
235.7127, 2276.948
236.1948, 2267.909
236.6770, 2255.539
237.1591, 2242.774
237.6412, 2232.661
238.1233, 2222.239
238.6054, 2207.708
239.0875, 2186.675
239.5697, 2162.957
240.0518, 2143.084
240.5339, 2128.503
241.0160, 2113.478
241.4981, 2094.551
241.9802, 2074.453
242.4624, 2055.973
242.9445, 2040.388
243.4266, 2025.845
243.9087, 2008.971
244.3908, 1988.802
244.8729, 1968.875
245.3550, 1950.277
245.8372, 1932.258
246.3193, 1914.373
246.8014, 1896.472
247.2835, 1878.306
247.7656, 1859.598
248.2477, 1841.261
248.7299, 1819.948
249.2120, 1793.493
249.6941, 1765.266
250.1762, 1737.972
250.6583, 1712.373
251.1404, 1687.147
251.6226, 1659.910
252.1047, 1630.324
252.5868, 1599.587
253.0689, 1566.472
253.5510, 1533.369
254.0331, 1502.290
254.5153, 1473.634
254.9974, 1445.627
255.4795, 1415.210
255.9616, 1380.894
256.4437, 1347.546
256.9258, 1315.886
257.4080, 1284.659
257.8901, 1252.765
258.3722, 1220.157
258.8543, 1187.615
259.3364, 1156.384
259.8185, 1127.639
260.3007, 1097.109
260.7828, 1062.475
261.2649, 1027.996
261.7470, 996.3250
262.2291, 967.6345
262.7112, 940.8088
263.1934, 914.6040
263.6755, 889.4333
264.1576, 863.2380
264.6397, 834.1538
265.1218, 805.8423
265.6039, 780.3438
266.0861, 757.7556
266.5682, 737.0505
267.0503, 717.3472
267.5324, 698.7712
268.0145, 680.7222
268.4966, 664.5742
268.9788, 647.6316
269.4609, 628.0715
269.9430, 606.3774
270.4251, 584.6460
270.9072, 564.7449
271.3893, 546.9004
271.8715, 526.7021
272.3536, 502.8584
272.8357, 478.5200
273.3178, 455.5933
273.7999, 433.4067
274.2820, 410.1763
274.7642, 384.8037
275.2463, 357.2507
275.7284, 327.2795
276.2105, 291.4866
276.6926, 257.4319
277.1747, 227.4067
277.6568, 200.8960
278.1389, 176.9585
278.6211, 155.3015
279.1032, 135.4912
279.5853, 115.5684
280.0674, 93.31421
280.5495, 73.45215
281.0316, 58.46802
281.5138, 46.52466
281.9959, 34.30566
282.4780, 20.33374
282.9601, 5.516846
283.4422, 7.595459
283.9243, 18.96045
284.4065, 29.15112
284.8886, 37.93262
285.3707, 45.69043
285.8528, 53.35986
286.3349, 61.41064
286.8170, 68.43262
287.2992, 71.52295
287.7813, 69.51343
288.2634, 67.99683
288.7455, 67.62476
289.2276, 68.29736
289.7097, 70.23706
290.1919, 73.54517
290.6740, 77.24976
291.1561, 80.47314
291.6382, 83.35742
292.1203, 84.35815
292.6024, 82.60083
293.0846, 79.29663
293.5667, 75.85474
294.0488, 72.40454
294.5309, 67.66089
295.0130, 60.09229
295.4951, 49.57446
295.9773, 39.32471
296.4594, 30.94189
296.9415, 21.79395
297.4236, 9.123291
297.9057, 6.809570
298.3878, 22.69189
298.8700, 35.56641
299.3521, 46.35767
299.8342, 60.70825
300.3163, 80.78711
300.7984, 102.1711
301.2805, 121.8484
301.7627, 140.4470
302.2448, 161.2073
302.7269, 185.8684
303.2090, 214.1631
303.6911, 244.8435
304.1732, 278.6072
304.6554, 313.5481
305.1375, 347.4590
305.6196, 381.8472
306.1017, 420.7454
306.5838, 465.8647
307.0659, 515.8567
307.5481, 567.4465
308.0302, 619.2249
308.5123, 676.3479
308.9944, 739.7871
309.4765, 809.6868
309.9586, 885.7905
310.4408, 967.7524
310.9229, 1055.763
311.4050, 1150.167
311.8871, 1250.846
312.3692, 1356.116
312.8513, 1464.617
313.3335, 1577.914
313.8156, 1699.216
314.2977, 1828.757
314.7798, 1963.952
315.2619, 2104.331
315.7440, 2250.073
316.2262, 2395.918
316.7083, 2535.856
317.1904, 2679.697
317.6725, 2832.647
318.1546, 2996.051
318.6367, 3173.447
319.1188, 3368.119
319.6010, 3580.089
320.0831, 3803.839
320.5652, 4036.173
321.0473, 4283.834
321.5294, 4548.218
322.0115, 4829.884
322.4937, 5135.616
322.9758, 5466.253
323.4579, 5824.064
323.9400, 6205.218
324.4221, 6607.611
324.9042, 7033.065
325.3864, 7486.918
325.8685, 7964.178
326.3506, 8463.526
326.8327, 8988.209
327.3148, 9524.407
327.7969, 10060.21
328.2791, 10603.85
328.7612, 11106.57
329.2433, 11583.25
329.7254, 12001.41
330.2075, 12334.85
330.6896, 12579.15
331.1718, 12712.26
331.6539, 12712.32
332.1360, 12564.60
332.6181, 12289.31
333.1002, 11852.95
333.5823, 11316.93
334.0645, 10693.93
334.5466, 9999.878
335.0287, 9283.543
335.5108, 8574.349
335.9929, 7874.347
336.4750, 7210.456
336.9572, 6565.887
337.4393, 5961.999
337.9214, 5406.977
338.4035, 4897.406
338.8856, 4432.149
339.3677, 4011.776
339.8499, 3632.891
340.3320, 3293.226
340.8141, 2994.085
341.2962, 2723.912
341.7783, 2486.109
342.2604, 2273.821
342.7426, 2081.201
343.2247, 1907.332
343.7068, 1749.736
344.1889, 1606.034
344.6710, 1479.480
345.1531, 1362.495
345.6353, 1255.770
346.1174, 1159.487
346.5995, 1075.737
347.0816, 1004.083
347.5637, 938.6655
348.0458, 875.0962
348.5280, 813.0913
349.0101, 758.2473
349.4922, 711.4089
349.9743, 669.5803
350.4564, 632.7554
350.9385, 600.5024
351.4207, 571.8750
351.9028, 546.5469
352.3849, 524.4268
352.8670, 504.9121
353.3491, 488.1289
353.8312, 474.0703
354.3134, 461.6226
354.7955, 452.2998
355.2776, 448.9741
355.7597, 452.4595
356.2418, 458.7432
356.7239, 461.7612
357.2061, 459.0288
357.6882, 457.9585
358.1703, 457.5723
358.6524, 459.3467
359.1345, 464.8530
359.6166, 473.8420
360.0987, 484.4377
360.5808, 494.9446
361.0630, 505.3284
361.5451, 515.8074
362.0272, 527.0872
362.5093, 537.6934
362.9914, 547.0579
363.4735, 555.4089
363.9557, 563.1194
364.4378, 570.3877
364.9199, 577.3259
365.4020, 584.3579
365.8841, 591.0720
366.3662, 599.0122
366.8484, 608.5437
367.3305, 619.0115
367.8126, 630.7554
368.2947, 643.5918
368.7768, 655.3508
369.2589, 662.3987
369.7411, 663.0334
370.2232, 663.1060
370.7053, 661.7747
371.1874, 660.3743
371.6695, 659.6194
372.1516, 659.5972
372.6338, 659.9355
373.1159, 660.5583
373.5980, 661.4253
374.0801, 661.4248
374.5622, 659.0068
375.0443, 657.5669
375.5265, 659.1523
376.0086, 662.3066
