##NAMES=Phillipsite-K
##RRUFFID=R140774
##IDEAL CHEMISTRY=K_6_(Si_10_Al_6_)O_32_&#183;12H_2_O
##LOCALITY=Mt Vesuvius, Somma-Vesuvius Complex, Naples Province, Campania, Italy
##OWNER=RRUFF
##SOURCE=Ch. and H. Schäfer
##DESCRIPTION=Radial aggregates of colorless prismatic crystals, associated with calcite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140774
362.6613, 0.7112120
363.1434, 0.6202390
363.6255, 2.1850999E-02
364.1076, 0.4570010
364.5897, 0.4248660
365.0718, 0.4046330
365.5540, 0.9249880
366.0361, 0.5357670
366.5182, 0.1286930
367.0003, 0.3086240
367.4824, 0.7426150
367.9645, 1.599884
368.4467, 1.789551
368.9288, 1.261566
369.4109, 1.165161
369.8930, 2.013489
370.3751, 2.882874
370.8572, 3.093018
371.3394, 1.843781
371.8215, 1.310333
372.3036, 2.026184
372.7857, 3.559570
373.2678, 4.356232
373.7499, 4.189301
374.2321, 3.705109
374.7142, 3.169128
375.1963, 2.554626
375.6784, 2.030365
376.1605, 1.693939
376.6426, 1.334747
377.1248, 0.5132140
377.6069, 0.9273380
378.0890, 1.936371
378.5711, 1.973877
379.0532, 1.221436
379.5353, 1.013916
380.0175, 1.429871
380.4996, 2.018921
380.9817, 2.503937
381.4638, 2.850525
381.9459, 2.651764
382.4280, 1.493073
382.9102, 0.1831360
383.3923, 0.6304020
383.8744, 2.665405
384.3565, 4.510956
384.8386, 4.866302
385.3207, 4.237030
385.8029, 3.433228
386.2850, 2.423828
386.7671, 1.822937
387.2492, 2.737061
387.7313, 4.562256
388.2134, 5.896179
388.6956, 5.661682
389.1777, 4.926758
389.6598, 4.603546
390.1419, 4.697968
390.6240, 4.951996
391.1061, 5.363159
391.5883, 5.805359
392.0704, 6.130219
392.5525, 6.094330
393.0346, 6.229401
393.5167, 6.964783
393.9988, 8.092468
394.4810, 9.039551
394.9631, 9.671478
