##NAMES=Muirite
##RRUFFID=R140248
##IDEAL CHEMISTRY=Ba_10_Ca_2_Mn^2+^Ti^4+^Si_10_O_30_(OH)_10_
##LOCALITY=Esquire No. 7 Claim, Big Creek, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Scattered orange grains and aggregates associated with taramellite, walstromite and sanbornite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140248
350.9385, 21.62640
351.4207, 24.13593
351.9028, 26.91174
352.3849, 29.93713
352.8670, 33.23657
353.3491, 36.47272
353.8312, 40.49231
354.3134, 45.94775
354.7955, 51.92529
355.2776, 57.59204
355.7597, 62.63702
356.2418, 66.99457
356.7239, 70.62982
357.2061, 73.90869
357.6882, 75.43060
358.1703, 73.73303
358.6524, 71.51807
359.1345, 70.92041
359.6166, 71.91541
360.0987, 72.81750
360.5808, 71.85632
361.0630, 68.74756
361.5451, 66.39874
362.0272, 66.47876
362.5093, 65.61084
362.9914, 61.82397
363.4735, 56.24200
363.9557, 51.10553
364.4378, 47.76044
364.9199, 45.93451
365.4020, 44.45624
365.8841, 43.45862
366.3662, 42.68378
366.8484, 42.41443
367.3305, 42.17700
367.8126, 41.29370
368.2947, 39.61743
368.7768, 37.91962
369.2589, 37.67731
369.7411, 39.98956
370.2232, 40.71619
370.7053, 38.07880
371.1874, 35.29938
371.6695, 33.84595
372.1516, 33.86102
372.6338, 34.85614
373.1159, 36.60034
373.5980, 39.06311
374.0801, 41.38257
374.5622, 43.67908
375.0443, 45.60901
375.5265, 47.26929
376.0086, 48.51886
376.4907, 48.92914
376.9728, 48.05621
377.4549, 46.84137
377.9370, 47.66663
378.4192, 51.49017
378.9013, 54.71002
379.3834, 56.08008
379.8655, 56.67877
380.3476, 57.08411
380.8297, 57.36908
381.3119, 57.67993
381.7940, 58.41351
382.2761, 59.53241
382.7582, 59.97278
383.2403, 59.16998
383.7224, 58.11432
384.2046, 57.50250
384.6867, 57.24622
385.1688, 56.95020
385.6509, 56.44617
386.1330, 55.79059
386.6151, 54.92139
387.0973, 53.69415
387.5794, 52.54956
388.0615, 52.25055
388.5436, 52.03589
389.0257, 50.68829
389.5078, 47.46472
389.9900, 44.04315
390.4721, 41.79047
390.9542, 40.60425
391.4363, 40.14490
391.9184, 40.88635
392.4005, 41.87463
392.8827, 41.48627
393.3648, 39.61914
393.8469, 37.84381
394.3290, 37.13873
394.8111, 36.80133
395.2932, 35.76532
395.7754, 33.86517
396.2575, 31.25775
396.7396, 27.54285
397.2217, 22.98944
397.7038, 20.11017
398.1859, 20.37061
398.6681, 21.09967
399.1501, 20.63617
399.6323, 19.15887
400.1144, 17.30688
400.5965, 15.18896
401.0786, 13.24200
401.5607, 12.93610
402.0428, 15.43500
402.5250, 17.22510
403.0071, 17.31152
403.4892, 16.57080
403.9713, 15.71729
404.4534, 14.98358
404.9355, 14.82928
405.4177, 16.00189
405.8998, 19.04932
406.3819, 20.50940
406.8640, 19.36542
407.3461, 17.82227
407.8282, 16.60590
408.3104, 15.88458
408.7925, 15.92340
409.2746, 17.00574
409.7567, 18.70013
410.2388, 19.04504
410.7209, 15.94604
411.2031, 14.21338
411.6852, 15.35516
412.1673, 17.40125
412.6494, 18.49207
413.1315, 18.14374
413.6136, 17.10425
414.0958, 16.27747
414.5779, 15.63721
415.0600, 15.32318
415.5421, 15.93567
416.0242, 16.31952
416.5063, 15.78503
416.9885, 14.64526
417.4706, 13.73035
417.9527, 13.68054
418.4348, 14.14301
418.9169, 13.76587
419.3990, 11.91187
419.8812, 10.64587
420.3633, 11.11121
420.8454, 12.13831
421.3275, 12.69946
421.8096, 12.54620
422.2917, 12.02740
422.7739, 11.36707
423.2560, 10.57721
423.7381, 9.979370
424.2202, 9.670349
424.7023, 9.496216
425.1844, 9.363037
425.6666, 9.256470
426.1487, 9.137512
426.6308, 8.975037
427.1129, 8.798035
427.5950, 8.692017
428.0771, 8.674438
428.5593, 8.527588
429.0414, 8.174988
429.5235, 7.580078
430.0056, 6.678467
430.4877, 5.261292
430.9698, 4.022766
431.4520, 3.504700
431.9341, 3.380554
432.4162, 3.041443
432.8983, 2.347717
433.3804, 1.313293
433.8625, 0.2232670
434.3447, 2.388733
434.8268, 3.818115
435.3089, 3.628967
435.7910, 3.408630
436.2731, 4.490906
436.7552, 6.528381
437.2374, 8.134216
437.7195, 8.444397
438.2016, 7.840576
438.6837, 7.783752
439.1658, 9.076416
439.6479, 9.885864
440.1301, 9.719666
440.6122, 9.227905
441.0943, 9.001770
441.5764, 9.171387
442.0585, 9.516357
442.5406, 9.803650
443.0227, 10.01904
443.5049, 10.24030
443.9870, 10.88275
444.4691, 11.09052
444.9512, 10.17084
445.4333, 8.723206
445.9154, 7.757080
446.3976, 7.849365
446.8797, 8.484314
447.3618, 8.657532
447.8439, 8.559753
448.3260, 7.452881
448.8081, 4.134216
449.2903, 0.5050050
449.7724, 2.225647
450.2545, 4.019653
450.7366, 5.663391
451.2187, 7.706726
451.7008, 10.08551
452.1830, 12.35028
452.6651, 14.23236
453.1472, 16.60822
453.6293, 20.53290
454.1114, 25.14539
454.5935, 29.08301
455.0757, 31.38782
455.5578, 34.17499
456.0399, 39.73315
456.5220, 47.46112
457.0041, 54.52600
457.4862, 59.56934
457.9684, 64.86572
458.4505, 74.19513
458.9326, 87.49469
459.4147, 99.68311
459.8968, 108.7974
460.3789, 117.2518
460.8611, 126.7618
461.3432, 137.4741
461.8253, 149.4660
462.3074, 163.1513
462.7895, 177.9162
463.2716, 191.5346
463.7538, 203.8202
464.2359, 215.3408
464.7180, 227.6774
465.2001, 238.5236
465.6822, 245.9763
466.1643, 249.4912
466.6465, 248.7148
467.1286, 242.9174
467.6107, 231.5663
468.0928, 219.9102
468.5749, 207.9339
469.0570, 195.5340
469.5392, 182.0522
470.0213, 168.3964
470.5034, 155.8300
470.9855, 144.8819
471.4676, 135.3139
471.9497, 126.9659
472.4319, 120.1649
472.9140, 113.2030
473.3961, 105.0406
473.8782, 97.44110
474.3603, 91.63513
474.8424, 87.37939
475.3246, 83.39142
475.8067, 78.85034
476.2888, 74.15259
476.7709, 70.16248
477.2530, 66.95337
477.7351, 63.82263
478.2173, 60.41931
478.6994, 57.00903
479.1815, 54.07513
479.6636, 51.83337
480.1457, 49.27271
480.6278, 45.11359
481.1100, 40.47906
481.5920, 37.56976
482.0742, 36.81549
482.5563, 36.90967
483.0384, 36.92798
483.5205, 36.82220
484.0026, 36.02667
484.4847, 33.94708
484.9669, 31.85925
485.4490, 30.24432
485.9311, 28.98529
486.4132, 27.83911
486.8953, 26.71112
487.3774, 25.66278
487.8596, 24.79340
488.3417, 24.11890
488.8238, 23.52960
489.3059, 22.67926
489.7880, 22.29089
490.2701, 23.26495
490.7523, 24.93115
491.2344, 25.71472
491.7165, 24.50354
492.1986, 22.09741
492.6807, 21.08380
493.1628, 22.47534
493.6450, 22.84247
494.1271, 19.70605
494.6092, 16.37030
495.0913, 15.34631
495.5734, 16.70184
496.0555, 18.45349
496.5377, 19.23145
497.0198, 19.19122
497.5019, 18.92773
497.9840, 18.47021
498.4661, 18.06061
498.9482, 17.56580
499.4304, 17.29108
499.9125, 17.85620
500.3946, 19.60632
500.8767, 21.46649
501.3588, 23.00885
501.8409, 24.27167
502.3231, 25.53400
502.8052, 26.91455
503.2873, 27.99921
503.7694, 28.08600
504.2515, 27.07184
504.7336, 27.49811
505.2158, 30.17950
505.6979, 33.28381
506.1800, 36.68762
506.6621, 40.12073
507.1442, 42.78381
507.6263, 44.32819
508.1085, 45.65790
508.5906, 48.24933
509.0727, 52.42865
509.5548, 56.69141
510.0369, 61.30188
510.5190, 65.70746
511.0012, 69.81848
511.4833, 73.56580
511.9654, 76.69733
512.4475, 78.92383
512.9296, 81.04901
513.4117, 84.63599
513.8939, 89.87402
514.3760, 95.29254
514.8581, 100.8315
515.3402, 106.2375
515.8223, 111.1013
516.3044, 115.5420
516.7866, 120.3259
517.2687, 126.5352
517.7508, 132.8552
518.2329, 137.4954
518.7150, 140.5223
519.1971, 143.0615
519.6793, 145.4316
520.1614, 147.8901
520.6435, 151.0690
521.1256, 155.2698
521.6077, 159.1929
522.0898, 163.1631
522.5720, 166.3742
523.0541, 167.6287
523.5362, 167.2064
524.0183, 166.7106
524.5004, 167.2955
524.9825, 168.7404
525.4647, 169.9800
525.9468, 171.1937
526.4289, 171.8752
526.9110, 171.1243
527.3931, 170.4553
527.8752, 171.4779
528.3574, 174.1118
528.8395, 176.6454
529.3216, 177.4597
529.8037, 176.8436
530.2858, 176.4095
530.7679, 175.7881
531.2501, 176.2107
531.7322, 179.6181
532.2143, 183.6673
532.6964, 185.7105
533.1785, 185.0790
533.6606, 184.3675
534.1428, 185.7332
534.6249, 188.1406
535.1070, 189.0847
535.5891, 188.1239
536.0712, 187.3684
536.5533, 188.5659
537.0355, 191.3590
537.5176, 193.3400
537.9997, 194.5568
538.4818, 195.0010
538.9639, 193.7291
539.4460, 192.1223
539.9282, 192.2469
540.4103, 194.3546
540.8924, 196.6562
541.3745, 197.1618
541.8566, 195.7967
542.3387, 195.2506
542.8209, 195.1436
543.3029, 196.4227
543.7850, 200.6729
544.2672, 205.7244
544.7493, 208.9607
545.2314, 209.7418
545.7135, 209.8224
546.1956, 210.8551
546.6777, 212.8251
547.1599, 215.6804
547.6420, 219.9900
548.1241, 223.9620
548.6062, 225.9084
549.0883, 226.8937
549.5704, 228.7316
550.0526, 232.1957
550.5347, 235.5154
551.0168, 237.3795
551.4989, 238.3475
551.9810, 239.4937
552.4631, 241.0360
552.9453, 243.0218
553.4274, 245.6553
553.9095, 248.9451
554.3916, 251.3413
554.8737, 252.0428
555.3558, 252.9433
555.8380, 255.3655
556.3201, 257.9202
556.8022, 258.4986
557.2843, 256.7480
557.7664, 254.5471
558.2485, 254.1544
558.7307, 255.6489
559.2128, 256.6512
559.6949, 256.9662
560.1770, 257.0214
560.6591, 257.1291
561.1412, 257.0280
561.6234, 256.4506
562.1055, 255.3438
562.5876, 253.6129
563.0697, 250.6217
563.5518, 246.9021
564.0339, 244.4056
564.5161, 243.5377
564.9982, 242.8895
565.4803, 241.2863
565.9624, 239.0876
566.4445, 237.8890
566.9266, 239.0737
567.4088, 239.2886
567.8909, 236.7136
568.3730, 232.8597
568.8551, 229.6670
569.3372, 227.4423
569.8193, 225.1278
570.3015, 221.7303
570.7836, 217.3027
571.2657, 213.1942
571.7478, 209.9185
572.2299, 206.2349
572.7120, 202.1910
573.1942, 197.5089
573.6763, 191.6887
574.1584, 184.7594
574.6405, 177.6756
575.1226, 170.9455
575.6047, 164.7001
576.0869, 159.7083
576.5690, 156.2902
577.0511, 152.7855
577.5332, 148.3724
578.0153, 143.4677
578.4974, 138.6863
578.9796, 133.9464
579.4617, 129.7527
579.9438, 126.7283
580.4259, 124.0992
580.9080, 121.0543
581.3901, 117.5236
581.8723, 113.5231
582.3544, 108.9484
582.8365, 104.1338
583.3186, 100.2043
583.8007, 97.88965
584.2828, 95.37500
584.7650, 92.59406
585.2471, 89.64484
585.7292, 86.39148
586.2113, 83.00970
586.6934, 80.06073
587.1755, 78.10345
587.6577, 76.40399
588.1398, 72.85028
588.6219, 66.95953
589.1040, 62.56287
589.5861, 61.25543
590.0682, 61.00830
590.5504, 60.15265
591.0325, 58.71442
591.5146, 56.81104
591.9967, 54.18701
592.4788, 51.43616
592.9609, 48.70911
593.4431, 46.24500
593.9252, 45.03784
594.4073, 45.55682
594.8894, 46.30774
595.3715, 45.06226
595.8536, 41.09839
596.3358, 38.26331
596.8179, 37.44763
597.3000, 36.64716
597.7821, 34.74805
598.2642, 32.62549
598.7463, 31.92792
599.2285, 33.13837
599.7106, 34.34558
600.1927, 32.63782
600.6748, 28.17761
601.1569, 25.75446
601.6390, 26.43268
