##NAMES=Simpsonite
##RRUFFID=R061059
##IDEAL CHEMISTRY=Al_4_Ta^5+^_3_O_13_(OH)
##LOCALITY=Mt. Vasin-Myl'k, Voron'ya Tundra, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Subhedral off-white to pale yellowish gray crystal associated with spodumene, feldspar and quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061059
258.9255, 14558.82
259.4076, 13488.42
259.8897, 12647.01
260.3719, 11948.05
260.8540, 11417.87
261.3361, 10984.40
261.8182, 10616.72
262.3003, 10322.41
262.7824, 10062.34
263.2646, 9835.177
263.7467, 9640.271
264.2288, 9486.007
264.7109, 9379.693
265.1930, 9299.852
265.6751, 9231.088
266.1573, 9169.438
266.6394, 9137.916
267.1215, 9146.124
267.6036, 9184.082
268.0857, 9210.616
268.5678, 9213.804
269.0500, 9233.368
269.5321, 9293.756
270.0142, 9396.065
270.4963, 9532.515
270.9784, 9703.656
271.4605, 9907.438
271.9427, 10140.23
272.4248, 10406.77
272.9069, 10688.63
273.3890, 10981.21
273.8711, 11292.77
274.3532, 11573.86
274.8354, 11808.99
275.3175, 12016.97
275.7996, 12255.93
276.2817, 12535.97
276.7639, 12820.51
277.2460, 13081.91
277.7281, 13316.15
278.2102, 13580.43
278.6923, 13882.38
279.1744, 14215.65
279.6566, 14549.39
280.1387, 14879.05
280.6208, 15240.07
281.1029, 15745.22
281.5850, 16394.90
282.0671, 16762.10
282.5493, 16794.30
283.0314, 16535.21
283.5135, 16023.16
283.9956, 15241.41
284.4777, 14391.28
284.9598, 13566.29
285.4420, 12768.94
285.9241, 12070.08
286.4062, 11472.81
286.8883, 10982.58
287.3704, 10628.62
287.8525, 10411.69
288.3347, 10257.25
288.8168, 10135.87
289.2989, 10043.97
289.7810, 9972.679
290.2631, 9924.128
290.7452, 9888.967
291.2274, 9843.739
291.7095, 9791.302
292.1916, 9764.664
292.6737, 9801.561
293.1558, 9882.353
293.6379, 9938.618
294.1201, 9961.920
294.6022, 9972.226
295.0843, 9993.768
295.5664, 10025.78
296.0485, 10063.87
296.5306, 10109.17
297.0128, 10158.55
297.4949, 10206.53
297.9770, 10252.70
298.4591, 10298.71
298.9412, 10352.61
299.4233, 10410.26
299.9055, 10455.73
300.3876, 10484.54
300.8697, 10494.33
301.3518, 10480.72
301.8339, 10442.56
302.3160, 10384.01
302.7982, 10302.58
303.2803, 10202.80
303.7624, 10098.66
304.2445, 9976.256
304.7266, 9862.010
305.2087, 9785.031
305.6909, 9748.721
306.1730, 9733.039
306.6551, 9726.806
307.1372, 9730.251
307.6193, 9743.720
308.1014, 9772.667
308.5836, 9808.836
309.0657, 9840.933
309.5478, 9868.467
310.0299, 9911.148
310.5120, 9993.870
310.9941, 10095.85
311.4763, 10191.02
311.9584, 10250.77
312.4405, 10314.06
312.9226, 10414.43
313.4047, 10550.87
313.8868, 10675.82
314.3690, 10762.52
314.8511, 10826.40
315.3332, 10883.69
315.8153, 10942.12
316.2974, 10992.30
316.7795, 11035.56
317.2617, 11070.30
317.7438, 11080.61
318.2259, 11038.67
318.7080, 10981.92
319.1901, 10938.83
319.6722, 10911.19
320.1544, 10903.36
320.6365, 10925.12
321.1186, 10970.96
321.6007, 11014.54
322.0828, 11031.50
322.5649, 11055.88
323.0471, 11107.56
323.5292, 11206.29
324.0113, 11310.80
324.4934, 11413.18
324.9755, 11515.93
325.4576, 11630.89
325.9398, 11764.04
326.4219, 11905.64
326.9040, 12052.37
327.3861, 12203.53
327.8682, 12358.14
328.3503, 12539.57
328.8325, 12722.67
329.3146, 12856.73
329.7967, 12948.88
330.2788, 12984.54
330.7610, 12956.58
331.2431, 12852.63
331.7252, 12715.90
332.2073, 12526.70
332.6894, 12314.92
333.1715, 12115.66
333.6537, 11900.97
334.1358, 11746.16
334.6179, 11686.95
335.1000, 11739.63
335.5821, 11777.76
336.0642, 11782.54
336.5464, 11792.67
337.0285, 11862.48
337.5106, 12008.39
337.9927, 12159.89
338.4748, 12292.98
338.9569, 12409.61
339.4391, 12557.59
339.9212, 12746.14
340.4033, 12942.58
340.8854, 13111.19
341.3675, 13253.81
341.8496, 13374.69
342.3318, 13473.83
342.8139, 13553.44
343.2960, 13626.85
343.7781, 13694.99
344.2602, 13750.21
344.7423, 13780.24
345.2245, 13787.53
345.7066, 13800.49
346.1887, 13836.15
346.6708, 13865.43
347.1529, 13821.57
347.6350, 13706.41
348.1172, 13561.97
348.5993, 13415.97
349.0814, 13263.99
349.5635, 13089.24
350.0456, 12882.08
350.5277, 12670.15
351.0099, 12478.69
351.4920, 12309.41
351.9741, 12165.28
352.4562, 12057.95
352.9383, 11974.67
353.4204, 11900.62
353.9026, 11834.65
354.3847, 11777.99
354.8668, 11722.55
355.3489, 11677.33
355.8310, 11661.91
356.3131, 11703.46
356.7953, 11767.56
357.2774, 11827.92
357.7595, 11883.12
358.2416, 11936.87
358.7237, 11967.73
359.2058, 12005.36
359.6880, 12085.94
360.1701, 12257.55
360.6522, 12444.30
361.1343, 12605.09
361.6164, 12742.66
362.0985, 12899.25
362.5807, 13099.90
363.0628, 13320.89
363.5449, 13544.05
364.0270, 13777.34
364.5091, 14000.26
364.9912, 14194.54
365.4734, 14371.14
365.9555, 14570.95
366.4376, 14828.96
366.9197, 15091.22
367.4018, 15331.22
367.8839, 15525.58
368.3661, 15731.90
368.8482, 15943.40
369.3303, 16169.04
369.8124, 16426.13
370.2945, 16715.35
370.7766, 17035.65
371.2588, 17390.52
371.7409, 17784.34
372.2230, 18200.45
372.7051, 18635.04
373.1872, 19084.92
373.6693, 19546.92
374.1515, 20027.50
374.6336, 20492.04
375.1157, 20930.02
375.5978, 21338.18
376.0799, 21737.01
376.5620, 22116.26
377.0442, 22511.62
377.5263, 22977.87
378.0084, 23518.43
378.4905, 24058.23
378.9726, 24577.58
379.4547, 25088.02
379.9369, 25644.27
380.4190, 26245.97
380.9011, 26882.02
381.3832, 27562.79
381.8653, 28283.10
382.3474, 28978.89
382.8296, 29661.63
383.3117, 30288.96
383.7938, 30822.68
384.2759, 31258.21
384.7580, 31572.38
385.2402, 31747.42
385.7223, 31797.84
386.2044, 31747.64
386.6865, 31594.32
387.1686, 31357.97
387.6508, 31042.05
388.1329, 30653.18
388.6150, 30211.40
389.0971, 29680.04
389.5792, 29125.53
390.0613, 28590.37
390.5435, 28078.10
391.0256, 27635.82
391.5077, 27269.00
391.9898, 26992.63
392.4719, 26819.69
392.9540, 26769.74
393.4362, 26811.17
393.9183, 26966.52
394.4004, 27215.27
394.8825, 27469.54
395.3646, 27666.45
395.8467, 27884.53
396.3289, 28174.21
396.8110, 28584.56
397.2931, 28985.78
397.7752, 29324.53
398.2573, 29641.51
398.7394, 30019.45
399.2216, 30542.83
399.7037, 31052.45
400.1858, 31513.96
400.6679, 31928.41
401.1500, 32279.55
401.6321, 32620.69
402.1143, 32860.13
402.5964, 32894.45
403.0785, 32697.75
403.5606, 32345.64
404.0427, 31831.39
404.5248, 31161.57
405.0070, 30423.51
405.4891, 29591.26
405.9712, 28743.11
406.4533, 27919.88
406.9354, 27112.33
407.4175, 26394.84
407.8997, 25767.41
408.3818, 25234.48
408.8639, 24808.57
409.3460, 24485.97
409.8281, 24288.13
410.3102, 24257.25
410.7924, 24364.97
411.2745, 24496.90
411.7566, 24644.41
412.2387, 24834.42
412.7208, 25099.32
413.2029, 25430.20
413.6851, 25805.87
414.1672, 26237.43
414.6493, 26696.93
415.1314, 27150.06
415.6135, 27594.93
416.0956, 28071.66
416.5778, 28631.01
417.0599, 29222.38
417.5420, 29795.32
418.0241, 30335.84
418.5062, 30845.39
418.9883, 31350.32
419.4705, 31829.04
419.9526, 32200.34
420.4347, 32424.98
420.9168, 32539.87
421.3989, 32564.10
421.8810, 32495.15
422.3632, 32350.38
422.8453, 32082.80
423.3274, 31757.27
423.8095, 31459.06
424.2916, 31154.35
424.7737, 30928.41
425.2559, 30803.85
425.7380, 30785.25
426.2201, 30799.84
426.7022, 30840.53
427.1843, 30920.28
427.6664, 31055.46
428.1486, 31281.66
428.6307, 31484.40
429.1128, 31653.94
429.5949, 31792.14
430.0770, 31930.72
430.5591, 32102.52
431.0413, 32161.12
431.5234, 32031.99
432.0055, 31716.35
432.4876, 31258.32
432.9697, 30666.77
433.4518, 29930.28
433.9340, 28987.64
434.4161, 27857.42
434.8982, 26709.91
435.3803, 25593.55
435.8624, 24513.48
436.3445, 23443.24
436.8267, 22397.61
437.3088, 21419.99
437.7909, 20543.58
438.2730, 19762.31
438.7551, 19067.97
439.2372, 18464.93
439.7194, 17934.11
440.2015, 17472.36
440.6836, 17072.44
441.1657, 16728.95
441.6479, 16441.46
442.1300, 16203.01
442.6121, 16010.20
443.0942, 15863.45
443.5763, 15758.21
444.0584, 15707.87
444.5406, 15693.21
445.0227, 15691.39
445.5048, 15664.74
445.9869, 15685.82
446.4690, 15787.50
446.9511, 15965.89
447.4333, 16136.93
447.9154, 16253.55
448.3975, 16400.13
448.8796, 16626.02
449.3617, 16967.42
449.8438, 17308.17
450.3260, 17641.63
450.8081, 17977.24
451.2902, 18326.17
451.7723, 18686.94
452.2544, 19074.14
452.7365, 19489.70
453.2187, 19937.06
453.7008, 20381.42
454.1829, 20821.65
454.6650, 21274.45
455.1471, 21760.55
455.6292, 22278.73
456.1114, 22785.66
456.5935, 23275.49
457.0756, 23743.05
457.5577, 24201.49
458.0398, 24640.60
458.5219, 25022.96
459.0041, 25360.74
459.4862, 25611.22
459.9683, 25702.69
460.4504, 25625.65
460.9325, 25420.15
461.4146, 25084.99
461.8968, 24646.54
462.3789, 24151.68
462.8610, 23570.32
463.3431, 22972.68
463.8252, 22371.39
464.3073, 21772.29
464.7895, 21224.83
465.2716, 20741.05
465.7537, 20314.21
466.2358, 19945.27
466.7179, 19638.63
467.2000, 19384.63
467.6822, 19195.99
468.1643, 19055.49
468.6464, 18928.58
469.1285, 18826.52
469.6106, 18720.29
470.0927, 18596.00
470.5749, 18452.00
471.0570, 18327.95
471.5391, 18226.94
472.0212, 18139.29
472.5033, 18060.67
472.9854, 17992.05
473.4676, 17917.46
473.9497, 17831.10
474.4318, 17743.21
474.9139, 17679.99
475.3960, 17640.77
475.8781, 17602.00
476.3603, 17545.30
476.8424, 17481.10
477.3245, 17436.55
477.8066, 17415.08
478.2887, 17394.03
478.7708, 17334.21
479.2530, 17262.96
479.7351, 17228.68
480.2172, 17265.54
480.6993, 17325.79
481.1814, 17390.77
481.6635, 17455.27
482.1457, 17499.54
482.6278, 17472.96
483.1099, 17452.14
483.5920, 17487.62
484.0741, 17606.20
484.5562, 17724.16
485.0384, 17850.64
485.5205, 17960.75
486.0026, 18019.55
486.4847, 17971.71
486.9668, 17945.03
487.4489, 17971.11
487.9311, 18043.57
488.4132, 18091.25
488.8953, 18101.29
489.3774, 18111.68
489.8595, 18144.55
490.3416, 18201.44
490.8238, 18276.44
491.3059, 18372.69
491.7880, 18482.71
492.2701, 18584.70
492.7522, 18681.35
493.2343, 18802.81
493.7165, 18977.94
494.1986, 19180.45
494.6807, 19339.64
495.1628, 19459.07
495.6450, 19581.52
496.1271, 19754.07
496.6092, 19948.30
497.0913, 20124.71
497.5734, 20267.68
498.0555, 20407.55
498.5377, 20562.72
499.0198, 20731.37
499.5019, 20910.90
499.9840, 21148.89
500.4661, 21353.79
500.9482, 21482.78
501.4304, 21531.14
501.9125, 21552.77
502.3946, 21559.48
502.8767, 21540.05
503.3588, 21486.37
503.8409, 21387.93
504.3231, 21270.60
504.8052, 21131.39
505.2873, 20973.95
505.7694, 20807.01
506.2515, 20625.06
506.7336, 20446.84
507.2158, 20270.54
507.6979, 20099.29
508.1800, 19977.86
508.6621, 19909.83
509.1442, 19875.45
509.6263, 19857.37
510.1085, 19857.65
510.5906, 19885.79
511.0727, 19945.00
511.5548, 20031.45
512.0369, 20145.20
512.5190, 20283.60
513.0012, 20437.87
513.4833, 20608.76
513.9654, 20789.75
514.4475, 20969.08
514.9296, 21147.30
515.4117, 21347.70
515.8939, 21611.60
516.3760, 21888.50
516.8581, 22135.69
517.3402, 22329.85
517.8223, 22512.97
518.3044, 22707.99
518.7866, 22896.99
519.2687, 23039.82
519.7508, 23126.80
520.2329, 23181.78
520.7150, 23219.08
521.1971, 23241.22
521.6793, 23186.56
522.1614, 23045.47
522.6435, 22847.39
523.1256, 22613.61
523.6077, 22345.62
524.0898, 22031.80
524.5720, 21660.91
525.0541, 21258.67
525.5362, 20862.79
526.0183, 20476.32
526.5004, 20096.70
526.9825, 19708.32
527.4647, 19334.27
527.9468, 18995.00
528.4289, 18689.63
528.9110, 18426.04
529.3931, 18227.01
529.8752, 18060.64
530.3574, 17892.05
530.8395, 17701.67
531.3216, 17532.34
531.8037, 17409.11
532.2858, 17316.54
532.7679, 17226.42
533.2501, 17116.23
533.7322, 17025.16
534.2143, 16962.21
534.6964, 16927.46
535.1785, 16929.41
535.6606, 16995.82
536.1428, 17066.66
536.6249, 17099.95
537.1070, 17068.29
537.5891, 17104.12
538.0712, 17235.92
538.5533, 17397.65
539.0355, 17475.09
539.5176, 17466.75
539.9997, 17489.77
540.4818, 17599.64
540.9639, 17752.13
541.4460, 17840.07
541.9282, 17868.81
542.4103, 17896.11
542.8924, 17968.32
543.3745, 18059.48
543.8566, 18137.69
544.3387, 18200.27
544.8209, 18246.33
545.3030, 18258.32
545.7851, 18259.47
546.2672, 18278.72
546.7493, 18364.33
547.2314, 18427.31
547.7136, 18427.70
548.1957, 18380.17
548.6778, 18348.90
549.1599, 18344.13
549.6420, 18351.52
550.1241, 18372.08
550.6063, 18412.44
551.0884, 18427.46
551.5705, 18417.61
552.0526, 18382.14
552.5347, 18313.63
553.0168, 18209.61
553.4990, 18108.27
553.9811, 18016.44
554.4632, 17928.38
554.9453, 17832.52
555.4274, 17730.41
555.9095, 17634.04
556.3917, 17557.51
556.8738, 17486.98
557.3559, 17397.13
557.8380, 17289.92
558.3201, 17190.49
558.8022, 17111.17
559.2844, 17050.97
559.7665, 17006.91
560.2486, 16968.13
560.7307, 16967.34
561.2128, 17025.91
561.6949, 17125.63
562.1771, 17239.77
562.6592, 17364.72
563.1413, 17500.82
563.6234, 17649.32
564.1055, 17808.32
564.5876, 17972.71
565.0698, 18137.56
565.5519, 18318.37
566.0340, 18531.84
566.5161, 18779.15
566.9982, 19013.19
567.4803, 19230.38
567.9625, 19451.54
568.4446, 19712.51
568.9267, 20001.68
569.4088, 20259.10
569.8909, 20466.06
570.3730, 20643.55
570.8552, 20821.31
571.3373, 20994.38
571.8194, 21153.64
572.3015, 21311.68
572.7836, 21438.85
573.2657, 21507.98
573.7479, 21517.45
574.2300, 21505.67
