##NAMES=Uramarsite
##RRUFFID=R061122
##IDEAL CHEMISTRY=N^3-^H_4_(U^6+^O_2_)As^5+^O_4_&#183;3H_2_O
##LOCALITY=Bota-Burum Uranium deposit, Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brownish green cleavage fragment, co-type material
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061122
275.9066, 635.8903
276.3888, 643.7377
276.8709, 647.4155
277.3530, 646.8085
277.8351, 644.0244
278.3172, 638.3515
278.7993, 631.7759
279.2815, 626.8510
279.7636, 623.9789
280.2457, 621.9541
280.7278, 619.5397
281.2099, 617.0857
281.6920, 616.5723
282.1742, 619.4353
282.6563, 623.1757
283.1384, 624.9958
283.6205, 625.0597
284.1026, 623.0807
284.5847, 616.1502
285.0669, 607.7933
285.5490, 604.7993
286.0311, 609.0208
286.5132, 615.2045
286.9953, 619.0226
287.4774, 620.4808
287.9596, 617.9638
288.4417, 605.1016
288.9238, 592.1448
289.4059, 589.2055
289.8880, 596.3791
290.3701, 606.8613
290.8523, 617.2635
291.3344, 626.8331
291.8165, 630.2976
292.2986, 622.1208
292.7807, 613.9126
293.2628, 609.9261
293.7450, 609.9857
294.2271, 614.3343
294.7092, 624.0435
295.1913, 636.0452
295.6734, 639.7844
296.1555, 627.1258
296.6377, 616.9326
297.1198, 611.9524
297.6019, 610.5026
298.0840, 611.3491
298.5661, 613.9952
299.0482, 617.2143
299.5304, 619.1083
300.0125, 619.6783
300.4946, 618.6710
300.9767, 615.9717
301.4588, 611.9968
301.9409, 605.0358
302.4231, 596.2272
302.9052, 590.4802
303.3873, 593.7747
303.8694, 607.8724
304.3515, 614.4937
304.8336, 604.0659
305.3158, 595.8229
305.7979, 598.8922
306.2800, 608.5985
306.7621, 614.6857
307.2442, 609.9843
307.7263, 597.6096
308.2085, 591.2618
308.6906, 596.0021
309.1727, 598.7607
309.6548, 594.4186
310.1369, 587.8569
310.6190, 584.2762
311.1012, 585.5307
311.5833, 589.5203
312.0654, 593.4664
312.5475, 597.4412
313.0296, 600.9120
313.5117, 603.8884
313.9939, 606.1431
314.4760, 607.9955
314.9581, 609.3189
315.4402, 608.6450
315.9223, 604.1353
316.4044, 596.3234
316.8866, 587.9630
317.3687, 577.6278
317.8508, 569.7471
318.3329, 568.3519
318.8150, 571.9047
319.2971, 576.1130
319.7793, 583.3214
320.2614, 588.5393
320.7435, 580.7795
321.2256, 558.4948
321.7077, 541.5921
322.1898, 545.1229
322.6720, 561.9200
