##NAMES=Galeite
##RRUFFID=R130025
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless hexagonal prisms with tapering pyramidal terminations, associated with gaylussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130025
2.083539e+002, 2.484510e+002
2.088360e+002, 2.490197e+002
2.093181e+002, 2.494926e+002
2.098002e+002, 2.497730e+002
2.102823e+002, 2.497688e+002
2.107644e+002, 2.494658e+002
2.112466e+002, 2.490020e+002
2.117287e+002, 2.481659e+002
2.122108e+002, 2.473841e+002
2.126929e+002, 2.467462e+002
2.131750e+002, 2.463003e+002
2.136571e+002, 2.461342e+002
2.141393e+002, 2.463928e+002
2.146214e+002, 2.472126e+002
2.151035e+002, 2.474517e+002
2.155856e+002, 2.466444e+002
2.160677e+002, 2.458088e+002
2.165498e+002, 2.454718e+002
2.170320e+002, 2.456087e+002
2.175141e+002, 2.458777e+002
2.179962e+002, 2.460006e+002
2.184783e+002, 2.459692e+002
2.189604e+002, 2.456980e+002
2.194425e+002, 2.448056e+002
2.199247e+002, 2.440063e+002
2.204068e+002, 2.438662e+002
2.208889e+002, 2.443379e+002
2.213710e+002, 2.448315e+002
2.218531e+002, 2.448350e+002
2.223352e+002, 2.443002e+002
2.228174e+002, 2.438308e+002
2.232995e+002, 2.433465e+002
2.237816e+002, 2.429808e+002
2.242637e+002, 2.430031e+002
2.247458e+002, 2.433887e+002
2.252279e+002, 2.435659e+002
2.257100e+002, 2.429708e+002
2.261922e+002, 2.416855e+002
2.266743e+002, 2.405681e+002
2.271564e+002, 2.397455e+002
2.276385e+002, 2.390659e+002
2.281206e+002, 2.383240e+002
2.286027e+002, 2.375012e+002
2.290849e+002, 2.369582e+002
2.295670e+002, 2.372379e+002
2.300491e+002, 2.380103e+002
2.305312e+002, 2.383500e+002
2.310133e+002, 2.377714e+002
2.314954e+002, 2.368782e+002
2.319776e+002, 2.363200e+002
2.324597e+002, 2.361191e+002
2.329418e+002, 2.360989e+002
2.334239e+002, 2.363233e+002
2.339060e+002, 2.366278e+002
2.343881e+002, 2.367393e+002
2.348703e+002, 2.364715e+002
2.353524e+002, 2.360805e+002
2.358345e+002, 2.359319e+002
2.363166e+002, 2.360779e+002
2.367987e+002, 2.362458e+002
2.372808e+002, 2.363650e+002
2.377630e+002, 2.364055e+002
2.382451e+002, 2.363108e+002
2.387272e+002, 2.360409e+002
2.392093e+002, 2.356602e+002
2.396914e+002, 2.352585e+002
2.401735e+002, 2.348232e+002
2.406557e+002, 2.344035e+002
2.411378e+002, 2.340342e+002
2.416199e+002, 2.336827e+002
2.421020e+002, 2.333194e+002
2.425841e+002, 2.329346e+002
2.430662e+002, 2.325379e+002
2.435484e+002, 2.321221e+002
2.440305e+002, 2.316367e+002
2.445126e+002, 2.312810e+002
2.449947e+002, 2.311061e+002
2.454768e+002, 2.310726e+002
2.459589e+002, 2.312341e+002
2.464410e+002, 2.316263e+002
2.469232e+002, 2.320115e+002
2.474053e+002, 2.319440e+002
2.478874e+002, 2.312242e+002
2.483695e+002, 2.305111e+002
2.488516e+002, 2.299595e+002
2.493337e+002, 2.294388e+002
2.498159e+002, 2.287800e+002
2.502980e+002, 2.279421e+002
2.507801e+002, 2.271477e+002
2.512622e+002, 2.268024e+002
2.517443e+002, 2.271385e+002
2.522264e+002, 2.274145e+002
2.527086e+002, 2.276566e+002
2.531907e+002, 2.277666e+002
2.536728e+002, 2.275851e+002
2.541549e+002, 2.271058e+002
2.546370e+002, 2.265701e+002
2.551191e+002, 2.263974e+002
2.556013e+002, 2.269314e+002
2.560834e+002, 2.270744e+002
2.565655e+002, 2.265746e+002
2.570476e+002, 2.259257e+002
2.575297e+002, 2.253861e+002
2.580118e+002, 2.250332e+002
2.584940e+002, 2.248547e+002
2.589761e+002, 2.248833e+002
2.594582e+002, 2.253533e+002
2.599403e+002, 2.254123e+002
2.604224e+002, 2.245841e+002
2.609045e+002, 2.237973e+002
2.613867e+002, 2.237249e+002
2.618688e+002, 2.243730e+002
2.623509e+002, 2.252201e+002
2.628330e+002, 2.257054e+002
2.633151e+002, 2.258331e+002
2.637972e+002, 2.255049e+002
2.642794e+002, 2.242407e+002
2.647615e+002, 2.230145e+002
2.652436e+002, 2.223277e+002
2.657257e+002, 2.222107e+002
2.662078e+002, 2.224694e+002
2.666899e+002, 2.229799e+002
2.671721e+002, 2.238443e+002
2.676542e+002, 2.242460e+002
2.681363e+002, 2.239216e+002
2.686184e+002, 2.234783e+002
2.691005e+002, 2.231243e+002
2.695826e+002, 2.229030e+002
2.700648e+002, 2.228629e+002
2.705469e+002, 2.231011e+002
2.710290e+002, 2.236409e+002
2.715111e+002, 2.236485e+002
2.719932e+002, 2.224939e+002
2.724753e+002, 2.215409e+002
2.729575e+002, 2.215175e+002
2.734396e+002, 2.222018e+002
2.739217e+002, 2.229318e+002
2.744038e+002, 2.232800e+002
2.748859e+002, 2.232682e+002
2.753680e+002, 2.231359e+002
2.758501e+002, 2.228161e+002
2.763322e+002, 2.224805e+002
2.768144e+002, 2.221235e+002
2.772965e+002, 2.217912e+002
2.777786e+002, 2.216040e+002
2.782607e+002, 2.216529e+002
2.787428e+002, 2.218593e+002
2.792249e+002, 2.218763e+002
2.797071e+002, 2.215466e+002
2.801892e+002, 2.212537e+002
2.806713e+002, 2.209713e+002
2.811534e+002, 2.208039e+002
2.816355e+002, 2.210415e+002
2.821176e+002, 2.218789e+002
2.825998e+002, 2.229673e+002
2.830819e+002, 2.233432e+002
2.835640e+002, 2.226674e+002
2.840461e+002, 2.220571e+002
2.845282e+002, 2.217605e+002
2.850103e+002, 2.216580e+002
2.854925e+002, 2.215830e+002
2.859746e+002, 2.214823e+002
2.864567e+002, 2.213881e+002
2.869388e+002, 2.213779e+002
2.874209e+002, 2.215159e+002
2.879030e+002, 2.215198e+002
2.883852e+002, 2.211968e+002
2.888673e+002, 2.207755e+002
2.893494e+002, 2.205321e+002
2.898315e+002, 2.205303e+002
2.903136e+002, 2.206737e+002
2.907957e+002, 2.209040e+002
2.912779e+002, 2.212525e+002
2.917600e+002, 2.214000e+002
2.922421e+002, 2.211800e+002
2.927242e+002, 2.208194e+002
2.932063e+002, 2.205412e+002
2.936884e+002, 2.203721e+002
2.941706e+002, 2.201934e+002
2.946527e+002, 2.198294e+002
2.951348e+002, 2.192933e+002
2.956169e+002, 2.190949e+002
2.960990e+002, 2.195302e+002
2.965811e+002, 2.201086e+002
2.970633e+002, 2.204640e+002
2.975454e+002, 2.205879e+002
2.980275e+002, 2.206581e+002
2.985096e+002, 2.208418e+002
2.989917e+002, 2.210684e+002
2.994738e+002, 2.209924e+002
2.999560e+002, 2.203817e+002
3.004381e+002, 2.196889e+002
3.009202e+002, 2.190369e+002
3.014023e+002, 2.184789e+002
3.018844e+002, 2.182682e+002
3.023665e+002, 2.186432e+002
3.028487e+002, 2.193858e+002
3.033308e+002, 2.198524e+002
3.038129e+002, 2.201382e+002
3.042950e+002, 2.200532e+002
3.047771e+002, 2.191351e+002
3.052592e+002, 2.177533e+002
3.057414e+002, 2.169403e+002
3.062235e+002, 2.172061e+002
3.067056e+002, 2.179959e+002
3.071877e+002, 2.182034e+002
