##NAMES=Chistyakovaite
##RRUFFID=R070024
##IDEAL CHEMISTRY=Al(U^6+^O_2_)_2_(As^5+^O_4_)_2_F&#183;6.5H_2_O
##LOCALITY=Bota-Burum U deposit, Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Platy fragment of a pale yellow crystal, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070024
341.1550, 981.1101
341.6371, 992.7607
342.1192, 1002.655
342.6013, 1001.122
343.0834, 991.3710
343.5656, 980.2950
344.0477, 969.1815
344.5298, 960.9543
345.0119, 962.3396
345.4940, 977.3750
345.9761, 984.9600
346.4583, 975.8951
346.9404, 962.9963
347.4225, 957.5405
347.9046, 960.2108
348.3867, 965.1603
348.8688, 967.8538
349.3510, 968.2983
349.8331, 967.4917
350.3152, 964.1859
350.7973, 961.2104
351.2794, 958.6601
351.7615, 957.1294
352.2437, 958.0131
352.7258, 961.9666
353.2079, 967.1527
353.6900, 969.2139
354.1721, 965.2033
354.6542, 963.7262
355.1364, 967.6141
355.6185, 971.8720
356.1006, 972.7650
356.5827, 970.2774
357.0648, 967.2928
357.5469, 966.5219
358.0291, 967.9277
358.5112, 969.5193
358.9933, 973.4595
359.4754, 974.3699
359.9575, 966.3453
360.4396, 955.0124
360.9218, 950.1437
361.4039, 957.5885
361.8860, 969.8127
362.3681, 975.2463
362.8502, 973.4081
363.3323, 970.0886
363.8145, 964.1271
364.2966, 960.0585
364.7787, 963.9631
365.2608, 976.8519
365.7430, 988.6110
366.2251, 994.2963
366.7072, 994.9731
367.1893, 991.4714
367.6714, 983.1392
368.1535, 975.7441
368.6357, 975.5895
369.1178, 981.9287
369.5999, 984.9760
370.0820, 979.0560
370.5641, 974.4287
371.0462, 980.8218
371.5284, 994.1200
372.0105, 1001.017
372.4926, 994.1760
372.9747, 980.0937
373.4568, 975.2298
373.9389, 987.5649
374.4211, 997.5229
374.9032, 1004.357
375.3853, 1008.576
375.8674, 1008.237
376.3495, 1004.455
376.8316, 1003.733
377.3138, 1014.210
377.7959, 1037.416
378.2780, 1049.458
378.7601, 1041.146
379.2422, 1030.634
379.7243, 1017.189
380.2065, 1005.648
380.6886, 1004.049
381.1707, 1016.964
381.6528, 1036.076
382.1349, 1045.101
382.6170, 1041.645
383.0992, 1037.583
383.5813, 1030.633
384.0634, 1027.496
384.5455, 1035.497
385.0276, 1053.852
385.5097, 1070.954
385.9919, 1076.877
386.4740, 1075.864
386.9561, 1080.569
387.4382, 1093.325
387.9203, 1105.523
388.4024, 1111.962
388.8846, 1113.569
389.3667, 1112.199
389.8488, 1102.860
390.3309, 1097.120
390.8130, 1105.883
391.2951, 1124.293
391.7773, 1138.819
392.2594, 1144.733
392.7415, 1146.092
393.2236, 1148.779
393.7057, 1152.693
394.1878, 1158.617
394.6700, 1167.689
395.1521, 1177.953
395.6342, 1188.788
396.1163, 1199.669
396.5984, 1209.729
397.0805, 1218.560
397.5627, 1225.861
398.0448, 1229.388
398.5269, 1229.730
399.0090, 1224.935
399.4911, 1212.060
399.9732, 1195.539
400.4554, 1178.460
400.9375, 1161.989
401.4196, 1147.680
401.9017, 1139.406
402.3838, 1138.358
402.8659, 1129.466
403.3481, 1104.273
403.8302, 1080.713
404.3123, 1070.087
404.7944, 1067.595
405.2765, 1062.148
405.7586, 1046.360
406.2408, 1028.267
406.7229, 1020.059
407.2050, 1021.784
407.6871, 1024.433
408.1692, 1025.251
408.6513, 1024.829
409.1335, 1023.990
409.6156, 1022.642
410.0977, 1021.490
410.5798, 1022.562
411.0619, 1023.098
411.5440, 1018.836
412.0262, 1009.571
412.5083, 998.9282
412.9904, 988.5686
413.4725, 978.9579
413.9546, 977.6823
414.4367, 994.4291
414.9189, 1006.502
415.4010, 1004.773
415.8831, 996.2787
416.3652, 989.3273
416.8473, 986.8986
417.3294, 988.4143
417.8116, 993.9212
418.2937, 1005.644
418.7758, 1013.439
419.2579, 1018.873
419.7400, 1018.656
420.2221, 1004.493
420.7043, 983.8826
421.1864, 973.2745
421.6685, 984.1388
422.1506, 1005.818
422.6327, 1017.271
423.1148, 1017.319
423.5970, 1013.967
424.0791, 1006.478
424.5612, 999.0596
425.0433, 997.2703
425.5254, 1001.530
426.0075, 1003.356
426.4897, 994.3919
426.9718, 982.0333
427.4539, 979.2254
427.9360, 987.2277
428.4181, 996.2428
428.9002, 998.9246
429.3824, 996.9437
429.8645, 1000.469
430.3466, 1019.459
430.8287, 1031.313
431.3108, 1021.613
431.7929, 1004.596
432.2751, 1000.713
432.7572, 1014.623
433.2393, 1033.150
433.7214, 1039.357
434.2035, 1030.013
434.6856, 1026.835
435.1678, 1035.344
435.6499, 1044.257
436.1320, 1049.771
436.6141, 1053.401
437.0962, 1057.734
437.5783, 1063.907
438.0605, 1071.676
438.5426, 1082.900
439.0247, 1099.017
439.5068, 1106.023
439.9889, 1094.150
440.4710, 1079.430
440.9532, 1072.539
441.4353, 1073.543
441.9174, 1081.783
442.3995, 1105.242
442.8816, 1131.154
443.3637, 1140.420
443.8459, 1133.985
444.3280, 1129.871
444.8101, 1138.045
445.2922, 1153.407
445.7743, 1162.198
446.2564, 1161.295
446.7386, 1161.859
447.2207, 1167.165
447.7028, 1173.754
448.1849, 1177.145
448.6670, 1177.795
449.1491, 1181.432
449.6313, 1193.887
450.1134, 1213.867
450.5955, 1224.698
451.0776, 1216.493
451.5597, 1212.298
452.0418, 1218.197
452.5240, 1228.425
453.0061, 1237.207
453.4882, 1243.199
453.9703, 1249.049
454.4524, 1258.645
454.9345, 1271.322
455.4167, 1279.814
455.8988, 1282.813
456.3809, 1283.484
456.8630, 1283.475
457.3451, 1282.604
457.8272, 1280.141
458.3094, 1274.464
458.7915, 1269.424
459.2736, 1268.626
459.7557, 1270.420
460.2378, 1271.378
460.7199, 1270.768
461.2021, 1266.994
461.6842, 1257.106
462.1663, 1239.125
462.6484, 1227.403
463.1305, 1224.179
463.6126, 1224.404
464.0948, 1229.055
464.5769, 1234.947
465.0590, 1236.630
465.5411, 1231.615
466.0232, 1223.171
466.5053, 1217.913
466.9875, 1217.908
467.4696, 1213.612
467.9517, 1199.372
468.4338, 1185.201
468.9159, 1175.636
469.3980, 1170.012
469.8802, 1166.134
470.3623, 1164.540
470.8444, 1162.350
471.3265, 1153.600
471.8086, 1138.638
472.2907, 1127.133
472.7729, 1122.625
473.2550, 1122.507
473.7371, 1125.010
474.2192, 1131.072
474.7013, 1131.124
475.1834, 1119.514
475.6656, 1104.365
476.1477, 1089.217
476.6298, 1075.958
477.1119, 1069.916
477.5940, 1074.926
478.0761, 1085.625
478.5583, 1086.117
479.0404, 1064.996
479.5225, 1053.935
480.0046, 1064.104
480.4867, 1074.973
480.9688, 1073.301
481.4510, 1059.983
481.9331, 1043.553
482.4152, 1027.975
482.8973, 1014.521
483.3794, 1008.065
483.8615, 1010.183
484.3437, 1009.878
484.8258, 999.5422
485.3079, 988.0949
485.7900, 988.3054
486.2721, 1001.610
486.7542, 1011.047
487.2364, 1007.620
487.7185, 998.7659
488.2006, 991.3950
488.6827, 986.3071
489.1649, 984.5853
489.6470, 987.9313
490.1291, 993.3624
490.6112, 990.8642
491.0933, 968.4695
491.5754, 954.4377
492.0576, 955.5118
492.5397, 960.1959
493.0218, 961.3455
493.5039, 958.0697
493.9860, 951.6065
494.4681, 941.4163
494.9503, 929.9683
495.4324, 927.9226
495.9145, 939.5478
496.3966, 946.1785
496.8787, 937.3547
497.3608, 924.1236
497.8430, 916.0381
498.3251, 913.6759
498.8072, 915.5305
499.2893, 927.8924
499.7714, 940.3247
500.2535, 934.9729
500.7357, 913.2520
501.2178, 895.9412
501.6999, 895.1234
502.1820, 905.7776
502.6641, 913.6226
503.1462, 920.7279
503.6284, 921.3712
504.1105, 908.5630
504.5926, 894.6675
505.0747, 888.6717
505.5568, 890.1450
506.0389, 893.9052
506.5211, 896.8143
507.0032, 898.7701
507.4853, 899.4092
507.9674, 898.7568
508.4495, 896.6056
508.9316, 890.4162
509.4138, 884.7306
509.8959, 884.1630
510.3780, 888.3954
510.8601, 891.7243
511.3422, 889.3307
511.8243, 886.2139
512.3065, 889.9464
512.7886, 899.3644
513.2707, 905.6678
513.7528, 904.1287
514.2349, 899.0158
514.7170, 899.0653
515.1992, 908.2435
515.6813, 914.1748
516.1634, 917.4327
516.6455, 916.9783
517.1276, 909.3887
517.6097, 897.6932
518.0919, 888.9778
518.5740, 887.4152
519.0561, 889.1813
519.5382, 884.5692
520.0203, 871.0694
520.5024, 867.8862
520.9846, 886.3667
521.4667, 906.7337
521.9488, 912.8119
522.4309, 907.9094
522.9130, 904.8853
523.3951, 909.1724
523.8773, 915.6253
524.3594, 921.7103
524.8415, 926.5587
525.3236, 927.0095
525.8057, 921.7415
526.2878, 914.6293
526.7700, 910.9474
527.2521, 911.6257
527.7342, 910.7679
528.2163, 907.4641
528.6984, 903.8466
529.1805, 897.5449
529.6627, 892.5339
530.1448, 896.8831
530.6269, 913.1597
531.1090, 928.6420
531.5911, 924.8663
532.0732, 903.3177
532.5554, 888.5916
533.0375, 883.9191
533.5196, 882.4566
534.0017, 882.8859
534.4838, 882.9202
534.9659, 876.9008
535.4481, 859.4440
535.9302, 845.0667
536.4123, 843.5933
536.8944, 847.8657
537.3765, 847.4504
537.8586, 841.2073
538.3408, 835.3278
538.8229, 835.1724
539.3050, 839.9883
539.7871, 843.9002
540.2692, 849.9631
540.7513, 850.0995
541.2335, 834.1727
541.7156, 818.8763
542.1977, 820.9709
542.6798, 839.3217
543.1619, 856.0991
543.6440, 857.4838
544.1262, 849.3607
544.6083, 844.0622
545.0904, 841.6679
545.5725, 837.5468
546.0546, 828.6344
546.5367, 818.6340
547.0189, 813.7618
547.5010, 814.4724
547.9831, 816.8746
548.4652, 825.2399
548.9473, 830.9154
549.4294, 824.9438
549.9116, 812.2618
550.3937, 803.4573
550.8758, 803.4839
551.3579, 809.7585
551.8400, 819.7592
552.3221, 835.5043
552.8043, 842.9717
553.2864, 834.1791
553.7685, 826.3177
554.2506, 831.2995
554.7327, 842.5712
555.2148, 847.3806
555.6970, 840.4525
556.1791, 831.3517
556.6612, 826.5468
557.1433, 824.7294
557.6254, 823.0038
558.1075, 820.9002
558.5897, 820.3608
559.0718, 823.6480
559.5539, 830.0181
560.0360, 832.4230
560.5181, 827.3467
561.0002, 822.6232
561.4824, 818.9463
561.9645, 815.8762
562.4466, 812.2696
562.9287, 808.6093
563.4108, 807.4523
563.8929, 811.8909
564.3751, 819.2417
564.8572, 822.9831
565.3393, 822.9453
565.8214, 821.6826
566.3035, 818.9307
566.7856, 816.7050
567.2678, 818.7307
567.7499, 825.1706
568.2320, 829.1530
568.7141, 829.0923
569.1962, 827.0840
569.6783, 823.7691
570.1605, 819.5384
570.6426, 813.9263
571.1247, 807.0261
571.6068, 801.9801
572.0889, 804.5665
572.5710, 815.8251
573.0532, 821.1799
573.5353, 817.2992
574.0174, 812.7272
574.4995, 810.5759
574.9816, 809.9634
575.4637, 810.1768
575.9459, 811.3627
576.4280, 811.7424
576.9101, 810.2892
577.3922, 807.4304
577.8743, 802.6974
578.3564, 796.6102
578.8386, 793.0447
579.3207, 794.8425
579.8028, 799.2310
580.2849, 797.9329
580.7670, 781.9385
581.2491, 777.1103
581.7313, 791.9552
582.2134, 808.4918
582.6955, 818.3881
583.1776, 822.3945
583.6597, 823.8343
584.1418, 823.7742
584.6240, 822.8364
585.1061, 821.0242
585.5882, 818.7859
586.0703, 819.2911
586.5524, 823.8484
587.0345, 826.7151
587.5167, 821.7409
587.9988, 810.4444
588.4809, 805.5971
588.9630, 812.2469
589.4451, 817.8447
589.9272, 819.7070
590.4094, 819.8784
590.8915, 820.1541
591.3736, 820.6741
591.8557, 820.7369
592.3378, 820.0197
592.8199, 818.2250
593.3021, 813.5532
593.7842, 805.2818
594.2663, 800.6769
594.7484, 803.8454
595.2305, 808.0795
595.7126, 804.0648
596.1948, 793.6594
596.6769, 790.2587
597.1590, 801.6490
597.6411, 814.1768
598.1232, 824.1924
598.6053, 829.6736
599.0875, 824.7001
599.5696, 809.4263
600.0517, 795.3425
600.5338, 795.2540
601.0159, 807.0771
601.4980, 809.7134
601.9802, 797.0511
602.4623, 789.3418
602.9444, 796.5338
603.4265, 808.4926
603.9086, 817.9371
604.3907, 824.4521
604.8729, 827.5178
605.3550, 824.9526
605.8371, 820.5623
606.3192, 817.3610
606.8013, 815.1437
607.2834, 812.9733
607.7656, 810.5403
608.2477, 808.6599
608.7298, 808.7622
609.2119, 811.1949
609.6940, 810.8966
610.1761, 803.7711
610.6583, 799.6995
611.1404, 803.3196
611.6225, 809.8012
612.1046, 814.7309
612.5867, 817.3739
613.0688, 818.2837
613.5510, 816.5759
614.0331, 814.0329
614.5152, 813.5754
614.9973, 814.7541
615.4794, 814.6743
615.9615, 812.0817
616.4437, 807.9122
616.9258, 802.8925
617.4079, 795.0806
617.8900, 795.0931
618.3721, 815.2230
618.8542, 829.0596
619.3364, 824.8974
619.8185, 812.2875
620.3006, 801.5806
620.7827, 795.3751
621.2648, 794.9925
