##NAMES=Epidote
##RRUFFID=R110127
##IDEAL CHEMISTRY=Ca_2_Fe^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Alchori, Pakistan
##OWNER=RRUFF
##SOURCE=Jack Lowell
##DESCRIPTION=Pale brown transparent prismatic crystals associated with green diopside, R110128
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110127
508.9695, 1078.249
509.4516, 1083.153
509.9337, 1085.411
510.4158, 1086.359
510.8979, 1086.956
511.3800, 1087.405
511.8622, 1088.713
512.3443, 1091.525
512.8264, 1094.761
513.3085, 1097.035
513.7906, 1098.527
514.2728, 1099.874
514.7549, 1101.841
515.2370, 1103.571
515.7191, 1104.018
516.2012, 1103.037
516.6833, 1102.482
517.1655, 1103.616
517.6476, 1105.352
518.1297, 1106.784
518.6118, 1108.718
519.0939, 1109.113
519.5760, 1107.022
520.0582, 1103.189
520.5403, 1099.375
521.0224, 1095.567
521.5045, 1091.848
521.9866, 1088.257
522.4688, 1084.771
522.9509, 1081.230
523.4330, 1077.523
523.9151, 1073.926
524.3972, 1070.586
524.8793, 1067.510
525.3615, 1064.872
525.8436, 1062.777
526.3257, 1060.787
526.8078, 1058.454
527.2899, 1055.726
527.7720, 1052.396
528.2542, 1048.310
528.7363, 1043.675
529.2184, 1038.651
529.7005, 1033.289
530.1826, 1027.621
530.6647, 1021.404
531.1469, 1015.085
531.6290, 1009.091
532.1111, 1003.688
532.5932, 997.8124
533.0753, 990.6289
533.5574, 982.9470
534.0396, 975.7256
534.5217, 968.9075
535.0038, 962.7680
535.4859, 957.4100
535.9680, 952.7323
536.4501, 948.3642
536.9323, 944.3801
537.4144, 940.5809
537.8965, 936.8210
538.3786, 933.0912
538.8607, 930.0880
539.3428, 927.8455
539.8250, 926.2636
540.3071, 925.6251
540.7892, 925.7892
541.2713, 925.2430
541.7534, 923.5534
542.2355, 921.6503
542.7177, 920.7633
543.1998, 920.7327
543.6819, 921.0837
544.1640, 921.8105
544.6461, 922.6644
545.1282, 923.2832
545.6104, 923.7552
546.0925, 924.6218
546.5746, 926.8864
547.0567, 929.1355
547.5388, 930.1207
548.0209, 928.9196
548.5031, 929.0293
548.9852, 932.0140
549.4673, 936.2609
549.9494, 940.0869
550.4315, 943.4156
550.9136, 946.3114
551.3958, 948.3368
551.8779, 950.0408
552.3600, 953.0546
552.8421, 957.5724
553.3242, 962.7452
553.8063, 968.3214
554.2885, 974.2745
554.7706, 980.1211
555.2527, 985.7578
555.7348, 992.3907
556.2169, 1001.942
556.6990, 1013.250
557.1812, 1023.458
557.6633, 1031.949
558.1454, 1039.953
558.6275, 1048.667
559.1096, 1057.700
559.5917, 1066.555
560.0739, 1074.670
560.5560, 1082.772
561.0381, 1091.371
561.5202, 1100.256
562.0023, 1108.838
562.4844, 1115.975
562.9666, 1123.641
563.4487, 1132.955
563.9308, 1144.389
564.4129, 1154.840
564.8950, 1163.542
565.3771, 1172.079
565.8593, 1181.849
566.3414, 1193.057
566.8235, 1204.888
567.3056, 1217.714
567.7877, 1230.643
568.2698, 1242.166
568.7520, 1252.411
569.2341, 1261.844
569.7162, 1271.086
570.1983, 1279.463
570.6804, 1286.776
571.1625, 1292.687
571.6447, 1295.049
572.1268, 1293.093
572.6089, 1286.588
573.0910, 1274.812
573.5731, 1257.259
574.0552, 1237.250
574.5374, 1215.150
575.0195, 1191.655
575.5016, 1167.332
575.9837, 1140.199
576.4658, 1114.873
576.9479, 1090.787
577.4301, 1068.750
577.9122, 1050.342
578.3943, 1035.974
578.8764, 1024.073
579.3585, 1014.560
579.8406, 1007.195
580.3228, 1000.337
580.8049, 993.9301
581.2870, 988.4056
581.7691, 983.9531
582.2512, 980.6027
582.7333, 978.5092
583.2155, 977.7526
583.6975, 977.6755
584.1796, 977.8719
584.6617, 978.2844
585.1439, 978.7919
585.6260, 979.2957
586.1081, 980.0428
586.5902, 981.1381
587.0723, 982.5997
587.5544, 984.4258
588.0366, 986.5296
588.5187, 989.1031
589.0008, 992.3818
589.4829, 996.3120
589.9650, 1000.019
590.4471, 1003.376
590.9293, 1006.628
591.4114, 1009.761
591.8935, 1012.694
592.3756, 1016.183
592.8577, 1020.421
593.3398, 1024.699
593.8220, 1028.243
594.3041, 1031.153
594.7862, 1034.174
595.2683, 1037.463
595.7504, 1040.915
596.2325, 1044.765
596.7147, 1048.761
597.1968, 1052.156
597.6789, 1054.036
598.1610, 1055.757
598.6431, 1058.425
599.1252, 1061.842
599.6074, 1065.073
600.0895, 1067.608
600.5716, 1070.055
601.0537, 1072.898
601.5358, 1076.418
602.0179, 1078.882
602.5001, 1079.767
602.9822, 1080.102
603.4643, 1080.737
603.9464, 1081.965
604.4285, 1082.271
604.9106, 1081.345
605.3928, 1079.884
605.8749, 1079.420
606.3570, 1079.760
606.8391, 1078.352
607.3212, 1073.860
607.8033, 1067.943
608.2855, 1062.994
608.7676, 1058.781
609.2497, 1054.283
609.7318, 1049.212
610.2139, 1043.459
610.6960, 1036.495
611.1782, 1028.379
611.6603, 1021.174
612.1424, 1016.017
612.6245, 1011.622
613.1066, 1007.218
613.5887, 1002.567
614.0709, 998.2835
614.5530, 994.6121
615.0351, 991.0726
615.5172, 987.0184
615.9993, 982.2166
616.4814, 977.8346
616.9636, 974.0668
617.4457, 970.7645
617.9278, 967.7352
618.4099, 964.9346
618.8920, 961.9820
619.3741, 958.6459
619.8563, 955.0623
620.3384, 951.4901
620.8205, 947.8975
621.3026, 944.1612
621.7847, 939.5219
622.2668, 935.1798
622.7490, 932.5473
623.2311, 931.9442
623.7132, 930.4163
624.1953, 926.1898
624.6774, 921.4716
625.1595, 917.8134
625.6417, 915.8057
626.1238, 913.7894
626.6059, 911.7406
627.0880, 909.7711
627.5701, 907.9421
628.0522, 906.2138
628.5344, 905.1181
629.0165, 904.8760
629.4986, 905.1584
629.9807, 905.5651
630.4628, 906.0062
630.9449, 906.0240
631.4271, 904.7156
631.9092, 903.2844
632.3913, 903.3665
632.8734, 904.6885
633.3555, 905.5627
633.8376, 904.4387
634.3198, 903.1439
634.8019, 902.8955
635.2840, 904.0722
635.7661, 904.8922
636.2482, 905.2919
636.7303, 905.1960
637.2125, 904.3965
637.6946, 902.3455
638.1767, 901.2767
638.6588, 901.4999
639.1409, 902.3506
639.6230, 902.9138
640.1052, 903.2220
640.5873, 903.6647
641.0694, 904.4043
641.5515, 905.2234
642.0336, 905.8765
642.5157, 906.3361
642.9979, 906.5272
643.4800, 905.7295
643.9621, 905.2068
644.4442, 906.2687
644.9263, 908.5948
645.4084, 910.2598
645.8906, 909.7628
646.3727, 909.2259
646.8548, 909.7802
647.3369, 911.6266
647.8190, 913.0031
648.3011, 913.6425
648.7833, 914.2009
649.2654, 915.2187
649.7475, 916.7666
650.2296, 917.9658
650.7117, 918.6774
651.1938, 919.3961
651.6760, 920.9156
652.1581, 922.9575
652.6402, 924.5848
653.1223, 925.4224
653.6044, 926.0381
654.0865, 926.8601
654.5687, 927.8514
655.0508, 928.9450
655.5329, 930.3160
656.0150, 931.5932
656.4971, 932.6262
656.9792, 933.4418
657.4614, 934.2120
657.9435, 935.1066
658.4256, 935.7366
658.9077, 935.9944
659.3898, 935.8771
659.8719, 935.3033
660.3541, 934.1918
660.8362, 932.9980
661.3183, 932.0633
661.8004, 931.3156
662.2825, 930.3489
662.7646, 929.1253
663.2468, 928.0053
663.7289, 927.2672
664.2110, 926.8473
664.6931, 926.6945
665.1752, 926.8824
665.6573, 927.1387
666.1395, 927.4871
666.6216, 927.7987
667.1037, 927.9116
667.5858, 927.9207
668.0679, 927.5217
668.5500, 926.2369
669.0322, 924.7335
669.5143, 924.7532
669.9964, 926.7216
670.4785, 928.0782
670.9606, 927.8761
671.4427, 926.6387
671.9249, 925.5427
672.4070, 924.6293
672.8891, 924.3268
673.3712, 925.6044
673.8533, 927.2067
674.3354, 927.3724
674.8176, 926.2307
675.2997, 925.5158
675.7818, 926.2089
676.2639, 927.5285
676.7460, 929.1936
677.2281, 931.4089
677.7103, 932.8557
678.1924, 932.9318
678.6745, 932.8065
679.1566, 933.4415
679.6387, 935.1132
680.1208, 936.0893
680.6030, 936.0532
681.0851, 935.9282
681.5672, 937.0853
682.0493, 939.2155
682.5314, 941.0897
683.0135, 942.4213
683.4957, 943.3145
683.9778, 943.5419
684.4599, 943.4363
684.9420, 943.6172
685.4241, 944.6061
685.9063, 945.6255
686.3884, 946.5611
686.8705, 947.3310
687.3526, 947.6408
687.8347, 947.0084
688.3168, 946.6578
688.7990, 947.0578
689.2811, 948.0579
689.7632, 948.5538
690.2453, 948.4932
690.7274, 948.3265
691.2095, 948.2424
691.6917, 948.2549
692.1738, 948.5746
692.6559, 949.1651
693.1380, 949.4088
693.6201, 948.1562
694.1022, 946.7317
694.5844, 946.6918
695.0665, 948.5116
695.5486, 949.7136
696.0307, 948.6125
696.5128, 947.0779
696.9949, 946.6764
697.4771, 948.6050
697.9592, 949.0994
698.4413, 947.4508
698.9234, 945.2989
699.4055, 944.9985
699.8876, 946.6172
700.3698, 946.9656
700.8519, 945.2370
701.3340, 942.8162
701.8161, 941.6077
702.2982, 941.2624
702.7803, 940.8918
703.2625, 940.1869
703.7446, 939.3344
704.2267, 938.4362
704.7088, 937.4855
705.1909, 936.4700
705.6730, 935.0822
706.1552, 933.9639
706.6373, 933.2623
707.1194, 932.9216
707.6015, 932.8004
708.0836, 933.0140
708.5657, 933.0396
709.0479, 932.7069
709.5300, 931.9902
710.0121, 930.5752
710.4942, 928.4857
710.9763, 926.6401
711.4584, 925.9838
711.9406, 925.7267
712.4227, 924.8998
712.9048, 923.4581
713.3869, 921.8044
713.8690, 919.6788
714.3511, 917.7686
714.8333, 916.5923
715.3154, 916.5378
715.7975, 916.2470
716.2796, 915.5974
716.7617, 914.8907
717.2438, 914.4301
717.7260, 914.2857
718.2081, 913.7126
718.6902, 912.5729
719.1723, 911.4512
719.6544, 911.2601
720.1365, 911.6214
720.6187, 911.4908
721.1008, 910.4249
721.5829, 909.4449
722.0650, 909.2252
722.5471, 909.5681
723.0292, 910.2106
723.5114, 911.4233
723.9935, 912.4652
724.4756, 913.0696
724.9577, 913.4756
725.4398, 914.1807
725.9219, 915.4189
726.4041, 916.1279
726.8862, 915.8817
727.3683, 915.1680
727.8504, 915.4791
728.3325, 916.5893
728.8146, 916.9152
729.2968, 914.9223
729.7789, 912.4834
730.2610, 911.7891
730.7431, 912.4629
731.2252, 913.2560
731.7073, 913.7285
732.1895, 914.1147
732.6716, 914.5808
733.1537, 915.1027
733.6358, 915.2997
734.1179, 914.9716
734.6000, 914.6995
735.0822, 914.9119
735.5643, 915.4911
736.0464, 914.8810
736.5285, 913.0132
737.0106, 911.4333
737.4927, 911.4265
737.9749, 912.3738
738.4570, 913.4595
738.9391, 914.6066
739.4212, 915.2861
739.9033, 915.0069
740.3854, 914.2606
740.8676, 913.1781
741.3497, 911.4280
741.8318, 910.8328
742.3139, 912.3094
742.7960, 913.9942
743.2781, 914.5798
743.7603, 913.8853
744.2424, 913.2841
744.7245, 912.7405
745.2066, 912.6122
745.6887, 913.8331
746.1708, 915.7400
746.6530, 916.3860
747.1351, 915.2233
747.6172, 913.9958
748.0993, 914.2380
748.5814, 915.0176
749.0635, 915.2438
749.5457, 913.7687
750.0278, 913.1860
750.5099, 914.1901
750.9920, 915.9695
751.4741, 917.7682
751.9562, 919.7264
752.4384, 920.8484
752.9205, 920.7584
753.4026, 920.2151
753.8847, 920.4471
754.3668, 921.2758
754.8489, 921.9825
755.3311, 922.1502
755.8132, 922.4814
756.2953, 923.9695
756.7774, 925.9857
757.2595, 927.3956
757.7416, 928.1743
758.2238, 927.9531
758.7059, 926.0366
759.1880, 923.2483
759.6701, 921.1350
760.1522, 919.5842
760.6343, 919.1796
761.1165, 920.4302
761.5986, 922.5670
762.0807, 923.7204
762.5628, 924.0199
763.0449, 924.1967
763.5270, 924.7507
764.0092, 925.1871
