##NAMES=Skutterudite
##RRUFFID=R070528
##IDEAL CHEMISTRY=Co^3+^As_3_
##LOCALITY=Cobalt, Coleman Township, Timiskamig County, Ontario, Canada
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Silver-grey metallic massive and radiating prismatic crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070528
##MEASURED CHEMISTRY=(Co_0.82_Fe_0.12_Ni_0.09_)_Σ=1.03_(As_2.99_S_0.01_)_Σ=3.00_ ; (Note: dark phase is lollingite, (Fe_0.69_Co_0.23_Ni_0.11_)_Σ=1.03_(As_1.98_S_0.01_)_Σ=2.00_) Bright spots are native bismuth
275.6860, 81.09669
276.1682, 81.63339
276.6503, 82.01749
277.1324, 81.92245
277.6145, 81.30894
278.0966, 80.74423
278.5787, 80.20645
279.0609, 79.82210
279.5430, 80.00884
280.0251, 80.87913
280.5072, 81.63526
280.9893, 81.74029
281.4715, 81.19908
281.9536, 80.85160
282.4357, 80.72075
282.9178, 80.81615
283.3999, 81.29971
283.8820, 82.20276
284.3642, 82.90508
284.8463, 82.96758
285.3284, 82.46188
285.8105, 82.26060
286.2926, 82.40390
286.7747, 82.72514
287.2569, 83.08897
287.7390, 83.48605
288.2211, 83.69334
288.7032, 83.49474
289.1853, 83.01200
289.6674, 82.78435
290.1496, 82.82359
290.6317, 83.02969
291.1138, 83.38717
291.5959, 83.86279
292.0780, 84.21317
292.5602, 84.38028
293.0423, 84.36633
293.5244, 84.04555
294.0065, 83.40176
294.4886, 82.88577
294.9707, 83.10406
295.4529, 83.83614
295.9350, 84.26125
296.4171, 84.05303
296.8992, 83.53390
297.3813, 83.22937
297.8634, 83.13207
298.3456, 83.15408
298.8277, 83.32506
299.3098, 83.56252
299.7919, 83.64383
300.2740, 83.42263
300.7561, 83.20734
301.2383, 83.53581
301.7204, 84.28952
302.2025, 84.90627
302.6846, 84.90794
303.1667, 84.58835
303.6488, 84.39585
304.1310, 84.42590
304.6131, 84.50742
305.0952, 84.47850
305.5773, 84.36617
306.0594, 84.24400
306.5415, 84.14104
307.0237, 84.05173
307.5058, 83.95669
307.9879, 83.84760
308.4700, 83.78183
308.9521, 83.84791
309.4343, 83.98239
309.9164, 84.07494
310.3985, 83.99533
310.8806, 83.91216
311.3627, 83.98109
311.8448, 84.21109
312.3270, 84.42887
312.8091, 84.34851
313.2912, 84.25535
313.7733, 84.48648
314.2554, 85.70130
314.7375, 86.80456
315.2197, 87.20273
315.7018, 86.94677
316.1839, 86.46734
316.6660, 85.58363
317.1481, 84.75179
317.6302, 84.36902
318.1124, 84.90889
318.5945, 85.43031
319.0766, 85.64957
319.5587, 85.60522
320.0408, 85.43853
320.5229, 84.99453
321.0051, 84.57974
321.4872, 84.37716
321.9693, 84.52876
322.4514, 84.68270
322.9335, 84.75379
323.4156, 84.78127
323.8978, 84.84083
324.3799, 84.98904
324.8620, 85.13376
325.3441, 85.27265
325.8262, 85.46297
326.3083, 85.46093
326.7905, 85.17050
327.2726, 84.70180
327.7547, 84.19531
328.2368, 83.22666
328.7189, 82.66517
329.2010, 82.81399
329.6832, 83.75246
330.1653, 84.50706
330.6474, 85.18967
331.1295, 85.60723
331.6116, 85.57034
332.0938, 84.63717
332.5759, 83.94325
333.0580, 83.60030
333.5401, 83.60293
334.0222, 84.01351
334.5043, 85.28977
334.9865, 86.34830
335.4686, 86.42970
335.9507, 84.99171
336.4328, 84.06258
336.9149, 83.86443
337.3970, 84.17821
337.8792, 84.42086
338.3613, 84.54749
338.8434, 84.74017
339.3255, 85.14782
339.8076, 85.83405
340.2898, 86.24454
340.7719, 86.33922
341.2540, 86.23738
341.7361, 86.04423
342.2182, 85.73746
342.7003, 85.59648
343.1825, 85.82405
343.6646, 86.33295
344.1467, 86.48203
344.6288, 86.22342
345.1109, 85.85212
345.5930, 85.64840
346.0752, 85.60220
346.5573, 85.57829
347.0394, 85.51074
347.5215, 85.47208
348.0036, 85.77565
348.4857, 86.40498
348.9679, 86.79350
349.4500, 86.24330
349.9321, 85.10154
350.4142, 84.41666
350.8963, 84.43212
351.3784, 84.72636
351.8606, 84.78573
352.3427, 84.66353
352.8248, 84.55682
353.3069, 84.61037
353.7890, 84.73332
354.2711, 84.78561
354.7533, 84.74632
355.2354, 84.73161
355.7175, 84.86127
356.1996, 85.08167
356.6817, 85.29908
357.1638, 85.60350
357.6460, 85.79551
358.1281, 85.60886
358.6102, 85.08106
359.0923, 84.67823
359.5744, 84.63864
360.0565, 84.86758
360.5387, 85.29750
361.0208, 86.22478
361.5029, 86.95729
361.9850, 87.07431
362.4671, 86.73009
362.9492, 86.39320
363.4314, 86.18555
363.9135, 86.05897
364.3956, 86.00415
364.8777, 86.07050
365.3598, 86.08604
365.8419, 86.02172
366.3241, 85.88452
366.8062, 85.68420
367.2883, 85.08828
367.7704, 84.75072
368.2526, 85.04385
368.7347, 86.19041
369.2168, 86.67834
369.6989, 85.74609
370.1810, 84.60868
370.6631, 84.27348
371.1453, 85.33764
371.6274, 85.78122
372.1095, 86.02821
372.5916, 86.07579
373.0737, 85.93768
373.5558, 84.89289
374.0380, 85.14485
374.5201, 84.95419
375.0022, 84.79810
375.4843, 85.38985
375.9664, 84.75990
376.4485, 85.45064
376.9307, 85.69118
377.4128, 86.21792
377.8949, 86.29890
378.3770, 86.58956
378.8591, 87.43607
379.3412, 87.09981
379.8234, 86.93960
380.3055, 86.57272
380.7876, 85.95286
381.2697, 85.10833
381.7518, 84.67522
382.2339, 84.99504
382.7161, 85.69651
383.1982, 85.86564
383.6803, 85.51781
384.1624, 85.13008
384.6445, 84.95286
385.1266, 85.00992
385.6088, 85.48943
386.0909, 86.58016
386.5730, 87.58706
387.0551, 87.48814
387.5372, 86.59964
388.0193, 85.82298
388.5015, 85.66618
388.9836, 85.84608
389.4657, 86.15716
389.9478, 86.59574
390.4299, 86.89906
390.9120, 86.70437
391.3942, 86.32724
391.8763, 86.16216
392.3584, 86.62032
392.8405, 87.05968
393.3226, 87.08739
393.8047, 86.78974
394.2869, 86.56104
394.7690, 86.59169
395.2511, 86.71422
395.7332, 86.83479
396.2154, 86.95927
396.6975, 87.03865
397.1796, 87.07821
397.6617, 87.06449
398.1438, 86.57194
398.6259, 87.13058
399.1081, 87.43484
399.5902, 87.49841
400.0723, 86.60031
400.5544, 86.94400
401.0365, 86.79004
401.5186, 86.61567
402.0008, 87.13412
402.4829, 86.37590
402.9650, 86.88338
403.4471, 86.88561
403.9292, 87.11908
404.4113, 86.85183
404.8935, 86.73923
405.3756, 87.12752
405.8577, 87.23847
406.3398, 86.91357
406.8219, 87.16175
407.3040, 86.38604
407.7862, 86.50880
408.2683, 87.01921
408.7504, 86.71950
409.2325, 86.97682
409.7146, 87.02200
410.1967, 86.10303
410.6789, 86.86081
411.1610, 86.41200
411.6431, 86.59647
412.1252, 86.63400
412.6073, 86.60522
413.0894, 86.80373
413.5716, 87.40838
414.0537, 87.97726
414.5358, 87.81859
415.0179, 87.12862
415.5000, 86.54403
415.9821, 86.37727
416.4643, 86.51327
416.9464, 87.01224
417.4285, 87.91386
417.9106, 88.51350
418.3927, 87.94060
418.8748, 86.94371
419.3570, 86.42170
419.8391, 87.19437
420.3212, 87.99363
420.8033, 88.28108
421.2854, 88.13671
421.7675, 87.95295
422.2497, 87.77747
422.7318, 87.65015
423.2139, 87.58817
423.6960, 87.57224
424.1781, 87.67189
424.6602, 88.06467
425.1424, 88.53410
425.6245, 88.74946
426.1066, 88.38715
426.5887, 88.18249
427.0709, 88.37871
427.5530, 88.97487
428.0351, 89.25228
428.5172, 88.95016
428.9993, 88.68873
429.4814, 89.02119
429.9636, 90.21867
430.4457, 90.94398
430.9278, 91.01631
431.4099, 90.62894
431.8920, 90.06030
432.3741, 89.24056
432.8563, 88.75488
433.3384, 89.21326
433.8205, 90.36749
434.3026, 90.29671
434.7847, 88.86569
435.2668, 87.29996
435.7490, 86.84418
436.2311, 87.29640
436.7132, 88.02412
437.1953, 89.08450
437.6774, 90.02847
438.1595, 90.02272
438.6417, 89.29137
439.1238, 88.76175
439.6059, 89.26081
440.0880, 90.10973
440.5701, 90.59989
441.0522, 90.63305
441.5344, 90.46472
442.0165, 90.17252
442.4986, 89.80131
442.9807, 89.40689
443.4628, 88.84679
443.9449, 88.42413
444.4271, 88.32187
444.9092, 88.48904
445.3913, 88.63216
445.8734, 88.54373
446.3555, 88.51346
446.8376, 88.70312
447.3198, 89.27965
447.8019, 89.77190
448.2840, 90.26153
448.7661, 90.62051
449.2482, 90.65056
449.7303, 90.18980
450.2125, 89.66081
450.6946, 89.05436
451.1767, 88.40000
451.6588, 88.21440
452.1409, 88.66348
452.6230, 89.19337
453.1052, 89.32746
453.5873, 89.01390
454.0694, 89.09820
454.5515, 89.78927
455.0337, 90.60350
455.5158, 90.58192
455.9979, 89.78669
456.4800, 89.14624
456.9621, 89.14110
457.4442, 89.53626
457.9264, 89.80856
458.4085, 89.96001
458.8906, 90.05722
459.3727, 90.26270
459.8548, 90.42236
460.3369, 90.17574
460.8191, 89.17208
461.3012, 88.39883
461.7833, 89.00233
462.2654, 90.41267
462.7475, 91.44103
463.2296, 91.15871
463.7118, 90.70313
464.1939, 90.79163
464.6760, 91.47633
465.1581, 91.95098
465.6402, 91.78682
466.1223, 91.42303
466.6045, 91.16866
467.0866, 91.27778
467.5687, 91.22961
468.0508, 90.68290
468.5329, 89.98880
469.0150, 89.96550
469.4972, 91.06536
469.9793, 92.15746
470.4614, 92.95650
470.9435, 93.46859
471.4256, 93.51601
471.9077, 92.94663
472.3899, 92.21969
472.8720, 91.69144
473.3541, 91.35439
473.8362, 91.29330
474.3183, 91.59113
474.8004, 92.05401
475.2826, 92.33689
475.7647, 92.44272
476.2468, 92.41574
476.7289, 92.27239
477.2110, 92.01104
477.6931, 91.49899
478.1753, 90.73581
478.6574, 90.20381
479.1395, 90.54991
479.6216, 91.31120
480.1037, 91.78066
480.5858, 91.63565
481.0680, 91.42861
481.5501, 91.54658
482.0322, 91.88146
482.5143, 92.20761
482.9964, 92.60176
483.4786, 92.82690
483.9607, 92.65581
484.4428, 92.03909
484.9249, 91.64827
485.4070, 92.09005
485.8892, 92.50851
486.3713, 92.26144
486.8534, 90.31985
487.3355, 89.24494
487.8176, 89.45019
488.2997, 90.43867
488.7819, 91.19850
489.2640, 91.73454
489.7461, 92.01931
490.2282, 91.96789
490.7103, 91.60644
491.1924, 91.45570
491.6746, 91.57762
492.1567, 91.64764
492.6388, 91.18393
493.1209, 90.29258
493.6030, 90.03502
494.0851, 90.67467
494.5673, 91.63160
495.0494, 92.11425
495.5315, 92.20689
496.0136, 92.19712
496.4957, 92.30967
496.9778, 92.33915
497.4600, 91.81703
497.9421, 90.83775
498.4242, 90.28574
498.9063, 91.11381
499.3884, 92.35655
499.8705, 93.20586
500.3527, 93.45496
500.8348, 93.40844
501.3169, 92.93143
501.7990, 92.28606
502.2811, 91.83879
502.7632, 91.74741
503.2454, 91.76784
503.7275, 91.88926
504.2096, 92.09949
504.6917, 92.28247
505.1738, 92.46315
505.6559, 92.58279
506.1381, 92.59868
506.6202, 92.48474
507.1023, 92.36159
507.5844, 92.19884
508.0665, 92.08338
508.5486, 92.22222
509.0308, 92.62617
509.5129, 92.77457
509.9950, 92.40855
510.4771, 91.82801
510.9592, 91.73231
511.4413, 92.07622
511.9235, 92.42970
512.4056, 92.49815
512.8877, 92.41087
513.3698, 92.16579
513.8519, 92.24276
514.3340, 91.77216
514.8162, 91.95531
515.2983, 91.96769
515.7804, 91.26413
516.2625, 91.51067
516.7446, 91.39211
517.2267, 91.26932
517.7089, 91.68156
518.1910, 91.13968
518.6731, 91.56599
519.1552, 91.62146
519.6373, 91.86295
520.1194, 91.73704
520.6016, 91.73927
521.0837, 92.13136
521.5658, 92.32497
522.0479, 92.20021
522.5300, 92.51994
523.0121, 92.07668
523.4943, 92.32398
523.9764, 92.87553
524.4585, 92.82574
524.9406, 93.20831
525.4227, 93.44167
525.9048, 92.95719
526.3870, 93.75175
526.8691, 93.26221
527.3513, 92.97990
527.8334, 92.73804
528.3155, 92.73440
528.7976, 92.82908
529.2797, 92.79732
529.7618, 92.58958
530.2440, 92.39244
530.7261, 92.39352
531.2082, 92.46614
531.6903, 92.44834
532.1724, 92.06099
532.6545, 91.81358
533.1367, 92.04910
533.6188, 92.58957
534.1009, 92.80679
534.5830, 92.06797
535.0651, 91.51659
535.5472, 91.63103
536.0294, 92.55791
536.5115, 93.09083
536.9936, 93.10320
537.4757, 92.90020
537.9578, 92.70528
538.4399, 92.50984
538.9221, 92.35476
539.4042, 92.21853
539.8863, 92.16599
540.3684, 92.42576
540.8505, 92.95788
541.3326, 93.27996
541.8148, 93.11274
542.2969, 92.66546
542.7790, 92.16631
543.2611, 91.65549
543.7432, 91.42732
544.2253, 91.87182
544.7075, 92.59883
545.1896, 93.24714
545.6717, 93.78278
546.1538, 94.15074
546.6359, 94.23921
547.1180, 94.18274
547.6002, 94.12260
548.0823, 94.10445
548.5644, 94.07018
549.0465, 94.05361
549.5286, 94.01456
550.0107, 93.83709
550.4929, 93.47910
550.9750, 93.03281
551.4571, 92.42622
551.9392, 91.65482
552.4213, 91.44238
552.9034, 91.93347
553.3856, 92.52345
553.8677, 92.68979
554.3498, 92.47176
554.8319, 92.34227
555.3140, 92.35101
555.7961, 92.44524
556.2783, 92.49911
556.7604, 92.57639
557.2425, 92.87846
557.7246, 93.71250
558.2067, 94.56283
558.6888, 94.91073
559.1710, 94.84610
559.6531, 94.66119
560.1352, 94.28039
560.6173, 93.99609
561.0994, 94.14866
561.5815, 94.86986
562.0637, 95.07020
562.5458, 93.75098
563.0279, 92.34924
563.5100, 91.92305
563.9921, 93.23857
564.4742, 94.19535
564.9564, 94.70287
565.4385, 94.86423
565.9206, 94.80087
566.4027, 94.47216
566.8848, 94.10822
567.3669, 93.73643
567.8491, 93.39663
568.3312, 93.28804
568.8133, 93.40097
569.2954, 93.47112
569.7775, 93.20739
570.2596, 92.81993
570.7418, 92.74868
571.2239, 93.02822
571.7060, 93.31445
572.1881, 93.36172
572.6702, 93.26730
573.1523, 93.10417
573.6345, 92.70979
574.1166, 92.58230
574.5987, 93.22150
575.0808, 94.18529
575.5629, 94.74869
576.0450, 94.40382
576.5272, 94.06843
577.0093, 93.91050
577.4914, 93.90714
577.9735, 93.92202
578.4556, 94.00004
578.9377, 94.00266
579.4199, 93.76778
579.9020, 93.28866
580.3841, 93.27612
580.8662, 93.80537
581.3483, 94.40150
581.8304, 94.51281
582.3126, 94.28227
582.7947, 94.23755
583.2768, 94.53507
583.7589, 94.86130
584.2410, 94.90697
584.7231, 94.73296
585.2053, 94.46012
585.6874, 93.68521
586.1696, 93.24344
586.6517, 94.01350
587.1338, 95.63707
587.6159, 96.52625
588.0980, 95.66520
588.5801, 94.51640
589.0623, 93.56874
589.5444, 92.76978
590.0265, 92.61655
590.5086, 93.53246
590.9907, 94.55387
591.4728, 94.85686
591.9550, 94.28877
592.4371, 93.98312
592.9192, 94.04393
593.4013, 94.34606
593.8834, 94.88848
594.3655, 95.59092
594.8477, 95.90562
595.3298, 95.49139
595.8119, 94.81334
596.2940, 94.47184
596.7761, 94.39790
597.2582, 94.34868
597.7404, 94.23650
598.2225, 94.07038
598.7046, 93.81541
599.1867, 93.47286
599.6688, 93.20768
600.1509, 92.99277
600.6331, 92.91998
601.1152, 93.07404
601.5973, 93.58687
602.0794, 94.01505
602.5615, 94.37434
603.0436, 94.62999
603.5258, 94.72243
604.0079, 94.62905
604.4900, 94.48539
604.9721, 94.28244
605.4542, 94.09008
605.9363, 94.06213
606.4185, 94.18772
606.9006, 94.36682
607.3827, 94.70072
607.8648, 94.96928
608.3469, 94.63358
608.8290, 93.82938
609.3112, 93.33857
609.7933, 93.96943
610.2754, 94.84335
610.7575, 95.32521
611.2396, 95.30918
611.7217, 95.09573
612.2039, 94.48336
612.6860, 93.88003
613.1681, 93.59507
613.6502, 93.73744
614.1323, 94.03841
614.6144, 94.64247
615.0966, 95.27068
615.5787, 95.48222
616.0608, 95.20332
616.5429, 94.96865
617.0250, 94.90318
617.5071, 94.95585
617.9893, 95.07439
618.4714, 95.23939
618.9535, 95.29147
619.4356, 95.06279
619.9177, 94.72341
620.3998, 94.45254
620.8820, 94.25797
621.3641, 94.17252
621.8462, 94.30791
622.3283, 94.49391
622.8104, 94.62247
623.2925, 94.69365
623.7747, 94.65104
624.2568, 94.24907
624.7389, 93.87694
625.2210, 93.89443
625.7031, 94.69073
626.1852, 94.96053
626.6674, 94.39458
627.1495, 93.54665
627.6316, 93.43827
628.1137, 94.10773
628.5958, 94.54762
629.0779, 94.35261
629.5601, 93.89526
630.0422, 94.03054
630.5243, 94.61552
631.0064, 94.97646
631.4885, 94.40548
631.9706, 93.66493
632.4528, 93.48156
632.9349, 93.84725
633.4170, 94.35033
633.8991, 95.08293
634.3812, 95.69278
634.8633, 95.93586
635.3455, 95.64306
635.8276, 95.43127
636.3097, 95.34363
636.7918, 95.31773
637.2739, 95.30220
637.7560, 95.29115
638.2382, 95.30322
638.7203, 95.32761
639.2024, 95.39428
639.6845, 95.60526
640.1666, 95.93208
640.6487, 96.13522
641.1309, 96.09196
641.6130, 95.96185
642.0951, 95.98094
642.5772, 96.09693
643.0594, 96.16372
643.5415, 96.07848
644.0236, 95.95028
644.5057, 95.83294
644.9879, 95.72910
645.4700, 95.63790
645.9521, 95.56934
646.4342, 95.50581
646.9163, 95.40365
647.3984, 95.22411
647.8806, 95.31344
648.3627, 95.80054
648.8448, 96.32255
649.3269, 96.61881
649.8090, 96.68882
650.2911, 96.55064
650.7733, 96.16989
651.2554, 95.74321
651.7375, 95.51249
652.2196, 95.41444
652.7017, 95.26327
653.1838, 94.90012
653.6660, 94.67857
654.1481, 95.12083
654.6302, 95.85202
655.1123, 96.21551
655.5944, 95.63366
656.0765, 95.02392
656.5587, 94.38877
657.0408, 93.89301
657.5229, 94.33883
658.0050, 96.57943
658.4871, 98.27617
658.9692, 98.45167
659.4514, 97.26160
659.9335, 96.39758
660.4156, 95.87212
660.8977, 95.58485
661.3798, 95.56578
661.8619, 95.72747
662.3441, 95.88654
662.8262, 96.03714
663.3083, 96.02746
663.7904, 95.46928
664.2725, 94.81589
664.7546, 94.60263
665.2368, 95.08691
665.7189, 95.17371
666.2010, 95.60855
666.6831, 95.85105
667.1652, 95.91156
667.6473, 95.24496
668.1295, 95.51727
668.6116, 95.41330
669.0937, 95.29391
669.5758, 95.69836
670.0579, 95.13751
670.5400, 95.53366
671.0222, 95.54779
671.5043, 95.73676
671.9864, 95.54713
672.4685, 95.47443
672.9506, 95.78046
673.4327, 95.87679
673.9149, 95.97566
674.3970, 96.47204
674.8791, 96.97781
675.3612, 97.12646
675.8433, 96.38253
676.3254, 95.57539
676.8076, 95.15611
677.2897, 95.21498
677.7718, 95.24788
678.2539, 95.17551
678.7360, 95.19107
679.2181, 95.49797
679.7003, 96.14782
680.1824, 96.52788
680.6645, 96.60068
681.1466, 96.48482
681.6287, 96.16902
682.1108, 95.76640
682.5930, 95.61100
683.0751, 95.79385
683.5572, 96.13731
684.0393, 96.73959
684.5214, 97.33337
685.0035, 97.54210
685.4857, 96.89896
685.9678, 96.25485
686.4499, 95.66307
686.9320, 95.24160
687.4141, 95.25469
687.8962, 96.01351
688.3784, 96.62048
688.8605, 96.86082
689.3426, 96.81963
689.8247, 96.75248
690.3068, 96.65722
690.7889, 96.60165
691.2711, 96.62243
691.7532, 96.70389
692.2353, 96.93150
692.7174, 97.24699
693.1995, 97.29567
693.6816, 96.28933
694.1638, 95.35621
694.6459, 95.60824
695.1280, 97.18640
695.6101, 98.25663
696.0922, 97.98090
696.5743, 97.39101
697.0565, 97.00895
697.5386, 96.83310
698.0207, 96.92008
698.5028, 97.40511
698.9849, 97.86938
699.4670, 97.82504
699.9492, 97.33515
700.4313, 97.09374
700.9135, 97.21291
701.3956, 97.39946
701.8777, 97.34399
702.3598, 97.13364
702.8419, 96.88964
703.3240, 96.53565
703.8062, 96.37336
704.2883, 96.72045
704.7704, 97.30938
705.2525, 97.74398
705.7346, 98.02315
706.2167, 98.04738
706.6989, 97.70152
707.1810, 97.14415
707.6631, 96.68856
708.1452, 96.32764
708.6273, 96.16551
709.1094, 96.24494
709.5916, 96.53612
710.0737, 97.09798
710.5558, 97.85720
711.0379, 98.45683
711.5200, 98.67756
712.0021, 98.67050
712.4843, 98.45669
712.9664, 98.09661
713.4485, 97.88985
713.9306, 98.05621
714.4127, 98.30257
714.8948, 98.57948
715.3770, 98.89240
715.8591, 98.82288
716.3412, 98.13584
716.8233, 97.53078
717.3054, 97.46376
717.7875, 97.91056
718.2697, 98.26577
718.7518, 98.53309
719.2339, 98.70962
719.7160, 98.83862
720.1981, 98.86173
720.6802, 98.63011
721.1624, 98.10522
721.6445, 97.59831
722.1266, 97.20100
722.6087, 96.96111
723.0908, 96.95699
723.5729, 96.85537
724.0551, 97.04679
724.5372, 97.03555
725.0193, 97.49995
725.5014, 97.77202
725.9835, 97.86208
726.4656, 97.22504
726.9478, 97.52692
727.4299, 97.45251
727.9120, 97.36268
728.3941, 97.79669
728.8762, 97.26541
729.3583, 97.69112
729.8405, 97.73482
730.3226, 97.95335
730.8047, 97.79328
731.2868, 97.75016
731.7689, 98.08575
732.2510, 98.21164
732.7332, 98.00800
733.2153, 98.23764
733.6974, 97.69314
734.1795, 97.82796
734.6616, 98.25588
735.1437, 98.07127
735.6259, 98.30785
736.1080, 98.38401
736.5901, 97.73119
737.0722, 98.34615
737.5543, 98.41283
738.0364, 97.91655
738.5186, 98.48807
739.0007, 98.06940
739.4828, 98.00417
739.9649, 97.54288
740.4470, 97.05974
740.9291, 96.99466
741.4113, 97.33540
741.8934, 97.67677
742.3755, 98.11412
742.8576, 98.37196
743.3397, 98.24361
743.8218, 97.80907
744.3040, 97.81006
744.7861, 98.25940
745.2682, 98.65053
745.7503, 98.51181
746.2324, 98.14548
746.7145, 98.06275
747.1967, 98.26369
747.6788, 98.46394
748.1609, 98.39577
748.6430, 98.35770
749.1251, 98.61721
749.6072, 99.31119
750.0894, 99.67329
