##NAMES=Diopside
##RRUFFID=R110128
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Alchori, Pakistan
##OWNER=RRUFF
##SOURCE=Jack Lowell
##DESCRIPTION=Dark green prismatic crystals associated with pale brown epidote, R110127
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110128
392.4443, 181.9196
392.9265, 171.5120
393.4086, 162.2341
393.8907, 154.6899
394.3728, 147.9082
394.8549, 141.3638
395.3370, 135.0849
395.8192, 129.3404
396.3013, 124.3244
396.7834, 119.9655
397.2655, 116.1532
397.7476, 113.0669
398.2297, 110.0814
398.7119, 106.7366
399.1940, 103.3273
399.6761, 100.2150
400.1582, 97.40874
400.6403, 95.09949
401.1224, 93.68706
401.6046, 93.10732
402.0867, 92.46193
402.5688, 91.47545
403.0509, 90.31394
403.5330, 89.12912
404.0151, 87.91473
404.4973, 86.85131
404.9794, 86.09119
405.4615, 85.51263
405.9436, 84.95483
406.4257, 84.42236
406.9078, 83.73829
407.3900, 82.56194
407.8721, 81.07504
408.3542, 80.16842
408.8363, 80.53880
409.3184, 80.93896
409.8005, 80.43589
410.2827, 79.25932
410.7648, 78.19968
411.2469, 77.58221
411.7290, 77.32224
412.2111, 77.31284
412.6932, 77.74596
413.1754, 77.91947
413.6575, 77.45429
414.1396, 76.81009
414.6217, 76.54660
415.1038, 76.72803
415.5859, 76.89150
416.0681, 76.53741
416.5502, 75.58938
417.0323, 74.97742
417.5144, 74.96565
417.9965, 74.95570
418.4786, 74.64122
418.9608, 74.15813
419.4429, 73.80221
419.9250, 73.73064
420.4071, 73.84202
420.8892, 73.85685
421.3713, 73.71927
421.8535, 73.56178
422.3356, 73.35987
422.8177, 73.16084
423.2998, 73.00168
423.7819, 72.88615
424.2640, 72.79750
424.7462, 72.72605
425.2283, 72.67510
425.7104, 72.58568
426.1925, 72.39211
426.6746, 72.23106
427.1567, 72.21404
427.6389, 72.23824
428.1210, 72.10610
428.6031, 71.69140
429.0852, 71.20332
429.5673, 71.12258
430.0494, 71.59841
430.5316, 71.94125
431.0137, 71.76313
431.4958, 71.55483
431.9779, 71.71490
432.4600, 72.23381
432.9421, 72.66495
433.4243, 72.59214
433.9064, 72.13323
434.3885, 71.81904
434.8706, 71.74038
435.3527, 71.64893
435.8348, 71.29104
436.3170, 70.82594
436.7991, 70.53117
437.2812, 70.53744
437.7633, 70.64685
438.2454, 70.67564
438.7275, 70.63876
439.2097, 70.63870
439.6918, 70.70710
440.1739, 70.83263
440.6560, 71.01870
441.1381, 71.27275
441.6202, 71.49314
442.1024, 71.70574
442.5845, 71.84042
443.0666, 71.72498
443.5487, 71.37204
444.0308, 71.13832
444.5129, 71.35512
444.9951, 71.94512
445.4772, 72.17181
445.9593, 71.75635
446.4414, 71.35942
446.9235, 71.13343
447.4056, 71.06493
447.8878, 71.19497
448.3699, 71.52966
448.8520, 71.86520
449.3341, 71.86517
449.8162, 71.32920
450.2983, 71.02663
450.7805, 71.05499
451.2626, 71.18839
451.7447, 71.39231
452.2268, 71.60482
452.7089, 71.69588
453.1910, 71.55500
453.6732, 71.27177
454.1553, 71.24494
454.6374, 71.69381
455.1195, 72.02776
455.6016, 72.12181
456.0837, 72.09844
456.5659, 72.08131
