##NAMES=Metarauchite
##RRUFFID=R120114
##IDEAL CHEMISTRY=Ni^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Schweizer vein, 90 level, Eduard mine, Jachymov, Krusne Hory Mts., Czech Republic
##OWNER=RRUFF
##SOURCE=Dr Peter Kolesar
##DESCRIPTION=Aggregates of yellow play crystals, associated with green platy metazeunerite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120114
2.439524e+002, 6.200767e+003
2.444345e+002, 6.199170e+003
2.449166e+002, 6.200364e+003
2.453987e+002, 6.204432e+003
2.458809e+002, 6.212096e+003
2.463630e+002, 6.227982e+003
2.468451e+002, 6.241513e+003
2.473272e+002, 6.250394e+003
2.478093e+002, 6.255868e+003
2.482914e+002, 6.259735e+003
2.487736e+002, 6.263057e+003
2.492557e+002, 6.265189e+003
2.497378e+002, 6.263202e+003
2.502199e+002, 6.248828e+003
2.507020e+002, 6.240803e+003
2.511841e+002, 6.246708e+003
2.516663e+002, 6.258454e+003
2.521484e+002, 6.266310e+003
2.526305e+002, 6.265566e+003
2.531126e+002, 6.258828e+003
2.535947e+002, 6.254150e+003
2.540768e+002, 6.249850e+003
2.545590e+002, 6.250411e+003
2.550411e+002, 6.261386e+003
2.555232e+002, 6.275280e+003
2.560053e+002, 6.282893e+003
2.564874e+002, 6.280357e+003
2.569695e+002, 6.272489e+003
2.574517e+002, 6.270926e+003
2.579338e+002, 6.282481e+003
2.584159e+002, 6.292770e+003
2.588980e+002, 6.301671e+003
2.593801e+002, 6.309258e+003
2.598622e+002, 6.315396e+003
2.603444e+002, 6.320055e+003
2.608265e+002, 6.323915e+003
2.613086e+002, 6.328311e+003
2.617907e+002, 6.334790e+003
2.622728e+002, 6.339142e+003
2.627549e+002, 6.340171e+003
2.632371e+002, 6.339579e+003
2.637192e+002, 6.338938e+003
2.642013e+002, 6.338684e+003
2.646834e+002, 6.338417e+003
2.651655e+002, 6.337523e+003
2.656476e+002, 6.335687e+003
2.661298e+002, 6.333954e+003
2.666119e+002, 6.332979e+003
2.670940e+002, 6.331796e+003
2.675761e+002, 6.329018e+003
2.680582e+002, 6.324475e+003
2.685403e+002, 6.320182e+003
2.690225e+002, 6.319068e+003
2.695046e+002, 6.322578e+003
2.699867e+002, 6.322118e+003
2.704688e+002, 6.312366e+003
2.709509e+002, 6.301811e+003
2.714330e+002, 6.298897e+003
2.719152e+002, 6.304330e+003
2.723973e+002, 6.311112e+003
2.728794e+002, 6.312783e+003
2.733615e+002, 6.308774e+003
2.738436e+002, 6.304408e+003
2.743257e+002, 6.298255e+003
2.748079e+002, 6.292783e+003
2.752900e+002, 6.289997e+003
2.757721e+002, 6.289937e+003
2.762542e+002, 6.291610e+003
2.767363e+002, 6.294852e+003
2.772184e+002, 6.299364e+003
2.777006e+002, 6.302706e+003
2.781827e+002, 6.304881e+003
2.786648e+002, 6.305819e+003
2.791469e+002, 6.304769e+003
2.796290e+002, 6.302009e+003
2.801111e+002, 6.299685e+003
2.805933e+002, 6.299304e+003
2.810754e+002, 6.300299e+003
2.815575e+002, 6.300526e+003
2.820396e+002, 6.300426e+003
2.825217e+002, 6.299101e+003
2.830038e+002, 6.295333e+003
2.834860e+002, 6.289572e+003
2.839681e+002, 6.284063e+003
2.844502e+002, 6.279755e+003
2.849323e+002, 6.276425e+003
2.854144e+002, 6.273193e+003
2.858965e+002, 6.269460e+003
2.863787e+002, 6.267187e+003
2.868608e+002, 6.268654e+003
2.873429e+002, 6.272764e+003
2.878250e+002, 6.275189e+003
2.883071e+002, 6.273536e+003
2.887892e+002, 6.270974e+003
2.892714e+002, 6.272548e+003
2.897535e+002, 6.278720e+003
2.902356e+002, 6.284416e+003
2.907177e+002, 6.288477e+003
2.911998e+002, 6.290307e+003
2.916819e+002, 6.287531e+003
2.921641e+002, 6.277842e+003
2.926462e+002, 6.266851e+003
2.931283e+002, 6.260584e+003
2.936104e+002, 6.258526e+003
2.940925e+002, 6.258122e+003
2.945746e+002, 6.259854e+003
2.950568e+002, 6.262329e+003
2.955389e+002, 6.262263e+003
2.960210e+002, 6.258452e+003
2.965031e+002, 6.254563e+003
2.969852e+002, 6.254208e+003
2.974673e+002, 6.256356e+003
2.979495e+002, 6.258472e+003
2.984316e+002, 6.260749e+003
2.989137e+002, 6.262143e+003
2.993958e+002, 6.259735e+003
2.998779e+002, 6.252248e+003
3.003600e+002, 6.246979e+003
3.008422e+002, 6.251932e+003
3.013243e+002, 6.262038e+003
3.018064e+002, 6.268360e+003
3.022885e+002, 6.265917e+003
3.027706e+002, 6.261908e+003
3.032527e+002, 6.265797e+003
