##NAMES=Pyroaurite
##RRUFFID=R100053
##IDEAL CHEMISTRY=Mg_6_Fe^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale bluish-green hexagonal tablets embedded in calcite, associated with magnetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100053
173.9752, 93.41151
174.4573, 93.13184
174.9394, 92.97945
175.4215, 93.02225
175.9036, 93.12151
176.3857, 92.96938
176.8679, 92.46392
177.3500, 91.67014
177.8321, 90.62785
178.3142, 89.29966
178.7963, 88.08090
179.2784, 87.25732
179.7606, 86.78126
180.2427, 86.30880
180.7248, 85.63241
181.2069, 85.04852
181.6890, 84.89768
182.1711, 85.22141
182.6533, 85.55392
183.1354, 85.43119
183.6175, 84.80508
184.0996, 84.10680
184.5817, 83.36330
185.0638, 82.61459
185.5460, 81.90567
186.0281, 81.24303
186.5102, 80.56434
186.9923, 79.69904
187.4744, 78.40650
187.9565, 77.60061
188.4387, 77.73705
188.9208, 78.12045
189.4029, 78.29445
189.8850, 78.11245
190.3671, 77.69029
190.8492, 77.21191
191.3314, 76.49229
191.8135, 76.05186
192.2956, 76.35997
192.7777, 76.71397
193.2598, 76.36952
193.7419, 75.05440
194.2241, 73.22697
194.7062, 71.99278
195.1883, 71.77917
195.6704, 71.74505
196.1525, 72.19437
196.6346, 72.71177
197.1168, 72.74340
197.5989, 72.03254
198.0810, 70.87153
198.5631, 70.11189
199.0452, 70.16908
199.5273, 70.05017
200.0095, 69.44077
200.4916, 68.57644
200.9737, 67.81814
201.4558, 67.31049
201.9379, 67.03336
202.4200, 66.95919
202.9022, 67.24233
203.3843, 67.42262
203.8664, 67.26948
204.3485, 66.87860
204.8306, 66.53095
205.3127, 66.38894
205.7949, 66.30922
206.2770, 65.97221
206.7591, 65.26588
207.2412, 64.56675
207.7233, 64.07826
208.2054, 63.78138
208.6876, 63.58306
209.1697, 63.50289
209.6518, 63.46338
210.1339, 63.31055
210.6160, 62.96559
211.0981, 62.72071
211.5803, 62.90658
212.0624, 63.52418
212.5445, 64.05206
213.0266, 64.39040
213.5087, 64.47740
213.9908, 64.21786
214.4730, 63.56792
214.9551, 62.73532
215.4372, 61.84259
215.9193, 60.82292
216.4014, 60.14103
216.8836, 60.19732
217.3657, 60.50287
217.8478, 60.80549
218.3299, 61.04674
218.8120, 61.19085
219.2941, 61.15080
219.7763, 60.85093
220.2584, 60.61618
220.7405, 60.60956
221.2226, 60.61881
221.7047, 60.54601
222.1868, 60.35569
222.6690, 59.98315
223.1511, 59.18960
223.6332, 57.43908
