##NAMES=Brianyoungite
##RRUFFID=R060431
##IDEAL CHEMISTRY=Zn^2+^_3_CO_3_(OH)_4_
##LOCALITY=Brownley Hill mine, Nenthead, Cumbria, England
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Sprays of white bladed crystals, associated with colorless tabular or prismatic gypsum.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060431
##MEASURED CHEMISTRY=EDS analysis shows the presence of Zn, with trace S.
151.7210, 676.8212
152.2031, 679.4636
152.6852, 674.4929
153.1674, 662.5746
153.6495, 638.1760
154.1316, 612.6462
154.6137, 586.6511
155.0958, 560.1928
155.5779, 535.6286
156.0601, 513.2352
156.5422, 492.7881
157.0243, 474.3716
157.5064, 457.3744
157.9885, 442.9723
158.4706, 432.0452
158.9528, 424.9251
159.4349, 418.5561
159.9170, 412.2453
160.3991, 406.2457
160.8812, 400.8496
161.3633, 395.4333
161.8455, 391.2053
162.3276, 388.9936
162.8097, 389.2463
163.2918, 389.7730
163.7739, 389.6901
164.2560, 388.9205
164.7382, 385.6298
165.2203, 381.3375
165.7024, 378.0194
166.1845, 376.7604
166.6666, 378.3956
167.1487, 379.6635
167.6309, 378.1864
168.1130, 375.0375
168.5951, 372.5058
169.0772, 372.2963
169.5593, 372.7870
170.0414, 372.4752
170.5236, 370.6976
171.0057, 369.0296
171.4878, 368.9571
171.9699, 369.9951
172.4520, 370.6790
172.9341, 370.0822
173.4163, 368.7234
173.8984, 367.1715
174.3805, 365.4575
174.8626, 363.7189
175.3447, 361.8513
175.8268, 359.9418
176.3090, 358.4217
176.7911, 357.6806
177.2732, 357.5020
177.7553, 357.6025
178.2374, 358.1253
178.7195, 358.6454
179.2017, 358.2797
179.6838, 357.1500
180.1659, 356.4907
180.6480, 357.9057
181.1301, 360.5185
181.6122, 362.2531
182.0944, 362.0678
182.5765, 361.0196
183.0586, 360.8178
183.5407, 361.4562
184.0228, 362.5664
184.5049, 364.1943
184.9871, 366.1234
185.4692, 367.4810
185.9513, 367.7452
186.4334, 367.3675
186.9155, 367.3095
187.3976, 367.5643
187.8798, 368.2113
188.3619, 369.5311
188.8440, 371.4281
189.3261, 373.1893
189.8082, 374.4222
190.2903, 375.3476
190.7725, 376.8503
191.2546, 379.0221
191.7367, 381.3857
192.2188, 383.3478
192.7009, 384.9536
193.1830, 386.7554
193.6652, 389.0553
194.1473, 391.7733
194.6294, 394.1403
195.1115, 396.0039
195.5936, 398.0154
196.0757, 401.2898
196.5579, 405.8775
197.0400, 410.2370
197.5221, 413.5717
198.0042, 415.9615
198.4863, 418.8846
198.9684, 422.4122
199.4506, 426.2996
199.9327, 430.1407
200.4148, 433.9381
200.8969, 437.8126
201.3790, 441.8166
201.8611, 445.9269
202.3433, 450.3781
202.8254, 455.3347
203.3075, 460.3764
203.7896, 464.8784
204.2717, 468.9440
204.7538, 472.0667
205.2360, 473.4648
205.7181, 472.7629
206.2002, 473.9288
206.6823, 477.4996
207.1644, 482.2784
207.6465, 485.9418
208.1287, 488.0776
208.6108, 490.4328
209.0929, 493.9547
209.5750, 498.9906
210.0571, 503.3712
210.5392, 506.8960
211.0214, 509.9987
211.5035, 513.8094
211.9856, 518.8145
212.4677, 523.1239
212.9498, 525.8038
213.4319, 526.5435
213.9141, 526.8988
214.3962, 526.8885
214.8783, 526.4951
215.3604, 525.6522
215.8425, 524.2494
216.3246, 522.6095
216.8067, 520.9515
217.2889, 519.5206
217.7710, 517.1545
218.2531, 513.3665
218.7352, 508.8656
219.2173, 505.3887
219.6994, 503.4781
220.1816, 501.5159
220.6637, 498.6828
221.1458, 494.6244
221.6279, 490.6477
222.1100, 486.5586
222.5921, 482.6390
223.0743, 479.7349
223.5564, 478.7882
224.0385, 477.2561
224.5206, 473.8627
225.0027, 467.7470
225.4848, 462.0196
225.9670, 456.8877
226.4491, 452.1781
226.9312, 447.3147
227.4133, 442.1766
227.8954, 437.1211
228.3775, 432.3295
228.8597, 427.4260
229.3418, 423.5672
229.8239, 421.2845
230.3060, 419.8870
230.7881, 417.4550
231.2702, 413.2119
231.7524, 409.0277
232.2345, 405.8531
232.7166, 404.1952
233.1987, 402.2075
233.6808, 399.7231
234.1629, 396.9570
234.6451, 394.4494
235.1272, 392.3840
235.6093, 390.3506
236.0914, 388.0615
236.5735, 384.9444
237.0556, 383.0036
237.5378, 382.9310
238.0199, 383.8488
238.5020, 383.4016
238.9841, 380.5598
239.4662, 377.8828
239.9483, 376.6028
240.4305, 377.7535
240.9126, 377.8304
241.3947, 376.2587
241.8768, 373.7854
242.3589, 372.2752
242.8410, 372.1217
243.3232, 372.3069
243.8053, 372.4393
244.2874, 372.5278
244.7695, 372.5519
245.2516, 372.6558
245.7337, 372.6403
246.2159, 371.9558
246.6980, 369.9934
247.1801, 368.3262
247.6622, 367.6528
248.1443, 368.4723
248.6264, 368.8774
249.1086, 368.6999
249.5907, 368.2002
250.0728, 367.8481
250.5549, 367.4437
251.0370, 367.5292
251.5191, 368.5122
252.0013, 370.9330
252.4834, 372.3303
252.9655, 372.2082
253.4476, 371.3405
253.9297, 371.1884
254.4118, 372.0915
254.8940, 373.0713
255.3761, 373.8929
255.8582, 374.7044
256.3403, 374.6730
256.8224, 373.3912
257.3046, 371.5853
257.7867, 370.5050
258.2688, 370.3896
258.7509, 370.4980
259.2330, 370.6852
259.7151, 371.0384
260.1973, 370.9222
260.6794, 370.0099
261.1615, 368.9604
261.6436, 368.8561
262.1257, 370.1297
262.6078, 371.2822
263.0900, 371.7354
263.5721, 371.3674
264.0542, 371.5911
264.5363, 372.7054
265.0184, 374.0450
265.5005, 374.8011
265.9827, 374.8780
266.4648, 374.5776
266.9469, 373.7070
267.4290, 372.2281
267.9111, 372.0321
268.3932, 373.6823
268.8754, 375.7411
269.3575, 376.4491
269.8396, 375.4013
270.3217, 374.5415
270.8038, 374.4909
271.2859, 375.1818
271.7681, 375.2127
272.2502, 374.4582
272.7323, 373.3124
273.2144, 372.0515
273.6965, 370.5615
274.1786, 369.5949
274.6608, 369.5879
275.1429, 370.3050
275.6250, 369.8606
276.1071, 367.9368
276.5892, 365.7722
277.0714, 364.6679
277.5535, 364.7683
278.0356, 364.5177
278.5177, 363.5029
278.9998, 361.9544
279.4819, 360.8468
279.9641, 360.2432
280.4462, 359.7891
280.9283, 359.2514
281.4104, 358.6391
281.8925, 357.8661
282.3746, 356.8546
282.8568, 355.7245
283.3389, 354.7171
283.8210, 353.7960
284.3031, 353.2580
284.7852, 353.5492
285.2673, 354.6000
285.7495, 355.2308
286.2316, 355.2002
286.7137, 354.8052
287.1958, 354.5820
287.6779, 354.5238
288.1600, 354.7011
288.6422, 355.3358
289.1243, 356.3338
289.6064, 356.9305
290.0885, 356.9750
290.5706, 356.8459
291.0527, 357.3468
291.5349, 358.4170
292.0170, 359.1211
292.4991, 358.6118
292.9812, 357.2711
293.4633, 356.5673
293.9454, 356.6718
294.4276, 357.0055
294.9097, 356.7180
295.3918, 355.9347
295.8739, 355.3167
296.3560, 355.2196
296.8381, 355.5121
297.3203, 356.0460
297.8024, 356.8636
298.2845, 357.4579
298.7666, 356.9359
299.2487, 355.6789
299.7308, 354.8460
300.2130, 354.9708
300.6951, 355.7919
301.1772, 357.0796
301.6593, 358.8287
302.1414, 360.5213
302.6235, 362.0895
303.1057, 363.2531
303.5878, 363.3561
304.0699, 361.4767
304.5520, 359.0053
305.0341, 357.4954
305.5162, 356.8865
305.9984, 356.6200
306.4805, 356.3775
306.9626, 356.2126
307.4447, 356.2259
307.9268, 356.5659
308.4089, 356.9186
308.8911, 357.0682
309.3732, 357.0096
309.8553, 356.7323
310.3374, 356.0392
310.8195, 355.2074
311.3016, 354.5634
311.7838, 354.3218
312.2659, 353.9679
312.7480, 352.8527
313.2301, 351.3485
313.7122, 350.3497
314.1943, 350.3358
314.6765, 350.9373
315.1586, 352.1640
315.6407, 354.3990
316.1228, 355.8989
316.6049, 355.2630
317.0870, 353.4044
317.5692, 351.8392
318.0513, 350.8129
318.5334, 350.4244
319.0155, 350.8616
319.4976, 352.2321
319.9797, 353.7046
320.4619, 355.1372
320.9440, 356.4796
321.4261, 357.6592
321.9082, 358.4449
322.3903, 359.2779
322.8724, 360.2729
323.3546, 361.4364
323.8367, 362.7444
324.3188, 364.4970
324.8009, 366.2427
325.2830, 367.6195
325.7651, 368.3453
326.2473, 368.9987
326.7294, 369.2704
327.2115, 369.3310
327.6936, 370.4825
328.1757, 374.0063
328.6578, 377.7519
329.1400, 380.6501
329.6221, 381.3542
330.1042, 383.0021
330.5863, 386.3075
331.0684, 390.5970
331.5505, 393.7719
332.0327, 394.6683
332.5148, 395.8369
332.9969, 398.3860
333.4790, 402.8954
333.9611, 407.0399
334.4432, 410.8121
334.9254, 414.2307
335.4075, 417.1934
335.8896, 419.3810
336.3717, 421.8263
336.8538, 425.0118
337.3359, 429.1135
337.8180, 432.2531
338.3001, 434.0185
338.7823, 435.4571
339.2644, 437.7716
339.7465, 441.1660
340.2286, 444.6472
340.7107, 448.1131
341.1928, 451.5103
341.6750, 454.0202
342.1571, 455.5164
342.6392, 456.7204
343.1213, 458.2998
343.6034, 460.2461
344.0855, 461.9854
344.5677, 463.4477
345.0498, 464.5962
345.5319, 465.3078
346.0140, 465.5814
346.4961, 465.4688
346.9782, 464.9007
347.4604, 463.9462
347.9425, 462.8925
348.4246, 461.6981
348.9067, 460.6073
349.3888, 460.2242
349.8709, 460.3852
350.3531, 460.1570
350.8352, 458.9476
351.3173, 457.0702
351.7994, 454.8527
352.2815, 452.2568
352.7636, 450.0674
353.2458, 449.2468
353.7279, 449.3940
354.2100, 449.6407
354.6921, 449.4705
355.1742, 449.3588
355.6563, 450.0532
356.1385, 451.4536
356.6206, 452.5794
357.1027, 452.3419
357.5848, 451.6006
358.0669, 451.3242
358.5490, 451.6229
359.0312, 452.6513
359.5133, 455.1512
359.9954, 458.5939
360.4775, 461.3762
360.9596, 461.8686
361.4417, 461.9921
361.9239, 463.0870
362.4060, 465.5635
362.8881, 468.4107
363.3702, 471.7357
363.8523, 475.1010
364.3344, 477.8368
364.8166, 478.7656
365.2987, 479.9338
365.7808, 482.1636
366.2629, 485.6188
366.7450, 489.2282
367.2271, 493.1801
367.7093, 497.0497
368.1914, 500.4637
368.6735, 502.6579
369.1556, 505.2456
369.6377, 508.8195
370.1198, 513.2063
370.6020, 516.5522
371.0841, 517.7684
371.5662, 518.9659
372.0483, 521.3115
372.5304, 525.7075
373.0125, 529.5818
373.4947, 532.7087
373.9768, 535.3080
374.4589, 538.0455
374.9410, 541.3726
375.4231, 543.9094
375.9052, 545.0135
376.3874, 544.5091
376.8695, 543.9634
377.3516, 543.3914
377.8337, 542.7473
378.3158, 542.3340
378.7979, 542.3907
379.2801, 540.7461
379.7622, 536.3480
380.2443, 529.8389
380.7264, 523.9406
381.2085, 518.7733
381.6906, 513.5429
382.1728, 507.4324
382.6549, 500.5496
383.1370, 493.9222
383.6191, 487.5845
384.1012, 481.7025
384.5833, 476.8299
385.0655, 472.7866
385.5476, 468.2988
386.0297, 461.8675
386.5118, 454.6128
386.9939, 448.4760
387.4760, 443.7212
387.9582, 439.5985
388.4403, 435.3400
388.9224, 431.1459
389.4045, 427.4560
389.8866, 424.5675
390.3687, 422.1296
390.8509, 419.9937
391.3330, 418.1416
391.8151, 416.3157
392.2972, 414.2722
392.7793, 412.2419
393.2614, 410.4510
393.7436, 409.1195
394.2257, 407.8380
394.7078, 406.5024
395.1899, 405.1053
395.6720, 403.6258
396.1541, 401.3863
396.6363, 399.6032
397.1184, 399.0490
397.6005, 400.3330
398.0826, 401.1752
398.5647, 401.0545
399.0468, 400.3758
399.5290, 399.6292
400.0111, 398.5038
400.4932, 397.6883
400.9753, 397.3260
401.4574, 397.4162
401.9395, 397.6975
402.4217, 398.1838
402.9038, 398.8409
403.3859, 399.7397
403.8680, 401.2676
404.3501, 402.0327
404.8322, 401.5792
405.3144, 400.4682
405.7965, 400.2871
406.2786, 401.2990
406.7607, 402.3517
407.2428, 402.7397
407.7249, 402.4207
408.2071, 403.0809
408.6892, 404.9119
409.1713, 407.1570
409.6534, 408.8147
410.1355, 409.9170
410.6176, 411.2536
411.0998, 413.1366
411.5819, 415.3643
412.0640, 417.5765
412.5461, 419.7466
413.0282, 421.6700
413.5103, 423.0832
413.9925, 424.1235
414.4746, 424.9982
414.9567, 425.6198
415.4388, 426.4535
415.9209, 428.1926
416.4030, 430.5423
416.8852, 432.8214
417.3673, 434.1457
417.8494, 435.5790
418.3315, 438.6216
418.8136, 443.3594
419.2957, 446.9707
419.7779, 446.5462
420.2600, 444.7400
420.7421, 444.2193
421.2242, 447.5692
421.7063, 450.4225
422.1884, 451.0950
422.6706, 450.0769
423.1527, 449.2444
423.6348, 449.0947
424.1169, 449.1827
424.5990, 449.3858
425.0811, 449.9749
425.5633, 450.0275
426.0454, 449.0103
426.5275, 447.6626
427.0096, 446.9549
427.4917, 447.5932
427.9738, 447.7961
428.4560, 447.0486
428.9381, 445.3978
429.4202, 444.1309
429.9023, 443.4326
430.3844, 442.7957
430.8665, 441.8937
431.3487, 440.7160
431.8308, 439.2549
432.3129, 437.3829
432.7950, 435.3850
433.2771, 433.9274
433.7592, 433.0362
434.2414, 432.2464
434.7235, 431.3079
435.2056, 430.2887
435.6877, 429.4427
436.1698, 428.7657
436.6519, 428.3056
437.1341, 428.2938
437.6162, 428.5521
438.0983, 428.6601
438.5804, 428.6680
439.0625, 428.2478
439.5446, 426.6051
440.0268, 424.0915
440.5089, 421.9833
440.9910, 421.1374
441.4731, 420.9699
441.9552, 421.0781
442.4373, 421.4911
442.9195, 421.7438
443.4016, 421.8278
443.8837, 421.5472
444.3658, 420.6629
444.8479, 418.1006
445.3300, 415.9359
445.8122, 414.9756
446.2943, 415.1125
446.7764, 415.2074
447.2585, 415.2363
447.7406, 415.0735
448.2227, 414.6024
448.7049, 413.4230
449.1870, 412.7408
449.6691, 412.9469
450.1512, 413.4586
450.6333, 413.2550
451.1154, 411.7783
451.5976, 410.8163
452.0797, 411.1173
452.5618, 412.5378
453.0439, 412.8975
453.5260, 412.0246
454.0081, 410.6155
454.4903, 408.8985
454.9724, 406.9027
455.4545, 405.8495
455.9366, 406.1113
456.4187, 406.9261
456.9008, 406.9396
457.3830, 406.2554
457.8651, 405.6815
458.3472, 405.8632
458.8293, 406.3236
459.3114, 406.0723
459.7935, 405.1131
460.2757, 404.1632
460.7578, 403.9622
461.2399, 404.0858
461.7220, 403.9214
462.2041, 403.1527
462.6862, 402.3206
463.1684, 401.6416
463.6505, 401.1549
464.1326, 400.9712
464.6147, 401.3471
465.0968, 401.8570
465.5789, 402.4713
466.0611, 403.2882
466.5432, 403.3543
467.0253, 401.5121
467.5074, 399.3494
467.9895, 398.2072
468.4716, 399.4872
468.9538, 400.0580
469.4359, 399.3924
469.9180, 397.8964
470.4001, 396.8385
470.8822, 396.3224
471.3643, 396.1051
471.8465, 396.3202
472.3286, 397.1139
472.8107, 396.6645
473.2928, 394.6199
473.7749, 392.2360
474.2570, 390.9736
474.7392, 390.8276
475.2213, 390.8194
475.7034, 390.7859
476.1855, 390.7119
476.6676, 390.5058
477.1497, 390.1870
477.6319, 389.9584
478.1140, 390.0288
478.5961, 390.2324
479.0782, 390.2002
479.5603, 389.8747
480.0424, 389.7390
480.5246, 390.7418
481.0067, 392.0270
481.4888, 392.3513
481.9709, 390.3925
482.4530, 388.4452
482.9352, 387.9178
483.4173, 388.3976
483.8994, 388.5810
484.3815, 388.0357
484.8636, 387.0841
485.3457, 385.7718
485.8279, 383.9288
486.3100, 382.3849
486.7921, 380.9584
487.2742, 380.0076
487.7563, 379.9261
488.2384, 381.5534
488.7206, 382.6098
489.2027, 382.7574
489.6848, 382.1722
490.1669, 381.3028
490.6490, 379.9098
491.1311, 378.9962
491.6133, 379.3594
492.0954, 380.9704
492.5775, 381.6198
493.0596, 381.1522
493.5417, 380.3701
494.0238, 380.1020
494.5060, 380.2714
494.9881, 380.5331
495.4702, 380.7944
495.9523, 381.1166
496.4344, 381.6220
496.9165, 382.2710
497.3987, 382.9143
497.8808, 383.4637
498.3629, 383.9743
498.8450, 384.5323
499.3271, 385.1529
499.8092, 385.6529
500.2914, 385.9321
500.7735, 386.0433
501.2556, 386.0485
501.7377, 386.1864
502.2198, 385.9402
502.7019, 384.7092
503.1841, 382.9796
503.6662, 382.0739
504.1483, 382.8669
504.6304, 383.6695
505.1125, 384.0042
505.5946, 383.8376
506.0768, 383.6578
506.5589, 383.3256
507.0410, 383.1997
507.5231, 383.7346
508.0052, 385.1075
508.4873, 385.9637
508.9695, 386.0753
509.4516, 385.7148
509.9337, 385.2345
510.4158, 384.6515
510.8979, 384.3027
511.3800, 384.4303
511.8622, 384.8566
512.3443, 385.2477
512.8264, 385.5933
513.3085, 385.8055
513.7906, 385.5805
514.2728, 385.2679
514.7549, 385.3257
515.2370, 385.8700
515.7191, 386.7030
516.2012, 388.2592
516.6833, 389.9035
517.1655, 390.6873
517.6476, 389.0196
518.1297, 387.7228
518.6118, 388.0830
519.0939, 389.9508
519.5760, 391.3678
520.0582, 392.2592
520.5403, 392.4966
521.0224, 391.8270
521.5045, 389.5677
521.9866, 388.4036
522.4688, 388.6005
522.9509, 389.5946
523.4330, 390.9189
523.9151, 392.7509
524.3972, 393.8668
524.8793, 393.8023
525.3615, 393.0165
525.8436, 392.6856
526.3257, 392.8040
526.8078, 393.0369
527.2899, 393.4612
527.7720, 393.8168
528.2542, 393.4276
528.7363, 392.2574
529.2184, 390.8008
529.7005, 389.1064
530.1826, 387.5146
530.6647, 386.5760
531.1469, 386.9507
531.6290, 387.1758
532.1111, 386.4217
532.5932, 384.9362
533.0753, 383.2314
533.5574, 381.2233
534.0396, 379.2273
534.5217, 377.1700
535.0038, 375.0396
535.4859, 373.5853
535.9680, 373.2784
536.4501, 373.2028
536.9323, 372.9200
537.4144, 372.6039
537.8965, 371.4514
538.3786, 369.0633
538.8607, 366.3615
539.3428, 364.8613
539.8250, 364.6336
540.3071, 364.5322
540.7892, 364.3690
541.2713, 364.0225
541.7534, 363.1003
542.2355, 361.6443
542.7177, 360.0825
543.1998, 358.3883
543.6819, 356.8540
544.1640, 356.1729
544.6461, 356.4435
545.1282, 356.4645
545.6104, 354.7931
546.0925, 352.6520
546.5746, 351.4374
547.0567, 352.0917
547.5388, 352.9341
548.0209, 353.4972
548.5031, 353.8430
548.9852, 354.1235
549.4673, 354.6819
549.9494, 354.8221
550.4315, 354.2081
550.9136, 352.8449
551.3958, 351.8374
551.8779, 351.2415
552.3600, 350.9081
552.8421, 350.7908
553.3242, 350.9176
553.8063, 350.9852
554.2885, 350.9612
554.7706, 350.9332
555.2527, 351.1761
555.7348, 351.5944
556.2169, 351.5095
556.6990, 350.3718
557.1812, 349.0838
557.6633, 349.1047
558.1454, 350.1470
558.6275, 351.1324
559.1096, 351.4686
559.5917, 351.4726
560.0739, 351.2651
560.5560, 350.8510
561.0381, 350.6738
561.5202, 350.8299
562.0023, 351.3458
562.4844, 352.3108
562.9666, 355.0243
563.4487, 356.1818
563.9308, 354.6113
564.4129, 351.8546
564.8950, 350.2386
565.3771, 350.0934
565.8593, 350.4013
566.3414, 351.0911
566.8235, 352.0374
567.3056, 352.7798
567.7877, 353.3363
568.2698, 353.5020
568.7520, 352.7799
569.2341, 351.5244
569.7162, 351.1999
570.1983, 351.8971
570.6804, 352.8183
571.1625, 353.2995
571.6447, 353.4869
572.1268, 353.6124
572.6089, 353.7462
573.0910, 353.8108
573.5731, 353.5771
574.0552, 353.2727
574.5374, 353.2897
575.0195, 354.1161
575.5016, 354.9278
575.9837, 355.3748
576.4658, 355.4962
576.9479, 355.8768
577.4301, 356.8363
577.9122, 357.6889
578.3943, 358.0646
578.8764, 357.8036
579.3585, 358.0084
579.8406, 358.8181
580.3228, 359.7817
580.8049, 360.3216
581.2870, 360.4744
581.7691, 361.0475
582.2512, 362.2617
582.7333, 363.7296
583.2155, 365.1404
583.6976, 366.3506
584.1797, 366.9799
584.6617, 365.9975
585.1439, 364.9531
585.6260, 365.4457
586.1081, 367.2154
586.5902, 368.9424
587.0723, 370.1709
587.5544, 371.0476
588.0366, 371.5763
588.5187, 371.6186
589.0008, 371.9208
589.4829, 372.6152
589.9650, 373.5830
590.4471, 374.8182
590.9293, 376.6969
591.4114, 377.9190
591.8935, 378.1403
592.3756, 377.9709
592.8577, 378.5928
593.3398, 380.0519
593.8220, 381.4478
594.3041, 382.5045
594.7862, 383.2983
595.2683, 383.8611
595.7504, 384.2424
596.2325, 384.8439
596.7147, 386.1938
597.1968, 387.7512
597.6789, 388.8174
598.1610, 389.3346
598.6431, 389.9932
599.1252, 391.5080
599.6074, 393.1300
600.0895, 394.2592
600.5716, 394.6964
601.0537, 394.8023
601.5358, 394.2498
602.0179, 393.5404
602.5001, 393.3232
602.9822, 393.7375
603.4643, 394.3985
603.9464, 395.3939
604.4285, 396.5263
604.9106, 397.0593
605.3928, 396.9007
605.8749, 396.8976
606.3570, 397.7081
606.8391, 398.9739
607.3212, 399.4461
607.8033, 399.1486
608.2855, 398.7256
608.7676, 398.5934
609.2497, 398.6625
609.7318, 398.8372
610.2139, 399.1152
610.6960, 399.4429
611.1782, 399.9943
611.6603, 400.4908
612.1424, 400.6408
612.6245, 400.1132
613.1066, 399.5545
613.5887, 399.0830
614.0709, 398.6302
614.5530, 398.0418
615.0351, 397.3199
615.5172, 396.4908
615.9993, 395.5786
616.4814, 394.5642
616.9636, 393.1562
617.4457, 391.2977
617.9278, 389.7632
618.4099, 389.2361
618.8920, 389.4111
619.3741, 389.4682
619.8563, 389.3782
620.3384, 389.2305
620.8205, 389.4008
621.3026, 389.4240
621.7847, 388.5699
622.2668, 386.1974
622.7490, 384.2505
623.2311, 383.5082
623.7132, 383.6848
624.1953, 384.4156
624.6774, 387.0880
625.1595, 388.4871
625.6417, 387.5587
626.1238, 385.2229
626.6059, 384.1931
627.0880, 384.9604
627.5701, 385.5062
628.0522, 384.8551
628.5344, 383.4078
629.0165, 383.4464
629.4986, 385.0080
629.9807, 386.4586
630.4628, 386.3442
630.9449, 385.3929
631.4271, 384.8548
631.9092, 384.8177
632.3913, 385.2949
632.8734, 387.1362
633.3555, 389.0781
633.8376, 389.7617
634.3198, 388.2755
634.8019, 386.7059
635.2840, 385.1817
635.7661, 384.0314
636.2482, 383.7294
636.7303, 385.0734
637.2125, 385.8972
637.6946, 385.6451
638.1767, 384.7995
638.6588, 384.8872
639.1409, 386.1004
639.6230, 386.9431
640.1052, 386.8164
640.5873, 385.8973
641.0694, 384.5365
641.5515, 382.7690
642.0336, 381.0647
642.5157, 379.8296
642.9979, 378.7891
643.4800, 377.4196
643.9621, 375.6258
644.4442, 374.6284
644.9263, 375.6656
645.4084, 377.3549
645.8906, 378.5912
646.3727, 379.0283
646.8548, 379.3219
647.3369, 379.8261
647.8190, 379.9879
648.3011, 378.9460
648.7833, 376.0880
649.2654, 374.0383
649.7475, 373.3040
650.2296, 373.4078
650.7117, 373.5463
651.1938, 373.6873
651.6760, 373.4253
652.1581, 372.1727
652.6402, 370.7562
653.1223, 370.5985
653.6044, 371.4501
654.0865, 372.2379
654.5687, 372.3322
655.0508, 372.1909
655.5329, 372.2177
656.0150, 372.4585
656.4971, 372.2047
656.9792, 370.5440
657.4614, 368.9661
657.9435, 368.3199
658.4256, 368.9135
658.9077, 369.3849
659.3898, 369.7652
659.8719, 369.9611
660.3541, 369.6975
660.8362, 369.0006
661.3183, 368.8440
661.8004, 369.4639
662.2825, 370.3602
662.7646, 371.0363
663.2468, 371.4740
663.7289, 371.5976
664.2110, 371.0522
664.6931, 370.6078
665.1752, 371.1836
665.6573, 372.2736
666.1395, 372.6874
666.6216, 371.0106
667.1037, 369.6969
667.5858, 369.8680
668.0679, 371.2560
668.5500, 371.9505
669.0322, 371.5956
669.5143, 371.2740
669.9964, 371.6961
670.4785, 372.7504
670.9606, 372.2708
671.4427, 370.0617
671.9249, 368.1984
672.4070, 368.7151
672.8891, 370.7086
673.3712, 372.4176
673.8533, 373.7013
674.3354, 374.3281
674.8176, 373.3611
675.2997, 372.0375
675.7818, 371.7103
676.2639, 373.1868
676.7460, 374.7104
677.2281, 376.4337
677.7103, 377.7304
678.1924, 377.7011
678.6745, 375.4203
679.1566, 373.8607
679.6387, 373.5020
680.1208, 373.9823
680.6030, 374.7961
681.0851, 375.9241
681.5672, 376.3444
682.0493, 375.1497
682.5314, 373.5328
