##NAMES=Corundum
##RRUFFID=X080003
##IDEAL CHEMISTRY=Al_2_O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted yellow sapphire gemstone, 4.70 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080003
646.2893, 44.26868
646.7714, 42.95000
647.2535, 41.12754
647.7357, 38.71372
648.2178, 35.66516
648.6999, 32.43193
649.1820, 29.50096
649.6641, 26.85559
650.1462, 24.66475
650.6284, 23.15157
651.1105, 21.77658
651.5926, 20.34214
652.0747, 19.05644
652.5568, 18.23860
653.0389, 17.86437
653.5211, 17.51651
654.0032, 16.82416
654.4853, 15.92213
654.9674, 15.15112
655.4495, 14.50525
655.9316, 14.09425
656.4138, 14.08141
656.8959, 14.16553
657.3780, 13.93622
657.8601, 13.40936
658.3422, 12.85894
658.8243, 12.11150
659.3065, 11.56723
659.7886, 11.60825
660.2707, 11.94732
660.7528, 12.10937
661.2349, 11.95883
661.7170, 11.69007
662.1992, 11.51148
662.6813, 11.42033
663.1634, 11.35332
663.6455, 11.31708
664.1276, 11.29092
664.6097, 11.22996
665.0919, 11.20132
665.5740, 11.35065
666.0561, 11.66676
666.5382, 11.76631
667.0203, 11.30722
667.5024, 10.67361
667.9846, 10.21823
668.4667, 9.941014
668.9488, 9.816244
669.4309, 9.843036
669.9130, 9.922018
670.3951, 9.911177
670.8773, 9.786367
671.3594, 9.769168
671.8415, 9.924257
672.3236, 10.11569
672.8057, 10.40411
673.2878, 10.66356
673.7700, 10.73595
674.2521, 10.61018
674.7342, 10.45835
675.2163, 10.39376
675.6984, 10.39789
676.1805, 10.46433
676.6627, 10.58852
677.1448, 10.64488
677.6269, 10.58022
678.1090, 10.44149
678.5911, 10.27777
679.0732, 10.07304
679.5554, 9.943322
680.0375, 9.939333
680.5196, 9.949118
681.0017, 9.881690
681.4838, 9.827670
681.9659, 9.977107
682.4481, 10.33101
682.9302, 10.58814
683.4123, 10.41057
683.8944, 9.916524
684.3765, 9.557080
684.8586, 9.335034
