##NAMES=Cryolite
##RRUFFID=R120026
##IDEAL CHEMISTRY=Na_3_AlF_6_
##LOCALITY=Francon quarry, Montréal, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Colorless, pseudo-octahedral crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120026
534.5217, 408.9905
535.0038, 415.8046
535.4859, 423.9874
535.9680, 433.2809
536.4501, 442.9403
536.9323, 452.4174
537.4144, 463.1624
537.8965, 475.7127
538.3786, 490.0302
538.8607, 505.2791
539.3428, 521.4277
539.8250, 538.2055
540.3071, 554.7912
540.7892, 571.1799
541.2713, 589.8182
541.7534, 611.2728
542.2355, 634.1508
542.7177, 656.3802
543.1998, 678.4863
543.6819, 701.5665
544.1640, 724.9379
544.6461, 749.9999
545.1282, 778.3359
545.6104, 809.7214
546.0925, 843.3636
546.5746, 879.9571
547.0567, 917.7415
547.5388, 955.8386
548.0209, 993.7416
548.5031, 1032.869
548.9852, 1075.134
549.4673, 1118.277
549.9494, 1160.137
550.4315, 1202.733
550.9136, 1241.011
551.3958, 1275.634
551.8779, 1305.397
552.3600, 1326.885
552.8421, 1341.003
553.3242, 1344.284
553.8063, 1335.044
554.2885, 1313.607
554.7706, 1281.680
555.2527, 1239.028
555.7348, 1188.547
556.2169, 1129.272
556.6990, 1064.470
557.1812, 1000.442
557.6633, 937.7093
558.1454, 877.9414
558.6275, 822.3154
559.1096, 771.0448
559.5917, 723.2639
560.0739, 678.4023
560.5560, 637.9144
561.0381, 603.2168
561.5202, 573.9779
562.0023, 547.3090
562.4844, 522.8768
562.9666, 500.4489
563.4487, 480.1931
563.9308, 462.1563
564.4129, 445.8942
564.8950, 431.3084
565.3771, 418.5958
565.8593, 408.1519
566.3414, 400.5967
566.8235, 392.3868
567.3056, 382.7440
567.7877, 372.8157
568.2698, 364.6381
568.7520, 358.0931
569.2341, 352.3744
569.7162, 347.2552
570.1983, 342.6584
570.6804, 338.4593
571.1625, 334.6323
571.6447, 330.8527
572.1268, 326.3694
572.6089, 322.1385
573.0910, 319.5746
573.5731, 319.1047
574.0552, 317.9134
574.5374, 313.7617
575.0195, 308.7345
575.5016, 304.7650
575.9837, 302.9600
576.4658, 301.3183
576.9479, 299.6758
577.4301, 298.0498
577.9122, 296.4077
578.3943, 294.4156
578.8764, 293.0607
579.3585, 292.8457
579.8406, 293.5406
580.3228, 293.6425
580.8049, 293.1684
581.2870, 291.9951
581.7691, 289.4293
582.2512, 285.9965
582.7333, 283.9867
583.2155, 283.6410
583.6976, 283.6166
584.1797, 282.5001
584.6617, 280.8711
585.1439, 279.7165
585.6260, 279.5419
586.1081, 279.4821
586.5902, 279.3013
587.0723, 278.8297
587.5544, 277.7531
588.0366, 274.6077
588.5187, 272.2083
589.0008, 271.7799
589.4829, 273.2364
589.9650, 274.3514
590.4471, 275.3138
590.9293, 275.6638
591.4114, 274.9748
591.8935, 273.0019
592.3756, 271.7402
592.8577, 271.3063
593.3398, 271.2621
593.8220, 271.2261
594.3041, 271.1948
594.7862, 271.1368
595.2683, 271.0605
595.7504, 270.9290
596.2325, 270.6684
596.7147, 270.3135
597.1968, 269.9556
597.6789, 269.6239
598.1610, 269.3155
598.6431, 269.1463
599.1252, 269.0407
599.6074, 268.6508
