##NAMES=Abramovite
##RRUFFID=R070037
##IDEAL CHEMISTRY=Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Archipelago, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Dark gray metallic twisted and distorted fibers in a radiating aggregate, co-type sample.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070037
442.8817, 2057.285
443.3638, 2059.208
443.8459, 2063.248
444.3280, 2069.051
444.8101, 2074.038
445.2922, 2081.404
445.7744, 2082.126
446.2565, 2064.869
446.7386, 2045.531
447.2207, 2041.652
447.7028, 2057.174
448.1849, 2077.699
448.6671, 2093.599
449.1492, 2104.295
449.6313, 2106.323
450.1134, 2097.428
450.5955, 2085.492
451.0776, 2074.599
451.5598, 2065.297
452.0419, 2059.415
452.5240, 2059.546
453.0061, 2060.446
453.4882, 2056.695
453.9703, 2052.054
454.4525, 2057.433
454.9346, 2076.557
455.4167, 2095.097
455.8988, 2093.047
456.3809, 2064.466
456.8630, 2038.489
457.3452, 2005.718
457.8272, 1984.538
458.3094, 1988.841
458.7915, 2009.208
459.2736, 2030.527
459.7557, 2045.895
460.2378, 2053.856
460.7199, 2048.469
461.2021, 2025.159
461.6842, 2009.886
462.1663, 2012.105
462.6484, 2018.023
463.1305, 2018.885
463.6126, 2015.756
464.0948, 2014.066
464.5769, 2020.611
465.0590, 2027.258
465.5411, 2018.965
466.0232, 1997.201
466.5053, 1982.437
466.9875, 1983.591
467.4696, 1995.517
467.9517, 2012.254
468.4338, 2039.863
468.9159, 2050.503
469.3980, 2023.084
469.8802, 1990.163
470.3623, 1978.778
470.8444, 1987.291
471.3265, 1999.993
471.8086, 2007.249
472.2907, 2009.104
472.7729, 2004.736
473.2550, 1986.760
473.7371, 1975.537
474.2192, 1977.169
474.7013, 1982.182
475.1834, 1984.585
475.6656, 1983.649
476.1477, 1981.163
476.6298, 1977.861
477.1119, 1974.137
477.5940, 1972.337
478.0761, 1973.769
478.5583, 1969.771
479.0404, 1947.245
479.5225, 1922.761
480.0046, 1925.954
480.4867, 1966.481
480.9688, 1999.129
481.4510, 2001.598
481.9331, 1988.895
482.4152, 1976.647
482.8973, 1967.539
483.3794, 1963.856
483.8615, 1968.986
484.3437, 1980.216
484.8258, 1979.610
485.3079, 1942.369
485.7900, 1924.555
486.2721, 1945.365
486.7542, 1977.932
487.2364, 2000.579
487.7185, 2009.505
488.2006, 2012.402
488.6827, 2017.993
489.1648, 2023.972
489.6469, 2013.010
490.1291, 1977.115
490.6112, 1943.890
491.0933, 1925.607
491.5754, 1916.255
492.0575, 1909.257
492.5396, 1903.241
493.0218, 1903.223
493.5039, 1920.328
493.9860, 1942.244
494.4681, 1944.356
494.9502, 1924.706
495.4323, 1907.571
495.9145, 1911.946
496.3966, 1933.751
496.8787, 1946.467
497.3608, 1947.055
497.8429, 1943.166
498.3250, 1931.142
498.8072, 1917.882
499.2893, 1911.103
499.7714, 1910.821
500.2535, 1909.367
500.7356, 1897.003
501.2177, 1877.104
501.6999, 1877.013
502.1820, 1907.083
502.6641, 1933.980
503.1462, 1947.932
503.6283, 1951.940
504.1104, 1945.781
504.5926, 1928.842
505.0747, 1911.648
505.5568, 1898.794
506.0389, 1890.188
506.5210, 1888.232
507.0031, 1892.692
507.4853, 1893.240
507.9674, 1881.557
508.4495, 1862.198
508.9316, 1853.106
509.4137, 1862.963
509.8958, 1870.224
510.3780, 1866.040
510.8601, 1863.563
511.3422, 1881.135
511.8243, 1913.838
512.3064, 1934.688
512.7885, 1919.079
513.2706, 1878.977
513.7527, 1865.918
514.2349, 1892.435
514.7170, 1911.899
515.1991, 1906.952
515.6812, 1892.846
516.1633, 1877.217
516.6454, 1861.418
517.1276, 1855.038
517.6097, 1875.074
518.0918, 1900.262
518.5739, 1898.049
519.0560, 1870.768
519.5381, 1846.054
520.0203, 1836.759
520.5024, 1839.417
520.9845, 1847.653
521.4666, 1872.160
521.9487, 1880.469
522.4308, 1859.572
522.9130, 1834.142
523.3951, 1814.735
523.8772, 1803.672
524.3593, 1803.907
524.8414, 1818.653
525.3235, 1838.446
525.8057, 1841.453
526.2878, 1824.174
526.7699, 1812.275
527.2520, 1812.295
527.7341, 1816.449
528.2162, 1822.043
528.6984, 1827.272
529.1805, 1824.628
529.6626, 1802.105
530.1447, 1779.492
530.6268, 1772.182
531.1089, 1777.307
531.5911, 1790.702
532.0732, 1811.726
532.5553, 1828.629
533.0374, 1824.220
533.5195, 1793.144
534.0016, 1772.786
534.4838, 1766.183
534.9659, 1765.965
535.4480, 1774.771
535.9301, 1786.680
536.4122, 1793.800
536.8943, 1793.668
537.3765, 1791.825
537.8586, 1797.217
538.3407, 1807.984
538.8228, 1806.790
539.3049, 1788.478
539.7870, 1770.042
540.2692, 1761.257
540.7513, 1759.831
541.2334, 1759.894
541.7155, 1761.664
542.1976, 1764.043
542.6797, 1768.905
543.1619, 1772.907
543.6440, 1769.723
544.1261, 1760.239
544.6082, 1754.085
545.0903, 1759.751
545.5724, 1773.420
546.0546, 1775.303
546.5367, 1756.964
547.0188, 1742.275
547.5009, 1736.373
547.9830, 1733.379
548.4651, 1728.879
548.9473, 1723.243
549.4294, 1720.110
549.9115, 1721.026
550.3936, 1726.036
550.8757, 1741.260
551.3578, 1764.457
551.8400, 1769.403
552.3221, 1741.981
552.8042, 1704.392
553.2863, 1687.541
553.7684, 1697.455
554.2505, 1702.901
554.7327, 1698.928
555.2148, 1695.564
555.6969, 1699.918
556.1790, 1707.400
556.6611, 1708.892
557.1432, 1701.323
557.6254, 1692.556
558.1075, 1695.980
558.5896, 1712.256
559.0717, 1716.074
559.5538, 1700.187
560.0359, 1684.126
560.5181, 1678.134
561.0002, 1678.441
561.4823, 1681.089
561.9644, 1687.567
562.4465, 1690.200
562.9286, 1680.383
563.4108, 1666.843
563.8929, 1663.735
564.3750, 1670.775
564.8571, 1674.589
565.3392, 1665.214
565.8214, 1647.004
566.3035, 1636.526
566.7856, 1639.182
567.2677, 1639.945
567.7498, 1638.129
568.2319, 1634.154
568.7141, 1626.443
569.1962, 1616.661
569.6783, 1608.770
570.1604, 1603.147
570.6425, 1603.020
571.1246, 1620.492
571.6068, 1651.056
572.0889, 1659.449
572.5710, 1631.990
573.0531, 1598.217
573.5352, 1589.220
574.0173, 1606.178
574.4995, 1617.014
574.9816, 1618.271
575.4637, 1617.930
575.9458, 1615.507
576.4279, 1614.342
576.9100, 1621.867
577.3922, 1637.409
577.8743, 1647.526
578.3564, 1636.685
578.8385, 1609.439
579.3206, 1590.449
579.8027, 1580.906
580.2849, 1575.262
580.7670, 1571.385
581.2491, 1570.867
581.7312, 1576.597
582.2133, 1589.152
582.6954, 1599.338
583.1776, 1603.732
583.6597, 1605.505
584.1418, 1609.801
584.6239, 1613.495
585.1060, 1606.061
585.5881, 1583.181
586.0703, 1556.374
586.5524, 1545.026
587.0345, 1552.892
587.5166, 1554.288
587.9987, 1541.445
588.4808, 1532.268
588.9630, 1535.070
589.4451, 1544.376
589.9272, 1553.901
590.4093, 1562.757
590.8914, 1568.426
591.3735, 1567.531
591.8557, 1563.077
592.3378, 1559.736
592.8199, 1557.871
593.3020, 1556.588
593.7841, 1555.391
594.2662, 1554.398
594.7484, 1554.037
595.2305, 1555.756
595.7126, 1555.286
596.1947, 1554.143
596.6768, 1549.600
597.1589, 1537.525
597.6411, 1521.418
598.1232, 1508.234
598.6053, 1500.982
599.0874, 1496.847
599.5695, 1490.688
600.0516, 1484.581
600.5338, 1490.566
601.0159, 1512.596
601.4980, 1529.872
601.9801, 1524.366
602.4622, 1502.200
602.9443, 1493.504
603.4265, 1509.605
603.9086, 1521.933
604.3907, 1528.899
604.8728, 1530.184
605.3549, 1522.825
605.8370, 1509.364
606.3192, 1496.272
606.8013, 1486.821
607.2834, 1481.646
607.7655, 1484.015
608.2476, 1493.941
608.7297, 1500.532
609.2119, 1502.269
609.6940, 1499.312
610.1761, 1490.091
610.6582, 1475.640
611.1403, 1463.155
611.6224, 1448.703
612.1045, 1441.381
612.5866, 1449.529
613.0687, 1462.664
613.5508, 1469.807
614.0330, 1470.103
614.5151, 1468.657
614.9972, 1469.053
615.4793, 1470.679
615.9614, 1472.375
616.4435, 1474.665
616.9257, 1473.766
617.4078, 1467.565
617.8899, 1459.676
618.3720, 1452.239
618.8541, 1445.522
619.3362, 1440.848
619.8184, 1440.662
620.3005, 1440.004
620.7826, 1433.755
621.2647, 1426.914
621.7468, 1426.928
622.2289, 1434.534
622.7111, 1445.339
623.1932, 1456.768
623.6753, 1467.220
624.1574, 1469.041
624.6395, 1460.785
625.1216, 1447.955
625.6038, 1421.768
626.0859, 1401.235
626.5680, 1406.100
627.0501, 1430.993
627.5322, 1448.684
628.0143, 1449.752
628.4965, 1444.305
628.9786, 1432.196
