##NAMES=Brianyoungite
##RRUFFID=R060431
##IDEAL CHEMISTRY=Zn^2+^_3_CO_3_(OH)_4_
##LOCALITY=Brownley Hill mine, Nenthead, Cumbria, England
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Sprays of white bladed crystals, associated with colorless tabular or prismatic gypsum.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060431
##MEASURED CHEMISTRY=EDS analysis shows the presence of Zn, with trace S.
394.3025, 2240.004
394.7846, 2237.995
395.2668, 2238.234
395.7489, 2239.648
396.2310, 2239.944
396.7131, 2237.613
397.1952, 2233.843
397.6773, 2233.008
398.1595, 2238.055
398.6416, 2241.142
399.1237, 2240.808
399.6058, 2238.635
400.0879, 2235.449
400.5700, 2231.641
401.0522, 2228.079
401.5343, 2225.639
402.0164, 2224.297
402.4985, 2224.381
402.9806, 2228.311
403.4627, 2231.374
403.9449, 2230.526
404.4270, 2227.068
404.9091, 2224.599
405.3912, 2225.842
405.8733, 2229.427
406.3554, 2230.976
406.8376, 2229.802
407.3197, 2228.286
407.8018, 2227.458
408.2839, 2226.742
408.7660, 2225.262
409.2481, 2222.568
409.7303, 2220.382
410.2124, 2221.319
410.6945, 2225.077
411.1766, 2226.721
411.6587, 2224.208
412.1408, 2220.534
412.6230, 2218.310
413.1051, 2217.431
413.5872, 2217.256
414.0693, 2217.991
414.5514, 2219.091
415.0335, 2219.632
415.5157, 2219.521
415.9978, 2219.367
416.4799, 2220.069
416.9620, 2220.870
417.4441, 2219.567
417.9262, 2214.039
418.4084, 2209.106
418.8905, 2207.875
419.3726, 2209.372
419.8547, 2211.415
420.3368, 2213.515
420.8189, 2215.038
421.3011, 2214.660
421.7832, 2211.810
422.2653, 2209.659
422.7474, 2209.332
423.2295, 2209.326
423.7116, 2208.026
424.1938, 2205.527
424.6759, 2203.469
425.1580, 2203.282
425.6401, 2204.810
426.1222, 2205.089
426.6043, 2202.858
427.0865, 2201.031
427.5686, 2201.292
428.0507, 2202.067
428.5328, 2200.402
429.0149, 2195.256
429.4970, 2189.501
429.9792, 2188.590
430.4613, 2196.562
430.9434, 2200.499
431.4255, 2198.838
431.9076, 2195.318
432.3897, 2191.099
432.8719, 2186.823
433.3540, 2183.338
433.8361, 2181.357
434.3182, 2180.760
434.8003, 2180.748
435.2824, 2182.255
435.7646, 2182.897
436.2467, 2181.893
436.7288, 2179.948
437.2109, 2177.483
437.6930, 2174.611
438.1751, 2172.206
438.6573, 2172.000
439.1394, 2174.275
439.6215, 2174.524
440.1036, 2170.081
440.5857, 2165.761
441.0678, 2165.020
441.5500, 2167.128
442.0321, 2169.169
442.5142, 2169.682
442.9963, 2169.193
443.4784, 2168.728
443.9605, 2168.359
444.4427, 2167.390
444.9248, 2164.959
445.4069, 2161.964
445.8890, 2160.026
446.3711, 2159.511
446.8532, 2159.208
447.3354, 2158.701
447.8175, 2157.902
448.2996, 2156.405
448.7817, 2154.008
449.2638, 2151.651
449.7459, 2150.511
450.2281, 2150.681
450.7102, 2150.251
451.1923, 2148.515
451.6744, 2146.717
452.1565, 2145.798
452.6386, 2145.497
453.1208, 2145.037
453.6029, 2144.063
454.0850, 2142.500
454.5671, 2140.125
455.0492, 2135.166
455.5313, 2131.856
456.0135, 2130.967
456.4956, 2131.258
456.9777, 2132.125
457.4598, 2133.257
457.9419, 2134.126
458.4240, 2134.198
458.9062, 2133.466
459.3883, 2132.772
459.8704, 2132.205
460.3525, 2131.584
460.8346, 2130.795
461.3167, 2129.958
461.7989, 2129.334
462.2810, 2129.026
462.7631, 2128.597
463.2452, 2127.250
463.7273, 2124.784
464.2094, 2122.507
464.6916, 2120.498
465.1737, 2118.783
465.6558, 2116.976
466.1379, 2115.366
466.6200, 2114.978
467.1021, 2117.551
467.5843, 2121.172
468.0664, 2121.832
468.5485, 2119.240
469.0306, 2115.733
469.5127, 2111.618
469.9948, 2107.649
470.4770, 2104.932
470.9591, 2103.592
471.4412, 2103.247
471.9233, 2104.840
472.4054, 2107.044
472.8875, 2107.163
473.3697, 2104.646
473.8518, 2101.327
474.3339, 2098.722
474.8160, 2096.865
475.2981, 2095.148
475.7802, 2093.399
476.2624, 2091.958
476.7445, 2091.107
477.2266, 2090.628
477.7087, 2090.120
478.1908, 2089.409
478.6729, 2088.625
479.1551, 2088.005
479.6372, 2087.591
480.1193, 2087.214
480.6014, 2087.209
481.0835, 2086.927
481.5656, 2086.139
482.0478, 2084.769
482.5299, 2082.452
483.0120, 2078.659
483.4941, 2074.323
483.9762, 2073.599
484.4583, 2079.627
484.9405, 2082.823
485.4226, 2078.948
485.9047, 2073.400
486.3868, 2070.425
486.8689, 2070.504
487.3510, 2071.145
487.8332, 2070.195
488.3153, 2068.003
488.7974, 2066.233
489.2795, 2065.020
489.7616, 2064.039
490.2437, 2062.657
490.7259, 2061.476
491.2080, 2061.790
491.6901, 2064.899
492.1722, 2067.393
492.6543, 2066.080
493.1364, 2062.142
493.6186, 2059.060
494.1007, 2057.781
494.5828, 2057.156
495.0649, 2055.845
495.5470, 2053.754
496.0291, 2052.127
496.5113, 2051.320
496.9934, 2050.691
497.4755, 2049.916
497.9576, 2049.021
498.4397, 2048.131
498.9218, 2047.319
499.4040, 2046.518
499.8861, 2045.612
500.3682, 2044.885
500.8503, 2043.492
501.3324, 2040.708
501.8145, 2037.943
502.2967, 2035.633
502.7788, 2034.069
503.2609, 2033.902
503.7430, 2035.979
504.2251, 2039.334
504.7072, 2039.965
505.1894, 2036.532
505.6715, 2033.432
506.1536, 2032.166
506.6357, 2031.420
507.1178, 2029.966
507.5999, 2027.727
508.0821, 2026.067
508.5642, 2026.720
509.0463, 2028.723
509.5284, 2028.829
510.0105, 2026.344
510.4926, 2024.361
510.9748, 2025.828
511.4569, 2028.867
511.9390, 2028.877
512.4211, 2023.755
512.9032, 2019.005
513.3853, 2017.679
513.8674, 2018.421
514.3495, 2019.041
514.8317, 2019.042
515.3138, 2018.822
515.7959, 2018.836
516.2780, 2019.126
516.7601, 2018.797
517.2422, 2017.637
517.7244, 2016.192
518.2065, 2014.138
518.6886, 2012.084
519.1707, 2011.280
519.6528, 2012.074
520.1349, 2012.911
520.6171, 2011.085
521.0992, 2005.595
521.5813, 2001.590
522.0634, 2000.071
522.5455, 1999.167
523.0276, 1998.560
523.5098, 1998.043
523.9919, 1997.258
524.4740, 1995.913
524.9561, 1994.592
525.4382, 1994.277
525.9203, 1994.987
526.4025, 1995.698
526.8846, 1996.969
527.3667, 1997.039
527.8488, 1992.856
528.3309, 1985.310
528.8130, 1980.362
529.2952, 1981.572
529.7773, 1984.715
530.2594, 1986.402
530.7415, 1986.656
531.2236, 1986.043
531.7057, 1984.750
532.1879, 1982.903
532.6700, 1980.641
533.1521, 1977.342
533.6342, 1975.113
534.1163, 1975.448
534.5984, 1975.641
535.0806, 1973.703
535.5627, 1970.039
536.0448, 1966.035
536.5269, 1962.463
537.0090, 1959.556
537.4911, 1958.201
537.9733, 1959.096
538.4554, 1959.993
538.9375, 1960.284
539.4196, 1960.772
539.9017, 1962.885
540.3839, 1965.946
540.8660, 1967.061
541.3481, 1963.282
541.8302, 1956.927
542.3123, 1953.419
542.7944, 1953.112
543.2766, 1952.665
543.7587, 1950.812
544.2408, 1948.138
544.7229, 1945.229
545.2050, 1941.915
545.6871, 1939.811
546.1693, 1940.432
546.6514, 1941.958
547.1335, 1942.316
547.6156, 1941.519
548.0977, 1940.859
548.5798, 1941.218
549.0620, 1942.103
549.5441, 1941.865
550.0262, 1938.613
550.5083, 1936.722
550.9904, 1937.831
551.4725, 1939.049
551.9547, 1937.879
552.4368, 1934.600
552.9189, 1931.141
553.4010, 1928.787
553.8831, 1927.563
554.3652, 1928.080
554.8474, 1931.812
555.3295, 1933.570
555.8116, 1929.664
556.2937, 1924.946
556.7758, 1922.883
557.2579, 1923.650
557.7401, 1925.204
558.2222, 1927.203
558.7043, 1928.894
559.1864, 1928.427
559.6685, 1925.743
560.1506, 1923.810
560.6328, 1924.269
561.1149, 1926.154
561.5970, 1927.738
562.0791, 1929.733
562.5612, 1929.364
563.0433, 1923.428
563.5255, 1916.930
564.0076, 1914.659
564.4897, 1916.031
564.9718, 1916.913
565.4539, 1914.546
565.9360, 1910.170
566.4182, 1908.153
566.9003, 1910.603
567.3824, 1911.435
567.8645, 1908.500
568.3466, 1905.506
568.8287, 1905.373
569.3109, 1907.463
569.7930, 1908.784
570.2751, 1907.048
570.7572, 1903.838
571.2393, 1902.781
571.7214, 1904.111
572.2036, 1904.770
572.6857, 1903.564
573.1678, 1901.507
573.6499, 1899.323
574.1320, 1897.011
574.6141, 1896.211
575.0963, 1899.223
575.5784, 1902.451
576.0605, 1902.360
576.5426, 1899.689
577.0247, 1897.351
577.5068, 1896.708
577.9890, 1896.841
578.4711, 1895.999
578.9532, 1893.663
579.4353, 1891.683
579.9174, 1889.500
580.3995, 1888.182
580.8817, 1888.997
581.3638, 1890.936
581.8459, 1892.157
582.3280, 1891.790
582.8101, 1890.347
583.2922, 1888.311
583.7744, 1885.582
584.2565, 1883.791
584.7386, 1883.496
585.2207, 1883.675
585.7029, 1883.272
586.1850, 1882.737
586.6671, 1883.409
587.1492, 1886.847
587.6313, 1889.900
588.1135, 1889.765
588.5956, 1887.545
589.0777, 1886.058
589.5598, 1886.048
590.0419, 1885.615
590.5240, 1882.204
591.0062, 1875.522
591.4883, 1873.109
591.9704, 1879.664
592.4525, 1884.276
592.9346, 1882.989
593.4167, 1878.999
593.8989, 1875.782
594.3810, 1874.245
594.8631, 1873.433
595.3452, 1872.614
595.8273, 1871.737
596.3094, 1869.783
596.7916, 1865.653
597.2737, 1862.965
597.7558, 1865.477
598.2379, 1869.138
598.7200, 1868.986
599.2021, 1864.000
599.6843, 1860.089
600.1664, 1861.641
600.6485, 1865.361
601.1306, 1866.402
601.6127, 1864.623
602.0948, 1862.603
602.5770, 1861.751
603.0591, 1861.772
603.5412, 1861.898
604.0233, 1862.684
604.5054, 1862.584
604.9875, 1860.831
605.4697, 1858.872
605.9518, 1857.222
606.4339, 1856.167
606.9160, 1856.473
607.3981, 1858.845
607.8802, 1861.518
608.3624, 1860.452
608.8445, 1855.044
609.3266, 1850.712
609.8087, 1848.456
610.2908, 1847.315
610.7729, 1846.892
611.2551, 1846.963
611.7372, 1846.864
612.2193, 1846.556
612.7014, 1845.867
613.1835, 1844.238
613.6656, 1842.196
614.1478, 1840.791
614.6299, 1840.289
615.1120, 1840.763
615.5941, 1842.641
616.0762, 1845.932
616.5583, 1846.799
617.0405, 1843.593
617.5226, 1839.997
618.0047, 1835.939
618.4868, 1832.148
618.9689, 1829.306
619.4510, 1827.506
619.9332, 1826.432
620.4153, 1826.095
620.8974, 1826.220
621.3795, 1825.576
621.8616, 1823.879
622.3438, 1823.113
622.8259, 1824.809
623.3080, 1827.133
623.7901, 1827.484
624.2722, 1825.772
624.7543, 1824.276
625.2365, 1824.048
625.7186, 1823.902
626.2007, 1823.031
626.6828, 1821.416
627.1649, 1818.751
627.6470, 1814.839
628.1292, 1811.256
628.6113, 1810.825
629.0934, 1814.662
629.5755, 1816.891
630.0576, 1815.616
630.5397, 1814.662
631.0219, 1816.529
631.5040, 1818.822
631.9861, 1817.570
632.4682, 1811.510
632.9503, 1805.278
633.4324, 1803.555
633.9146, 1805.074
634.3967, 1805.886
634.8788, 1805.646
635.3609, 1805.092
635.8430, 1804.412
636.3251, 1803.869
636.8073, 1804.458
637.2894, 1807.284
637.7715, 1808.505
638.2536, 1806.063
638.7357, 1803.021
639.2178, 1802.255
639.7000, 1803.006
640.1821, 1802.348
640.6642, 1798.585
641.1463, 1793.391
641.6284, 1790.105
642.1105, 1788.991
642.5927, 1788.500
643.0748, 1789.336
643.5569, 1789.705
644.0390, 1788.061
644.5211, 1785.375
645.0032, 1783.816
645.4854, 1784.604
645.9675, 1784.871
646.4496, 1781.636
646.9317, 1776.886
647.4138, 1774.657
647.8959, 1775.401
648.3781, 1776.430
648.8602, 1775.818
649.3423, 1773.807
649.8244, 1771.530
650.3065, 1768.536
650.7886, 1765.957
651.2708, 1763.170
651.7529, 1761.340
652.2350, 1762.223
652.7171, 1764.775
653.1992, 1766.105
653.6813, 1764.605
654.1635, 1761.334
654.6456, 1756.863
655.1277, 1751.480
655.6098, 1749.344
656.0919, 1752.100
656.5740, 1755.741
657.0562, 1756.664
657.5383, 1755.327
658.0204, 1755.395
658.5025, 1759.407
658.9846, 1761.640
659.4667, 1758.769
659.9489, 1754.320
660.4310, 1751.908
660.9131, 1751.897
661.3952, 1752.895
661.8773, 1754.136
662.3594, 1755.088
662.8416, 1753.634
663.3237, 1748.852
663.8058, 1745.053
664.2879, 1743.176
664.7700, 1742.356
665.2521, 1742.007
665.7343, 1742.135
666.2164, 1742.808
666.6985, 1744.517
667.1806, 1746.156
667.6627, 1747.811
668.1448, 1748.623
668.6270, 1746.163
669.1091, 1740.222
669.5912, 1734.089
670.0733, 1730.535
670.5554, 1729.412
671.0375, 1729.691
671.5197, 1732.968
672.0018, 1734.997
672.4839, 1734.637
672.9660, 1733.579
673.4481, 1732.355
673.9302, 1731.405
674.4124, 1731.873
674.8945, 1735.305
675.3766, 1738.823
675.8587, 1738.200
676.3408, 1734.318
676.8229, 1731.108
677.3051, 1729.350
677.7872, 1728.861
678.2693, 1729.993
678.7514, 1732.447
679.2335, 1732.661
679.7156, 1728.476
680.1978, 1725.210
680.6799, 1725.076
681.1620, 1725.055
681.6441, 1721.318
682.1262, 1714.999
682.6083, 1711.334
683.0905, 1714.185
683.5726, 1720.096
