##NAMES=Rheniite
##RRUFFID=R050362
##IDEAL CHEMISTRY=ReS_2_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Chain, Russia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Bright, shiney metallic crystals associated with anhydrite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R050362
325.503, 1060.254
325.986, 1015.511
326.468, 977.681
326.950, 956.838
327.432, 948.260
327.914, 936.910
328.396, 917.312
328.878, 903.858
329.360, 907.838
329.842, 922.113
330.325, 931.214
330.807, 929.521
331.289, 923.814
331.771, 925.328
332.253, 937.767
332.735, 947.161
333.217, 951.487
333.699, 953.147
334.181, 952.377
334.664, 950.082
335.146, 950.015
335.628, 956.021
336.110, 968.713
336.592, 980.013
337.074, 986.539
337.556, 995.377
338.038, 1009.703
338.521, 1028.011
339.003, 1047.834
339.485, 1067.886
339.967, 1087.759
340.449, 1106.037
340.931, 1122.014
341.413, 1137.429
341.895, 1148.553
342.378, 1161.539
342.860, 1182.974
343.342, 1214.183
343.824, 1248.679
344.306, 1284.145
344.788, 1323.118
345.270, 1339.205
345.752, 1323.232
346.234, 1288.351
346.716, 1233.057
347.199, 1163.629
347.681, 1099.928
348.163, 1054.006
348.645, 1022.821
349.127, 999.792
349.609, 986.361
350.091, 975.852
350.573, 963.263
351.056, 951.403
351.538, 945.830
352.020, 951.237
352.502, 957.818
352.984, 957.106
353.466, 950.506
353.948, 943.994
354.430, 938.491
354.913, 935.973
355.395, 942.425
355.877, 960.895
356.359, 974.194
356.841, 973.562
357.323, 968.412
357.805, 968.666
358.287, 975.970
358.769, 987.777
359.252, 1002.462
359.734, 1020.648
360.216, 1034.389
360.698, 1039.720
361.180, 1045.363
361.662, 1053.531
362.144, 1064.781
362.626, 1081.182
363.108, 1104.619
363.591, 1130.568
364.073, 1143.869
364.555, 1134.197
365.037, 1128.476
365.519, 1133.660
366.001, 1140.578
366.483, 1143.225
366.965, 1139.819
367.448, 1129.770
367.930, 1107.171
368.412, 1069.995
368.894, 1050.923
369.376, 1068.292
369.858, 1083.639
370.340, 1069.455
370.822, 1037.666
371.305, 1018.571
371.787, 1033.248
372.269, 1064.836
372.751, 1084.945
373.233, 1092.638
373.715, 1097.469
374.197, 1107.055
374.679, 1113.995
375.161, 1105.700
375.643, 1076.708
376.126, 1045.417
376.608, 1019.287
377.090, 998.048
377.572, 982.036
378.054, 971.622
378.536, 963.887
379.018, 954.832
379.500, 943.327
379.983, 938.055
380.465, 944.066
380.947, 952.111
381.429, 955.921
381.911, 956.417
382.393, 958.850
382.875, 967.208
383.357, 979.315
383.840, 984.041
384.322, 969.851
384.804, 962.621
385.286, 974.135
385.768, 988.413
386.250, 986.065
386.732, 963.671
387.214, 939.379
387.696, 938.923
388.179, 967.096
388.661, 988.104
389.143, 999.437
389.625, 1004.378
390.107, 1001.589
390.589, 993.685
391.071, 986.542
391.553, 981.714
392.035, 980.563
392.518, 987.215
393.000, 1002.825
393.482, 1017.874
393.964, 1026.878
394.446, 1033.879
394.928, 1046.678
395.410, 1069.532
395.892, 1085.634
396.375, 1081.099
396.857, 1065.111
397.339, 1052.823
397.821, 1047.044
398.303, 1050.731
398.785, 1070.255
399.267, 1108.842
399.749, 1132.773
400.232, 1131.078
