##NAMES=Hisingerite
##RRUFFID=R070695
##IDEAL CHEMISTRY=Fe^3+^_2_Si_2_O_5_(OH)_4_&#183;2H_2_O
##LOCALITY=Zinc Consolidated mine, Broken Hill, New South Wales, Australia
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Black to dark-brown, translucent amorphous fragments
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070695
448.0697, 753126.5
448.5518, 752804.2
449.0339, 751947.9
449.5161, 751585.3
449.9982, 752179.6
450.4803, 752779.4
450.9624, 753201.8
451.4445, 753475.5
451.9266, 753654.0
452.4088, 753759.3
452.8909, 753816.9
453.3730, 753881.1
453.8551, 753966.8
454.3372, 754022.1
454.8193, 753913.6
455.3015, 753868.5
455.7836, 754170.6
456.2657, 754785.3
456.7478, 755199.3
457.2299, 754789.4
457.7120, 753846.0
458.1942, 753491.2
458.6763, 753998.8
459.1584, 754513.9
459.6405, 754250.1
460.1226, 753557.1
460.6047, 753231.9
461.0869, 753731.6
461.5690, 754312.8
462.0511, 754348.6
462.5332, 753972.6
463.0153, 753713.4
463.4974, 753799.9
463.9796, 754058.6
464.4617, 754160.4
464.9438, 754074.4
465.4259, 753930.5
465.9080, 753497.5
466.3901, 753173.5
466.8723, 753461.1
467.3544, 754312.5
467.8365, 755140.6
468.3186, 755403.8
468.8007, 755103.2
469.2828, 755021.5
469.7650, 755531.1
470.2471, 755844.6
470.7292, 755531.1
471.2113, 755012.1
471.6934, 754924.1
472.1755, 755521.7
472.6577, 756333.4
473.1398, 756467.4
473.6219, 755684.1
474.1040, 755243.8
474.5861, 755650.8
475.0682, 756148.4
475.5504, 756336.3
476.0325, 756219.8
476.5146, 755978.6
476.9967, 755554.4
477.4788, 755113.6
477.9609, 755144.7
478.4431, 755761.0
478.9252, 756254.6
479.4073, 756169.6
479.8894, 755713.4
480.3715, 755377.3
480.8536, 755283.3
481.3358, 755143.6
481.8179, 754672.0
482.3000, 754076.7
482.7821, 753835.5
483.2642, 754102.7
483.7463, 754456.8
484.2285, 754323.3
484.7106, 753488.8
485.1927, 753086.8
485.6748, 753409.8
486.1569, 753857.8
486.6390, 754156.8
487.1212, 754308.6
487.6033, 754383.1
488.0854, 754414.9
488.5675, 754418.7
489.0496, 754461.5
489.5317, 754638.0
490.0139, 754669.3
490.4960, 754288.5
490.9781, 753931.4
491.4602, 754087.4
491.9423, 754746.4
492.4244, 755268.3
492.9066, 754843.9
493.3887, 753658.9
493.8708, 753167.2
494.3529, 753732.6
494.8350, 754329.2
495.3171, 754221.5
495.7993, 753751.6
496.2814, 753505.9
496.7635, 753749.9
497.2456, 754056.0
497.7277, 754041.1
498.2098, 753791.4
498.6920, 753624.3
499.1741, 753643.4
499.6562, 753763.2
500.1383, 753902.2
500.6204, 754119.8
501.1025, 754076.2
501.5847, 753311.5
502.0668, 752631.7
502.5489, 752789.3
503.0310, 753585.6
503.5131, 754212.5
503.9952, 754122.3
504.4774, 753505.3
504.9595, 753228.4
505.4416, 753635.3
505.9237, 753871.6
506.4058, 753658.3
506.8879, 753378.1
507.3701, 753415.3
507.8522, 753800.6
508.3343, 754178.8
508.8164, 754149.1
509.2985, 753756.8
509.7806, 753504.4
510.2628, 753421.4
510.7449, 753445.1
511.2270, 753534.2
511.7091, 753700.8
512.1912, 753999.7
512.6733, 754553.3
513.1555, 755057.2
513.6376, 755274.1
514.1197, 755238.2
514.6018, 755023.8
515.0839, 754604.0
515.5660, 754175.6
516.0482, 754009.9
516.5303, 754175.9
517.0124, 754305.7
517.4945, 754403.6
517.9766, 754452.4
518.4587, 754427.8
518.9409, 754346.4
519.4230, 754236.8
519.9051, 754109.9
520.3872, 753997.0
520.8693, 754005.8
521.3514, 754246.8
521.8336, 754408.4
522.3157, 754530.3
522.7978, 754527.3
523.2799, 754167.1
523.7620, 753542.6
524.2441, 753168.2
524.7263, 753733.3
525.2084, 754893.9
525.6905, 755174.5
526.1726, 754300.6
526.6547, 753480.8
527.1368, 753414.1
527.6190, 753743.3
528.1011, 753905.1
528.5832, 753817.4
529.0653, 753650.0
529.5474, 753402.0
530.0295, 753159.4
530.5117, 753159.7
530.9938, 753453.0
531.4759, 753656.9
531.9580, 753311.6
532.4401, 752344.4
532.9222, 752002.2
533.4044, 752826.3
533.8865, 753567.2
534.3686, 753729.5
534.8507, 753575.0
535.3328, 753520.7
535.8149, 753723.6
536.2971, 753998.9
536.7792, 754004.2
537.2613, 753631.4
537.7434, 753529.3
