##NAMES=Obradovicite-KCu
##RRUFFID=R100015
##IDEAL CHEMISTRY=[K_2_(H_2_O)_17_Cu^2+^(H_2_O)_6_][Mo^6+^_8_As^5+^_2_Fe^3+^_3_O_34_(OH)_3_]
##LOCALITY=Chuquicamata, Chile
##OWNER=Colorado School of Mines
##SOURCE=Colorado School of Mines
##DESCRIPTION=Aggregates of pea-green grains associated with quartz and jarosite, type material
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100015
320.5374, 1123.507
321.0195, 1128.073
321.5016, 1133.874
321.9838, 1142.530
322.4659, 1153.624
322.9480, 1165.078
323.4301, 1175.855
323.9122, 1187.396
324.3943, 1200.380
324.8765, 1215.823
325.3586, 1231.456
325.8407, 1247.122
326.3228, 1262.829
326.8049, 1278.676
327.2870, 1294.124
327.7692, 1309.973
328.2513, 1326.647
328.7334, 1344.481
329.2155, 1361.961
329.6976, 1379.556
330.1797, 1396.703
330.6619, 1412.159
331.1440, 1424.224
331.6261, 1437.042
332.1082, 1452.270
332.5903, 1470.225
333.0724, 1486.230
333.5546, 1498.636
334.0367, 1510.671
334.5188, 1525.751
335.0009, 1545.064
335.4830, 1565.018
335.9651, 1584.845
336.4473, 1604.725
336.9294, 1624.649
337.4115, 1644.280
337.8936, 1664.541
338.3757, 1686.260
338.8578, 1710.088
339.3399, 1732.929
339.8221, 1754.462
340.3042, 1774.697
340.7863, 1792.383
341.2684, 1807.629
341.7505, 1821.140
342.2326, 1833.594
342.7148, 1844.891
343.1969, 1854.345
343.6790, 1861.589
344.1611, 1867.410
344.6432, 1872.974
345.1253, 1878.254
345.6075, 1882.846
346.0896, 1886.057
346.5717, 1888.273
347.0538, 1890.980
347.5359, 1894.148
348.0180, 1897.986
348.5002, 1902.961
348.9823, 1908.885
349.4644, 1914.916
349.9465, 1919.229
350.4286, 1924.257
350.9107, 1934.901
351.3929, 1951.048
351.8750, 1969.370
352.3571, 1988.083
352.8392, 2007.004
353.3213, 2025.726
353.8034, 2043.969
354.2856, 2062.267
354.7677, 2081.717
355.2498, 2101.972
355.7319, 2121.893
356.2140, 2141.126
356.6961, 2159.450
357.1783, 2176.921
357.6604, 2193.578
358.1425, 2209.035
358.6246, 2223.740
359.1067, 2237.073
359.5888, 2248.009
360.0710, 2255.776
360.5531, 2261.176
361.0352, 2264.573
361.5173, 2265.921
361.9994, 2265.816
362.4815, 2265.056
362.9637, 2262.753
363.4458, 2257.960
363.9279, 2247.954
364.4100, 2237.854
364.8921, 2230.058
365.3742, 2224.261
365.8564, 2216.648
366.3385, 2205.959
366.8206, 2193.709
367.3027, 2180.817
367.7848, 2166.442
368.2669, 2152.463
368.7491, 2139.741
369.2312, 2127.671
369.7133, 2114.696
370.1954, 2099.088
370.6775, 2084.448
371.1596, 2072.354
371.6418, 2063.474
372.1239, 2055.024
372.6060, 2046.778
373.0881, 2039.253
373.5702, 2033.082
374.0523, 2028.269
374.5345, 2024.750
375.0166, 2022.355
375.4987, 2021.071
375.9808, 2021.935
376.4629, 2025.681
376.9450, 2029.858
377.4272, 2031.196
377.9093, 2028.937
378.3914, 2030.968
378.8735, 2039.652
379.3556, 2052.689
379.8377, 2063.813
380.3199, 2072.772
380.8020, 2082.135
381.2841, 2093.730
381.7662, 2107.330
382.2483, 2120.782
382.7304, 2133.759
383.2126, 2147.528
383.6947, 2164.759
384.1768, 2184.921
384.6589, 2204.963
385.1410, 2222.888
385.6231, 2240.285
386.1053, 2260.309
386.5874, 2282.962
387.0695, 2306.982
387.5516, 2332.910
388.0337, 2359.533
388.5158, 2384.414
388.9980, 2405.190
389.4801, 2425.992
389.9622, 2449.698
390.4443, 2475.959
390.9264, 2504.024
391.4085, 2534.969
391.8907, 2566.388
392.3728, 2596.232
392.8549, 2622.961
393.3370, 2650.115
393.8191, 2678.961
394.3012, 2708.983
394.7834, 2739.315
395.2655, 2770.574
395.7476, 2801.283
396.2297, 2831.092
396.7118, 2860.047
397.1939, 2887.327
397.6761, 2911.935
398.1582, 2935.243
398.6403, 2958.395
399.1224, 2982.154
399.6045, 3004.942
400.0866, 3026.413
400.5688, 3046.819
401.0509, 3067.046
401.5330, 3088.614
402.0151, 3108.451
402.4972, 3124.735
402.9793, 3135.563
403.4615, 3148.250
403.9436, 3164.188
404.4257, 3180.724
404.9078, 3192.944
405.3899, 3200.431
405.8720, 3205.440
406.3542, 3208.540
406.8363, 3209.714
407.3184, 3208.715
407.8005, 3205.181
408.2826, 3200.776
408.7647, 3197.394
409.2469, 3194.857
409.7290, 3190.974
410.2111, 3185.262
410.6932, 3178.003
411.1753, 3169.532
411.6574, 3159.979
412.1396, 3149.656
412.6217, 3138.560
413.1038, 3127.073
413.5859, 3116.137
414.0680, 3106.071
414.5501, 3095.078
415.0323, 3079.677
415.5144, 3062.148
415.9965, 3046.563
416.4786, 3035.628
416.9607, 3026.777
417.4428, 3018.529
417.9250, 3010.785
418.4071, 3002.459
418.8892, 2992.445
419.3713, 2981.895
419.8534, 2971.832
420.3355, 2961.826
420.8177, 2953.208
421.2998, 2946.889
421.7819, 2942.191
422.2640, 2937.456
422.7461, 2931.542
423.2282, 2926.398
423.7104, 2923.001
424.1925, 2922.050
424.6746, 2920.497
425.1567, 2918.153
425.6388, 2915.280
426.1209, 2911.936
426.6031, 2906.962
427.0852, 2903.435
427.5673, 2902.238
428.0494, 2902.816
428.5315, 2902.434
429.0136, 2900.987
429.4958, 2898.626
429.9779, 2895.623
430.4600, 2892.128
430.9421, 2886.386
431.4242, 2877.881
431.9063, 2868.001
432.3885, 2859.224
432.8706, 2851.659
433.3527, 2843.195
433.8348, 2833.287
434.3169, 2821.956
434.7990, 2808.350
435.2812, 2792.542
435.7633, 2777.472
436.2454, 2766.992
436.7275, 2759.285
437.2096, 2749.695
437.6917, 2736.938
438.1739, 2723.079
438.6560, 2709.882
439.1381, 2697.302
439.6202, 2685.211
440.1023, 2674.145
440.5844, 2663.165
441.0666, 2650.416
441.5487, 2635.766
442.0308, 2623.560
442.5129, 2620.015
442.9950, 2618.168
443.4771, 2611.365
443.9593, 2590.922
444.4414, 2572.708
444.9235, 2560.901
445.4056, 2554.551
445.8877, 2549.864
446.3698, 2548.998
446.8520, 2547.305
447.3341, 2542.551
447.8162, 2533.383
448.2983, 2525.191
448.7804, 2517.564
449.2625, 2511.203
449.7447, 2507.927
450.2268, 2511.383
450.7089, 2509.067
451.1910, 2496.719
451.6731, 2476.685
452.1552, 2461.617
452.6374, 2452.809
453.1195, 2445.338
453.6016, 2436.062
454.0837, 2425.163
454.5658, 2415.238
455.0479, 2406.715
455.5301, 2398.756
456.0122, 2390.358
456.4943, 2381.511
456.9764, 2372.936
457.4585, 2365.519
457.9406, 2358.004
458.4228, 2347.394
458.9049, 2334.079
459.3870, 2321.061
459.8691, 2310.490
460.3512, 2301.600
460.8333, 2293.565
461.3155, 2286.268
461.7976, 2279.371
462.2797, 2272.384
462.7618, 2265.620
463.2439, 2259.769
463.7260, 2254.388
464.2082, 2250.562
464.6903, 2249.739
465.1724, 2251.916
465.6545, 2252.930
466.1366, 2248.844
466.6187, 2245.343
467.1009, 2246.158
467.5830, 2256.521
468.0651, 2264.420
468.5472, 2267.881
469.0293, 2269.368
469.5114, 2273.941
469.9936, 2282.370
470.4757, 2292.397
470.9578, 2303.484
471.4399, 2315.623
471.9220, 2328.355
472.4041, 2341.338
472.8863, 2355.403
473.3684, 2371.091
473.8505, 2388.385
474.3326, 2407.185
474.8147, 2427.984
475.2968, 2449.274
475.7790, 2467.555
476.2611, 2483.509
476.7432, 2501.003
477.2253, 2523.440
477.7074, 2548.282
478.1895, 2571.696
478.6717, 2593.608
479.1538, 2614.781
479.6359, 2635.851
480.1180, 2656.545
480.6001, 2676.787
481.0822, 2697.995
481.5644, 2716.695
482.0465, 2729.843
482.5286, 2739.217
483.0107, 2748.642
483.4928, 2762.023
483.9749, 2773.357
484.4571, 2780.115
484.9392, 2781.924
485.4213, 2781.330
485.9034, 2778.551
486.3855, 2773.334
486.8676, 2765.462
487.3498, 2755.063
487.8319, 2741.374
488.3140, 2723.628
488.7961, 2702.874
489.2782, 2682.058
489.7603, 2662.168
490.2425, 2639.407
490.7246, 2612.359
491.2067, 2581.163
491.6888, 2547.930
492.1709, 2512.741
492.6530, 2476.202
493.1352, 2438.507
493.6173, 2399.863
494.0994, 2361.542
494.5815, 2324.263
495.0636, 2287.198
495.5457, 2249.782
496.0279, 2212.181
496.5100, 2174.994
496.9921, 2137.304
497.4742, 2100.521
497.9563, 2065.963
498.4384, 2033.330
498.9206, 2002.056
499.4027, 1971.891
499.8848, 1942.655
