##NAMES=Carnotite
##RRUFFID=R070647
##IDEAL CHEMISTRY=K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_&#183;3H_2_O
##LOCALITY=Anderson mine, Yavapai County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Lloyd Twaites
##DESCRIPTION=Orange blocky crystals associated with yellow platy weeksite, R050330
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070647
296.9424, 9861.231
297.4245, 9904.569
297.9066, 9931.103
298.3887, 9975.722
298.8708, 10058.27
299.3529, 10164.34
299.8351, 10265.03
300.3172, 10349.37
300.7993, 10439.84
301.2814, 10578.81
301.7635, 10769.71
302.2456, 10949.65
302.7278, 11094.24
303.2099, 11222.51
303.6920, 11354.04
304.1741, 11491.35
304.6562, 11643.01
305.1383, 11829.01
305.6205, 12051.36
306.1026, 12258.34
306.5847, 12421.80
307.0668, 12578.25
307.5489, 12771.58
308.0310, 13008.01
308.5132, 13247.18
308.9953, 13448.62
309.4774, 13610.73
309.9595, 13790.76
310.4416, 14005.24
310.9237, 14228.28
311.4059, 14441.23
311.8880, 14642.39
312.3701, 14838.35
312.8522, 15033.05
313.3343, 15226.20
313.8164, 15427.56
314.2986, 15680.62
314.7807, 15902.24
315.2628, 16027.95
315.7449, 16073.12
316.2270, 16114.51
316.7091, 16209.73
317.1913, 16335.41
317.6734, 16360.25
318.1555, 16245.56
318.6376, 16090.40
319.1197, 15921.28
319.6018, 15739.22
320.0840, 15546.65
320.5661, 15348.75
321.0482, 15136.67
321.5303, 14881.17
322.0124, 14563.37
322.4945, 14236.35
322.9767, 13907.99
323.4588, 13577.86
323.9409, 13237.18
324.4230, 12879.69
324.9051, 12530.31
325.3872, 12238.16
325.8694, 12039.19
326.3515, 11836.94
326.8336, 11610.06
327.3157, 11385.67
327.7978, 11187.76
328.2799, 11023.53
328.7621, 10890.03
329.2442, 10783.02
329.7263, 10712.39
330.2084, 10650.41
330.6905, 10592.11
331.1726, 10545.42
331.6548, 10519.51
332.1369, 10513.47
332.6190, 10514.72
333.1011, 10508.79
333.5832, 10490.39
334.0653, 10497.18
334.5475, 10532.54
335.0296, 10584.42
335.5117, 10653.06
335.9938, 10733.98
336.4759, 10818.25
336.9580, 10898.75
337.4402, 10975.61
337.9223, 11057.81
338.4044, 11133.61
338.8865, 11226.62
339.3686, 11341.87
339.8507, 11479.38
340.3329, 11641.04
340.8150, 11830.66
341.2971, 12039.87
341.7792, 12233.47
342.2613, 12384.22
342.7434, 12553.84
343.2256, 12753.25
343.7077, 12971.88
344.1898, 13197.59
344.6719, 13425.63
345.1540, 13660.41
345.6361, 13913.70
346.1183, 14193.12
346.6004, 14476.62
347.0825, 14770.64
347.5646, 15060.22
348.0467, 15330.03
348.5288, 15577.83
349.0110, 15825.46
349.4931, 16098.01
349.9752, 16400.52
350.4573, 16711.68
350.9394, 17036.75
351.4215, 17369.40
351.9037, 17706.06
352.3858, 18048.11
352.8679, 18400.50
353.3500, 18776.25
353.8321, 19172.95
354.3142, 19528.93
354.7964, 19799.91
355.2785, 20080.64
355.7606, 20419.95
356.2427, 20795.78
356.7248, 21164.80
357.2069, 21498.44
357.6891, 21809.13
358.1712, 22131.89
358.6533, 22478.00
359.1354, 22814.12
359.6175, 23117.57
360.0996, 23407.16
360.5818, 23705.17
361.0639, 24022.51
361.5460, 24341.44
362.0281, 24633.43
362.5102, 24896.65
362.9923, 25158.15
363.4745, 25403.36
363.9566, 25668.43
364.4387, 25991.37
364.9208, 26381.69
365.4029, 26787.14
365.8850, 27169.10
366.3672, 27531.95
366.8493, 27909.72
367.3314, 28312.68
367.8135, 28726.35
368.2956, 29147.65
368.7777, 29574.39
369.2599, 29971.07
369.7420, 30313.24
370.2241, 30616.07
370.7062, 30902.28
371.1883, 31174.64
371.6704, 31431.03
372.1526, 31676.85
