##NAMES=Segelerite
##RRUFFID=R080127
##IDEAL CHEMISTRY=CaMgFe^3+^(PO_4_)_2_(OH)&#183;4H_2_O
##LOCALITY=Tip Top mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Thomas A. Loomis
##DESCRIPTION=Light yellow radiating acicular crystals, on a matrix of rockbridgeite and associated with leucophosphite (R080126)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080127
293.0840, 229.4869
293.5661, 228.1855
294.0482, 226.7892
294.5303, 225.5180
295.0124, 224.8618
295.4945, 225.3986
295.9767, 226.4649
296.4588, 226.8283
296.9409, 226.3181
297.4230, 225.6879
297.9051, 225.3821
298.3872, 225.1642
298.8694, 224.7361
299.3515, 223.9645
299.8336, 223.0358
300.3157, 222.2217
300.7978, 221.5585
301.2799, 220.7563
301.7621, 219.5454
302.2442, 218.2168
302.7263, 217.0503
303.2084, 216.1219
303.6905, 215.1868
304.1726, 213.9663
304.6548, 212.4519
305.1369, 210.9153
305.6190, 209.4348
306.1011, 207.9296
306.5832, 206.2112
307.0653, 204.2917
307.5475, 202.6489
308.0296, 201.8665
308.5117, 201.8571
308.9938, 201.5022
309.4759, 200.3733
309.9580, 199.2124
310.4402, 198.6418
310.9223, 198.5095
311.4044, 198.2148
311.8865, 197.2756
312.3686, 195.8395
312.8507, 194.5009
313.3329, 193.1774
313.8150, 192.1315
314.2971, 191.7663
314.7792, 191.7122
315.2613, 191.2715
315.7434, 190.0320
316.2256, 188.2684
316.7077, 186.5064
317.1898, 184.6534
317.6719, 183.0247
318.1540, 181.7948
318.6361, 180.8360
319.1183, 180.0879
319.6004, 179.5905
320.0825, 179.1239
320.5646, 178.4428
321.0467, 177.5632
321.5288, 176.3521
322.0110, 174.0719
322.4931, 171.8782
322.9752, 170.9378
323.4573, 171.4639
323.9394, 172.0843
324.4215, 171.4371
324.9037, 169.5534
325.3858, 167.6974
325.8679, 165.8430
326.3500, 164.3634
326.8321, 163.6909
327.3142, 163.6978
327.7964, 163.6229
328.2785, 162.8322
328.7606, 161.4940
329.2427, 160.4363
329.7248, 159.8141
330.2069, 159.2910
330.6891, 158.4999
331.1712, 157.6429
331.6533, 157.1914
332.1354, 157.6888
332.6175, 158.5574
333.0996, 158.5486
333.5818, 157.4360
334.0639, 156.1723
334.5460, 155.1450
335.0281, 154.2669
335.5102, 153.4578
335.9923, 152.6806
336.4745, 151.9926
336.9566, 151.4646
337.4387, 151.1036
337.9208, 150.8112
338.4029, 150.5072
338.8850, 150.3074
339.3671, 150.4094
339.8492, 150.8576
340.3314, 151.1968
340.8135, 150.9800
341.2956, 150.3039
341.7777, 149.7993
342.2598, 149.6558
342.7419, 149.5990
343.2241, 149.3821
343.7062, 149.0331
344.1883, 148.6924
344.6704, 148.4836
345.1525, 148.3203
345.6346, 148.0112
346.1168, 147.5305
346.5989, 146.9575
347.0810, 146.1214
347.5631, 145.2497
348.0452, 144.8222
348.5273, 145.3837
349.0095, 146.0607
349.4916, 145.6399
349.9737, 144.0919
350.4558, 142.8741
350.9379, 142.7685
351.4200, 143.3652
351.9022, 144.0578
352.3843, 145.0226
352.8664, 145.5117
353.3485, 144.5850
353.8306, 142.6518
354.3127, 141.3984
354.7949, 141.4747
355.2770, 142.0785
355.7591, 142.2305
356.2412, 141.9518
356.7233, 141.5575
357.2054, 141.0654
357.6876, 140.5568
358.1697, 140.1645
358.6518, 139.9106
359.1339, 139.7379
359.6160, 139.6542
360.0981, 139.6268
360.5803, 139.4846
361.0624, 139.1251
361.5445, 138.7056
362.0266, 138.3215
362.5087, 137.9807
362.9908, 137.7283
363.4730, 137.6071
363.9551, 137.5862
364.4372, 137.5561
364.9193, 137.4997
365.4014, 137.4622
365.8835, 137.5215
366.3657, 137.6069
366.8478, 137.5286
367.3299, 137.1892
367.8120, 136.8109
368.2941, 136.7854
368.7762, 137.2096
369.2584, 137.5274
369.7405, 137.6235
370.2226, 137.6027
370.7047, 137.4913
371.1868, 137.3148
371.6689, 137.2691
372.1511, 137.5819
372.6332, 138.2740
373.1153, 138.6743
373.5974, 138.6819
374.0795, 138.5359
374.5616, 138.3266
375.0438, 138.0569
375.5259, 137.6418
376.0080, 136.9858
376.4901, 136.2717
376.9722, 136.1743
377.4543, 137.3227
377.9365, 138.2632
378.4186, 138.7677
378.9007, 139.0289
379.3828, 139.2555
379.8649, 139.5046
380.3470, 139.6757
380.8292, 139.5753
381.3113, 138.9120
381.7934, 138.9051
382.2755, 140.2436
382.7576, 141.5530
