##NAMES=Walpurgite
##RRUFFID=R050573
##IDEAL CHEMISTRY=Bi^3+^_4_O_4_(U^6+^O_2_)(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Joachimstal, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow thin tabular crystals associated with metazeunerite, R060301
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050573
306.1251, 74.19347
306.6072, 74.03740
307.0893, 73.90569
307.5714, 73.92103
308.0536, 74.17836
308.5357, 74.35337
309.0178, 73.96741
309.4999, 73.24488
309.9820, 72.81941
310.4641, 73.09292
310.9463, 73.70328
311.4284, 74.15499
311.9105, 74.43410
312.3926, 74.56314
312.8747, 74.41798
313.3568, 74.15134
313.8390, 74.03769
314.3211, 74.15610
314.8032, 74.41917
315.2853, 74.81028
315.7674, 75.33292
316.2495, 75.73968
316.7317, 75.87601
317.2138, 75.84431
317.6959, 75.77971
318.1780, 75.63466
318.6601, 75.60488
319.1422, 75.93301
319.6243, 76.55960
320.1064, 77.06137
320.5886, 77.28835
321.0707, 77.34850
321.5528, 77.33252
322.0349, 77.22060
322.5170, 77.26859
322.9991, 77.77933
323.4813, 78.56344
323.9634, 79.07704
324.4455, 79.17973
324.9276, 79.08008
325.4097, 78.94131
325.8918, 78.77061
326.3740, 78.60007
326.8561, 78.44145
327.3382, 78.29002
327.8203, 78.15646
328.3024, 78.05629
328.7845, 77.89786
329.2667, 77.57335
329.7488, 77.13601
330.2309, 76.71049
330.7130, 76.31999
331.1951, 75.95203
331.6772, 75.61028
332.1594, 75.29372
332.6415, 74.94759
333.1236, 74.53120
333.6057, 74.06645
334.0878, 73.56406
334.5699, 72.86626
335.0521, 72.42488
335.5342, 72.77865
336.0163, 73.71420
336.4984, 74.27750
336.9805, 74.01063
337.4626, 73.40091
337.9448, 73.20310
338.4269, 73.43818
338.9090, 73.77403
339.3911, 74.12834
339.8732, 74.48606
340.3553, 74.79678
340.8375, 75.03404
341.3196, 75.29055
341.8017, 75.68346
342.2838, 76.19946
342.7659, 76.74107
343.2480, 77.29262
343.7302, 77.85992
344.2123, 78.44652
344.6944, 79.05031
345.1765, 79.67635
345.6586, 80.34805
346.1407, 81.04543
346.6229, 81.67028
347.1050, 82.18666
347.5871, 82.65578
348.0692, 83.03195
348.5513, 83.36560
349.0334, 83.87280
349.5156, 84.68150
349.9977, 85.70271
350.4798, 86.72015
350.9619, 87.88837
351.4440, 88.76674
351.9261, 88.95822
352.4083, 88.81887
352.8904, 88.94919
353.3725, 89.54028
353.8546, 90.35701
354.3367, 91.07613
354.8188, 91.66477
355.3010, 92.29314
355.7831, 93.11926
356.2652, 93.90149
356.7473, 94.32542
357.2294, 94.39266
357.7115, 94.53173
358.1937, 95.20464
358.6758, 96.43861
359.1579, 97.04562
359.6400, 96.62730
360.1221, 96.04052
360.6042, 95.61717
361.0863, 95.35924
361.5685, 95.22945
362.0506, 95.22654
362.5327, 95.29823
363.0148, 95.22443
363.4969, 94.98087
363.9790, 94.63618
364.4612, 94.13157
364.9433, 93.55563
365.4254, 93.08504
365.9075, 92.76785
366.3896, 92.37938
366.8717, 91.51308
367.3539, 89.70715
367.8360, 88.50317
368.3181, 88.42581
368.8002, 88.50510
369.2823, 88.13222
369.7644, 87.25765
370.2466, 86.11528
370.7287, 84.87007
371.2108, 83.50191
371.6929, 82.40821
372.1750, 81.72738
372.6571, 81.14656
373.1393, 80.59435
373.6214, 80.07293
374.1035, 79.62438
374.5856, 79.28371
375.0677, 78.97395
375.5498, 78.42503
376.0320, 77.35737
376.5141, 76.46153
376.9962, 75.85413
377.4783, 75.39404
377.9604, 74.97543
378.4425, 74.56479
378.9247, 74.18208
379.4068, 73.85635
379.8889, 73.59907
380.3710, 73.36036
380.8531, 73.16985
381.3352, 72.97128
381.8174, 72.75983
382.2995, 72.52126
382.7816, 72.21223
383.2637, 71.75440
383.7458, 71.19775
384.2279, 70.92613
384.7101, 71.21513
385.1922, 71.36937
385.6743, 71.16458
386.1564, 70.73397
386.6385, 70.16998
387.1206, 69.47440
387.6028, 68.85676
388.0849, 68.74992
388.5670, 69.30834
389.0491, 69.63644
389.5312, 69.21948
390.0133, 68.72327
390.4955, 68.60594
390.9776, 68.88860
391.4597, 69.25079
391.9418, 69.50447
392.4239, 69.64425
392.9060, 69.60168
393.3882, 69.26425
393.8703, 68.93438
394.3524, 68.85590
394.8345, 68.92824
395.3166, 68.93613
395.7987, 68.77615
396.2809, 68.53159
396.7630, 68.29771
397.2451, 68.07043
397.7272, 67.89548
398.2093, 67.84054
398.6914, 67.82113
399.1736, 67.66117
399.6557, 67.26330
400.1378, 67.02293
400.6199, 67.32756
401.1020, 67.97285
401.5841, 68.41721
402.0662, 68.53573
402.5483, 68.42879
403.0305, 68.12843
403.5126, 67.64896
403.9947, 67.23560
404.4768, 66.84135
404.9589, 66.59084
405.4410, 66.69530
405.9232, 67.12337
406.4053, 67.54044
406.8874, 67.74953
407.3695, 67.75942
407.8516, 67.64522
408.3337, 67.16550
408.8159, 66.85767
409.2980, 67.03185
409.7801, 67.45064
410.2622, 67.73003
410.7443, 67.73903
411.2264, 67.60029
411.7086, 67.48850
412.1907, 67.32433
412.6728, 67.42778
413.1549, 68.23055
413.6370, 68.95158
414.1191, 68.91596
414.6013, 68.23487
415.0834, 67.58123
415.5655, 67.51610
416.0476, 67.99105
416.5297, 68.16570
417.0118, 67.66883
417.4940, 67.28783
417.9761, 67.04676
418.4582, 67.03340
418.9403, 67.49142
419.4224, 68.49216
419.9045, 69.57776
420.3867, 69.86976
420.8688, 68.93674
421.3509, 68.35702
421.8330, 68.36900
422.3151, 68.58192
422.7972, 68.91459
423.2794, 69.28698
423.7615, 69.53590
424.2436, 69.47703
424.7257, 69.17544
425.2078, 69.09611
425.6899, 69.41549
426.1721, 69.64735
426.6542, 69.53432
427.1363, 69.28139
427.6184, 69.15528
428.1005, 69.26333
428.5826, 69.39195
429.0648, 69.20657
429.5469, 68.69904
430.0290, 68.42839
430.5111, 68.75083
430.9932, 69.08212
431.4753, 68.84165
431.9575, 68.09914
432.4396, 67.42724
432.9217, 67.12904
433.4038, 67.06535
433.8859, 67.01698
434.3680, 66.97514
434.8502, 66.94492
435.3323, 66.98974
435.8144, 67.02848
436.2965, 66.84829
436.7786, 66.28395
437.2607, 65.73974
437.7429, 65.43729
438.2250, 65.31696
438.7071, 65.29775
439.1892, 65.38686
439.6713, 65.39468
440.1534, 64.96871
440.6356, 63.91927
441.1177, 63.33990
441.5998, 63.69532
442.0819, 64.21847
442.5640, 64.35575
443.0461, 64.13577
443.5282, 63.87354
444.0103, 63.77391
444.4925, 63.81438
444.9746, 63.87216
445.4567, 64.01257
445.9388, 64.08846
446.4209, 64.05425
446.9030, 63.96339
447.3852, 63.81950
447.8673, 63.64543
448.3494, 63.55772
448.8315, 63.74489
449.3136, 64.30084
449.7957, 64.65633
450.2779, 64.61497
