##NAMES=Eglestonite
##RRUFFID=R060612
##IDEAL CHEMISTRY=Hg^1+^_6_OCl_3_(OH)
##LOCALITY=Cahill mine, Poverty Peak District, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown fragments
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060612
##MEASURED CHEMISTRY=Hg^1+^_6.00_OCl_3.00_(OH) ; O,H not measured but estimated by difference and stoichiometry
2.842709e+002, 4.779036e+000
2.847531e+002, 4.696160e+000
2.852352e+002, 4.663257e+000
2.857173e+002, 4.687701e+000
2.861994e+002, 4.739156e+000
2.866815e+002, 4.780278e+000
2.871636e+002, 4.811511e+000
2.876458e+002, 4.842694e+000
2.881279e+002, 4.880250e+000
2.886100e+002, 4.920633e+000
2.890921e+002, 4.950728e+000
2.895742e+002, 4.970861e+000
2.900563e+002, 4.978263e+000
2.905385e+002, 4.960684e+000
2.910206e+002, 4.923307e+000
2.915027e+002, 4.896767e+000
2.919848e+002, 4.895581e+000
2.924669e+002, 4.909827e+000
2.929490e+002, 4.913467e+000
2.934312e+002, 4.906195e+000
2.939133e+002, 4.904995e+000
2.943954e+002, 4.943468e+000
2.948775e+002, 5.003657e+000
2.953596e+002, 5.022707e+000
2.958417e+002, 4.964077e+000
2.963239e+002, 4.878536e+000
2.968060e+002, 4.862679e+000
2.972881e+002, 4.908725e+000
2.977702e+002, 4.934913e+000
2.982523e+002, 4.832540e+000
2.987344e+002, 4.669720e+000
2.992166e+002, 4.601036e+000
2.996987e+002, 4.675979e+000
3.001808e+002, 4.813200e+000
3.006629e+002, 4.950476e+000
3.011450e+002, 5.077239e+000
3.016271e+002, 5.154709e+000
3.021093e+002, 5.139650e+000
3.025914e+002, 5.065267e+000
3.030735e+002, 4.962395e+000
3.035556e+002, 4.818759e+000
3.040377e+002, 4.709869e+000
3.045198e+002, 4.748662e+000
3.050020e+002, 4.880278e+000
3.054841e+002, 4.972097e+000
3.059662e+002, 4.909985e+000
3.064483e+002, 4.797018e+000
3.069304e+002, 4.736005e+000
3.074125e+002, 4.736989e+000
3.078947e+002, 4.768498e+000
3.083768e+002, 4.837893e+000
3.088589e+002, 4.917578e+000
3.093410e+002, 4.965376e+000
3.098231e+002, 4.914254e+000
3.103052e+002, 4.859562e+000
3.107874e+002, 4.887497e+000
3.112695e+002, 4.998717e+000
3.117516e+002, 5.086678e+000
3.122337e+002, 5.068107e+000
3.127158e+002, 5.004452e+000
3.131979e+002, 4.961166e+000
3.136801e+002, 4.995926e+000
3.141622e+002, 5.023943e+000
3.146443e+002, 4.982591e+000
3.151264e+002, 4.887249e+000
3.156085e+002, 4.830483e+000
3.160906e+002, 4.907134e+000
3.165728e+002, 5.006763e+000
3.170549e+002, 5.046657e+000
3.175370e+002, 4.971765e+000
3.180191e+002, 4.888001e+000
3.185012e+002, 4.806321e+000
3.189833e+002, 4.739078e+000
3.194655e+002, 4.721053e+000
3.199476e+002, 4.819997e+000
3.204297e+002, 4.927674e+000
3.209118e+002, 4.989300e+000
3.213939e+002, 4.981599e+000
3.218760e+002, 4.964790e+000
3.223582e+002, 4.944598e+000
3.228403e+002, 4.923155e+000
3.233224e+002, 4.903975e+000
3.238045e+002, 4.866913e+000
3.242866e+002, 4.851306e+000
3.247687e+002, 4.876978e+000
3.252509e+002, 4.958570e+000
3.257330e+002, 5.024575e+000
3.262151e+002, 5.083485e+000
3.266972e+002, 5.119254e+000
3.271793e+002, 5.114925e+000
3.276614e+002, 4.980591e+000
3.281436e+002, 4.907949e+000
3.286257e+002, 4.961864e+000
3.291078e+002, 5.147457e+000
3.295899e+002, 5.242217e+000
3.300720e+002, 5.176371e+000
3.305541e+002, 5.078080e+000
3.310363e+002, 5.042626e+000
3.315184e+002, 5.141826e+000
3.320005e+002, 5.176754e+000
3.324826e+002, 5.088436e+000
3.329647e+002, 4.916406e+000
3.334468e+002, 4.863513e+000
3.339290e+002, 4.999868e+000
3.344111e+002, 5.146705e+000
3.348932e+002, 5.195761e+000
3.353753e+002, 5.089073e+000
3.358574e+002, 5.071191e+000
3.363395e+002, 5.191093e+000
3.368216e+002, 5.370521e+000
3.373037e+002, 5.438292e+000
3.377859e+002, 5.358671e+000
3.382680e+002, 5.281736e+000
3.387501e+002, 5.281124e+000
3.392322e+002, 5.363996e+000
3.397143e+002, 5.374103e+000
3.401964e+002, 5.281816e+000
3.406786e+002, 5.181067e+000
3.411607e+002, 5.217083e+000
3.416428e+002, 5.402514e+000
3.421249e+002, 5.554706e+000
3.426070e+002, 5.613504e+000
3.430891e+002, 5.596253e+000
3.435713e+002, 5.580008e+000
3.440534e+002, 5.564496e+000
3.445355e+002, 5.552442e+000
3.450176e+002, 5.549870e+000
3.454997e+002, 5.554746e+000
3.459818e+002, 5.553563e+000
3.464640e+002, 5.543911e+000
3.469461e+002, 5.526433e+000
3.474282e+002, 5.485812e+000
3.479103e+002, 5.426271e+000
3.483924e+002, 5.400622e+000
3.488745e+002, 5.472989e+000
3.493567e+002, 5.603850e+000
3.498388e+002, 5.702272e+000
3.503209e+002, 5.758627e+000
3.508030e+002, 5.780117e+000
3.512851e+002, 5.760896e+000
3.517672e+002, 5.711214e+000
3.522494e+002, 5.662155e+000
3.527315e+002, 5.612772e+000
3.532136e+002, 5.580358e+000
3.536957e+002, 5.588055e+000
3.541778e+002, 5.637408e+000
3.546599e+002, 5.711871e+000
3.551421e+002, 5.863031e+000
3.556242e+002, 6.018231e+000
3.561063e+002, 6.066304e+000
3.565884e+002, 5.841867e+000
3.570705e+002, 5.601797e+000
3.575526e+002, 5.536557e+000
3.580348e+002, 5.622282e+000
3.585169e+002, 5.720481e+000
3.589990e+002, 5.763998e+000
3.594811e+002, 5.785029e+000
3.599632e+002, 5.810762e+000
3.604453e+002, 5.852491e+000
3.609275e+002, 5.891261e+000
3.614096e+002, 5.939283e+000
3.618917e+002, 5.979355e+000
3.623738e+002, 5.971972e+000
3.628559e+002, 5.852189e+000
3.633380e+002, 5.723867e+000
3.638202e+002, 5.625296e+000
3.643023e+002, 5.553477e+000
3.647844e+002, 5.544476e+000
3.652665e+002, 5.687169e+000
3.657486e+002, 5.868540e+000
3.662307e+002, 5.953049e+000
3.667129e+002, 5.797004e+000
3.671950e+002, 5.675112e+000
3.676771e+002, 5.663275e+000
3.681592e+002, 5.768466e+000
3.686413e+002, 5.840958e+000
3.691234e+002, 5.861030e+000
3.696056e+002, 5.863812e+000
3.700877e+002, 5.874272e+000
3.705698e+002, 5.914555e+000
3.710519e+002, 5.922450e+000
3.715340e+002, 5.867001e+000
3.720161e+002, 5.776634e+000
3.724983e+002, 5.759303e+000
3.729804e+002, 5.856236e+000
3.734625e+002, 5.952641e+000
3.739446e+002, 5.982465e+000
3.744267e+002, 5.914623e+000
3.749088e+002, 5.925783e+000
3.753910e+002, 6.054971e+000
3.758731e+002, 6.213129e+000
3.763552e+002, 6.244568e+000
3.768373e+002, 6.127270e+000
3.773194e+002, 6.018293e+000
3.778015e+002, 5.965137e+000
3.782837e+002, 5.963855e+000
3.787658e+002, 5.999121e+000
3.792479e+002, 6.078351e+000
3.797300e+002, 6.158543e+000
3.802121e+002, 6.191496e+000
3.806942e+002, 6.183376e+000
3.811764e+002, 6.191108e+000
3.816585e+002, 6.237466e+000
3.821406e+002, 6.290287e+000
3.826227e+002, 6.276474e+000
3.831048e+002, 6.201750e+000
3.835869e+002, 6.126222e+000
3.840691e+002, 6.080652e+000
3.845512e+002, 6.062993e+000
3.850333e+002, 6.069560e+000
3.855154e+002, 6.099093e+000
3.859975e+002, 6.157860e+000
3.864796e+002, 6.291303e+000
3.869618e+002, 6.460841e+000
3.874439e+002, 6.575697e+000
3.879260e+002, 6.564169e+000
3.884081e+002, 6.498774e+000
3.888902e+002, 6.425384e+000
3.893723e+002, 6.347766e+000
3.898545e+002, 6.300882e+000
3.903366e+002, 6.321876e+000
3.908187e+002, 6.377711e+000
3.913008e+002, 6.433918e+000
3.917829e+002, 6.478616e+000
3.922650e+002, 6.525456e+000
3.927472e+002, 6.615212e+000
3.932293e+002, 6.716983e+000
3.937114e+002, 6.745563e+000
3.941935e+002, 6.570100e+000
3.946756e+002, 6.392716e+000
3.951577e+002, 6.322156e+000
3.956399e+002, 6.402813e+000
3.961220e+002, 6.487900e+000
3.966041e+002, 6.550517e+000
3.970862e+002, 6.603241e+000
3.975683e+002, 6.661572e+000
3.980504e+002, 6.796447e+000
3.985326e+002, 6.862161e+000
3.990147e+002, 6.787544e+000
3.994968e+002, 6.573502e+000
3.999789e+002, 6.463030e+000
4.004610e+002, 6.520581e+000
4.009431e+002, 6.619884e+000
4.014253e+002, 6.679522e+000
4.019074e+002, 6.668085e+000
4.023895e+002, 6.687135e+000
4.028716e+002, 6.756863e+000
4.033537e+002, 6.853676e+000
4.038358e+002, 6.926032e+000
4.043180e+002, 6.978453e+000
4.048001e+002, 6.990495e+000
4.052822e+002, 6.937416e+000
4.057643e+002, 6.816343e+000
4.062464e+002, 6.735056e+000
4.067285e+002, 6.696164e+000
4.072107e+002, 6.691946e+000
4.076928e+002, 6.714924e+000
4.081749e+002, 6.765441e+000
4.086570e+002, 6.850020e+000
4.091391e+002, 6.992073e+000
4.096212e+002, 7.151404e+000
4.101034e+002, 7.226969e+000
4.105855e+002, 7.220508e+000
4.110676e+002, 7.181788e+000
4.115497e+002, 7.122913e+000
4.120318e+002, 7.059955e+000
4.125139e+002, 7.032889e+000
4.129961e+002, 7.050602e+000
4.134782e+002, 7.088612e+000
4.139603e+002, 7.100526e+000
4.144424e+002, 7.110736e+000
4.149245e+002, 7.177278e+000
4.154066e+002, 7.463031e+000
4.158888e+002, 7.729385e+000
4.163709e+002, 7.699903e+000
4.168530e+002, 7.382525e+000
4.173351e+002, 7.109865e+000
4.178172e+002, 7.115563e+000
4.182993e+002, 7.237761e+000
4.187815e+002, 7.322777e+000
4.192636e+002, 7.313823e+000
4.197457e+002, 7.282413e+000
4.202278e+002, 7.220848e+000
4.207099e+002, 7.154319e+000
4.211920e+002, 7.149753e+000
4.216742e+002, 7.299578e+000
4.221563e+002, 7.450680e+000
4.226384e+002, 7.529816e+000
4.231205e+002, 7.504572e+000
4.236026e+002, 7.511462e+000
4.240847e+002, 7.628852e+000
4.245669e+002, 7.750527e+000
4.250490e+002, 7.766900e+000
4.255311e+002, 7.557013e+000
4.260132e+002, 7.419989e+000
4.264953e+002, 7.423510e+000
4.269774e+002, 7.543225e+000
4.274596e+002, 7.621828e+000
4.279417e+002, 7.650403e+000
4.284238e+002, 7.652028e+000
4.289059e+002, 7.632546e+000
4.293880e+002, 7.584277e+000
4.298701e+002, 7.553077e+000
4.303523e+002, 7.538980e+000
4.308344e+002, 7.543942e+000
4.313165e+002, 7.577294e+000
4.317986e+002, 7.640982e+000
4.322807e+002, 7.705890e+000
4.327628e+002, 7.772467e+000
4.332450e+002, 7.831141e+000
4.337271e+002, 7.829097e+000
4.342092e+002, 7.763862e+000
4.346913e+002, 7.715242e+000
4.351734e+002, 7.781418e+000
4.356555e+002, 7.918450e+000
4.361377e+002, 7.998058e+000
4.366198e+002, 7.985147e+000
4.371019e+002, 7.941542e+000
4.375840e+002, 7.940412e+000
4.380661e+002, 7.966457e+000
4.385482e+002, 7.976999e+000
4.390304e+002, 7.922069e+000
4.395125e+002, 7.859043e+000
4.399946e+002, 7.845071e+000
4.404767e+002, 7.883172e+000
4.409588e+002, 7.928353e+000
4.414409e+002, 7.957285e+000
4.419231e+002, 7.980734e+000
4.424052e+002, 8.009331e+000
4.428873e+002, 8.055522e+000
4.433694e+002, 8.095595e+000
4.438515e+002, 8.113778e+000
4.443336e+002, 8.119106e+000
4.448158e+002, 8.137197e+000
4.452979e+002, 8.220599e+000
4.457800e+002, 8.275859e+000
4.462621e+002, 8.247080e+000
4.467442e+002, 8.077367e+000
4.472263e+002, 8.011384e+000
4.477085e+002, 8.100817e+000
4.481906e+002, 8.257673e+000
4.486727e+002, 8.407986e+000
4.491548e+002, 8.583546e+000
4.496369e+002, 8.679884e+000
4.501190e+002, 8.657434e+000
4.506012e+002, 8.545576e+000
4.510833e+002, 8.456670e+000
4.515654e+002, 8.378504e+000
4.520475e+002, 8.360595e+000
4.525296e+002, 8.466947e+000
4.530117e+002, 8.700626e+000
4.534939e+002, 8.822999e+000
4.539760e+002, 8.811203e+000
4.544581e+002, 8.747983e+000
4.549402e+002, 8.734161e+000
4.554223e+002, 8.764239e+000
4.559044e+002, 8.801596e+000
4.563866e+002, 8.839050e+000
4.568687e+002, 8.872046e+000
4.573508e+002, 8.886017e+000
4.578329e+002, 8.883968e+000
4.583150e+002, 8.886409e+000
4.587971e+002, 8.926671e+000
4.592793e+002, 8.972198e+000
4.597614e+002, 8.969651e+000
4.602435e+002, 8.898903e+000
4.607256e+002, 8.840535e+000
4.612077e+002, 8.897320e+000
4.616898e+002, 8.992543e+000
4.621720e+002, 9.014318e+000
4.626541e+002, 8.790674e+000
4.631362e+002, 8.605801e+000
