##NAMES=Brannerite
##RRUFFID=R080091
##IDEAL CHEMISTRY=U^4+^Ti^4+^_2_O_6_
##LOCALITY=Crocker's Well, South Australia, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light brown fragment from metamict sample R060613, after heating at T = 1000 C for 18 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080091
496.3673, 624.1110
496.8494, 621.5714
497.3315, 619.0001
497.8136, 616.1115
498.2957, 612.9830
498.7779, 610.0813
499.2600, 607.6614
499.7421, 605.5042
500.2242, 603.5165
500.7063, 601.7264
501.1884, 599.8425
501.6706, 597.5859
502.1527, 595.3040
502.6348, 593.3871
503.1169, 592.1491
503.5990, 590.9922
504.0811, 589.9850
504.5633, 589.0439
505.0454, 587.7486
505.5275, 585.7491
506.0096, 584.0449
506.4917, 583.1537
506.9738, 583.1603
507.4560, 582.7634
507.9381, 581.8251
508.4202, 580.8459
508.9023, 580.2509
509.3844, 580.0430
509.8665, 580.3455
510.3487, 581.2839
510.8308, 582.5561
511.3129, 583.7115
511.7950, 584.7711
512.2772, 585.8224
512.7593, 586.8698
513.2414, 587.9576
513.7235, 589.1348
514.2056, 590.4042
514.6877, 591.8036
515.1699, 593.4297
515.6520, 595.1530
516.1341, 596.8297
516.6162, 598.3041
517.0983, 599.9660
517.5804, 602.1586
518.0626, 604.5799
518.5447, 606.7382
519.0268, 608.3284
519.5089, 609.8815
519.9910, 611.3979
520.4731, 612.9036
520.9553, 614.8104
521.4374, 617.3480
521.9195, 619.9182
522.4016, 622.1619
522.8837, 623.9756
523.3658, 625.9932
523.8480, 628.3402
524.3301, 630.6662
524.8122, 632.3778
525.2943, 633.5167
525.7764, 634.7604
526.2585, 636.2707
526.7407, 638.0234
527.2228, 640.1689
527.7049, 642.6328
528.1870, 644.9023
528.6691, 646.5745
529.1512, 647.9566
529.6334, 649.3801
530.1155, 650.8757
530.5976, 652.3891
531.0797, 653.8574
531.5618, 655.3481
532.0439, 656.9379
532.5261, 659.0715
533.0082, 660.7014
533.4903, 661.2841
533.9724, 661.2162
534.4545, 661.3701
534.9366, 662.2726
535.4188, 662.8878
535.9009, 662.9657
536.3830, 662.5196
536.8651, 661.8446
537.3472, 660.8228
537.8293, 659.8348
538.3115, 659.2722
538.7936, 659.2109
539.2757, 658.6239
539.7578, 657.4045
540.2399, 655.8493
540.7220, 654.2224
541.2042, 652.5660
541.6863, 651.0140
542.1684, 649.6116
542.6505, 648.2984
543.1326, 647.0219
543.6147, 645.7642
544.0969, 644.4327
544.5790, 642.9489
545.0611, 641.4057
545.5432, 639.8964
546.0253, 638.4363
546.5074, 636.9117
546.9896, 634.6808
547.4717, 632.7173
547.9538, 631.8412
548.4359, 633.6600
548.9180, 634.5612
549.4001, 633.6508
549.8823, 631.8640
550.3644, 630.8174
550.8465, 631.0170
551.3286, 631.0008
551.8107, 630.4099
552.2928, 629.2933
552.7750, 627.9009
553.2571, 626.1143
553.7392, 624.6020
554.2213, 623.8856
554.7034, 623.8572
555.1855, 623.9352
555.6677, 624.1157
556.1498, 624.1995
556.6319, 623.9095
557.1140, 623.3716
557.5961, 622.8361
558.0782, 622.3348
558.5604, 621.9151
559.0425, 621.7255
559.5246, 621.6467
560.0067, 621.4163
560.4888, 620.9778
560.9709, 620.3184
561.4531, 619.3681
561.9352, 618.1263
562.4173, 616.9148
562.8994, 615.5006
563.3815, 614.3658
563.8636, 613.8597
564.3458, 614.5379
564.8279, 614.3068
565.3100, 612.8412
565.7921, 610.8820
566.2742, 609.3793
566.7563, 608.3670
567.2385, 607.4715
567.7206, 606.7302
568.2027, 605.9268
568.6848, 604.3339
569.1669, 602.0861
569.6490, 600.3610
570.1312, 600.2531
570.6133, 600.8141
571.0954, 600.6679
571.5775, 599.8147
572.0596, 598.8126
572.5417, 597.8175
573.0239, 596.9384
573.5060, 596.2983
573.9881, 595.9601
574.4702, 595.7296
574.9523, 595.6436
575.4344, 595.6005
575.9166, 595.4698
576.3987, 595.0166
576.8808, 594.7860
577.3629, 594.9336
577.8450, 595.3337
578.3271, 595.5660
578.8093, 595.5781
579.2914, 595.5508
579.7735, 595.4742
580.2556, 595.3859
580.7377, 595.5820
581.2198, 596.0478
581.7020, 596.8829
582.1841, 598.4816
582.6662, 600.4703
583.1483, 601.9652
583.6304, 602.7839
584.1125, 603.3311
584.5947, 603.8430
585.0768, 604.3494
585.5589, 604.8884
586.0410, 605.2851
586.5231, 605.9539
587.0052, 607.1513
587.4873, 608.7780
587.9694, 610.5230
588.4515, 612.8688
588.9337, 614.7928
589.4158, 615.7893
589.8979, 615.8522
590.3800, 616.5834
590.8621, 618.1871
591.3442, 620.0914
591.8264, 622.0110
592.3085, 623.9648
592.7906, 625.4896
593.2727, 626.4393
593.7548, 627.3935
594.2369, 629.1127
594.7191, 631.4464
595.2012, 633.8894
595.6833, 636.5660
596.1654, 638.8231
596.6475, 639.4540
597.1296, 639.1003
597.6118, 639.2650
598.0939, 641.1225
598.5760, 643.2592
599.0581, 644.8879
599.5402, 646.0400
600.0223, 647.3854
600.5045, 649.3660
600.9866, 651.3390
601.4687, 653.0448
601.9508, 654.4583
602.4329, 655.7421
602.9150, 656.8737
603.3972, 657.8940
603.8793, 658.6750
604.3614, 659.1295
604.8435, 660.2998
605.3256, 662.3973
605.8077, 664.9833
606.2899, 667.5751
606.7720, 670.0983
607.2541, 672.0886
607.7362, 673.0184
608.2183, 673.6956
608.7004, 675.0137
609.1826, 676.8765
609.6647, 678.9030
610.1468, 680.6960
610.6289, 682.8061
611.1110, 685.8883
611.5931, 690.0634
612.0753, 693.3900
612.5574, 694.4886
613.0395, 695.4563
613.5216, 697.5128
614.0037, 701.1698
614.4858, 704.6644
614.9680, 707.9353
615.4501, 711.1188
615.9322, 714.3889
616.4143, 717.7350
616.8964, 720.8966
617.3785, 723.5612
617.8607, 726.4434
618.3428, 731.2171
618.8249, 737.4391
619.3070, 743.2618
619.7891, 747.3300
620.2712, 750.9440
620.7534, 755.2852
621.2355, 760.3262
621.7176, 765.7363
622.1997, 771.3108
622.6818, 777.2737
623.1639, 783.9918
623.6461, 791.6612
624.1282, 798.9127
624.6103, 805.2240
625.0924, 811.4268
625.5745, 817.9942
626.0566, 825.0401
626.5388, 832.3216
627.0209, 839.7891
627.5030, 847.4040
627.9851, 855.2344
628.4672, 863.1824
628.9493, 870.7327
629.4315, 877.6494
629.9136, 884.3087
630.3957, 890.9068
630.8778, 897.6270
631.3599, 904.9516
631.8420, 914.0370
632.3242, 923.0834
632.8063, 930.6835
633.2884, 936.9623
633.7705, 943.0541
634.2526, 949.5973
634.7347, 955.8381
635.2169, 961.5085
635.6990, 966.5406
636.1811, 971.0751
636.6632, 975.1890
637.1453, 978.7148
637.6274, 981.3608
638.1096, 982.9980
638.5917, 984.9187
639.0738, 987.4436
639.5559, 989.5081
640.0380, 989.5103
640.5201, 987.8162
641.0023, 986.1437
641.4844, 985.1681
641.9665, 983.8568
642.4486, 980.9056
642.9307, 976.7523
643.4128, 972.4037
643.8950, 968.9229
644.3771, 964.7039
644.8592, 958.6378
645.3413, 951.0641
645.8234, 943.4919
646.3055, 936.5498
646.7877, 929.3966
647.2698, 921.8341
647.7519, 913.7865
648.2340, 905.6907
648.7161, 897.6700
649.1982, 889.2997
649.6804, 880.2732
650.1625, 870.6370
650.6446, 860.7939
651.1267, 850.7585
651.6088, 840.7970
652.0909, 831.3299
652.5731, 822.2608
653.0552, 813.3211
653.5373, 804.5661
654.0194, 795.8040
654.5015, 786.4904
654.9836, 777.0603
655.4658, 768.0933
655.9479, 760.1257
656.4300, 752.2441
656.9121, 743.9862
657.3942, 735.6233
657.8763, 728.0009
658.3585, 721.3434
658.8406, 714.7601
659.3227, 707.9288
659.8048, 700.8987
660.2869, 694.2611
660.7690, 688.0046
661.2512, 682.0430
661.7333, 676.4912
662.2154, 671.1810
662.6975, 665.8028
663.1796, 660.3478
663.6617, 655.0748
664.1439, 650.2300
664.6260, 645.6140
665.1081, 641.0695
665.5902, 636.6706
666.0723, 632.2048
666.5544, 627.5313
667.0366, 622.8622
667.5187, 618.3495
668.0008, 613.8055
668.4829, 609.9150
668.9650, 607.0062
669.4471, 604.4983
669.9293, 601.2499
670.4114, 597.2485
670.8935, 593.9008
671.3756, 591.7588
671.8577, 590.1702
672.3398, 588.0070
672.8220, 585.4155
673.3041, 582.9501
673.7862, 580.9358
674.2683, 579.0893
674.7504, 577.1826
675.2325, 575.2419
675.7147, 573.4867
676.1968, 572.2459
676.6789, 570.9216
677.1610, 569.1954
677.6431, 567.0242
678.1252, 565.1617
678.6074, 563.7162
679.0895, 562.4103
