##NAMES=Tausonite
##RRUFFID=X090004
##IDEAL CHEMISTRY=SrTi^4+^O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless stone, cell parameters indicate a disordered structure
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090004
449.6254, 535.4670
450.1075, 532.3201
450.5896, 529.0455
451.0717, 525.4872
451.5538, 521.0679
452.0359, 516.7390
452.5181, 513.6603
453.0002, 511.6550
453.4823, 509.5511
453.9644, 506.8610
454.4465, 503.7037
454.9286, 500.2480
455.4108, 496.3784
455.8929, 492.6608
456.3750, 489.1683
456.8571, 485.9250
457.3392, 483.0432
457.8214, 480.5011
458.3035, 477.9383
458.7856, 474.9749
459.2677, 471.5961
459.7498, 468.7056
460.2319, 467.2545
460.7141, 465.1227
461.1962, 461.1558
461.6783, 456.3168
462.1604, 451.9601
462.6425, 448.6042
463.1246, 445.8842
463.6068, 443.2120
464.0889, 440.6320
464.5710, 438.0254
465.0531, 435.4810
465.5352, 432.8387
466.0173, 430.0163
466.4995, 427.0210
466.9816, 423.8514
467.4637, 420.4211
467.9458, 416.9104
468.4279, 413.9736
468.9100, 411.9220
469.3922, 409.6077
469.8743, 406.4858
470.3564, 403.0708
470.8385, 399.5919
471.3206, 396.1019
471.8027, 393.0641
472.2849, 391.2938
472.7670, 390.3338
473.2491, 388.3008
473.7312, 384.6608
474.2133, 381.0060
474.6954, 378.7959
475.1776, 377.4088
475.6597, 375.4402
476.1418, 372.5460
476.6239, 369.1806
477.1060, 365.1305
477.5881, 360.8275
478.0703, 357.6867
478.5524, 356.4039
479.0345, 355.6960
479.5166, 353.6479
479.9987, 349.8522
480.4808, 346.5785
480.9630, 344.1713
481.4451, 342.1432
481.9272, 340.3920
482.4093, 338.7662
482.8914, 336.9130
483.3735, 334.5925
483.8557, 331.9367
484.3378, 329.4011
484.8199, 327.0775
485.3020, 324.7534
485.7841, 322.4179
