##NAMES=Ferronigerite-2N1S
##RRUFFID=R120083
##IDEAL CHEMISTRY=(Al,Fe^3+^,Zn^2+^)_2_(Al,Sn^4+^)_6_O_11_(OH)
##LOCALITY=Seixoso quarry, Lixa, Portugal
##OWNER=RRUFF
##SOURCE=Robert Jenkins
##DESCRIPTION=Dark reddish-brown hexagonal tablets, frozen in matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120083
2.005619e+002, 1.624182e+003
2.010440e+002, 1.632238e+003
2.015261e+002, 1.639415e+003
2.020082e+002, 1.646841e+003
2.024904e+002, 1.655458e+003
2.029725e+002, 1.663828e+003
2.034546e+002, 1.671317e+003
2.039367e+002, 1.677820e+003
2.044188e+002, 1.683557e+003
2.049009e+002, 1.688710e+003
2.053831e+002, 1.693196e+003
2.058652e+002, 1.697291e+003
2.063473e+002, 1.701405e+003
2.068294e+002, 1.704887e+003
2.073115e+002, 1.707107e+003
2.077936e+002, 1.708070e+003
2.082758e+002, 1.708435e+003
2.087579e+002, 1.709114e+003
2.092400e+002, 1.710377e+003
2.097221e+002, 1.711340e+003
2.102042e+002, 1.711822e+003
2.106863e+002, 1.712182e+003
2.111685e+002, 1.712672e+003
2.116506e+002, 1.713339e+003
2.121327e+002, 1.714040e+003
2.126148e+002, 1.714572e+003
2.130969e+002, 1.714807e+003
2.135790e+002, 1.715114e+003
2.140612e+002, 1.715987e+003
2.145433e+002, 1.716631e+003
2.150254e+002, 1.716128e+003
2.155075e+002, 1.714347e+003
2.159896e+002, 1.712282e+003
2.164717e+002, 1.711385e+003
2.169539e+002, 1.712323e+003
2.174360e+002, 1.712926e+003
2.179181e+002, 1.713619e+003
2.184002e+002, 1.713737e+003
2.188823e+002, 1.712214e+003
2.193644e+002, 1.708782e+003
2.198466e+002, 1.704946e+003
2.203287e+002, 1.702893e+003
2.208108e+002, 1.702986e+003
2.212929e+002, 1.702690e+003
2.217750e+002, 1.701586e+003
2.222571e+002, 1.699957e+003
2.227393e+002, 1.698188e+003
2.232214e+002, 1.696390e+003
2.237035e+002, 1.694309e+003
2.241856e+002, 1.691640e+003
2.246677e+002, 1.688463e+003
2.251498e+002, 1.684692e+003
2.256320e+002, 1.680061e+003
2.261141e+002, 1.674885e+003
2.265962e+002, 1.669723e+003
2.270783e+002, 1.664731e+003
2.275604e+002, 1.659536e+003
2.280425e+002, 1.653450e+003
2.285247e+002, 1.646733e+003
2.290068e+002, 1.640269e+003
2.294889e+002, 1.634690e+003
2.299710e+002, 1.629626e+003
2.304531e+002, 1.624223e+003
2.309352e+002, 1.618389e+003
2.314174e+002, 1.612258e+003
2.318995e+002, 1.605826e+003
2.323816e+002, 1.599199e+003
2.328637e+002, 1.592681e+003
2.333458e+002, 1.586871e+003
2.338279e+002, 1.581326e+003
2.343101e+002, 1.574236e+003
2.347922e+002, 1.564546e+003
2.352743e+002, 1.555129e+003
2.357564e+002, 1.547663e+003
2.362385e+002, 1.541623e+003
2.367206e+002, 1.535970e+003
2.372028e+002, 1.530576e+003
2.376849e+002, 1.525172e+003
2.381670e+002, 1.518483e+003
2.386491e+002, 1.510278e+003
2.391312e+002, 1.500955e+003
2.396133e+002, 1.490118e+003
2.400955e+002, 1.478506e+003
2.405776e+002, 1.467108e+003
2.410597e+002, 1.456365e+003
2.415418e+002, 1.446372e+003
2.420239e+002, 1.437953e+003
2.425060e+002, 1.432354e+003
