##NAMES=Glaucophane
##RRUFFID=R120002
##IDEAL CHEMISTRY=[box]Na_2_(Mg_3_Al_2_)Si_8_O_22_(OH)_2_
##LOCALITY=Cape Marmari, Grammata Bay, Syros Island, Aegean Sea, Greece
##OWNER=RRUFF
##SOURCE=Gunnar Farber
##DESCRIPTION=Dark green bladed, associated with colorless quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120002
1.502747e+002, 7.273132e+001
1.507568e+002, 7.321284e+001
1.512389e+002, 7.384050e+001
1.517210e+002, 7.439730e+001
1.522031e+002, 7.457289e+001
1.526852e+002, 7.564043e+001
1.531674e+002, 7.804507e+001
1.536495e+002, 8.126602e+001
1.541316e+002, 8.455801e+001
1.546137e+002, 8.727510e+001
1.550958e+002, 9.056282e+001
1.555779e+002, 9.475962e+001
1.560601e+002, 9.990328e+001
1.565422e+002, 1.058954e+002
1.570243e+002, 1.127161e+002
1.575064e+002, 1.203531e+002
1.579885e+002, 1.287830e+002
1.584706e+002, 1.373767e+002
1.589528e+002, 1.472190e+002
1.594349e+002, 1.588244e+002
1.599170e+002, 1.724559e+002
1.603991e+002, 1.875278e+002
1.608812e+002, 2.042678e+002
1.613633e+002, 2.223799e+002
1.618455e+002, 2.410876e+002
1.623276e+002, 2.587759e+002
1.628097e+002, 2.776765e+002
1.632918e+002, 2.997885e+002
1.637739e+002, 3.273942e+002
1.642560e+002, 3.554765e+002
1.647382e+002, 3.817245e+002
1.652203e+002, 4.065938e+002
1.657024e+002, 4.318270e+002
1.661845e+002, 4.596614e+002
1.666666e+002, 4.877168e+002
1.671487e+002, 5.135048e+002
1.676309e+002, 5.355674e+002
1.681130e+002, 5.564084e+002
1.685951e+002, 5.770054e+002
1.690772e+002, 5.974561e+002
1.695593e+002, 6.178111e+002
1.700414e+002, 6.380417e+002
1.705236e+002, 6.582972e+002
1.710057e+002, 6.784313e+002
1.714878e+002, 6.971540e+002
1.719699e+002, 7.170054e+002
1.724520e+002, 7.396979e+002
1.729341e+002, 7.652709e+002
1.734163e+002, 7.932068e+002
1.738984e+002, 8.221767e+002
1.743805e+002, 8.536542e+002
1.748626e+002, 8.890593e+002
1.753447e+002, 9.305828e+002
1.758268e+002, 9.760244e+002
1.763090e+002, 1.023689e+003
1.767911e+002, 1.073179e+003
1.772732e+002, 1.123799e+003
1.777553e+002, 1.173298e+003
1.782374e+002, 1.217958e+003
1.787195e+002, 1.254846e+003
1.792017e+002, 1.284761e+003
1.796838e+002, 1.306541e+003
1.801659e+002, 1.317150e+003
1.806480e+002, 1.316763e+003
1.811301e+002, 1.308327e+003
1.816122e+002, 1.292076e+003
1.820944e+002, 1.269574e+003
1.825765e+002, 1.246229e+003
1.830586e+002, 1.221989e+003
1.835407e+002, 1.198842e+003
1.840228e+002, 1.180179e+003
1.845049e+002, 1.166372e+003
1.849871e+002, 1.155590e+003
1.854692e+002, 1.144455e+003
1.859513e+002, 1.133750e+003
1.864334e+002, 1.128691e+003
1.869155e+002, 1.136732e+003
1.873976e+002, 1.152793e+003
1.878798e+002, 1.158717e+003
1.883619e+002, 1.152353e+003
1.888440e+002, 1.141853e+003
1.893261e+002, 1.138344e+003
1.898082e+002, 1.141366e+003
1.902903e+002, 1.145799e+003
1.907725e+002, 1.149225e+003
1.912546e+002, 1.151895e+003
1.917367e+002, 1.154974e+003
1.922188e+002, 1.158551e+003
1.927009e+002, 1.162478e+003
1.931830e+002, 1.166062e+003
1.936652e+002, 1.169266e+003
1.941473e+002, 1.173662e+003
1.946294e+002, 1.180400e+003
1.951115e+002, 1.189307e+003
1.955936e+002, 1.198478e+003
1.960757e+002, 1.207977e+003
1.965579e+002, 1.217391e+003
1.970400e+002, 1.225771e+003
1.975221e+002, 1.233034e+003
1.980042e+002, 1.240160e+003
1.984863e+002, 1.247663e+003
1.989684e+002, 1.255515e+003
1.994506e+002, 1.263855e+003
1.999327e+002, 1.272612e+003
2.004148e+002, 1.281846e+003
2.008969e+002, 1.291722e+003
2.013790e+002, 1.302453e+003
2.018611e+002, 1.313246e+003
2.023433e+002, 1.323195e+003
2.028254e+002, 1.332065e+003
2.033075e+002, 1.343169e+003
2.037896e+002, 1.357227e+003
2.042717e+002, 1.373079e+003
2.047538e+002, 1.387666e+003
2.052360e+002, 1.400780e+003
2.057181e+002, 1.413341e+003
2.062002e+002, 1.425828e+003
2.066823e+002, 1.438227e+003
2.071644e+002, 1.450672e+003
2.076465e+002, 1.463775e+003
2.081287e+002, 1.476553e+003
2.086108e+002, 1.486486e+003
2.090929e+002, 1.493408e+003
2.095750e+002, 1.497970e+003
2.100571e+002, 1.500557e+003
2.105392e+002, 1.501294e+003
2.110214e+002, 1.499715e+003
2.115035e+002, 1.495815e+003
2.119856e+002, 1.489630e+003
2.124677e+002, 1.480616e+003
2.129498e+002, 1.467744e+003
2.134319e+002, 1.454396e+003
2.139141e+002, 1.442513e+003
2.143962e+002, 1.432436e+003
2.148783e+002, 1.422509e+003
2.153604e+002, 1.412189e+003
2.158425e+002, 1.401992e+003
2.163246e+002, 1.394734e+003
2.168067e+002, 1.391471e+003
2.172889e+002, 1.388947e+003
2.177710e+002, 1.384879e+003
2.182531e+002, 1.378204e+003
2.187352e+002, 1.372965e+003
2.192173e+002, 1.369261e+003
2.196994e+002, 1.367164e+003
2.201816e+002, 1.367297e+003
2.206637e+002, 1.370163e+003
2.211458e+002, 1.374282e+003
2.216279e+002, 1.378750e+003
2.221100e+002, 1.383603e+003
2.225921e+002, 1.388774e+003
2.230743e+002, 1.394369e+003
2.235564e+002, 1.400286e+003
2.240385e+002, 1.406385e+003
2.245206e+002, 1.412735e+003
2.250027e+002, 1.419004e+003
2.254848e+002, 1.424881e+003
2.259670e+002, 1.429902e+003
2.264491e+002, 1.435720e+003
2.269312e+002, 1.443097e+003
2.274133e+002, 1.451454e+003
