##NAMES=Mottramite
##RRUFFID=R120112
##IDEAL CHEMISTRY=Pb^2+^Cu^2+^V^5+^O_4_(OH)
##LOCALITY=Copperopolis, Yavapai County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Ruiz
##DESCRIPTION=Radial sprays of yellow transparent needles, variety duhamelite; associated with goethite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120112
2.135790e+002, 7.666717e+002
2.140612e+002, 7.674928e+002
2.145433e+002, 7.691983e+002
2.150254e+002, 7.705400e+002
2.155075e+002, 7.711592e+002
2.159896e+002, 7.711260e+002
2.164718e+002, 7.704581e+002
2.169539e+002, 7.687048e+002
2.174360e+002, 7.673708e+002
2.179181e+002, 7.667924e+002
2.184002e+002, 7.664860e+002
2.188823e+002, 7.658661e+002
2.193645e+002, 7.647897e+002
2.198466e+002, 7.637677e+002
2.203287e+002, 7.635345e+002
2.208108e+002, 7.641859e+002
2.212929e+002, 7.650549e+002
2.217750e+002, 7.669581e+002
2.222572e+002, 7.686937e+002
2.227393e+002, 7.681946e+002
2.232214e+002, 7.647146e+002
2.237035e+002, 7.609144e+002
2.241856e+002, 7.606911e+002
2.246677e+002, 7.637338e+002
2.251499e+002, 7.662121e+002
2.256320e+002, 7.671140e+002
2.261141e+002, 7.668600e+002
2.265962e+002, 7.657849e+002
2.270783e+002, 7.635363e+002
2.275604e+002, 7.616655e+002
2.280426e+002, 7.624875e+002
2.285247e+002, 7.653084e+002
2.290068e+002, 7.672177e+002
2.294889e+002, 7.665453e+002
2.299710e+002, 7.642181e+002
2.304531e+002, 7.621201e+002
2.309353e+002, 7.601875e+002
2.314174e+002, 7.590714e+002
2.318995e+002, 7.595512e+002
2.323816e+002, 7.612049e+002
2.328637e+002, 7.629654e+002
2.333458e+002, 7.646671e+002
2.338280e+002, 7.661143e+002
2.343101e+002, 7.665534e+002
2.347922e+002, 7.653912e+002
2.352743e+002, 7.641572e+002
2.357564e+002, 7.635408e+002
2.362385e+002, 7.634875e+002
2.367207e+002, 7.639578e+002
2.372028e+002, 7.653533e+002
2.376849e+002, 7.672842e+002
2.381670e+002, 7.680076e+002
2.386491e+002, 7.667906e+002
2.391312e+002, 7.653795e+002
2.396134e+002, 7.645704e+002
2.400955e+002, 7.640858e+002
2.405776e+002, 7.633928e+002
2.410597e+002, 7.620596e+002
2.415418e+002, 7.603029e+002
2.420239e+002, 7.592330e+002
2.425061e+002, 7.593516e+002
2.429882e+002, 7.595153e+002
2.434703e+002, 7.591427e+002
2.439524e+002, 7.586365e+002
2.444345e+002, 7.586334e+002
2.449166e+002, 7.595637e+002
2.453988e+002, 7.612022e+002
2.458809e+002, 7.625314e+002
2.463630e+002, 7.641179e+002
2.468451e+002, 7.645064e+002
2.473272e+002, 7.623906e+002
2.478093e+002, 7.592601e+002
2.482915e+002, 7.570316e+002
2.487736e+002, 7.567691e+002
2.492557e+002, 7.580511e+002
2.497378e+002, 7.591820e+002
2.502199e+002, 7.603409e+002
2.507020e+002, 7.610778e+002
2.511842e+002, 7.611819e+002
2.516663e+002, 7.608962e+002
2.521484e+002, 7.604493e+002
2.526305e+002, 7.599461e+002
2.531126e+002, 7.594420e+002
2.535947e+002, 7.591005e+002
2.540769e+002, 7.591601e+002
2.545590e+002, 7.591129e+002
2.550411e+002, 7.587910e+002
2.555232e+002, 7.584028e+002
2.560053e+002, 7.581891e+002
2.564874e+002, 7.582528e+002
2.569695e+002, 7.584970e+002
2.574517e+002, 7.586843e+002
2.579338e+002, 7.581656e+002
2.584159e+002, 7.584282e+002
2.588980e+002, 7.604641e+002
2.593801e+002, 7.628605e+002
2.598622e+002, 7.639579e+002
2.603444e+002, 7.632037e+002
2.608265e+002, 7.615876e+002
2.613086e+002, 7.609836e+002
2.617907e+002, 7.623199e+002
2.622728e+002, 7.632599e+002
2.627549e+002, 7.638815e+002
2.632371e+002, 7.640410e+002
2.637192e+002, 7.633535e+002
2.642013e+002, 7.617523e+002
2.646834e+002, 7.599279e+002
2.651655e+002, 7.588717e+002
2.656476e+002, 7.587520e+002
2.661298e+002, 7.592207e+002
2.666119e+002, 7.604865e+002
2.670940e+002, 7.622275e+002
2.675761e+002, 7.645151e+002
2.680582e+002, 7.673082e+002
2.685403e+002, 7.696313e+002
2.690225e+002, 7.701816e+002
2.695046e+002, 7.683990e+002
2.699867e+002, 7.672574e+002
2.704688e+002, 7.670659e+002
2.709509e+002, 7.673963e+002
2.714330e+002, 7.679695e+002
2.719152e+002, 7.687333e+002
2.723973e+002, 7.696086e+002
2.728794e+002, 7.704774e+002
2.733615e+002, 7.713527e+002
2.738436e+002, 7.725701e+002
2.743257e+002, 7.744270e+002
2.748079e+002, 7.764255e+002
2.752900e+002, 7.782010e+002
2.757721e+002, 7.797335e+002
2.762542e+002, 7.810526e+002
2.767363e+002, 7.820188e+002
2.772184e+002, 7.827548e+002
2.777006e+002, 7.841377e+002
2.781827e+002, 7.865317e+002
2.786648e+002, 7.892750e+002
2.791469e+002, 7.919963e+002
2.796290e+002, 7.946755e+002
2.801111e+002, 7.972523e+002
2.805933e+002, 7.995450e+002
2.810754e+002, 8.017740e+002
2.815575e+002, 8.046257e+002
2.820396e+002, 8.086962e+002
2.825217e+002, 8.126601e+002
2.830038e+002, 8.154896e+002
2.834860e+002, 8.174061e+002
2.839681e+002, 8.195822e+002
2.844502e+002, 8.225277e+002
2.849323e+002, 8.261078e+002
2.854144e+002, 8.298938e+002
2.858965e+002, 8.338087e+002
2.863787e+002, 8.380754e+002
2.868608e+002, 8.429942e+002
2.873429e+002, 8.483984e+002
2.878250e+002, 8.537858e+002
2.883071e+002, 8.590458e+002
2.887892e+002, 8.641292e+002
2.892714e+002, 8.689066e+002
2.897535e+002, 8.733016e+002
2.902356e+002, 8.778841e+002
2.907177e+002, 8.831865e+002
