##NAMES=Wagnerite
##RRUFFID=R050519
##IDEAL CHEMISTRY=Mg_2_PO_4_F
##LOCALITY=Kjorrestad, near Bamle, Norway
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Pale yellow lamellar fragments, associated with isokite, R070526.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R050519
##MEASURED CHEMISTRY=Mg_2.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_ ; = gray phase, and the light phase is isokite: Ca_1.00_Mg_1.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_
196.0275, 262.0503
196.5096, 264.2444
196.9917, 267.1694
197.4738, 269.6460
197.9560, 270.7299
198.4381, 270.4156
198.9202, 270.8707
199.4023, 272.2456
199.8844, 274.3597
200.3665, 276.9672
200.8487, 280.1634
201.3308, 283.3840
201.8129, 286.2088
202.2950, 288.5695
202.7771, 291.5445
203.2592, 295.4267
203.7414, 299.7079
204.2235, 303.4388
204.7056, 306.6179
205.1877, 309.1186
205.6698, 311.0333
206.1519, 312.5001
206.6341, 312.3533
207.1162, 310.2653
207.5983, 306.8049
208.0804, 302.9703
208.5625, 298.4867
209.0446, 294.5767
209.5268, 291.8629
210.0089, 290.4638
210.4910, 289.7514
210.9731, 289.8684
211.4552, 290.5611
211.9373, 291.2480
212.4195, 291.9254
212.9016, 292.6098
213.3837, 293.3904
213.8658, 294.4322
214.3479, 294.9547
214.8300, 294.8336
215.3121, 294.2542
215.7943, 293.6637
216.2764, 293.1084
216.7585, 292.4450
217.2406, 291.6176
217.7227, 290.6589
218.2048, 289.4154
218.6870, 287.7596
219.1691, 285.8774
219.6512, 284.2155
220.1333, 282.9740
220.6154, 281.5641
221.0975, 279.5320
221.5797, 276.3281
222.0618, 274.2196
222.5439, 273.5833
223.0260, 273.8730
223.5081, 273.8093
223.9902, 273.0719
224.4724, 272.5584
224.9545, 272.7148
225.4366, 273.8613
225.9187, 274.7922
226.4008, 275.5606
226.8829, 276.1021
227.3651, 276.1876
