##NAMES=Euxenite-(Y)
##RRUFFID=R080101
##IDEAL CHEMISTRY=(Y^3+^,Ca,Ce^3+^,U^4+^,Th^4+^)(Nb^5+^,Ta^5+^,Ti^4+^)_2_O_6_
##LOCALITY=Betafo, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Khaki colored fragment from metamict sample R060856, after heating at T = 1000 C for 24 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080101
225.4011, 8405.792
225.8833, 8352.608
226.3654, 8299.079
226.8475, 8245.130
227.3296, 8192.137
227.8117, 8141.744
228.2938, 8091.581
228.7760, 8040.721
229.2581, 7988.712
229.7402, 7936.272
230.2223, 7883.902
230.7044, 7830.756
231.1865, 7780.030
231.6687, 7733.980
232.1508, 7689.061
232.6329, 7643.463
233.1150, 7596.577
233.5971, 7549.003
234.0792, 7500.725
234.5614, 7449.374
235.0435, 7403.721
235.5256, 7367.327
236.0077, 7333.216
236.4898, 7297.505
236.9719, 7259.549
237.4541, 7220.711
237.9362, 7182.771
238.4183, 7146.033
238.9004, 7110.080
239.3825, 7073.355
239.8646, 7038.519
240.3468, 7008.226
240.8289, 6982.282
241.3110, 6958.185
241.7931, 6932.247
242.2752, 6902.875
242.7573, 6876.926
243.2395, 6854.814
243.7216, 6835.204
244.2037, 6817.911
244.6858, 6802.616
245.1679, 6788.219
245.6501, 6773.579
246.1322, 6758.704
246.6143, 6743.460
247.0964, 6725.591
247.5785, 6709.000
248.0606, 6696.702
248.5428, 6688.751
249.0249, 6682.554
249.5070, 6675.584
249.9891, 6667.552
250.4712, 6661.712
250.9533, 6659.536
251.4355, 6658.292
251.9176, 6655.708
252.3997, 6651.896
252.8818, 6649.087
253.3639, 6649.271
253.8460, 6652.669
254.3282, 6656.285
254.8103, 6659.647
255.2924, 6663.587
255.7745, 6668.042
256.2566, 6673.209
256.7387, 6680.575
257.2209, 6691.524
257.7030, 6705.877
258.1851, 6720.565
258.6672, 6735.001
259.1493, 6750.129
259.6314, 6766.012
260.1136, 6782.793
260.5957, 6802.104
261.0778, 6826.510
261.5599, 6853.759
262.0420, 6877.084
262.5241, 6892.987
263.0063, 6908.991
263.4884, 6931.066
263.9705, 6958.597
264.4526, 6986.283
264.9347, 7011.257
265.4168, 7035.112
265.8990, 7060.733
266.3811, 7089.331
266.8632, 7117.752
267.3453, 7143.096
267.8274, 7165.826
268.3095, 7190.053
268.7917, 7217.841
269.2738, 7247.324
269.7559, 7275.152
270.2380, 7300.757
270.7201, 7327.748
271.2022, 7360.640
271.6844, 7398.159
272.1665, 7431.597
272.6486, 7456.595
273.1307, 7478.777
273.6128, 7504.108
274.0949, 7532.732
274.5771, 7561.555
275.0592, 7589.228
275.5413, 7615.742
276.0234, 7640.525
276.5055, 7662.900
276.9876, 7684.274
277.4698, 7705.670
277.9519, 7727.064
278.4340, 7748.640
278.9161, 7771.956
279.3982, 7795.907
279.8803, 7815.663
280.3625, 7828.884
280.8446, 7840.721
281.3267, 7855.128
281.8088, 7870.719
282.2909, 7884.264
282.7730, 7892.498
283.2552, 7897.338
283.7373, 7906.000
284.2194, 7922.062
284.7015, 7934.975
285.1836, 7939.464
285.6658, 7938.229
286.1479, 7934.813
286.6300, 7930.117
287.1121, 7924.894
287.5942, 7920.761
288.0764, 7917.619
288.5585, 7915.920
289.0406, 7915.772
289.5227, 7917.037
290.0048, 7919.857
290.4869, 7924.487
290.9691, 7930.165
291.4512, 7935.347
291.9333, 7939.410
292.4154, 7945.192
292.8975, 7955.270
293.3796, 7966.330
293.8618, 7975.454
294.3439, 7981.925
294.8260, 7988.147
295.3081, 7997.037
295.7902, 8008.737
296.2723, 8022.347
296.7545, 8039.483
297.2366, 8057.250
297.7187, 8073.922
298.2008, 8089.336
298.6829, 8104.502
299.1650, 8120.375
299.6472, 8137.070
300.1293, 8153.172
300.6114, 8167.264
301.0935, 8181.727
301.5756, 8197.747
302.0577, 8215.042
302.5399, 8232.728
303.0220, 8250.124
303.5041, 8267.214
303.9862, 8284.054
304.4683, 8300.042
304.9504, 8316.686
305.4326, 8336.203
305.9147, 8356.701
306.3968, 8374.400
306.8789, 8386.167
307.3610, 8393.966
307.8431, 8405.979
308.3253, 8424.168
308.8074, 8443.991
309.2895, 8465.638
309.7716, 8487.503
310.2537, 8507.145
310.7358, 8523.399
