##NAMES=Diamond
##RRUFFID=R050204
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal, type IIA
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050204
419.4370, 4902.000
420.7810, 5089.000
422.1250, 4954.000
423.4680, 4985.000
424.8110, 5037.000
426.1540, 4987.000
427.4970, 5093.000
428.8400, 5000.000
430.1820, 5083.000
431.5240, 5061.000
432.8660, 5062.000
434.2080, 5056.000
435.5490, 5054.955
436.8900, 5019.000
438.2310, 5067.000
439.5720, 5051.000
440.9130, 5065.000
442.2530, 5011.000
443.5930, 5120.000
444.9330, 5079.000
446.2730, 5130.000
447.6120, 5043.000
448.9510, 5070.000
450.2900, 5157.000
451.6290, 5023.000
452.9680, 5087.000
454.3060, 5175.000
455.6440, 5108.000
456.9820, 5142.000
458.3200, 5034.000
459.6570, 5067.000
460.9950, 5068.000
462.3320, 5023.000
463.6680, 5110.000
465.0050, 5008.000
466.3410, 5063.000
467.6780, 5037.000
469.0140, 5115.000
470.3490, 5156.000
471.6850, 5073.000
473.0200, 5205.000
474.3550, 5088.000
475.6900, 5251.000
477.0250, 5127.000
478.3590, 5114.000
479.6930, 5251.000
481.0270, 5144.000
482.3610, 5193.000
483.6950, 5192.000
485.0280, 5215.000
486.3610, 5232.000
487.6940, 5193.000
489.0270, 5221.000
490.3590, 5113.000
491.6920, 5227.000
493.0240, 5174.000
494.3560, 5168.000
495.6870, 5203.591
497.0190, 5153.000
498.3500, 5207.000
499.6810, 5198.000
501.0120, 5169.000
502.3420, 5290.000
503.6720, 5177.000
505.0020, 5259.000
506.3320, 5205.000
507.6620, 5233.000
508.9920, 5240.000
510.3210, 5244.000
511.6500, 5372.000
512.9790, 5300.000
514.3070, 5358.000
515.6360, 5334.000
516.9640, 5165.000
518.2920, 5357.000
519.6190, 5301.000
520.9470, 5252.000
522.2740, 5370.000
523.6010, 5221.000
524.9280, 5418.000
526.2550, 5335.000
527.5810, 5339.000
528.9070, 5286.000
530.2330, 5353.000
531.5590, 5302.000
532.8850, 5294.000
534.2100, 5340.000
535.5350, 5280.000
536.8600, 5335.000
538.1850, 5381.000
539.5090, 5256.000
540.8340, 5397.000
542.1580, 5294.000
543.4820, 5342.000
544.8050, 5384.000
546.1290, 5305.000
547.4520, 5406.000
548.7750, 5412.000
550.0980, 5330.000
551.4200, 5421.000
552.7420, 5392.000
554.0650, 5410.000
555.3860, 5476.000
556.7080, 5356.000
558.0300, 5419.000
559.3510, 5378.000
560.6720, 5384.000
561.9930, 5391.000
563.3130, 5502.000
564.6340, 5418.000
565.9540, 5442.000
567.2740, 5450.000
568.5940, 5409.000
569.9130, 5497.000
571.2330, 5444.000
572.5520, 5337.000
573.8710, 5480.000
575.1890, 5419.000
576.5080, 5382.000
577.8260, 5450.000
579.1440, 5418.000
580.4620, 5457.000
581.7800, 5411.000
583.0970, 5476.000
584.4140, 5478.000
585.7310, 5417.000
587.0480, 5522.000
588.3650, 5377.000
589.6810, 5483.000
590.9970, 5466.000
592.3130, 5467.000
593.6290, 5574.000
594.9440, 5436.000
596.2600, 5548.000
597.5750, 5522.000
598.8900, 5480.000
600.2040, 5565.000
601.5190, 5547.000
602.8330, 5562.000
604.1470, 5590.000
605.4610, 5583.000
606.7740, 5546.000
608.0880, 5530.000
609.4010, 5539.865
610.7140, 5551.000
612.0260, 5574.000
613.3390, 5575.000
614.6510, 5606.000
615.9630, 5618.000
617.2750, 5643.000
618.5870, 5606.000
619.8980, 5617.000
621.2100, 5557.000
622.5210, 5626.000
623.8320, 5665.000
625.1420, 5603.000
626.4530, 5626.000
627.7630, 5612.000
629.0730, 5665.000
630.3830, 5639.000
631.6920, 5583.000
633.0010, 5776.000
634.3110, 5637.000
635.6190, 5726.000
636.9280, 5650.000
638.2370, 5719.000
639.5450, 5636.000
640.8530, 5728.000
642.1610, 5760.000
643.4690, 5671.000
644.7760, 5706.000
646.0830, 5702.000
647.3900, 5727.000
648.6970, 5766.000
650.0040, 5703.000
651.3100, 5806.000
