##NAMES=Hydrocerussite
##RRUFFID=R070059
##IDEAL CHEMISTRY=Pb^2+^_3_(CO_3_)_2_(OH)_2_
##LOCALITY=Wanlockhead, Scotland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of colorless thin hexagonal plates, likely a pseudomorph after plumbonacrite
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070059
##MEASURED CHEMISTRY=Pb_3_(CO_3_)_2_(OH)_2_ ; Pb confirmed by EPMA, CO_2_ and H_2_O not analyzed but confirmed by Raman spectroscopy
607.2285, 36746.14
607.7106, 36749.46
608.1927, 36769.45
608.6749, 36795.01
609.1570, 36819.89
609.6391, 36843.91
610.1212, 36864.67
610.6033, 36878.55
611.0854, 36891.41
611.5676, 36904.33
612.0497, 36912.42
612.5318, 36937.68
613.0139, 36996.75
613.4960, 37057.22
613.9781, 37076.97
614.4603, 37039.68
614.9424, 37048.10
615.4245, 37135.23
615.9066, 37246.65
616.3887, 37263.74
616.8708, 37195.57
617.3530, 37140.16
617.8351, 37148.64
618.3172, 37191.03
618.7993, 37235.00
619.2814, 37278.01
619.7635, 37304.43
620.2457, 37292.72
620.7278, 37268.75
621.2099, 37245.07
621.6920, 37216.81
622.1741, 37222.98
622.6563, 37298.11
623.1384, 37398.76
623.6205, 37489.36
624.1026, 37601.87
624.5847, 37639.57
625.0668, 37553.08
625.5490, 37420.35
626.0311, 37409.66
626.5132, 37539.16
626.9953, 37651.57
627.4774, 37691.87
627.9595, 37682.31
628.4417, 37677.64
628.9238, 37677.38
629.4059, 37676.80
629.8880, 37653.32
630.3701, 37637.62
630.8522, 37685.56
631.3344, 37804.21
631.8165, 37894.37
632.2986, 37872.27
632.7807, 37814.91
633.2628, 37789.90
633.7449, 37838.30
634.2271, 37871.77
634.7092, 37863.21
635.1913, 37843.87
635.6734, 37862.22
636.1555, 37944.73
636.6376, 37994.27
637.1198, 37978.85
637.6019, 37925.02
638.0840, 37915.43
638.5661, 37950.83
639.0482, 37987.80
639.5303, 37988.63
640.0125, 37978.17
640.4946, 38018.92
640.9767, 38108.09
641.4588, 38191.18
641.9409, 38228.64
642.4230, 38241.47
642.9052, 38245.99
643.3873, 38241.26
643.8694, 38241.29
644.3515, 38247.39
644.8336, 38261.87
645.3157, 38288.70
645.7979, 38346.80
646.2800, 38383.51
646.7621, 38380.63
647.2442, 38362.01
647.7263, 38389.66
648.2084, 38474.59
648.6906, 38536.21
649.1727, 38536.96
649.6548, 38499.89
650.1369, 38481.36
650.6190, 38480.92
651.1011, 38494.71
651.5833, 38533.26
652.0654, 38577.57
652.5475, 38607.09
653.0296, 38620.04
653.5117, 38621.75
653.9938, 38579.70
654.4760, 38548.97
654.9581, 38579.65
655.4402, 38759.15
655.9223, 38854.59
656.4044, 38805.44
656.8865, 38703.90
657.3687, 38664.73
657.8508, 38700.36
658.3329, 38757.06
658.8150, 38837.84
659.2971, 38920.29
659.7792, 38940.37
660.2614, 38904.32
660.7435, 38880.56
661.2256, 38923.39
661.7077, 38985.25
662.1898, 38990.40
662.6719, 38948.43
663.1541, 38917.41
663.6362, 38937.87
664.1183, 38974.86
664.6004, 39005.03
665.0825, 39024.28
665.5646, 39047.10
666.0468, 39087.05
666.5289, 39122.92
667.0110, 39139.59
667.4931, 39128.39
667.9752, 39120.45
668.4573, 39112.22
668.9395, 39115.57
669.4216, 39161.82
669.9037, 39245.25
670.3858, 39294.58
670.8679, 39274.50
671.3500, 39240.57
671.8322, 39291.88
672.3143, 39395.78
672.7964, 39464.66
673.2785, 39405.06
673.7606, 39342.86
674.2427, 39363.82
674.7249, 39457.50
675.2070, 39540.68
675.6891, 39593.06
676.1712, 39630.82
676.6533, 39657.63
677.1354, 39671.20
677.6176, 39698.52
678.0997, 39754.33
678.5818, 39790.09
679.0639, 39745.23
679.5460, 39629.18
680.0281, 39571.09
680.5103, 39586.82
680.9924, 39630.45
681.4745, 39655.71
681.9566, 39672.13
682.4387, 39696.96
682.9208, 39736.79
683.4030, 39783.71
683.8851, 39851.99
684.3672, 39920.98
684.8493, 39954.04
685.3314, 39910.56
685.8135, 39867.68
686.2957, 39836.81
686.7778, 39817.93
687.2599, 39810.74
687.7420, 39816.28
688.2241, 39830.61
688.7062, 39854.52
689.1884, 39886.05
689.6705, 39911.20
690.1526, 39930.17
690.6347, 39957.98
691.1168, 40023.89
691.5989, 40097.23
692.0811, 40129.06
692.5632, 40112.23
693.0453, 40097.86
693.5274, 40128.99
694.0095, 40165.48
694.4916, 40170.87
694.9738, 40103.81
695.4559, 40071.28
695.9380, 40095.42
696.4201, 40141.40
696.9022, 40166.97
697.3843, 40164.21
697.8665, 40182.41
698.3486, 40244.61
698.8307, 40306.32
699.3128, 40260.65
699.7949, 40130.27
700.2770, 40028.19
700.7592, 40003.88
701.2413, 40025.04
701.7234, 40068.18
702.2055, 40130.22
702.6876, 40201.67
703.1697, 40315.63
703.6519, 40401.49
704.1340, 40415.00
704.6161, 40353.48
705.0982, 40308.61
705.5803, 40282.41
706.0624, 40270.77
706.5446, 40273.44
707.0267, 40290.64
707.5088, 40316.95
707.9909, 40354.96
708.4730, 40386.05
708.9551, 40387.38
709.4373, 40369.64
709.9194, 40356.52
710.4015, 40351.27
710.8836, 40351.52
711.3657, 40354.41
711.8478, 40362.27
712.3300, 40378.29
712.8121, 40415.95
713.2942, 40443.34
713.7763, 40448.00
714.2584, 40441.55
714.7405, 40438.16
715.2227, 40436.43
715.7048, 40441.38
716.1869, 40453.67
716.6690, 40473.41
717.1511, 40510.00
717.6332, 40560.55
718.1154, 40587.92
718.5975, 40553.95
719.0796, 40506.44
719.5617, 40517.09
720.0438, 40570.55
720.5259, 40607.89
721.0081, 40563.07
721.4902, 40526.91
721.9723, 40559.96
722.4544, 40667.55
722.9365, 40738.36
723.4186, 40754.77
723.9008, 40750.68
724.3829, 40738.05
