##NAMES=Abelsonite
##RRUFFID=R070007
##IDEAL CHEMISTRY=Ni^2+^C_31_H_32_N_4_
##LOCALITY=Green River Formation, Utah, USA
##OWNER=RRUFF
##SOURCE=Geophysical Laboratory, Carnegie Institution of Washington
##DESCRIPTION=Purple platy crystals embedded in drill core
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070007
##MEASURED CHEMISTRY=(Ni_0.92_Fe^2+^_0.05_Cr_0.02_)C_31_H_32_N_4_ ; C, H and N not measured but estimated by stoichiometry
298.2466, 52092.04
298.7287, 52098.95
299.2108, 52089.79
299.6929, 52102.65
300.1750, 52190.85
300.6572, 52311.40
301.1393, 52385.67
301.6214, 52360.99
302.1035, 52300.87
302.5856, 52293.15
303.0677, 52341.60
303.5499, 52391.03
304.0320, 52420.21
304.5141, 52433.66
304.9962, 52437.14
305.4783, 52424.63
305.9604, 52418.76
306.4426, 52440.57
306.9247, 52482.25
307.4068, 52515.45
307.8889, 52529.70
308.3710, 52537.23
308.8531, 52557.50
309.3353, 52591.29
309.8174, 52619.29
310.2995, 52635.11
310.7816, 52642.74
311.2637, 52642.16
311.7458, 52633.50
312.2280, 52633.13
312.7101, 52661.29
313.1922, 52718.88
313.6743, 52750.01
314.1564, 52727.56
314.6385, 52703.93
315.1207, 52711.75
315.6028, 52744.46
316.0849, 52779.98
316.5670, 52807.81
317.0491, 52825.84
317.5313, 52823.82
318.0134, 52778.33
318.4955, 52743.31
318.9776, 52729.32
319.4597, 52728.70
319.9418, 52732.42
320.4240, 52737.55
320.9061, 52746.27
321.3882, 52758.77
321.8703, 52755.98
322.3524, 52806.54
322.8345, 52979.65
323.3167, 53141.45
323.7988, 53198.70
324.2809, 53161.05
324.7630, 53103.14
325.2451, 53087.28
325.7272, 53113.10
326.2094, 53148.04
326.6915, 53208.81
327.1736, 53259.89
327.6557, 53294.23
328.1378, 53313.22
328.6199, 53315.86
329.1021, 53299.44
329.5842, 53275.95
330.0663, 53269.82
330.5484, 53280.14
331.0305, 53310.97
331.5126, 53377.97
331.9948, 53455.96
332.4769, 53527.12
332.9590, 53588.71
333.4411, 53649.30
333.9232, 53729.54
334.4053, 53824.96
334.8875, 53870.77
335.3696, 53834.11
335.8517, 53783.13
336.3338, 53766.50
336.8159, 53776.51
337.2980, 53788.15
337.7802, 53774.29
338.2623, 53762.93
338.7444, 53804.23
339.2265, 53902.89
339.7086, 54008.43
340.1907, 54096.59
340.6729, 54171.13
341.1550, 54244.24
341.6371, 54328.41
342.1192, 54392.56
342.6013, 54404.94
343.0834, 54383.30
343.5656, 54374.57
344.0477, 54395.96
344.5298, 54428.04
345.0119, 54438.51
345.4940, 54420.13
345.9761, 54411.03
346.4583, 54411.66
346.9404, 54425.58
347.4225, 54469.61
347.9046, 54537.97
348.3867, 54592.92
348.8688, 54604.83
349.3510, 54573.68
349.8331, 54507.98
350.3152, 54372.57
350.7973, 54247.02
351.2794, 54150.73
351.7615, 54079.69
352.2437, 54029.48
352.7258, 53998.37
353.2079, 53979.35
353.6900, 53959.66
354.1721, 53953.37
354.6542, 53917.42
355.1364, 53830.41
355.6185, 53733.33
356.1006, 53639.40
356.5827, 53558.28
357.0648, 53510.89
357.5469, 53542.84
358.0291, 53651.01
358.5112, 53654.53
358.9933, 53462.24
359.4754, 53287.06
359.9575, 53226.70
360.4396, 53234.63
360.9218, 53236.45
361.4039, 53204.66
361.8860, 53147.20
362.3681, 53063.71
362.8502, 52948.50
363.3323, 52866.35
363.8145, 52870.22
364.2966, 52891.58
364.7787, 52841.35
365.2608, 52708.09
365.7430, 52599.44
366.2251, 52593.96
366.7072, 52649.88
367.1893, 52684.89
367.6714, 52687.64
368.1535, 52666.16
368.6357, 52615.73
369.1178, 52540.62
369.5999, 52491.79
370.0820, 52506.05
370.5641, 52516.15
371.0462, 52454.41
371.5284, 52351.45
372.0105, 52304.94
372.4926, 52368.28
372.9747, 52495.56
373.4568, 52571.37
373.9389, 52553.34
374.4211, 52544.99
374.9032, 52576.38
375.3853, 52602.04
375.8674, 52567.64
376.3495, 52475.32
376.8316, 52385.16
377.3138, 52360.37
377.7959, 52406.25
378.2780, 52440.23
378.7601, 52456.66
379.2422, 52466.44
379.7243, 52471.52
380.2065, 52471.74
380.6886, 52470.46
381.1707, 52471.06
381.6528, 52459.54
382.1349, 52397.40
382.6170, 52262.40
383.0992, 52163.83
383.5813, 52142.69
384.0634, 52153.14
384.5455, 52178.66
385.0276, 52214.18
385.5097, 52237.06
385.9919, 52227.20
386.4740, 52193.68
386.9561, 52155.33
387.4382, 52107.11
387.9203, 52077.93
388.4024, 52100.03
388.8846, 52154.17
389.3667, 52194.52
389.8488, 52219.55
390.3309, 52224.77
390.8130, 52194.00
391.2951, 52140.21
391.7773, 52097.63
392.2594, 52076.73
392.7415, 52074.64
393.2236, 52089.13
393.7057, 52127.23
394.1878, 52161.00
394.6700, 52205.37
395.1521, 52232.71
395.6342, 52203.35
396.1163, 52132.73
396.5984, 52086.25
397.0805, 52116.69
397.5627, 52206.36
398.0448, 52232.05
398.5269, 52110.39
399.0090, 52029.29
399.4911, 52037.76
399.9732, 52080.93
400.4554, 52099.93
400.9375, 52081.31
401.4196, 52061.96
401.9017, 52102.92
402.3838, 52215.38
402.8659, 52259.65
403.3481, 52174.43
403.8302, 52086.34
404.3123, 52062.32
404.7944, 52082.82
405.2765, 52104.35
405.7586, 52112.23
406.2408, 52107.18
406.7229, 52096.61
407.2050, 52080.88
407.6871, 52024.61
408.1692, 51883.62
408.6513, 51725.54
409.1335, 51653.61
409.6156, 51677.04
410.0977, 51718.42
410.5798, 51764.07
411.0619, 51807.23
411.5440, 51838.48
412.0262, 51857.00
412.5083, 51871.68
412.9904, 51893.80
413.4725, 51920.71
413.9546, 51906.06
414.4367, 51797.91
414.9189, 51717.42
415.4010, 51709.69
415.8831, 51742.17
416.3652, 51774.80
416.8473, 51793.64
417.3294, 51805.25
417.8116, 51819.25
418.2937, 51837.52
418.7758, 51851.69
419.2579, 51874.57
419.7400, 51880.65
420.2221, 51843.80
420.7043, 51782.88
421.1864, 51739.62
421.6685, 51740.98
422.1506, 51765.58
422.6327, 51769.79
423.1148, 51750.15
423.5970, 51731.16
424.0791, 51722.77
424.5612, 51716.31
425.0433, 51701.55
425.5254, 51677.79
426.0075, 51656.94
426.4897, 51636.98
426.9718, 51626.49
427.4539, 51650.75
427.9360, 51712.14
428.4181, 51759.71
428.9002, 51759.05
429.3824, 51713.83
429.8645, 51652.75
430.3466, 51529.28
430.8287, 51447.73
431.3108, 51469.63
431.7929, 51536.19
432.2751, 51568.14
432.7572, 51545.82
433.2393, 51507.47
433.7214, 51500.07
434.2035, 51528.83
434.6856, 51559.13
435.1678, 51615.45
435.6499, 51647.37
436.1320, 51624.18
436.6141, 51568.85
437.0962, 51516.16
437.5783, 51480.09
438.0605, 51462.09
438.5426, 51467.08
439.0247, 51497.03
439.5068, 51536.32
439.9889, 51604.53
440.4710, 51656.65
440.9532, 51651.04
441.4353, 51595.18
441.9174, 51537.99
442.3995, 51491.28
442.8816, 51459.54
443.3637, 51456.60
443.8459, 51480.16
444.3280, 51500.54
444.8101, 51507.64
445.2922, 51497.29
445.7743, 51451.02
446.2564, 51335.06
446.7386, 51260.79
447.2207, 51270.55
447.7028, 51313.76
448.1849, 51353.29
448.6670, 51379.89
449.1491, 51388.92
449.6313, 51374.08
450.1134, 51337.78
450.5955, 51309.96
451.0776, 51282.58
451.5597, 51276.50
452.0418, 51328.56
452.5240, 51383.92
453.0061, 51375.35
453.4882, 51291.20
453.9703, 51201.87
454.4524, 51194.13
454.9345, 51256.60
455.4167, 51269.26
455.8988, 51203.95
456.3809, 51133.20
456.8630, 51098.68
457.3451, 51091.76
457.8272, 51102.72
458.3094, 51143.31
458.7915, 51180.77
459.2736, 51192.98
459.7557, 51185.09
460.2378, 51165.21
460.7199, 51133.86
461.2021, 51105.31
461.6842, 51095.41
462.1663, 51105.63
462.6484, 51131.35
463.1305, 51209.64
463.6126, 51264.07
464.0948, 51236.39
464.5769, 51165.70
465.0590, 51126.68
465.5411, 51153.35
466.0232, 51206.27
466.5053, 51205.07
466.9875, 51123.44
467.4696, 51082.59
467.9517, 51130.46
468.4338, 51185.09
468.9159, 51214.73
469.3980, 51219.50
469.8802, 51205.22
470.3623, 51166.99
470.8444, 51119.33
471.3265, 51078.40
471.8086, 51044.49
472.2907, 51032.63
472.7729, 51058.80
473.2550, 51094.21
473.7371, 51088.03
474.2192, 51035.92
474.7013, 51004.38
475.1834, 51033.11
475.6656, 51064.96
476.1477, 51046.83
476.6298, 50989.08
477.1119, 50934.95
477.5940, 50907.90
478.0761, 50904.43
478.5583, 50916.83
479.0404, 50964.93
479.5225, 50993.37
480.0046, 51001.37
480.4867, 50990.98
480.9688, 50950.46
481.4510, 50890.05
481.9331, 50841.61
482.4152, 50826.30
482.8973, 50837.54
483.3794, 50867.59
483.8615, 50924.66
484.3437, 50953.11
484.8258, 50918.89
485.3079, 50857.00
485.7900, 50803.92
486.2721, 50757.36
486.7542, 50745.50
487.2364, 50815.92
487.7185, 50903.59
488.2006, 50922.21
488.6827, 50877.97
489.1649, 50853.61
489.6470, 50904.32
490.1291, 51001.54
490.6112, 51050.16
491.0933, 51006.67
491.5754, 50971.14
492.0576, 50952.59
492.5397, 50936.61
493.0218, 50903.75
493.5039, 50861.00
493.9860, 50840.39
494.4681, 50876.84
494.9503, 50945.07
495.4324, 50948.70
495.9145, 50866.83
496.3966, 50790.16
496.8787, 50755.94
497.3608, 50732.38
497.8430, 50678.12
498.3251, 50590.09
498.8072, 50536.91
499.2893, 50591.15
499.7714, 50675.63
500.2535, 50676.25
500.7357, 50596.45
501.2178, 50527.18
501.6999, 50521.01
502.1820, 50556.63
502.6641, 50572.06
503.1462, 50529.64
503.6284, 50525.61
504.1105, 50613.01
504.5926, 50699.03
505.0747, 50707.42
505.5568, 50648.82
506.0389, 50584.78
506.5211, 50557.30
507.0032, 50555.57
507.4853, 50545.70
507.9674, 50522.82
508.4495, 50508.68
508.9316, 50507.12
509.4138, 50518.42
509.8959, 50554.50
510.3780, 50611.52
510.8601, 50644.41
511.3422, 50617.70
511.8243, 50566.64
512.3065, 50530.64
512.7886, 50509.18
513.2707, 50489.07
513.7528, 50463.16
514.2349, 50438.35
514.7170, 50430.05
515.1992, 50456.21
515.6813, 50459.47
516.1634, 50407.02
516.6455, 50362.05
517.1276, 50375.27
517.6097, 50425.76
518.0919, 50462.90
518.5740, 50461.05
519.0561, 50422.01
519.5382, 50329.50
520.0203, 50164.38
520.5024, 50070.99
520.9846, 50123.93
521.4667, 50198.17
521.9488, 50196.89
522.4309, 50135.94
522.9130, 50077.25
523.3951, 50034.39
523.8773, 50006.34
524.3594, 49994.75
524.8415, 49997.47
525.3236, 50010.75
525.8057, 50034.17
526.2878, 50060.36
526.7700, 50081.77
527.2521, 50102.31
527.7342, 50096.42
528.2163, 50034.77
528.6984, 49982.72
529.1805, 49961.96
529.6627, 49965.19
530.1448, 49984.60
530.6269, 50017.10
531.1090, 50051.18
531.5911, 50077.39
532.0732, 50095.05
532.5554, 50086.93
533.0375, 50037.85
533.5196, 49994.97
534.0017, 50001.32
534.4838, 50032.68
534.9659, 50037.49
535.4481, 50001.00
535.9302, 49956.60
536.4123, 49909.46
536.8944, 49868.37
537.3765, 49850.05
537.8586, 49854.79
538.3408, 49862.34
538.8229, 49854.32
539.3050, 49834.55
539.7871, 49834.75
540.2692, 49871.75
540.7513, 49903.76
541.2335, 49927.41
541.7156, 49942.62
542.1977, 49955.18
542.6798, 49962.01
543.1619, 49945.36
543.6440, 49882.24
544.1262, 49791.54
544.6083, 49707.60
545.0904, 49630.23
545.5725, 49569.74
546.0546, 49528.78
546.5367, 49508.20
547.0189, 49509.88
547.5010, 49532.03
547.9831, 49579.61
548.4652, 49695.30
548.9473, 49798.50
549.4294, 49838.98
549.9116, 49825.58
550.3937, 49776.20
550.8758, 49698.84
551.3579, 49615.48
551.8400, 49564.90
552.3221, 49550.57
552.8043, 49551.44
553.2864, 49585.02
553.7685, 49610.09
554.2506, 49598.67
554.7327, 49566.59
555.2148, 49543.27
555.6970, 49536.91
556.1791, 49538.63
556.6612, 49540.74
557.1433, 49546.46
557.6254, 49565.39
558.1075, 49598.71
558.5897, 49634.32
559.0718, 49664.20
559.5539, 49687.24
560.0360, 49692.64
560.5181, 49679.29
561.0002, 49648.18
561.4824, 49579.72
561.9645, 49507.30
562.4466, 49455.30
562.9287, 49427.21
563.4108, 49419.14
563.8929, 49440.24
564.3751, 49471.14
564.8572, 49459.22
565.3393, 49401.48
565.8214, 49347.47
566.3035, 49309.64
566.7856, 49286.53
567.2678, 49286.39
567.7499, 49311.02
568.2320, 49308.23
568.7141, 49226.48
569.1962, 49159.79
569.6783, 49189.64
570.1605, 49268.83
570.6426, 49298.82
571.1247, 49246.48
571.6068, 49172.96
572.0889, 49169.27
572.5710, 49243.66
573.0532, 49281.26
573.5353, 49265.95
574.0174, 49238.63
574.4995, 49203.21
574.9816, 49171.66
575.4637, 49162.58
575.9459, 49182.20
576.4280, 49203.12
576.9101, 49210.38
577.3922, 49209.31
577.8743, 49203.48
578.3564, 49195.07
578.8386, 49197.27
579.3207, 49221.18
579.8028, 49252.57
580.2849, 49250.02
580.7670, 49177.88
581.2491, 49137.59
581.7313, 49145.52
582.2134, 49165.86
582.6955, 49187.93
583.1776, 49206.74
583.6597, 49216.05
584.1418, 49212.69
584.6240, 49200.18
585.1061, 49179.67
585.5882, 49152.86
586.0703, 49127.37
586.5524, 49103.59
587.0345, 49086.42
587.5167, 49081.11
587.9988, 49086.55
588.4809, 49093.22
588.9630, 49119.98
589.4451, 49123.13
589.9272, 49085.40
590.4094, 49027.14
590.8915, 48953.38
591.3736, 48874.76
591.8557, 48819.06
592.3378, 48811.35
592.8199, 48833.93
593.3021, 48837.45
593.7842, 48817.61
594.2663, 48820.85
594.7484, 48887.18
595.2305, 48942.10
595.7126, 48877.34
596.1948, 48716.81
596.6769, 48623.84
597.1590, 48676.81
597.6411, 48743.49
598.1232, 48752.70
598.6053, 48734.20
599.0875, 48736.74
599.5696, 48770.31
600.0517, 48808.71
600.5338, 48828.79
601.0159, 48829.98
601.4980, 48800.21
601.9802, 48711.60
602.4623, 48656.57
602.9444, 48708.21
603.4265, 48772.74
603.9086, 48758.77
604.3907, 48666.89
604.8729, 48591.30
605.3550, 48580.35
605.8371, 48589.41
606.3192, 48578.68
606.8013, 48555.28
607.2834, 48545.21
607.7656, 48557.34
608.2477, 48567.50
608.7298, 48539.29
609.2119, 48467.09
609.6940, 48431.79
610.1761, 48460.92
610.6583, 48490.08
611.1404, 48503.88
611.6225, 48508.32
612.1046, 48513.68
612.5867, 48520.75
613.0688, 48509.14
613.5510, 48434.77
614.0331, 48353.83
614.5152, 48358.74
614.9973, 48435.04
615.4794, 48491.22
615.9615, 48488.25
616.4437, 48454.20
616.9258, 48430.21
617.4079, 48414.54
617.8900, 48416.22
618.3721, 48462.91
618.8542, 48495.18
619.3364, 48493.34
619.8185, 48469.09
620.3006, 48430.32
620.7827, 48379.81
621.2648, 48341.43
621.7469, 48345.17
622.2291, 48369.25
622.7112, 48378.65
623.1933, 48370.59
623.6754, 48321.43
624.1575, 48208.32
624.6396, 48082.97
625.1218, 48042.62
625.6039, 48131.95
626.0860, 48162.20
626.5681, 48070.07
627.0502, 47995.39
627.5323, 48007.68
628.0145, 48062.89
628.4966, 48097.66
628.9787, 48093.96
629.4608, 48079.32
629.9429, 48079.17
630.4250, 48086.33
630.9072, 48081.40
631.3893, 48063.51
631.8714, 48042.58
632.3535, 48023.95
632.8356, 48003.19
633.3177, 47969.64
633.7999, 47910.29
634.2820, 47878.96
634.7641, 47894.09
635.2462, 47915.79
635.7283, 47938.89
636.2104, 47953.37
636.6926, 47940.84
637.1747, 47897.19
637.6568, 47852.83
638.1389, 47844.33
638.6210, 47857.51
639.1031, 47845.92
639.5853, 47806.99
640.0674, 47775.73
640.5495, 47764.84
641.0316, 47775.70
641.5137, 47817.10
641.9958, 47913.73
642.4780, 47957.89
642.9601, 47917.95
643.4422, 47862.28
643.9243, 47787.43
644.4064, 47728.09
644.8885, 47749.64
645.3707, 47863.50
645.8528, 47965.77
646.3349, 47940.70
646.8170, 47833.12
647.2991, 47762.43
647.7813, 47731.73
648.2634, 47728.25
648.7455, 47750.22
649.2276, 47790.92
649.7097, 47845.04
650.1918, 47922.88
650.6740, 47968.02
651.1561, 47962.42
651.6382, 47946.59
652.1203, 47940.45
652.6024, 47929.52
653.0845, 47893.12
653.5667, 47827.74
654.0488, 47750.25
654.5309, 47647.74
655.0130, 47551.65
655.4951, 47557.50
655.9772, 47658.57
656.4594, 47711.32
656.9415, 47656.26
657.4236, 47556.03
657.9057, 47488.19
658.3878, 47455.18
658.8699, 47438.92
659.3521, 47475.56
659.8342, 47482.86
660.3163, 47411.20
660.7984, 47318.05
661.2805, 47258.29
661.7626, 47240.68
662.2448, 47250.01
662.7269, 47312.61
663.2090, 47370.18
663.6911, 47284.95
664.1732, 47092.87
664.6553, 47019.53
665.1375, 47142.49
665.6196, 47296.06
666.1017, 47289.68
666.5838, 47125.78
667.0659, 47062.32
667.5480, 47216.10
668.0302, 47314.52
668.5123, 47278.93
668.9944, 47209.45
669.4765, 47188.70
669.9586, 47211.84
670.4407, 47219.64
670.9229, 47174.70
671.4050, 47113.30
671.8871, 47068.61
672.3692, 47038.90
672.8513, 47017.64
673.3334, 47003.77
673.8156, 47010.11
674.2977, 47050.42
674.7798, 47117.16
675.2620, 47173.24
675.7441, 47225.68
676.2262, 47253.95
676.7083, 47228.38
677.1904, 47203.83
677.6725, 47225.34
678.1547, 47270.52
678.6368, 47279.71
679.1189, 47227.20
679.6010, 47154.41
680.0831, 47060.13
680.5652, 46976.04
681.0474, 46966.88
681.5295, 47024.93
682.0116, 47072.71
682.4937, 47062.51
682.9758, 47020.48
683.4579, 47008.45
683.9401, 47037.90
684.4222, 47041.02
684.9043, 46997.53
685.3864, 46954.12
685.8685, 46941.57
686.3506, 46942.04
686.8328, 46927.14
687.3149, 46889.77
687.7970, 46856.64
688.2791, 46847.70
688.7612, 46837.08
689.2433, 46795.25
689.7255, 46735.10
690.2076, 46687.42
690.6897, 46664.00
691.1718, 46655.41
691.6539, 46653.36
692.1360, 46656.92
692.6182, 46652.59
693.1003, 46635.39
693.5824, 46633.81
694.0645, 46662.80
694.5466, 46708.38
695.0287, 46754.73
695.5109, 46802.64
695.9930, 46840.32
696.4751, 46869.05
696.9572, 46884.75
697.4393, 46862.57
697.9214, 46839.79
698.4036, 46874.21
698.8857, 46963.09
699.3678, 47034.02
699.8499, 47024.23
700.3320, 46976.23
700.8141, 46965.42
701.2963, 46988.27
701.7784, 47021.61
702.2605, 47063.10
702.7426, 47090.65
703.2247, 47077.17
703.7068, 47032.62
704.1890, 47030.89
704.6711, 47131.95
705.1532, 47183.20
705.6353, 47128.38
706.1174, 47067.52
706.5995, 47078.07
707.0817, 47130.50
707.5638, 47140.29
708.0459, 47064.80
708.5280, 46987.76
709.0101, 46968.81
709.4922, 46992.00
709.9744, 47056.77
710.4565, 47146.55
710.9386, 47188.11
711.4207, 47140.66
711.9028, 47037.76
712.3849, 46932.25
712.8671, 46819.07
713.3492, 46738.08
713.8313, 46700.27
714.3134, 46675.71
714.7955, 46653.29
715.2776, 46637.02
715.7598, 46635.43
716.2419, 46650.68
716.7240, 46657.95
717.2061, 46626.63
717.6882, 46611.31
718.1703, 46678.26
718.6525, 46768.41
719.1346, 46780.83
719.6167, 46702.38
720.0988, 46615.36
720.5809, 46597.68
721.0630, 46614.81
721.5452, 46566.73
722.0273, 46455.52
722.5094, 46368.23
722.9915, 46323.43
723.4736, 46315.57
723.9557, 46354.41
724.4379, 46428.07
724.9200, 46448.43
725.4021, 46365.05
725.8842, 46297.50
726.3663, 46287.85
726.8484, 46260.46
727.3306, 46136.55
727.8127, 45964.25
728.2948, 45848.86
728.7769, 45830.21
729.2590, 45858.34
729.7411, 45931.05
730.2233, 46008.04
730.7054, 46025.06
731.1875, 45984.17
731.6696, 45912.14
732.1517, 45819.39
732.6339, 45734.85
733.1160, 45711.31
733.5981, 45753.46
734.0802, 45739.55
734.5623, 45633.46
735.0444, 45560.47
735.5266, 45587.32
736.0087, 45647.17
736.4908, 45662.84
736.9729, 45635.53
737.4550, 45605.29
737.9371, 45569.42
738.4193, 45541.50
738.9014, 45528.63
739.3835, 45525.72
739.8656, 45533.48
740.3477, 45546.75
740.8298, 45547.29
741.3120, 45517.85
741.7941, 45485.70
742.2762, 45507.98
742.7583, 45564.91
743.2404, 45561.12
743.7225, 45482.34
744.2047, 45410.55
744.6868, 45396.55
745.1689, 45425.05
745.6510, 45462.91
746.1331, 45527.40
746.6152, 45551.18
747.0974, 45507.81
747.5795, 45455.39
748.0616, 45407.89
748.5437, 45366.65
749.0258, 45330.48
749.5079, 45298.94
749.9901, 45285.56
750.4722, 45290.00
750.9543, 45319.48
751.4364, 45424.01
751.9185, 45539.74
752.4006, 45538.53
752.8828, 45412.45
753.3649, 45295.48
753.8470, 45303.09
754.3291, 45384.12
754.8112, 45412.31
755.2933, 45390.41
755.7755, 45392.23
756.2576, 45434.11
756.7397, 45488.78
757.2218, 45547.79
757.7039, 45597.59
758.1860, 45587.51
758.6682, 45450.77
759.1503, 45379.16
759.6324, 45443.90
760.1145, 45491.41
760.5966, 45435.63
761.0787, 45330.02
761.5609, 45250.70
762.0430, 45212.23
762.5251, 45201.13
763.0072, 45248.97
763.4893, 45287.52
763.9714, 45248.05
764.4536, 45151.72
764.9357, 45028.57
765.4178, 44895.16
765.8999, 44795.53
766.3820, 44777.39
766.8641, 44813.73
767.3463, 44825.91
767.8284, 44813.56
768.3105, 44789.13
768.7926, 44753.71
769.2747, 44709.41
