##NAMES=Serpierite
##RRUFFID=R060475
##IDEAL CHEMISTRY=Ca(Cu^2+^,Zn^2+^)_4_(S^6+^O_4_)_2_(OH)_6_&#183;3H_2_O
##LOCALITY=Oh mine, Gila County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Divergent sprays of blue bladed crystals associated with ktenasite, R090002
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060475
519.5760, 6345.892
520.0582, 6343.106
520.5403, 6340.453
521.0224, 6336.035
521.5045, 6334.422
521.9866, 6337.467
522.4688, 6345.141
522.9509, 6352.554
523.4330, 6360.603
523.9151, 6366.228
524.3972, 6364.936
524.8793, 6356.432
525.3615, 6354.262
525.8436, 6360.729
526.3257, 6370.523
526.8078, 6375.935
527.2899, 6377.656
527.7720, 6379.048
528.2542, 6382.475
528.7363, 6385.399
529.2184, 6384.236
529.7005, 6379.375
530.1826, 6372.903
530.6647, 6362.783
531.1469, 6353.723
531.6290, 6350.677
532.1111, 6355.776
532.5932, 6360.192
533.0753, 6359.624
533.5574, 6357.106
534.0396, 6355.788
534.5217, 6359.218
535.0038, 6360.489
535.4859, 6357.036
535.9680, 6350.709
536.4501, 6347.280
536.9323, 6347.732
537.4144, 6349.476
537.8965, 6352.048
538.3786, 6355.467
538.8607, 6356.919
539.3428, 6355.779
539.8250, 6354.315
540.3071, 6355.298
540.7892, 6358.251
541.2713, 6358.310
541.7534, 6353.536
542.2355, 6348.862
542.7177, 6353.042
543.1998, 6363.462
543.6819, 6371.712
544.1640, 6373.000
544.6461, 6370.956
545.1282, 6366.948
545.6104, 6361.758
546.0925, 6359.892
546.5746, 6366.792
547.0567, 6375.659
547.5388, 6382.122
548.0209, 6385.193
548.5031, 6387.078
548.9852, 6386.528
549.4673, 6385.813
549.9494, 6387.459
550.4315, 6394.739
550.9136, 6399.051
551.3958, 6397.914
551.8779, 6393.549
552.3600, 6393.229
552.8421, 6398.363
553.3242, 6402.439
553.8063, 6402.458
554.2885, 6398.903
554.7706, 6394.980
555.2527, 6390.548
555.7348, 6387.449
556.2169, 6389.185
556.6990, 6393.487
557.1812, 6393.826
557.6633, 6388.321
558.1454, 6382.312
558.6275, 6381.354
559.1096, 6383.492
559.5917, 6385.218
560.0739, 6384.643
560.5560, 6383.808
561.0381, 6382.483
561.5202, 6381.367
562.0023, 6383.383
562.4844, 6395.765
562.9666, 6405.774
563.4487, 6405.927
563.9308, 6393.080
564.4129, 6385.979
564.8950, 6387.292
565.3771, 6391.319
565.8593, 6393.250
566.3414, 6392.242
566.8235, 6392.964
567.3056, 6396.904
567.7877, 6401.158
568.2698, 6399.282
568.7520, 6391.718
569.2341, 6385.778
569.7162, 6384.828
570.1983, 6386.920
570.6804, 6389.531
571.1625, 6392.446
571.6447, 6393.762
572.1268, 6389.719
572.6089, 6385.055
573.0910, 6384.939
573.5731, 6390.509
574.0552, 6396.418
574.5374, 6399.702
575.0195, 6402.465
575.5016, 6406.655
575.9837, 6415.673
576.4658, 6422.113
576.9479, 6423.398
577.4301, 6421.933
577.9122, 6422.370
578.3943, 6424.600
578.8764, 6428.658
579.3585, 6435.341
579.8406, 6443.896
580.3228, 6449.392
580.8049, 6451.563
581.2870, 6452.264
581.7691, 6452.448
582.2512, 6452.251
582.7333, 6452.295
583.2155, 6452.805
583.6976, 6452.794
584.1797, 6449.557
584.6617, 6445.728
585.1439, 6445.592
585.6260, 6450.875
586.1081, 6459.353
586.5902, 6474.058
587.0723, 6490.625
587.5544, 6500.377
588.0366, 6492.161
588.5187, 6485.663
589.0008, 6488.281
589.4829, 6499.559
589.9650, 6508.433
590.4471, 6513.327
590.9293, 6517.478
591.4114, 6521.892
591.8935, 6526.235
592.3756, 6533.323
592.8577, 6544.257
593.3398, 6554.890
593.8220, 6559.541
594.3041, 6559.292
594.7862, 6563.192
595.2683, 6574.315
595.7504, 6586.583
596.2325, 6590.647
596.7147, 6589.611
597.1968, 6591.342
597.6789, 6600.890
598.1610, 6613.303
598.6431, 6628.086
599.1252, 6643.669
599.6074, 6653.198
600.0895, 6646.881
600.5716, 6640.286
601.0537, 6641.844
601.5358, 6654.533
602.0179, 6663.748
602.5001, 6667.438
602.9822, 6669.482
603.4643, 6672.693
603.9464, 6677.424
604.4285, 6682.178
604.9106, 6687.108
605.3928, 6691.692
605.8749, 6694.181
606.3570, 6694.914
606.8391, 6698.744
607.3212, 6709.386
607.8033, 6720.950
608.2855, 6723.174
608.7676, 6718.120
609.2497, 6713.591
609.7318, 6716.427
610.2139, 6719.532
610.6960, 6716.470
611.1782, 6707.134
611.6603, 6698.417
612.1424, 6693.737
612.6245, 6689.622
613.1066, 6684.170
613.5887, 6677.788
614.0709, 6668.675
614.5530, 6655.197
615.0351, 6640.545
615.5172, 6627.774
615.9993, 6617.008
616.4814, 6607.376
616.9636, 6598.905
617.4457, 6591.315
617.9278, 6583.693
618.4099, 6576.121
618.8920, 6569.837
619.3741, 6566.962
619.8563, 6564.266
620.3384, 6555.698
620.8205, 6542.424
621.3026, 6530.531
621.7847, 6523.812
622.2668, 6519.522
622.7490, 6516.612
623.2311, 6515.206
623.7132, 6512.170
624.1953, 6503.477
624.6774, 6495.249
625.1595, 6492.218
625.6417, 6500.307
626.1238, 6502.008
626.6059, 6494.495
627.0880, 6483.957
627.5701, 6478.764
628.0522, 6479.481
628.5344, 6480.593
629.0165, 6480.879
629.4986, 6481.026
629.9807, 6482.656
630.4628, 6485.453
630.9449, 6487.845
631.4271, 6488.126
631.9092, 6488.067
632.3913, 6489.570
632.8734, 6492.422
633.3555, 6495.610
633.8376, 6498.181
634.3198, 6501.137
634.8019, 6505.578
635.2840, 6512.229
635.7661, 6516.884
636.2482, 6518.214
636.7303, 6518.262
637.2125, 6518.330
637.6946, 6518.474
638.1767, 6518.630
638.6588, 6518.693
639.1409, 6519.131
639.6230, 6521.731
640.1052, 6526.224
640.5873, 6526.875
641.0694, 6520.378
641.5515, 6512.695
642.0336, 6514.478
642.5157, 6522.795
642.9979, 6529.111
643.4800, 6527.379
643.9621, 6523.568
644.4442, 6521.667
644.9263, 6521.384
645.4084, 6520.631
645.8906, 6517.497
646.3727, 6514.860
646.8548, 6514.973
647.3369, 6518.718
647.8190, 6518.497
648.3011, 6513.002
648.7833, 6505.536
649.2654, 6497.837
649.7475, 6489.579
650.2296, 6484.748
650.7117, 6484.201
651.1938, 6484.506
651.6760, 6480.387
652.1581, 6473.507
652.6402, 6469.443
653.1223, 6470.667
653.6044, 6472.860
654.0865, 6472.384
654.5687, 6469.998
655.0508, 6467.208
655.5329, 6465.290
656.0150, 6462.284
656.4971, 6455.093
656.9792, 6445.402
657.4614, 6442.164
657.9435, 6451.560
658.4256, 6459.054
658.9077, 6459.096
659.3898, 6452.064
659.8719, 6448.578
660.3541, 6449.710
660.8362, 6449.295
661.3183, 6439.698
661.8004, 6424.553
662.2825, 6419.430
662.7646, 6425.695
663.2468, 6433.070
663.7289, 6433.093
664.2110, 6428.591
664.6931, 6422.592
665.1752, 6414.314
665.6573, 6408.634
666.1395, 6409.920
666.6216, 6414.177
667.1037, 6416.468
667.5858, 6412.170
668.0679, 6411.141
668.5500, 6415.666
669.0322, 6423.195
669.5143, 6428.463
669.9964, 6431.562
670.4785, 6431.575
670.9606, 6426.346
671.4427, 6419.071
671.9249, 6420.106
672.4070, 6428.421
672.8891, 6436.005
673.3712, 6437.739
673.8533, 6436.354
674.3354, 6434.513
674.8176, 6432.344
675.2997, 6430.046
675.7818, 6426.418
676.2639, 6423.752
676.7460, 6423.823
677.2281, 6427.701
677.7103, 6431.017
678.1924, 6433.754
678.6745, 6435.735
679.1566, 6436.435
679.6387, 6435.168
680.1208, 6436.271
680.6030, 6440.695
681.0851, 6445.505
681.5672, 6445.908
682.0493, 6443.205
682.5314, 6443.641
683.0135, 6449.967
683.4957, 6456.784
683.9778, 6457.873
684.4599, 6455.383
684.9420, 6453.364
685.4241, 6453.463
685.9063, 6454.189
686.3884, 6455.838
686.8705, 6457.843
687.3526, 6458.105
687.8347, 6454.574
688.3168, 6452.406
688.7990, 6453.651
689.2811, 6457.646
689.7632, 6459.412
690.2453, 6458.694
690.7274, 6457.758
691.2095, 6458.160
691.6917, 6459.317
692.1738, 6459.713
692.6559, 6459.267
693.1380, 6457.638
693.6201, 6452.688
694.1022, 6447.430
694.5844, 6444.923
695.0665, 6445.830
695.5486, 6447.222
696.0307, 6447.135
696.5128, 6447.648
696.9949, 6450.709
697.4771, 6459.244
697.9592, 6464.263
698.4413, 6465.501
698.9234, 6463.670
699.4055, 6458.403
699.8876, 6449.688
700.3698, 6444.323
700.8519, 6444.701
701.3340, 6446.060
701.8161, 6439.854
702.2982, 6429.374
702.7803, 6422.869
703.2625, 6426.133
703.7446, 6431.122
704.2267, 6432.225
704.7088, 6431.071
705.1909, 6431.239
705.6730, 6436.286
706.1552, 6439.545
706.6373, 6438.257
707.1194, 6433.603
707.6015, 6431.256
708.0836, 6431.332
708.5657, 6433.071
709.0479, 6436.834
709.5300, 6441.809
710.0121, 6444.949
710.4942, 6446.210
710.9763, 6445.792
711.4584, 6442.354
711.9406, 6438.102
712.4227, 6436.528
712.9048, 6437.707
713.3869, 6437.469
713.8690, 6433.044
714.3511, 6427.223
714.8333, 6421.297
715.3154, 6414.542
715.7975, 6411.938
716.2796, 6417.718
716.7617, 6422.773
717.2438, 6418.465
717.7260, 6403.603
718.2081, 6393.916
718.6902, 6390.894
719.1723, 6391.330
719.6544, 6391.598
720.1365, 6392.412
720.6187, 6396.310
721.1008, 6405.373
721.5829, 6412.813
722.0650, 6410.731
722.5471, 6404.810
723.0292, 6402.667
723.5114, 6411.646
723.9935, 6417.975
724.4756, 6416.623
724.9577, 6412.319
725.4398, 6413.401
725.9219, 6421.665
726.4041, 6429.812
726.8862, 6436.753
727.3683, 6442.054
727.8504, 6443.724
728.3325, 6442.229
728.8146, 6440.752
729.2968, 6441.842
729.7789, 6442.716
730.2610, 6438.880
730.7431, 6431.914
731.2252, 6427.069
731.7073, 6429.854
732.1895, 6432.109
732.6716, 6429.385
733.1537, 6422.055
733.6358, 6417.313
734.1179, 6415.784
734.6000, 6415.998
735.0822, 6418.642
735.5643, 6423.103
736.0464, 6421.509
736.5285, 6413.593
737.0106, 6405.726
737.4927, 6402.339
737.9749, 6402.085
738.4570, 6403.115
738.9391, 6405.287
739.4212, 6407.658
739.9033, 6411.553
740.3854, 6414.048
740.8676, 6412.146
741.3497, 6403.594
741.8318, 6398.390
742.3139, 6399.177
742.7960, 6400.966
743.2781, 6400.396
743.7603, 6397.155
744.2424, 6393.606
744.7245, 6389.648
745.2066, 6386.239
745.6887, 6383.930
746.1708, 6383.021
746.6530, 6385.057
747.1351, 6391.146
747.6172, 6395.929
748.0993, 6393.237
748.5814, 6388.113
749.0635, 6386.292
749.5457, 6391.660
750.0278, 6396.123
750.5099, 6396.330
750.9920, 6396.438
751.4741, 6402.331
751.9562, 6416.325
752.4384, 6425.024
752.9205, 6425.409
753.4026, 6421.894
753.8847, 6420.317
754.3668, 6420.645
754.8489, 6423.567
755.3311, 6431.724
755.8132, 6437.845
756.2953, 6431.653
756.7774, 6419.624
757.2595, 6413.255
757.7416, 6425.093
758.2238, 6432.498
758.7059, 6426.215
759.1880, 6413.307
759.6701, 6409.155
