##NAMES=Enstatite
##RRUFFID=R120174
##IDEAL CHEMISTRY=MgSiO_3_
##LOCALITY=Nuestra Señora del Carmen Mines, La Celia, Jumilla, Murcia, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Transparent, pale greenish-brown bladed crystals associated with R120173 pseudobrookite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120174
2.396914e+002, 7.957316e+001
2.401735e+002, 7.985688e+001
2.406557e+002, 7.979620e+001
2.411378e+002, 7.847915e+001
2.416199e+002, 7.666219e+001
2.421020e+002, 7.500063e+001
2.425841e+002, 7.371289e+001
2.430662e+002, 7.269484e+001
2.435484e+002, 7.176876e+001
2.440305e+002, 7.090934e+001
2.445126e+002, 7.022734e+001
2.449947e+002, 6.995643e+001
2.454768e+002, 6.975914e+001
2.459589e+002, 6.932312e+001
2.464410e+002, 6.853368e+001
2.469232e+002, 6.757641e+001
2.474053e+002, 6.674265e+001
2.478874e+002, 6.604186e+001
2.483695e+002, 6.546107e+001
2.488516e+002, 6.501900e+001
2.493337e+002, 6.466560e+001
2.498159e+002, 6.432928e+001
2.502980e+002, 6.399400e+001
2.507801e+002, 6.377031e+001
2.512622e+002, 6.393230e+001
2.517443e+002, 6.486968e+001
2.522264e+002, 6.528117e+001
2.527086e+002, 6.473902e+001
2.531907e+002, 6.392506e+001
2.536728e+002, 6.330128e+001
2.541549e+002, 6.298951e+001
2.546370e+002, 6.281965e+001
2.551191e+002, 6.252574e+001
2.556013e+002, 6.202119e+001
2.560834e+002, 6.158059e+001
2.565655e+002, 6.111589e+001
2.570476e+002, 6.076667e+001
2.575297e+002, 6.069646e+001
2.580118e+002, 6.089858e+001
2.584940e+002, 6.116027e+001
2.589761e+002, 6.117024e+001
2.594582e+002, 6.073794e+001
2.599403e+002, 6.054313e+001
2.604224e+002, 6.070839e+001
2.609045e+002, 6.096130e+001
2.613867e+002, 6.120023e+001
2.618688e+002, 6.137894e+001
2.623509e+002, 6.143488e+001
2.628330e+002, 6.128141e+001
2.633151e+002, 6.084458e+001
2.637972e+002, 6.045844e+001
2.642794e+002, 6.007517e+001
2.647615e+002, 5.977048e+001
2.652436e+002, 5.961957e+001
2.657257e+002, 5.960376e+001
2.662078e+002, 5.962701e+001
2.666899e+002, 5.959174e+001
2.671721e+002, 5.947776e+001
2.676542e+002, 5.944211e+001
2.681363e+002, 5.958147e+001
2.686184e+002, 5.969542e+001
2.691005e+002, 5.964543e+001
2.695826e+002, 5.946707e+001
2.700648e+002, 5.931496e+001
2.705469e+002, 5.932693e+001
2.710290e+002, 5.951204e+001
2.715111e+002, 5.958300e+001
2.719932e+002, 5.934159e+001
2.724753e+002, 5.920320e+001
2.729575e+002, 5.941875e+001
2.734396e+002, 5.989545e+001
2.739217e+002, 6.037530e+001
2.744038e+002, 6.069733e+001
2.748859e+002, 6.086474e+001
2.753680e+002, 6.089345e+001
2.758501e+002, 6.055257e+001
2.763322e+002, 6.035318e+001
2.768144e+002, 6.058750e+001
2.772965e+002, 6.109625e+001
2.777786e+002, 6.150723e+001
2.782607e+002, 6.160356e+001
2.787428e+002, 6.147120e+001
2.792249e+002, 6.148168e+001
2.797071e+002, 6.164378e+001
2.801892e+002, 6.190220e+001
2.806713e+002, 6.228701e+001
2.811534e+002, 6.275431e+001
2.816355e+002, 6.324892e+001
2.821176e+002, 6.376007e+001
2.825998e+002, 6.424371e+001
2.830819e+002, 6.455479e+001
2.835640e+002, 6.458973e+001
2.840461e+002, 6.467974e+001
2.845282e+002, 6.491580e+001
2.850103e+002, 6.524091e+001
2.854925e+002, 6.557529e+001
2.859746e+002, 6.589424e+001
2.864567e+002, 6.621143e+001
2.869388e+002, 6.655729e+001
2.874209e+002, 6.694156e+001
2.879030e+002, 6.731432e+001
2.883852e+002, 6.763411e+001
2.888673e+002, 6.795000e+001
2.893494e+002, 6.836533e+001
2.898315e+002, 6.891063e+001
2.903136e+002, 6.940649e+001
2.907957e+002, 6.959335e+001
2.912779e+002, 6.941783e+001
2.917600e+002, 6.934155e+001
2.922421e+002, 6.952200e+001
2.927242e+002, 6.975740e+001
2.932063e+002, 6.980476e+001
2.936884e+002, 6.963778e+001
2.941706e+002, 6.950618e+001
2.946527e+002, 6.969409e+001
2.951348e+002, 7.020145e+001
2.956169e+002, 7.047779e+001
2.960990e+002, 7.028085e+001
2.965811e+002, 7.000828e+001
2.970633e+002, 6.998724e+001
2.975454e+002, 7.021493e+001
2.980275e+002, 7.046776e+001
2.985096e+002, 7.058485e+001
2.989917e+002, 7.059158e+001
2.994738e+002, 7.067229e+001
2.999560e+002, 7.097123e+001
3.004381e+002, 7.121183e+001
3.009202e+002, 7.113107e+001
3.014023e+002, 7.081180e+001
3.018844e+002, 7.065834e+001
3.023665e+002, 7.094723e+001
3.028487e+002, 7.149998e+001
3.033308e+002, 7.175731e+001
3.038129e+002, 7.150392e+001
3.042950e+002, 7.133391e+001
3.047771e+002, 7.158310e+001
3.052592e+002, 7.212251e+001
3.057414e+002, 7.262476e+001
3.062235e+002, 7.296993e+001
3.067056e+002, 7.321474e+001
3.071877e+002, 7.343737e+001
3.076698e+002, 7.360068e+001
3.081519e+002, 7.386751e+001
3.086341e+002, 7.439323e+001
3.091162e+002, 7.503554e+001
3.095983e+002, 7.551746e+001
3.100804e+002, 7.574252e+001
3.105625e+002, 7.590479e+001
3.110446e+002, 7.628748e+001
3.115268e+002, 7.689899e+001
3.120089e+002, 7.744058e+001
3.124910e+002, 7.773882e+001
3.129731e+002, 7.798946e+001
3.134552e+002, 7.843337e+001
3.139373e+002, 7.910672e+001
3.144195e+002, 7.989127e+001
3.149016e+002, 8.069666e+001
3.153837e+002, 8.152821e+001
3.158658e+002, 8.240317e+001
3.163479e+002, 8.335819e+001
3.168300e+002, 8.433224e+001
3.173121e+002, 8.520699e+001
3.177943e+002, 8.600365e+001
3.182764e+002, 8.696606e+001
3.187585e+002, 8.830592e+001
3.192406e+002, 8.995190e+001
3.197227e+002, 9.150626e+001
3.202048e+002, 9.287418e+001
3.206870e+002, 9.425573e+001
3.211691e+002, 9.574134e+001
3.216512e+002, 9.732453e+001
3.221333e+002, 9.900173e+001
3.226154e+002, 1.007461e+002
3.230975e+002, 1.026052e+002
3.235797e+002, 1.046730e+002
3.240618e+002, 1.070513e+002
3.245439e+002, 1.093914e+002
3.250260e+002, 1.114571e+002
3.255081e+002, 1.134200e+002
3.259902e+002, 1.156506e+002
3.264724e+002, 1.182950e+002
3.269545e+002, 1.211411e+002
3.274366e+002, 1.238823e+002
3.279187e+002, 1.265042e+002
3.284008e+002, 1.291243e+002
3.288829e+002, 1.318110e+002
3.293651e+002, 1.344753e+002
3.298472e+002, 1.370640e+002
3.303293e+002, 1.395677e+002
3.308114e+002, 1.418509e+002
3.312935e+002, 1.437446e+002
3.317756e+002, 1.452061e+002
3.322578e+002, 1.466697e+002
3.327399e+002, 1.483285e+002
3.332220e+002, 1.498459e+002
3.337041e+002, 1.510879e+002
3.341862e+002, 1.520007e+002
3.346683e+002, 1.524067e+002
