##NAMES=Creaseyite
##RRUFFID=R140557
##IDEAL CHEMISTRY=Cu^2+^_2_Pb^2+^_2_Fe^3+^_2_Si_5_O_17_&#183;6H_2_O
##LOCALITY=Evening Star mine, Tiger Wash, Belmont Mountain, Tonopah, Osborn District, Big Horn Mts, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Radiating aggregate of acicular pale-green crystals, associated with prismatic yellow hedyphane.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140557
2.397215e+002, 1.376923e+004
2.402036e+002, 1.364390e+004
2.406857e+002, 1.350538e+004
2.411678e+002, 1.336276e+004
2.416499e+002, 1.321525e+004
2.421321e+002, 1.306443e+004
2.426142e+002, 1.291041e+004
2.430963e+002, 1.274855e+004
2.435784e+002, 1.259143e+004
2.440605e+002, 1.244431e+004
2.445426e+002, 1.230201e+004
2.450248e+002, 1.218102e+004
2.455069e+002, 1.208376e+004
2.459890e+002, 1.200672e+004
2.464711e+002, 1.194314e+004
2.469532e+002, 1.189054e+004
2.474353e+002, 1.185481e+004
2.479175e+002, 1.183928e+004
2.483996e+002, 1.184647e+004
2.488817e+002, 1.186640e+004
2.493638e+002, 1.190342e+004
2.498459e+002, 1.195099e+004
2.503280e+002, 1.199788e+004
2.508102e+002, 1.204662e+004
2.512923e+002, 1.209108e+004
2.517744e+002, 1.213334e+004
2.522565e+002, 1.217948e+004
2.527386e+002, 1.219705e+004
2.532207e+002, 1.218504e+004
2.537029e+002, 1.214522e+004
2.541850e+002, 1.207960e+004
2.546671e+002, 1.198672e+004
2.551492e+002, 1.186970e+004
2.556313e+002, 1.172811e+004
2.561135e+002, 1.156080e+004
2.565956e+002, 1.137899e+004
2.570777e+002, 1.118226e+004
2.575598e+002, 1.097331e+004
2.580419e+002, 1.075425e+004
2.585240e+002, 1.052256e+004
2.590062e+002, 1.029102e+004
2.594883e+002, 1.005971e+004
2.599704e+002, 9.832018e+003
2.604525e+002, 9.612421e+003
2.609346e+002, 9.401307e+003
2.614167e+002, 9.201116e+003
2.618989e+002, 9.014783e+003
2.623810e+002, 8.843938e+003
2.628631e+002, 8.687343e+003
2.633452e+002, 8.546949e+003
2.638273e+002, 8.421199e+003
2.643094e+002, 8.309389e+003
2.647916e+002, 8.211282e+003
2.652737e+002, 8.124881e+003
2.657558e+002, 8.048356e+003
2.662379e+002, 7.984849e+003
2.667200e+002, 7.923619e+003
