##NAMES=Fredrikssonite
##RRUFFID=R130112
##IDEAL CHEMISTRY=Mg_2_Mn^3+^O_2_(BO_3_)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Opaque reddish black striated prismatic crystals, associated with calcite and granular hausmannite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130112
2.306218e+002, 3.939187e+001
2.311039e+002, 3.924455e+001
2.315861e+002, 3.917598e+001
2.320682e+002, 3.918398e+001
2.325503e+002, 3.930005e+001
2.330324e+002, 3.963470e+001
2.335145e+002, 3.998629e+001
2.339966e+002, 4.007230e+001
2.344788e+002, 3.968808e+001
2.349609e+002, 3.940814e+001
2.354430e+002, 3.942440e+001
2.359251e+002, 3.980145e+001
2.364072e+002, 4.001868e+001
2.368893e+002, 4.003276e+001
2.373715e+002, 3.992329e+001
2.378536e+002, 3.976079e+001
2.383357e+002, 3.941388e+001
2.388178e+002, 3.924380e+001
2.392999e+002, 3.939728e+001
2.397820e+002, 3.993323e+001
2.402642e+002, 4.032572e+001
2.407463e+002, 4.053294e+001
2.412284e+002, 4.063076e+001
2.417105e+002, 4.069751e+001
2.421926e+002, 4.068323e+001
2.426747e+002, 4.072949e+001
2.431569e+002, 4.090346e+001
2.436390e+002, 4.123663e+001
2.441211e+002, 4.142755e+001
2.446032e+002, 4.139738e+001
2.450853e+002, 4.129710e+001
2.455674e+002, 4.131371e+001
2.460496e+002, 4.154404e+001
2.465317e+002, 4.171159e+001
2.470138e+002, 4.173344e+001
2.474959e+002, 4.159193e+001
2.479780e+002, 4.151051e+001
2.484601e+002, 4.147917e+001
2.489423e+002, 4.151726e+001
2.494244e+002, 4.167854e+001
2.499065e+002, 4.211086e+001
2.503886e+002, 4.237281e+001
2.508707e+002, 4.232062e+001
2.513528e+002, 4.193813e+001
2.518350e+002, 4.162396e+001
2.523171e+002, 4.132458e+001
2.527992e+002, 4.115332e+001
2.532813e+002, 4.126834e+001
2.537634e+002, 4.184089e+001
2.542455e+002, 4.231902e+001
2.547277e+002, 4.254939e+001
2.552098e+002, 4.252618e+001
2.556919e+002, 4.265455e+001
2.561740e+002, 4.301754e+001
2.566561e+002, 4.342622e+001
2.571382e+002, 4.368702e+001
2.576204e+002, 4.373576e+001
2.581025e+002, 4.379607e+001
2.585846e+002, 4.391088e+001
2.590667e+002, 4.407769e+001
2.595488e+002, 4.423523e+001
2.600309e+002, 4.436658e+001
2.605131e+002, 4.450930e+001
2.609952e+002, 4.470365e+001
2.614773e+002, 4.498267e+001
2.619594e+002, 4.522023e+001
2.624415e+002, 4.535934e+001
2.629236e+002, 4.542235e+001
2.634058e+002, 4.564527e+001
2.638879e+002, 4.611603e+001
2.643700e+002, 4.660258e+001
2.648521e+002, 4.690198e+001
2.653342e+002, 4.692441e+001
2.658163e+002, 4.706470e+001
2.662985e+002, 4.742867e+001
