##NAMES=Osmium
##RRUFFID=R080088
##IDEAL CHEMISTRY=Os
##LOCALITY=Goodnews Bay, Bethel Borough, Alaska, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Navy blue, fine powder
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080088
249.2113, 10.51605
249.6935, 10.36879
250.1756, 10.29577
250.6577, 10.40766
251.1398, 11.07707
251.6219, 11.36947
252.1040, 10.99212
252.5862, 10.41110
253.0683, 10.04049
253.5504, 10.00025
254.0325, 10.12237
254.5146, 10.12778
254.9967, 9.856836
255.4789, 9.778602
255.9610, 10.08776
256.4431, 10.47551
256.9252, 10.64939
257.4073, 10.54781
257.8894, 10.35141
258.3716, 10.30552
258.8537, 10.49610
259.3358, 10.62280
259.8179, 10.64262
260.3000, 10.62501
260.7821, 10.61464
261.2643, 10.62268
261.7464, 10.67090
262.2285, 10.81059
262.7106, 11.08658
263.1927, 11.18061
263.6748, 10.96809
264.1570, 10.64741
264.6391, 10.30498
265.1212, 9.967474
265.6033, 9.807848
266.0854, 10.09205
266.5675, 10.83521
267.0497, 11.17521
267.5318, 10.74134
268.0139, 10.14103
268.4960, 9.830562
268.9781, 9.836041
269.4602, 9.990268
269.9424, 10.23019
270.4245, 10.52444
270.9066, 10.68561
271.3887, 10.63902
271.8708, 10.51124
272.3529, 10.37005
272.8351, 10.22055
273.3172, 10.09930
273.7993, 10.02636
274.2814, 10.00375
274.7635, 10.01079
275.2456, 10.01318
275.7278, 10.08310
276.2099, 10.36106
276.6920, 10.80874
277.1741, 11.09519
277.6562, 10.98952
278.1383, 10.66401
278.6205, 10.50368
279.1026, 10.56361
279.5847, 10.66571
280.0668, 10.71936
280.5489, 10.72309
281.0310, 10.65233
281.5132, 10.44021
281.9953, 10.21007
282.4774, 10.14439
282.9595, 10.26843
283.4416, 10.40253
283.9237, 10.45566
284.4059, 10.43392
284.8880, 10.34315
285.3701, 10.12017
285.8522, 9.920896
286.3343, 9.932305
286.8164, 10.14291
287.2986, 10.34118
287.7807, 10.40382
288.2628, 10.36438
288.7449, 10.32779
289.2270, 10.30233
289.7091, 10.29294
290.1913, 10.31604
290.6734, 10.36099
291.1555, 10.38828
291.6376, 10.34453
292.1197, 10.27304
292.6018, 10.28784
293.0840, 10.42456
293.5661, 10.57573
294.0482, 10.74743
294.5303, 10.88115
295.0124, 10.84147
295.4945, 10.46930
295.9767, 9.949159
296.4588, 9.598853
296.9409, 9.430789
297.4230, 9.392401
297.9051, 9.570436
298.3872, 9.827913
298.8694, 10.00613
299.3515, 10.05227
299.8336, 10.01600
300.3157, 9.927346
300.7978, 9.763433
301.2799, 9.685484
301.7621, 9.871358
302.2442, 10.11289
302.7263, 10.21636
303.2084, 10.13370
303.6905, 9.992825
304.1726, 9.923545
304.6548, 9.929487
305.1369, 9.919404
305.6190, 9.807138
306.1011, 9.728236
306.5832, 9.821470
307.0653, 10.08861
307.5475, 10.34768
308.0296, 10.45002
308.5117, 10.40571
