##NAMES=Omphacite
##RRUFFID=R061129
##IDEAL CHEMISTRY=(Ca,Na)(Mg,Fe^2+^,Al)Si_2_O_6_
##LOCALITY=near Occidental, Sonoma County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Green granular massive associated with brown grossular and clinochlore
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061129
##MEASURED CHEMISTRY=(Ca_0.51_Na_0.48_)_Σ=0.99_(Mg_0.44_Al_0.44_Fe^2+^_0.14_Fe^3+^_0.02_)_Σ=1.04_Si_2.00_O_6_ ; (darker phase) : (Mg_2.52_Al_0.32_Fe^2+^_2.13_Mn_0.03_)_Σ=5_Al_0.94_(Si_3.00_Al_1.17_)O_10_(OH)_8_ ( lighter, secondary phase = clinochlore)
277.9979, 3062.166
278.4800, 3082.366
278.9621, 3105.922
279.4442, 3112.849
279.9263, 3095.358
280.4084, 3070.064
280.8906, 3055.932
281.3727, 3053.505
281.8548, 3055.796
282.3369, 3068.297
282.8190, 3079.040
283.3011, 3074.580
283.7833, 3053.513
284.2654, 3034.747
284.7475, 3032.093
285.2296, 3043.436
285.7117, 3060.392
286.1938, 3087.055
286.6760, 3110.170
287.1581, 3112.935
287.6402, 3099.806
288.1223, 3094.012
288.6044, 3113.135
289.0865, 3142.742
289.5687, 3156.952
290.0508, 3151.841
290.5329, 3145.243
291.0150, 3150.883
291.4971, 3165.664
291.9792, 3179.469
292.4614, 3194.474
292.9435, 3205.416
293.4256, 3203.450
293.9077, 3190.752
294.3898, 3184.776
294.8719, 3197.166
295.3541, 3220.512
295.8362, 3232.660
296.3183, 3225.948
296.8004, 3221.927
297.2825, 3233.379
297.7646, 3252.847
298.2468, 3265.252
298.7289, 3264.922
299.2110, 3258.595
299.6931, 3257.307
300.1752, 3262.639
300.6573, 3268.336
301.1395, 3274.905
301.6216, 3280.976
302.1037, 3283.323
302.5858, 3282.219
303.0679, 3283.567
303.5500, 3293.079
304.0322, 3311.478
304.5143, 3335.631
304.9964, 3377.354
305.4785, 3412.942
305.9606, 3429.503
306.4427, 3430.256
306.9248, 3423.530
307.4070, 3413.698
307.8891, 3402.428
308.3712, 3400.688
308.8533, 3415.489
309.3354, 3432.504
309.8175, 3451.464
310.2997, 3471.243
310.7818, 3491.614
311.2639, 3512.329
311.7460, 3531.742
312.2281, 3545.980
312.7102, 3549.816
313.1924, 3559.834
313.6745, 3578.520
314.1566, 3601.288
314.6387, 3626.175
315.1208, 3652.461
315.6029, 3679.361
316.0851, 3705.557
316.5672, 3730.671
317.0493, 3759.296
317.5314, 3791.542
318.0135, 3827.656
318.4956, 3870.373
318.9778, 3916.506
319.4599, 3960.054
319.9420, 3996.600
320.4241, 4028.747
320.9062, 4063.047
321.3883, 4101.075
321.8705, 4137.154
322.3526, 4164.139
322.8347, 4190.455
323.3168, 4224.288
323.7989, 4267.450
324.2810, 4318.312
324.7632, 4378.125
325.2453, 4446.339
325.7274, 4511.763
326.2095, 4572.812
326.6916, 4628.294
327.1737, 4674.108
327.6559, 4710.542
328.1380, 4753.517
328.6201, 4813.045
329.1022, 4882.617
329.5843, 4954.997
330.0664, 5031.052
330.5486, 5096.447
331.0307, 5132.693
331.5128, 5144.522
331.9949, 5169.546
332.4770, 5225.300
332.9591, 5281.982
333.4413, 5320.871
333.9234, 5343.674
334.4055, 5360.505
334.8876, 5378.325
335.3697, 5391.250
335.8518, 5378.308
336.3340, 5317.396
336.8161, 5267.715
337.2982, 5250.601
337.7803, 5244.717
338.2624, 5226.094
338.7445, 5188.454
339.2267, 5139.517
339.7088, 5088.610
340.1909, 5034.770
340.6730, 4982.409
341.1551, 4928.720
341.6372, 4878.518
342.1194, 4836.478
342.6015, 4800.090
343.0836, 4762.566
343.5657, 4718.575
344.0478, 4669.257
344.5299, 4622.292
345.0121, 4572.446
345.4942, 4533.287
345.9763, 4514.177
346.4584, 4503.368
346.9405, 4488.521
347.4226, 4465.276
347.9048, 4437.792
348.3869, 4411.385
348.8690, 4385.710
349.3511, 4363.131
349.8332, 4345.755
350.3153, 4330.340
350.7975, 4314.458
351.2796, 4298.413
351.7617, 4284.840
352.2438, 4280.603
352.7259, 4280.626
353.2080, 4264.470
353.6902, 4225.073
354.1723, 4187.919
354.6544, 4172.151
355.1365, 4169.139
355.6186, 4165.864
356.1007, 4156.884
356.5829, 4150.368
357.0650, 4155.763
357.5471, 4171.119
358.0292, 4185.723
358.5113, 4196.373
358.9934, 4203.142
359.4756, 4204.463
359.9577, 4198.346
360.4398, 4196.606
360.9219, 4199.712
361.4040, 4210.034
361.8861, 4234.447
362.3683, 4272.930
362.8504, 4310.607
363.3325, 4332.232
363.8146, 4336.421
364.2967, 4353.762
364.7788, 4392.405
365.2610, 4433.570
365.7431, 4467.702
366.2252, 4499.302
366.7073, 4537.555
367.1894, 4586.778
367.6715, 4643.926
368.1537, 4700.512
368.6358, 4759.231
369.1179, 4812.847
369.6000, 4854.205
370.0821, 4895.973
370.5642, 4950.430
371.0464, 5016.558
371.5285, 5080.253
372.0106, 5127.381
372.4927, 5158.099
372.9748, 5185.624
373.4569, 5204.958
373.9391, 5227.837
374.4212, 5262.792
374.9033, 5302.947
375.3854, 5338.742
375.8675, 5367.628
376.3496, 5387.465
376.8318, 5391.191
377.3139, 5377.629
377.7960, 5368.474
378.2781, 5375.080
378.7602, 5384.713
379.2423, 5383.681
379.7245, 5371.585
380.2066, 5352.936
380.6887, 5325.215
381.1708, 5293.709
381.6529, 5268.860
382.1350, 5252.564
382.6172, 5234.070
383.0993, 5203.559
383.5814, 5161.891
384.0635, 5124.984
384.5456, 5105.777
385.0277, 5078.148
385.5099, 5022.819
385.9920, 4950.747
386.4741, 4885.548
386.9562, 4836.831
387.4383, 4797.620
387.9204, 4754.088
388.4026, 4698.131
388.8847, 4653.090
389.3668, 4629.220
389.8489, 4607.097
390.3310, 4571.399
390.8131, 4523.911
391.2953, 4478.437
391.7774, 4445.736
392.2595, 4425.149
392.7416, 4409.693
393.2237, 4405.168
393.7058, 4397.094
394.1880, 4382.050
394.6701, 4361.945
395.1522, 4336.541
395.6343, 4305.334
396.1164, 4276.542
396.5985, 4263.156
397.0807, 4265.104
397.5628, 4260.714
398.0449, 4239.360
398.5270, 4220.522
399.0091, 4225.422
399.4912, 4248.215
399.9734, 4261.004
400.4555, 4244.867
400.9376, 4218.200
401.4197, 4202.217
401.9018, 4197.043
402.3839, 4195.550
402.8660, 4192.786
403.3481, 4192.187
403.8303, 4204.811
404.3124, 4240.106
404.7945, 4268.884
405.2766, 4279.564
405.7587, 4281.695
406.2408, 4287.721
406.7230, 4299.559
407.2051, 4308.768
407.6872, 4305.530
408.1693, 4288.028
408.6514, 4275.258
409.1335, 4270.835
409.6157, 4266.766
410.0978, 4258.675
410.5799, 4249.786
411.0620, 4248.956
411.5441, 4260.755
412.0262, 4271.553
412.5084, 4251.716
412.9905, 4190.427
413.4726, 4135.997
413.9547, 4101.246
414.4368, 4070.282
414.9189, 4037.458
415.4011, 4001.495
415.8832, 3959.683
416.3653, 3906.725
416.8474, 3847.746
417.3295, 3794.791
417.8116, 3748.793
418.2938, 3702.670
418.7759, 3652.052
419.2580, 3599.287
419.7401, 3549.255
420.2222, 3502.548
420.7043, 3456.938
421.1865, 3411.527
421.6686, 3366.447
422.1507, 3321.084
422.6328, 3275.294
423.1149, 3231.759
423.5970, 3192.557
424.0792, 3157.456
424.5613, 3131.676
425.0434, 3125.848
425.5255, 3116.732
426.0076, 3094.506
426.4897, 3062.826
426.9719, 3026.061
427.4540, 2986.266
427.9361, 2948.747
428.4182, 2925.562
428.9003, 2923.936
429.3824, 2917.850
429.8646, 2906.511
430.3467, 2889.942
430.8288, 2862.577
431.3109, 2828.900
431.7930, 2802.483
432.2751, 2794.325
432.7573, 2797.740
433.2394, 2796.552
433.7215, 2789.725
434.2036, 2783.674
434.6857, 2782.069
435.1678, 2781.989
435.6500, 2780.478
436.1321, 2778.224
436.6142, 2770.681
437.0963, 2749.485
437.5784, 2723.819
438.0605, 2707.670
438.5427, 2703.066
439.0248, 2706.886
439.5069, 2719.907
439.9890, 2740.895
440.4711, 2745.176
440.9532, 2716.288
441.4354, 2692.899
441.9175, 2691.692
442.3996, 2700.026
442.8817, 2699.635
443.3638, 2685.305
443.8459, 2666.956
444.3281, 2657.977
444.8102, 2659.056
445.2923, 2666.107
445.7744, 2689.386
446.2565, 2708.377
446.7386, 2712.868
447.2208, 2708.225
447.7029, 2704.725
448.1850, 2707.254
448.6671, 2712.293
449.1492, 2716.036
449.6313, 2718.557
450.1135, 2715.325
450.5956, 2702.312
451.0777, 2686.636
451.5598, 2674.134
452.0419, 2664.768
452.5240, 2662.364
453.0062, 2674.849
453.4883, 2689.971
453.9704, 2695.591
454.4525, 2692.399
454.9346, 2686.667
455.4167, 2680.791
455.8989, 2676.552
456.3810, 2678.949
456.8631, 2693.219
457.3452, 2707.134
457.8273, 2725.188
458.3094, 2739.420
458.7916, 2740.146
459.2737, 2729.807
459.7558, 2721.757
460.2379, 2728.626
460.7200, 2746.297
461.2021, 2748.069
461.6843, 2720.799
462.1664, 2703.989
462.6485, 2716.722
463.1306, 2740.021
463.6127, 2759.660
464.0948, 2773.278
464.5770, 2778.110
465.0591, 2763.870
465.5412, 2739.932
466.0233, 2734.383
466.5054, 2752.509
466.9875, 2770.370
467.4697, 2770.040
467.9518, 2755.351
468.4339, 2746.638
468.9160, 2749.084
469.3981, 2750.858
469.8802, 2747.418
470.3624, 2741.137
470.8445, 2734.960
471.3266, 2729.637
471.8087, 2724.969
472.2908, 2721.038
472.7729, 2718.188
473.2551, 2712.140
473.7372, 2695.144
474.2193, 2683.473
474.7014, 2685.466
475.1835, 2693.047
475.6656, 2694.849
476.1478, 2686.911
476.6299, 2677.528
477.1120, 2676.924
477.5941, 2684.680
478.0762, 2693.164
478.5583, 2702.235
479.0405, 2710.648
479.5226, 2719.931
480.0047, 2728.040
480.4868, 2728.288
480.9689, 2713.155
481.4510, 2696.662
481.9332, 2686.084
482.4153, 2681.190
482.8974, 2682.933
483.3795, 2691.923
483.8616, 2702.302
484.3438, 2705.933
484.8259, 2700.456
485.3080, 2699.843
485.7901, 2707.881
486.2722, 2715.965
486.7543, 2719.974
487.2365, 2722.021
487.7186, 2727.099
488.2007, 2737.437
488.6828, 2747.152
489.1649, 2744.264
489.6470, 2726.539
490.1292, 2717.684
490.6113, 2722.759
491.0934, 2734.211
491.5755, 2754.938
492.0576, 2778.108
492.5397, 2784.073
493.0219, 2752.572
493.5040, 2717.706
493.9861, 2711.707
494.4682, 2728.178
494.9503, 2746.944
495.4324, 2762.610
495.9146, 2774.583
496.3967, 2782.199
496.8788, 2785.429
497.3609, 2783.013
497.8430, 2766.291
498.3251, 2753.244
498.8073, 2751.965
499.2894, 2760.012
499.7715, 2775.349
500.2536, 2797.036
500.7357, 2816.666
501.2178, 2816.077
501.6999, 2789.878
502.1820, 2778.364
502.6642, 2795.686
503.1463, 2814.595
503.6284, 2816.711
504.1105, 2809.208
504.5926, 2809.079
505.0747, 2825.734
505.5569, 2845.774
506.0390, 2857.293
506.5211, 2861.724
507.0032, 2862.680
507.4853, 2860.331
507.9674, 2859.161
508.4496, 2864.431
508.9317, 2876.937
509.4138, 2890.731
509.8959, 2915.476
510.3780, 2931.003
510.8601, 2920.099
511.3423, 2897.860
511.8244, 2887.925
512.3065, 2898.364
512.7886, 2917.510
513.2708, 2931.374
513.7529, 2940.505
514.2350, 2938.558
514.7171, 2914.376
515.1992, 2894.877
515.6813, 2896.932
516.1635, 2910.804
516.6456, 2920.878
517.1277, 2923.389
517.6098, 2921.098
518.0919, 2913.091
518.5740, 2902.202
519.0562, 2894.909
519.5383, 2892.460
520.0204, 2894.384
520.5025, 2901.580
520.9846, 2913.786
521.4667, 2920.046
521.9489, 2911.446
522.4310, 2908.710
522.9131, 2925.171
523.3952, 2945.250
523.8773, 2948.712
524.3594, 2933.213
524.8416, 2916.903
525.3237, 2918.790
525.8058, 2937.209
526.2879, 2956.095
526.7700, 2977.601
527.2521, 2994.820
527.7343, 2999.787
528.2164, 3001.252
528.6985, 3010.108
529.1806, 3028.863
529.6627, 3046.685
530.1448, 3055.417
530.6270, 3061.286
531.1091, 3071.124
531.5912, 3086.075
532.0733, 3109.859
532.5554, 3146.909
533.0375, 3191.649
533.5197, 3223.185
534.0018, 3228.289
534.4839, 3239.068
534.9660, 3261.985
535.4481, 3285.983
535.9302, 3304.076
536.4124, 3316.112
536.8945, 3324.632
537.3766, 3329.952
537.8587, 3334.568
538.3408, 3344.349
538.8229, 3359.659
539.3051, 3375.470
539.7872, 3389.653
540.2693, 3404.559
540.7514, 3425.405
541.2335, 3451.612
541.7156, 3470.213
542.1978, 3471.933
542.6799, 3471.128
543.1620, 3472.403
543.6441, 3479.357
544.1262, 3501.684
544.6083, 3543.165
545.0905, 3591.308
545.5726, 3627.670
546.0547, 3651.229
546.5368, 3667.787
547.0189, 3673.433
547.5010, 3676.182
547.9832, 3673.339
548.4653, 3671.055
548.9474, 3679.634
549.4295, 3703.604
549.9116, 3729.612
550.3937, 3748.711
550.8759, 3760.309
551.3579, 3757.584
551.8400, 3737.704
552.3221, 3725.413
552.8043, 3741.276
553.2864, 3779.642
553.7685, 3809.573
554.2506, 3829.325
554.7327, 3844.280
555.2148, 3857.058
555.6970, 3864.017
556.1791, 3858.518
556.6612, 3842.832
557.1433, 3827.609
557.6254, 3820.531
558.1075, 3820.043
558.5897, 3822.080
559.0718, 3828.031
559.5539, 3830.494
560.0360, 3825.922
560.5181, 3818.555
561.0002, 3812.976
561.4824, 3808.841
561.9645, 3802.294
562.4466, 3798.176
562.9287, 3785.905
563.4108, 3748.491
563.8929, 3696.080
564.3751, 3656.039
564.8572, 3638.235
565.3393, 3631.307
565.8214, 3619.557
566.3035, 3601.377
566.7856, 3587.983
567.2678, 3592.931
567.7499, 3587.112
568.2320, 3553.989
568.7141, 3509.531
569.1962, 3474.665
569.6783, 3455.232
570.1605, 3437.822
570.6426, 3407.753
571.1247, 3371.554
571.6068, 3347.542
572.0889, 3337.359
572.5710, 3331.488
573.0532, 3324.968
573.5353, 3318.393
574.0174, 3313.644
574.4995, 3313.943
574.9816, 3309.960
575.4637, 3297.308
575.9459, 3283.278
576.4280, 3273.240
576.9101, 3266.285
577.3922, 3258.512
577.8743, 3247.593
578.3564, 3235.530
578.8386, 3224.652
579.3207, 3214.571
579.8028, 3213.563
580.2849, 3230.486
580.7670, 3244.448
581.2491, 3231.624
581.7313, 3201.548
582.2134, 3183.189
582.6955, 3189.259
583.1776, 3196.172
583.6597, 3191.667
584.1418, 3182.077
584.6240, 3175.973
585.1061, 3174.778
585.5882, 3175.474
586.0703, 3175.942
586.5524, 3175.721
587.0345, 3171.245
587.5167, 3159.373
587.9988, 3150.009
588.4809, 3148.209
588.9630, 3147.420
589.4451, 3141.834
589.9272, 3132.210
590.4094, 3125.349
590.8915, 3130.577
591.3736, 3135.129
591.8557, 3119.158
592.3378, 3090.782
592.8199, 3079.548
593.3021, 3095.811
593.7842, 3119.658
594.2663, 3127.123
594.7484, 3117.174
595.2305, 3100.781
595.7126, 3062.955
596.1948, 3036.385
596.6769, 3035.796
597.1590, 3045.612
597.6411, 3049.856
598.1232, 3045.454
598.6053, 3038.668
599.0875, 3032.574
599.5696, 3027.996
600.0517, 3029.544
600.5338, 3036.910
601.0159, 3036.313
601.4980, 3020.290
601.9802, 2996.385
602.4623, 2977.128
602.9444, 2964.554
603.4265, 2950.275
603.9086, 2927.472
604.3907, 2910.239
604.8729, 2912.717
605.3550, 2922.257
605.8371, 2917.767
606.3192, 2892.409
606.8013, 2861.102
607.2834, 2841.013
607.7656, 2829.740
608.2477, 2814.052
608.7298, 2792.577
609.2119, 2770.694
609.6940, 2750.522
610.1761, 2732.237
610.6583, 2717.167
611.1404, 2707.692
611.6225, 2693.385
612.1046, 2663.221
612.5867, 2636.278
613.0688, 2628.898
613.5510, 2634.782
614.0331, 2639.231
614.5152, 2635.684
614.9973, 2625.441
615.4794, 2606.279
615.9615, 2577.981
616.4437, 2565.350
616.9258, 2577.555
617.4079, 2586.948
617.8900, 2574.203
618.3721, 2548.888
618.8542, 2530.800
619.3364, 2521.063
619.8185, 2517.310
620.3006, 2526.728
620.7827, 2535.873
621.2648, 2533.536
621.7469, 2519.723
622.2291, 2495.331
622.7112, 2459.839
623.1933, 2424.963
623.6754, 2415.470
624.1575, 2435.232
624.6396, 2451.075
625.1218, 2462.671
625.6039, 2467.193
626.0860, 2459.068
626.5681, 2443.626
627.0502, 2428.690
627.5323, 2411.671
628.0145, 2404.134
628.4966, 2418.943
628.9787, 2440.160
629.4608, 2451.476
629.9429, 2452.392
630.4250, 2449.339
630.9072, 2445.959
631.3893, 2440.973
631.8714, 2429.656
632.3535, 2408.823
632.8356, 2398.249
633.3177, 2406.674
633.7999, 2415.296
634.2820, 2408.246
634.7641, 2395.360
635.2462, 2396.613
635.7283, 2421.807
636.2104, 2443.066
636.6926, 2440.745
637.1747, 2431.111
637.6568, 2435.034
638.1389, 2451.442
638.6210, 2465.176
639.1031, 2467.197
639.5853, 2463.519
640.0674, 2469.394
640.5495, 2489.222
641.0316, 2498.447
641.5137, 2486.638
641.9958, 2476.054
642.4780, 2480.173
642.9601, 2492.907
643.4422, 2503.038
643.9243, 2506.334
644.4064, 2514.288
644.8885, 2540.679
645.3707, 2569.559
645.8528, 2579.427
646.3349, 2572.817
646.8170, 2567.607
647.2991, 2573.682
647.7813, 2586.177
648.2634, 2594.162
648.7455, 2595.092
649.2276, 2605.104
649.7097, 2633.495
650.1918, 2658.331
650.6740, 2663.518
651.1561, 2659.656
651.6382, 2663.744
652.1203, 2680.459
652.6024, 2696.042
653.0845, 2701.568
653.5667, 2705.219
654.0488, 2714.634
654.5309, 2729.940
655.0130, 2749.110
655.4951, 2771.221
655.9772, 2795.353
656.4594, 2821.419
656.9415, 2850.464
657.4236, 2871.341
657.9057, 2875.360
658.3878, 2886.862
658.8699, 2926.020
659.3521, 2976.226
659.8342, 3012.064
660.3163, 3026.621
660.7984, 3054.476
661.2805, 3117.834
661.7626, 3190.136
662.2448, 3251.209
662.7269, 3302.801
663.2090, 3347.710
663.6911, 3387.655
664.1732, 3437.151
664.6553, 3520.755
665.1375, 3637.792
665.6196, 3738.861
666.1017, 3814.890
666.5838, 3900.501
667.0659, 4007.725
667.5480, 4133.700
668.0302, 4275.393
668.5123, 4433.514
668.9944, 4595.823
669.4765, 4760.708
669.9586, 4926.783
670.4407, 5087.841
670.9229, 5250.794
671.4050, 5430.277
671.8871, 5628.327
672.3692, 5836.090
672.8513, 6045.543
673.3334, 6256.328
673.8156, 6462.355
674.2977, 6663.537
674.7798, 6864.906
675.2619, 7070.003
675.7440, 7272.108
676.2261, 7466.649
676.7083, 7654.650
677.1904, 7816.870
677.6725, 7969.781
678.1546, 8076.379
678.6367, 8128.646
679.1188, 8126.114
679.6010, 8055.405
680.0831, 7924.326
680.5652, 7771.601
681.0473, 7620.651
681.5294, 7468.539
682.0115, 7320.946
682.4937, 7173.279
682.9758, 6972.694
683.4579, 6698.521
683.9400, 6409.301
684.4221, 6156.295
684.9042, 5935.414
685.3864, 5705.918
685.8685, 5440.938
686.3506, 5204.750
686.8327, 5018.194
687.3148, 4849.467
687.7969, 4677.917
688.2791, 4505.428
688.7612, 4340.928
689.2433, 4187.556
689.7254, 4047.620
690.2075, 3925.548
690.6896, 3818.456
691.1718, 3718.239
691.6539, 3623.527
692.1360, 3539.287
692.6181, 3469.093
693.1002, 3408.356
693.5823, 3344.741
694.0645, 3270.109
694.5466, 3212.241
695.0287, 3188.256
695.5108, 3161.886
695.9929, 3113.359
696.4750, 3055.903
696.9572, 3009.235
697.4393, 2977.715
697.9214, 2952.098
698.4035, 2932.306
698.8856, 2912.715
699.3677, 2885.618
699.8499, 2853.665
700.3320, 2826.495
700.8141, 2807.570
701.2962, 2788.451
701.7783, 2753.901
702.2604, 2705.335
702.7426, 2684.844
703.2247, 2704.210
703.7068, 2715.754
704.1889, 2696.435
704.6710, 2668.666
705.1531, 2661.154
705.6353, 2673.026
706.1174, 2678.434
706.5995, 2676.486
707.0816, 2664.480
707.5637, 2632.066
708.0458, 2594.261
708.5280, 2566.322
709.0101, 2551.268
709.4922, 2548.438
709.9743, 2562.125
710.4564, 2579.385
710.9385, 2571.341
711.4207, 2541.055
711.9028, 2518.313
712.3849, 2508.555
712.8670, 2509.014
713.3491, 2521.234
713.8312, 2540.579
714.3134, 2545.887
714.7955, 2522.610
715.2776, 2507.404
715.7597, 2507.162
716.2418, 2508.257
716.7239, 2500.174
717.2061, 2488.800
717.6882, 2488.318
718.1703, 2505.222
718.6524, 2518.270
719.1345, 2505.185
719.6166, 2482.570
720.0988, 2476.520
720.5809, 2485.164
721.0630, 2491.227
721.5451, 2487.105
722.0272, 2482.454
722.5093, 2494.314
722.9915, 2523.902
723.4736, 2533.872
723.9557, 2516.147
724.4378, 2496.750
724.9199, 2481.187
725.4020, 2470.404
725.8842, 2466.714
726.3663, 2469.777
726.8484, 2471.455
727.3305, 2473.387
727.8126, 2470.011
728.2947, 2451.423
728.7769, 2430.553
729.2590, 2423.248
729.7411, 2430.165
730.2232, 2441.856
730.7053, 2453.693
731.1874, 2462.981
731.6696, 2465.084
732.1517, 2460.335
732.6338, 2449.720
733.1159, 2432.536
733.5980, 2416.303
734.0801, 2404.800
734.5623, 2399.054
735.0444, 2402.928
735.5265, 2425.741
736.0086, 2438.787
736.4907, 2434.150
736.9728, 2428.868
737.4550, 2430.966
737.9371, 2436.148
738.4192, 2438.870
738.9013, 2438.209
739.3834, 2432.065
739.8655, 2415.384
740.3477, 2395.894
740.8298, 2376.804
741.3119, 2361.872
741.7940, 2363.917
742.2761, 2384.754
742.7582, 2402.627
743.2404, 2393.153
743.7225, 2363.455
744.2046, 2345.774
744.6867, 2340.801
745.1688, 2346.223
745.6509, 2369.067
746.1331, 2387.403
746.6152, 2377.968
747.0973, 2345.688
747.5794, 2326.963
748.0615, 2332.169
748.5436, 2335.094
749.0257, 2337.665
749.5078, 2332.626
749.9899, 2306.012
750.4720, 2269.739
