##NAMES=Richelsdorfite
##RRUFFID=R130552
##IDEAL CHEMISTRY=Ca_2_Cu^2+^_5_Sb^5+^(As^5+^O_4_)_4_(OH)_6_Cl&#183;6H_2_O
##LOCALITY=Silberberg, Brixlegg, Austria
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Platy blue crystals, with a 2-fold twin around [110]
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130552
2.638879e+002, 2.809567e+002
2.643700e+002, 2.801061e+002
2.648521e+002, 2.793804e+002
2.653342e+002, 2.787589e+002
2.658163e+002, 2.783771e+002
2.662985e+002, 2.783625e+002
2.667806e+002, 2.786176e+002
2.672627e+002, 2.785450e+002
2.677448e+002, 2.780175e+002
2.682269e+002, 2.774242e+002
2.687090e+002, 2.770227e+002
2.691912e+002, 2.768084e+002
2.696733e+002, 2.767839e+002
2.701554e+002, 2.769706e+002
2.706375e+002, 2.773375e+002
2.711196e+002, 2.777409e+002
2.716017e+002, 2.781366e+002
2.720839e+002, 2.786810e+002
2.725660e+002, 2.796115e+002
2.730481e+002, 2.810681e+002
2.735302e+002, 2.819794e+002
2.740123e+002, 2.821007e+002
2.744944e+002, 2.817155e+002
2.749766e+002, 2.816375e+002
2.754587e+002, 2.819047e+002
2.759408e+002, 2.823380e+002
2.764229e+002, 2.828544e+002
2.769050e+002, 2.834640e+002
2.773871e+002, 2.840905e+002
2.778693e+002, 2.847591e+002
2.783514e+002, 2.854120e+002
2.788335e+002, 2.859919e+002
2.793156e+002, 2.865497e+002
2.797977e+002, 2.867693e+002
2.802798e+002, 2.863943e+002
2.807620e+002, 2.854250e+002
2.812441e+002, 2.843583e+002
2.817262e+002, 2.831580e+002
2.822083e+002, 2.819693e+002
2.826904e+002, 2.810811e+002
2.831725e+002, 2.805074e+002
2.836547e+002, 2.799987e+002
2.841368e+002, 2.794560e+002
2.846189e+002, 2.788822e+002
2.851010e+002, 2.782715e+002
2.855831e+002, 2.776303e+002
2.860652e+002, 2.769322e+002
2.865474e+002, 2.760847e+002
2.870295e+002, 2.750927e+002
2.875116e+002, 2.741765e+002
2.879937e+002, 2.734072e+002
2.884758e+002, 2.727837e+002
2.889579e+002, 2.724021e+002
2.894401e+002, 2.723036e+002
2.899222e+002, 2.722199e+002
2.904043e+002, 2.716996e+002
2.908864e+002, 2.708168e+002
2.913685e+002, 2.701749e+002
2.918506e+002, 2.702566e+002
2.923328e+002, 2.707224e+002
2.928149e+002, 2.705001e+002
2.932970e+002, 2.695518e+002
2.937791e+002, 2.683820e+002
2.942612e+002, 2.673543e+002
2.947433e+002, 2.665032e+002
2.952255e+002, 2.660038e+002
2.957076e+002, 2.660203e+002
2.961897e+002, 2.663683e+002
2.966718e+002, 2.667573e+002
2.971539e+002, 2.671829e+002
2.976360e+002, 2.675441e+002
2.981182e+002, 2.677438e+002
2.986003e+002, 2.678094e+002
2.990824e+002, 2.678129e+002
2.995645e+002, 2.677624e+002
3.000466e+002, 2.676703e+002
3.005287e+002, 2.674427e+002
3.010109e+002, 2.671236e+002
3.014930e+002, 2.670255e+002
3.019751e+002, 2.677166e+002
3.024572e+002, 2.687226e+002
3.029393e+002, 2.691458e+002
3.034214e+002, 2.685500e+002
3.039036e+002, 2.677816e+002
3.043857e+002, 2.677727e+002
3.048678e+002, 2.683806e+002
3.053499e+002, 2.690857e+002
3.058320e+002, 2.696739e+002
3.063141e+002, 2.701407e+002
3.067963e+002, 2.704627e+002
3.072784e+002, 2.706281e+002
3.077605e+002, 2.706848e+002
3.082426e+002, 2.705141e+002
3.087247e+002, 2.702487e+002
3.092068e+002, 2.702090e+002
3.096890e+002, 2.706946e+002
3.101711e+002, 2.713913e+002
3.106532e+002, 2.720528e+002
3.111353e+002, 2.726535e+002
3.116174e+002, 2.731682e+002
3.120995e+002, 2.736213e+002
3.125817e+002, 2.739596e+002
3.130638e+002, 2.741081e+002
3.135459e+002, 2.737427e+002
3.140280e+002, 2.733983e+002
3.145101e+002, 2.735518e+002
3.149922e+002, 2.742811e+002
3.154744e+002, 2.747299e+002
3.159565e+002, 2.740688e+002
3.164386e+002, 2.730500e+002
3.169207e+002, 2.725367e+002
3.174028e+002, 2.734365e+002
3.178849e+002, 2.743133e+002
3.183671e+002, 2.744423e+002
3.188492e+002, 2.738616e+002
3.193313e+002, 2.735237e+002
3.198134e+002, 2.738195e+002
3.202955e+002, 2.744499e+002
3.207776e+002, 2.751701e+002
3.212598e+002, 2.762740e+002
3.217419e+002, 2.770933e+002
3.222240e+002, 2.773140e+002
3.227061e+002, 2.770481e+002
3.231882e+002, 2.768961e+002
3.236703e+002, 2.769294e+002
3.241525e+002, 2.771323e+002
3.246346e+002, 2.775118e+002
3.251167e+002, 2.784401e+002
3.255988e+002, 2.790387e+002
3.260809e+002, 2.788506e+002
3.265630e+002, 2.782448e+002
3.270452e+002, 2.782310e+002
3.275273e+002, 2.796348e+002
3.280094e+002, 2.809824e+002
3.284915e+002, 2.816965e+002
3.289736e+002, 2.812632e+002
3.294557e+002, 2.813315e+002
3.299379e+002, 2.821858e+002
3.304200e+002, 2.834550e+002
3.309021e+002, 2.845322e+002
3.313842e+002, 2.852999e+002
3.318663e+002, 2.860379e+002
3.323484e+002, 2.868555e+002
3.328306e+002, 2.877790e+002
3.333127e+002, 2.884727e+002
3.337948e+002, 2.887644e+002
3.342769e+002, 2.889790e+002
3.347590e+002, 2.894930e+002
3.352411e+002, 2.904629e+002
3.357233e+002, 2.913957e+002
3.362054e+002, 2.921809e+002
3.366875e+002, 2.928365e+002
3.371696e+002, 2.934796e+002
3.376517e+002, 2.940614e+002
3.381339e+002, 2.947329e+002
3.386160e+002, 2.957108e+002
3.390981e+002, 2.971396e+002
3.395802e+002, 2.981673e+002
3.400623e+002, 2.985656e+002
3.405444e+002, 2.985222e+002
3.410266e+002, 2.986638e+002
3.415087e+002, 2.990302e+002
3.419908e+002, 2.993741e+002
3.424729e+002, 2.995889e+002
3.429550e+002, 2.996681e+002
3.434371e+002, 2.994930e+002
3.439193e+002, 2.990459e+002
3.444014e+002, 2.983482e+002
3.448835e+002, 2.974013e+002
3.453656e+002, 2.962070e+002
3.458477e+002, 2.949260e+002
3.463298e+002, 2.934975e+002
3.468120e+002, 2.920141e+002
3.472941e+002, 2.910085e+002
3.477762e+002, 2.905458e+002
3.482583e+002, 2.902448e+002
3.487404e+002, 2.896248e+002
3.492225e+002, 2.887631e+002
3.497047e+002, 2.879815e+002
3.501868e+002, 2.874987e+002
3.506689e+002, 2.871333e+002
3.511510e+002, 2.864797e+002
3.516331e+002, 2.855462e+002
3.521152e+002, 2.846882e+002
3.525974e+002, 2.844055e+002
3.530795e+002, 2.843806e+002
3.535616e+002, 2.839933e+002
3.540437e+002, 2.828674e+002
3.545258e+002, 2.815787e+002
3.550079e+002, 2.806545e+002
3.554901e+002, 2.800616e+002
3.559722e+002, 2.796264e+002
3.564543e+002, 2.795448e+002
3.569364e+002, 2.794279e+002
3.574185e+002, 2.786858e+002
3.579006e+002, 2.768054e+002
3.583828e+002, 2.754218e+002
3.588649e+002, 2.761691e+002
3.593470e+002, 2.781352e+002
3.598291e+002, 2.794757e+002
3.603112e+002, 2.790069e+002
3.607933e+002, 2.779540e+002
3.612755e+002, 2.769709e+002
3.617576e+002, 2.761220e+002
3.622397e+002, 2.753149e+002
3.627218e+002, 2.742106e+002
3.632039e+002, 2.732339e+002
3.636860e+002, 2.728595e+002
3.641682e+002, 2.740240e+002
3.646503e+002, 2.750184e+002
3.651324e+002, 2.752895e+002
3.656145e+002, 2.748500e+002
3.660966e+002, 2.741689e+002
3.665787e+002, 2.729459e+002
3.670609e+002, 2.717431e+002
3.675430e+002, 2.709212e+002
3.680251e+002, 2.712532e+002
3.685072e+002, 2.710827e+002
3.689893e+002, 2.699837e+002
3.694714e+002, 2.682592e+002
3.699536e+002, 2.669143e+002
3.704357e+002, 2.660149e+002
3.709178e+002, 2.654276e+002
3.713999e+002, 2.651685e+002
3.718820e+002, 2.654821e+002
3.723641e+002, 2.654716e+002
3.728463e+002, 2.649753e+002
3.733284e+002, 2.642608e+002
3.738105e+002, 2.637509e+002
3.742926e+002, 2.635472e+002
3.747747e+002, 2.633087e+002
3.752568e+002, 2.628930e+002
3.757390e+002, 2.622933e+002
3.762211e+002, 2.618914e+002
3.767032e+002, 2.617067e+002
3.771853e+002, 2.616651e+002
3.776674e+002, 2.617531e+002
3.781495e+002, 2.620010e+002
3.786317e+002, 2.620918e+002
3.791138e+002, 2.619478e+002
3.795959e+002, 2.616197e+002
3.800780e+002, 2.612186e+002
3.805601e+002, 2.607388e+002
3.810422e+002, 2.602921e+002
3.815244e+002, 2.600570e+002
3.820065e+002, 2.599623e+002
3.824886e+002, 2.595435e+002
3.829707e+002, 2.586605e+002
3.834528e+002, 2.577190e+002
3.839349e+002, 2.572359e+002
3.844171e+002, 2.571878e+002
3.848992e+002, 2.574195e+002
3.853813e+002, 2.582084e+002
3.858634e+002, 2.591199e+002
3.863455e+002, 2.592863e+002
3.868276e+002, 2.586522e+002
3.873098e+002, 2.579457e+002
3.877919e+002, 2.577827e+002
3.882740e+002, 2.579774e+002
3.887561e+002, 2.581991e+002
3.892382e+002, 2.583301e+002
3.897203e+002, 2.584462e+002
3.902025e+002, 2.585734e+002
3.906846e+002, 2.587217e+002
3.911667e+002, 2.589533e+002
3.916488e+002, 2.595432e+002
3.921309e+002, 2.600946e+002
3.926130e+002, 2.602039e+002
3.930952e+002, 2.595234e+002
3.935773e+002, 2.589971e+002
3.940594e+002, 2.592931e+002
3.945415e+002, 2.599982e+002
3.950236e+002, 2.603445e+002
3.955057e+002, 2.595002e+002
3.959879e+002, 2.587838e+002
3.964700e+002, 2.588641e+002
3.969521e+002, 2.599549e+002
3.974342e+002, 2.607552e+002
3.979163e+002, 2.607207e+002
3.983984e+002, 2.604751e+002
3.988806e+002, 2.605874e+002
3.993627e+002, 2.617650e+002
3.998448e+002, 2.625269e+002
4.003269e+002, 2.624596e+002
4.008090e+002, 2.617134e+002
4.012911e+002, 2.614674e+002
4.017733e+002, 2.622138e+002
4.022554e+002, 2.628747e+002
4.027375e+002, 2.627819e+002
4.032196e+002, 2.613272e+002
4.037017e+002, 2.607085e+002
4.041838e+002, 2.612978e+002
4.046660e+002, 2.624720e+002
4.051481e+002, 2.630493e+002
4.056302e+002, 2.629435e+002
4.061123e+002, 2.625647e+002
4.065944e+002, 2.619036e+002
4.070765e+002, 2.609931e+002
4.075587e+002, 2.606948e+002
4.080408e+002, 2.611330e+002
4.085229e+002, 2.616934e+002
4.090050e+002, 2.616321e+002
4.094871e+002, 2.610034e+002
4.099692e+002, 2.606519e+002
4.104514e+002, 2.608723e+002
4.109335e+002, 2.613412e+002
4.114156e+002, 2.613218e+002
4.118977e+002, 2.608563e+002
4.123798e+002, 2.604442e+002
4.128619e+002, 2.606822e+002
4.133441e+002, 2.611641e+002
4.138262e+002, 2.609979e+002
4.143083e+002, 2.599796e+002
4.147904e+002, 2.588401e+002
4.152725e+002, 2.582083e+002
4.157546e+002, 2.579823e+002
4.162368e+002, 2.579339e+002
4.167189e+002, 2.582830e+002
4.172010e+002, 2.585462e+002
4.176831e+002, 2.581734e+002
4.181652e+002, 2.572098e+002
4.186473e+002, 2.564316e+002
4.191295e+002, 2.564814e+002
4.196116e+002, 2.568004e+002
4.200937e+002, 2.568707e+002
4.205758e+002, 2.562515e+002
4.210579e+002, 2.558286e+002
4.215400e+002, 2.561186e+002
4.220222e+002, 2.568224e+002
4.225043e+002, 2.572098e+002
4.229864e+002, 2.567206e+002
4.234685e+002, 2.562308e+002
4.239506e+002, 2.561589e+002
4.244327e+002, 2.567782e+002
4.249149e+002, 2.569673e+002
4.253970e+002, 2.561678e+002
4.258791e+002, 2.552101e+002
4.263612e+002, 2.549299e+002
4.268433e+002, 2.557631e+002
4.273254e+002, 2.565922e+002
4.278076e+002, 2.573153e+002
4.282897e+002, 2.579165e+002
4.287718e+002, 2.582092e+002
4.292539e+002, 2.580435e+002
4.297360e+002, 2.578555e+002
4.302181e+002, 2.579620e+002
4.307003e+002, 2.584407e+002
4.311824e+002, 2.586377e+002
4.316645e+002, 2.584328e+002
4.321466e+002, 2.580959e+002
4.326287e+002, 2.580900e+002
4.331108e+002, 2.584214e+002
4.335930e+002, 2.588694e+002
4.340751e+002, 2.595579e+002
4.345572e+002, 2.602777e+002
4.350393e+002, 2.600955e+002
4.355214e+002, 2.589897e+002
4.360035e+002, 2.579675e+002
4.364857e+002, 2.580381e+002
4.369678e+002, 2.588840e+002
4.374499e+002, 2.597467e+002
4.379320e+002, 2.604605e+002
4.384141e+002, 2.611317e+002
4.388962e+002, 2.620341e+002
4.393784e+002, 2.630157e+002
4.398605e+002, 2.636343e+002
4.403426e+002, 2.632115e+002
4.408247e+002, 2.625988e+002
4.413068e+002, 2.625417e+002
4.417889e+002, 2.631362e+002
4.422711e+002, 2.638474e+002
4.427532e+002, 2.644808e+002
4.432353e+002, 2.650595e+002
4.437174e+002, 2.656076e+002
4.441995e+002, 2.661569e+002
4.446816e+002, 2.666482e+002
4.451638e+002, 2.669554e+002
4.456459e+002, 2.671540e+002
4.461280e+002, 2.676009e+002
4.466101e+002, 2.688125e+002
4.470922e+002, 2.698986e+002
4.475743e+002, 2.703750e+002
4.480565e+002, 2.697278e+002
4.485386e+002, 2.697793e+002
4.490207e+002, 2.710208e+002
4.495028e+002, 2.726527e+002
4.499849e+002, 2.736039e+002
4.504670e+002, 2.736122e+002
4.509492e+002, 2.735435e+002
4.514313e+002, 2.735518e+002
4.519134e+002, 2.736377e+002
4.523955e+002, 2.737852e+002
4.528776e+002, 2.739807e+002
4.533597e+002, 2.742873e+002
4.538419e+002, 2.749004e+002
4.543240e+002, 2.757990e+002
4.548061e+002, 2.761488e+002
4.552882e+002, 2.757315e+002
4.557703e+002, 2.751298e+002
4.562524e+002, 2.753047e+002
4.567346e+002, 2.761548e+002
4.572167e+002, 2.769891e+002
4.576988e+002, 2.776302e+002
4.581809e+002, 2.780269e+002
4.586630e+002, 2.779380e+002
4.591451e+002, 2.773973e+002
4.596273e+002, 2.769742e+002
4.601094e+002, 2.772602e+002
4.605915e+002, 2.778670e+002
4.610736e+002, 2.782922e+002
4.615557e+002, 2.783925e+002
4.620378e+002, 2.783766e+002
4.625200e+002, 2.783461e+002
4.630021e+002, 2.783026e+002
4.634842e+002, 2.782486e+002
4.639663e+002, 2.782806e+002
4.644484e+002, 2.782256e+002
4.649305e+002, 2.778521e+002
4.654127e+002, 2.771144e+002
