##NAMES=Stottite
##RRUFFID=R120089
##IDEAL CHEMISTRY=Fe^2+^Ge^4+^(OH)_6_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Yellow to red gemmy crystals and fragments associated with chalcocite R120090, siderite and tennantite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120089
2.998779e+002, 3.640952e+002
3.003600e+002, 3.300322e+002
3.008422e+002, 3.001915e+002
3.013243e+002, 2.737217e+002
3.018064e+002, 2.501078e+002
3.022885e+002, 2.293413e+002
3.027706e+002, 2.109818e+002
3.032527e+002, 1.946183e+002
3.037349e+002, 1.802169e+002
3.042170e+002, 1.673961e+002
3.046991e+002, 1.564043e+002
3.051812e+002, 1.468183e+002
3.056633e+002, 1.380097e+002
3.061454e+002, 1.298647e+002
3.066276e+002, 1.226901e+002
3.071097e+002, 1.170265e+002
3.075918e+002, 1.128141e+002
3.080739e+002, 1.087948e+002
3.085560e+002, 1.043879e+002
3.090381e+002, 1.002702e+002
3.095203e+002, 9.716914e+001
3.100024e+002, 9.514240e+001
3.104845e+002, 9.358080e+001
3.109666e+002, 9.207469e+001
3.114487e+002, 9.068058e+001
3.119308e+002, 8.975139e+001
3.124130e+002, 8.956883e+001
3.128951e+002, 8.957926e+001
3.133772e+002, 8.913953e+001
3.138593e+002, 8.834348e+001
3.143414e+002, 8.785977e+001
3.148235e+002, 8.825597e+001
3.153057e+002, 8.919930e+001
3.157878e+002, 8.980058e+001
3.162699e+002, 8.986807e+001
3.167520e+002, 8.987584e+001
3.172341e+002, 9.019450e+001
3.177162e+002, 9.071604e+001
3.181984e+002, 9.121786e+001
3.186805e+002, 9.144347e+001
3.191626e+002, 9.168398e+001
3.196447e+002, 9.242793e+001
3.201268e+002, 9.373257e+001
3.206089e+002, 9.524940e+001
3.210911e+002, 9.674220e+001
3.215732e+002, 9.836031e+001
3.220553e+002, 1.003200e+002
3.225374e+002, 1.026671e+002
3.230195e+002, 1.053799e+002
3.235016e+002, 1.084615e+002
3.239838e+002, 1.119306e+002
3.244659e+002, 1.155939e+002
3.249480e+002, 1.192679e+002
3.254301e+002, 1.232073e+002
3.259122e+002, 1.276341e+002
3.263943e+002, 1.326259e+002
3.268765e+002, 1.379638e+002
3.273586e+002, 1.437582e+002
3.278407e+002, 1.498920e+002
3.283228e+002, 1.556407e+002
3.288049e+002, 1.610266e+002
3.292870e+002, 1.656501e+002
3.297692e+002, 1.692911e+002
3.302513e+002, 1.719774e+002
3.307334e+002, 1.736493e+002
3.312155e+002, 1.745122e+002
3.316976e+002, 1.743082e+002
3.321797e+002, 1.723967e+002
3.326619e+002, 1.686223e+002
3.331440e+002, 1.633713e+002
3.336261e+002, 1.560864e+002
3.341082e+002, 1.475172e+002
3.345903e+002, 1.392923e+002
3.350724e+002, 1.318846e+002
3.355546e+002, 1.251513e+002
3.360367e+002, 1.188136e+002
3.365188e+002, 1.128492e+002
3.370009e+002, 1.077883e+002
3.374830e+002, 1.041999e+002
3.379651e+002, 1.017100e+002
3.384473e+002, 9.957273e+001
3.389294e+002, 9.763261e+001
3.394115e+002, 9.616022e+001
3.398936e+002, 9.565470e+001
3.403757e+002, 9.597482e+001
3.408578e+002, 9.604541e+001
3.413400e+002, 9.533221e+001
3.418221e+002, 9.431416e+001
3.423042e+002, 9.366232e+001
3.427863e+002, 9.335591e+001
3.432684e+002, 9.342744e+001
3.437505e+002, 9.426954e+001
3.442327e+002, 9.548891e+001
3.447148e+002, 9.604326e+001
3.451969e+002, 9.555826e+001
