##NAMES=Nenadkevichite
##RRUFFID=R070610
##IDEAL CHEMISTRY=(Na,[box])_8_Nb^5+^_4_(Si_4_O_12_)_2_(O,OH)_4_&#183;8H_2_O
##LOCALITY=Desourdy Quarry, Mount Saint Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Cluster of pale-pink translucent tabular pseudohexagonal crystals, associated with analcime
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070610
382.6277, 8606.826
383.1098, 8606.835
383.5919, 8614.577
384.0740, 8608.111
384.5561, 8579.259
385.0382, 8550.936
385.5204, 8551.401
386.0025, 8573.174
386.4846, 8594.904
386.9667, 8600.121
387.4488, 8602.807
387.9309, 8618.671
388.4131, 8651.553
388.8952, 8683.082
389.3773, 8706.107
389.8594, 8719.394
390.3415, 8721.313
390.8236, 8691.549
391.3058, 8666.391
391.7879, 8668.771
392.2700, 8700.743
392.7521, 8727.860
393.2342, 8740.561
393.7163, 8742.733
394.1985, 8737.640
394.6806, 8714.932
395.1627, 8696.793
395.6448, 8695.898
396.1269, 8709.511
396.6090, 8702.668
397.0912, 8651.865
397.5733, 8594.952
398.0554, 8551.968
398.5375, 8531.489
399.0196, 8512.279
399.5017, 8498.316
399.9839, 8484.688
400.4660, 8454.117
400.9481, 8393.705
401.4302, 8337.806
401.9123, 8304.517
402.3944, 8302.654
402.8766, 8289.470
403.3587, 8264.817
403.8408, 8229.813
404.3229, 8181.146
404.8050, 8115.165
405.2871, 8059.671
405.7693, 8029.281
406.2514, 8021.054
406.7335, 8007.738
407.2156, 7989.936
407.6977, 7964.604
408.1798, 7923.649
408.6620, 7869.902
409.1441, 7820.019
409.6262, 7770.808
410.1083, 7733.948
410.5904, 7746.750
411.0725, 7805.237
411.5547, 7850.699
412.0368, 7824.549
412.5189, 7758.084
413.0010, 7707.030
413.4831, 7692.284
413.9652, 7680.413
414.4473, 7626.472
414.9294, 7548.288
415.4116, 7497.095
415.8937, 7525.052
416.3758, 7575.076
416.8579, 7604.226
417.3400, 7602.132
417.8221, 7593.309
418.3043, 7581.632
418.7864, 7571.166
419.2685, 7567.973
419.7506, 7570.815
420.2327, 7583.808
420.7148, 7613.453
421.1970, 7663.343
421.6791, 7702.455
422.1612, 7720.124
422.6433, 7729.140
423.1254, 7739.854
423.6075, 7741.643
424.0897, 7760.002
424.5718, 7804.573
425.0539, 7870.672
425.5360, 7925.859
426.0181, 7962.552
426.5002, 7998.986
426.9824, 8047.991
427.4645, 8115.166
427.9466, 8171.671
428.4287, 8211.689
428.9108, 8244.427
429.3929, 8290.628
429.8751, 8351.635
430.3572, 8415.632
430.8393, 8477.622
431.3214, 8537.827
431.8035, 8595.310
432.2856, 8650.320
432.7678, 8703.944
433.2499, 8754.304
433.7320, 8803.515
434.2141, 8861.411
434.6962, 8939.691
435.1783, 9022.755
435.6605, 9083.276
436.1426, 9122.968
436.6247, 9162.504
437.1068, 9220.019
437.5889, 9285.235
438.0710, 9344.763
438.5532, 9391.653
439.0353, 9436.736
439.5174, 9481.419
439.9995, 9528.875
440.4816, 9588.140
440.9637, 9680.744
441.4459, 9772.388
441.9280, 9837.742
442.4101, 9857.702
442.8922, 9902.045
443.3743, 10007.36
443.8564, 10139.96
444.3386, 10253.36
444.8207, 10330.95
445.3028, 10402.42
445.7849, 10470.73
446.2670, 10535.23
446.7491, 10607.64
447.2313, 10691.83
447.7134, 10780.74
448.1955, 10867.26
448.6776, 10948.32
449.1597, 11038.14
449.6418, 11140.80
450.1240, 11251.65
450.6061, 11352.14
451.0882, 11439.72
451.5703, 11527.95
452.0524, 11632.10
452.5345, 11749.07
453.0167, 11834.57
453.4988, 11884.23
453.9809, 11908.14
454.4630, 11914.78
454.9451, 11905.23
455.4272, 11884.72
455.9094, 11851.45
456.3915, 11810.23
456.8736, 11771.29
457.3557, 11734.26
457.8378, 11684.12
458.3199, 11611.05
458.8020, 11519.19
459.2841, 11410.41
459.7663, 11271.09
460.2484, 11137.01
460.7305, 11033.77
461.2126, 10954.31
461.6947, 10876.45
462.1768, 10782.02
462.6590, 10695.97
463.1411, 10633.72
463.6232, 10609.83
464.1053, 10573.40
464.5874, 10497.39
465.0695, 10410.95
465.5517, 10351.78
466.0338, 10322.71
466.5159, 10318.54
466.9980, 10349.78
467.4801, 10414.30
467.9622, 10445.16
468.4444, 10415.42
468.9265, 10394.95
469.4086, 10445.38
469.8907, 10586.24
470.3728, 10692.77
470.8549, 10744.72
471.3371, 10766.96
471.8192, 10810.30
472.3013, 10874.98
472.7834, 10951.12
473.2655, 11033.32
473.7477, 11122.90
474.2298, 11227.61
474.7119, 11348.10
475.1940, 11472.02
475.6761, 11585.22
476.1582, 11692.38
476.6404, 11803.80
477.1225, 11928.32
477.6046, 12054.48
478.0867, 12171.11
478.5688, 12279.56
479.0509, 12384.04
479.5331, 12466.77
480.0152, 12558.56
480.4973, 12688.31
480.9794, 12885.26
481.4615, 13068.57
481.9436, 13210.55
482.4258, 13324.81
482.9079, 13436.04
483.3900, 13559.35
483.8721, 13668.57
484.3542, 13752.16
484.8363, 13805.71
485.3185, 13874.83
485.8006, 13979.41
486.2827, 14077.79
486.7648, 14133.16
487.2469, 14128.97
487.7290, 14140.02
488.2112, 14181.89
488.6933, 14239.98
489.1754, 14275.58
489.6575, 14288.66
490.1396, 14282.96
490.6217, 14264.66
491.1039, 14230.49
491.5860, 14162.27
492.0681, 14056.26
492.5502, 13932.78
493.0323, 13801.05
493.5144, 13667.59
493.9966, 13547.54
494.4787, 13453.53
494.9608, 13369.39
495.4429, 13282.59
495.9250, 13193.12
496.4071, 13105.44
496.8893, 13023.61
497.3714, 12941.95
497.8535, 12856.19
498.3356, 12760.49
498.8177, 12668.60
499.2998, 12592.62
499.7820, 12520.36
500.2641, 12431.65
500.7462, 12284.01
501.2283, 12160.17
501.7104, 12089.18
502.1925, 12074.52
502.6746, 12033.09
503.1567, 11952.04
503.6389, 11860.87
504.1210, 11783.02
504.6031, 11722.14
505.0852, 11655.84
505.5673, 11580.26
506.0494, 11500.02
506.5316, 11423.42
507.0137, 11350.88
507.4958, 11278.21
507.9779, 11208.04
508.4600, 11136.71
508.9421, 11051.10
509.4243, 10949.94
509.9064, 10844.17
510.3885, 10742.12
510.8706, 10641.66
511.3527, 10538.33
511.8348, 10423.33
512.3170, 10314.27
512.7991, 10231.87
513.2812, 10167.50
513.7633, 10093.99
514.2454, 9991.542
514.7275, 9882.441
515.2097, 9778.200
515.6918, 9680.684
516.1739, 9586.193
516.6560, 9494.661
517.1381, 9405.344
517.6202, 9317.227
518.1024, 9221.586
518.5845, 9142.299
519.0666, 9094.893
519.5487, 9069.757
520.0308, 8998.796
520.5129, 8859.859
520.9951, 8729.896
521.4772, 8666.445
521.9593, 8670.977
522.4414, 8636.298
522.9235, 8550.962
523.4056, 8446.616
523.8878, 8364.823
524.3699, 8302.429
524.8520, 8239.781
525.3341, 8162.875
525.8162, 8087.295
526.2983, 8035.325
526.7805, 8004.908
527.2626, 7981.380
527.7447, 7963.167
528.2268, 7942.845
528.7089, 7912.577
529.1910, 7867.814
529.6732, 7820.057
530.1553, 7767.126
530.6374, 7714.853
531.1195, 7671.332
531.6016, 7644.152
532.0837, 7620.078
532.5659, 7595.415
533.0480, 7569.843
533.5301, 7551.404
534.0122, 7549.288
534.4943, 7541.899
534.9764, 7511.746
535.4586, 7450.420
535.9407, 7404.552
536.4228, 7381.267
536.9049, 7367.430
537.3870, 7335.580
537.8691, 7286.366
538.3513, 7247.658
538.8334, 7232.188
539.3155, 7234.489
539.7976, 7249.561
540.2797, 7276.544
540.7618, 7294.668
541.2440, 7282.392
541.7261, 7253.744
542.2082, 7225.425
542.6903, 7197.975
543.1724, 7178.318
543.6545, 7181.915
544.1367, 7194.449
544.6188, 7189.965
545.1009, 7127.419
545.5830, 7078.283
546.0651, 7077.377
546.5472, 7129.711
547.0294, 7156.444
547.5115, 7141.305
547.9936, 7114.158
548.4757, 7092.624
548.9578, 7078.013
549.4399, 7065.071
549.9221, 7052.873
550.4042, 7042.779
550.8863, 7037.646
551.3684, 7037.619
551.8505, 7040.110
552.3326, 7044.568
552.8148, 7050.747
553.2969, 7061.085
553.7790, 7075.329
554.2611, 7081.798
554.7432, 7062.418
555.2253, 7032.055
555.7075, 7012.296
556.1896, 7006.992
556.6717, 7013.767
557.1538, 7039.793
557.6359, 7075.327
558.1180, 7103.949
558.6002, 7124.611
559.0823, 7133.151
559.5644, 7124.309
560.0465, 7098.107
560.5286, 7073.501
561.0107, 7048.204
561.4929, 7028.564
561.9750, 7018.548
562.4571, 7020.986
562.9392, 7026.740
563.4213, 7038.694
563.9034, 7050.253
564.3856, 7048.306
564.8677, 7031.629
565.3498, 7020.253
565.8319, 7021.824
566.3140, 7032.063
566.7961, 7039.141
567.2783, 7043.550
567.7604, 7052.625
568.2425, 7085.229
568.7246, 7120.331
569.2067, 7125.756
569.6888, 7091.406
570.1709, 7054.018
570.6530, 7026.392
571.1351, 7013.185
571.6172, 7020.361
572.0994, 7085.226
572.5815, 7133.590
573.0636, 7131.727
573.5457, 7088.841
574.0278, 7071.570
574.5099, 7104.813
574.9921, 7136.298
575.4742, 7141.000
575.9563, 7110.483
576.4384, 7098.048
576.9205, 7110.655
577.4026, 7127.915
577.8848, 7124.663
578.3669, 7101.412
578.8490, 7077.708
579.3311, 7053.920
579.8132, 7037.367
580.2953, 7049.247
580.7775, 7083.334
581.2596, 7109.783
581.7417, 7097.741
582.2238, 7077.716
582.7059, 7085.525
583.1880, 7124.616
583.6702, 7156.842
584.1523, 7156.501
584.6344, 7143.767
585.1165, 7136.329
585.5986, 7147.844
586.0807, 7151.983
586.5629, 7137.970
587.0450, 7116.043
587.5271, 7106.425
588.0092, 7112.805
588.4913, 7125.200
588.9734, 7143.865
589.4556, 7167.641
589.9377, 7181.057
590.4198, 7183.570
590.9019, 7178.570
591.3840, 7157.372
591.8661, 7128.296
592.3483, 7133.680
592.8304, 7185.868
593.3125, 7244.097
593.7946, 7264.205
594.2767, 7257.038
594.7589, 7244.655
595.2410, 7222.088
595.7231, 7209.530
596.2052, 7224.543
596.6873, 7262.615
597.1694, 7298.849
597.6516, 7289.291
598.1337, 7258.216
598.6158, 7337.200
599.0979, 7389.994
599.5800, 7418.002
600.0621, 7346.990
600.5443, 7403.848
601.0264, 7409.459
601.5085, 7412.967
601.9906, 7487.816
602.4727, 7431.209
602.9548, 7504.926
603.4370, 7526.626
603.9191, 7566.039
604.4012, 7608.911
604.8833, 7637.093
605.3654, 7654.466
605.8475, 7663.530
606.3297, 7664.728
606.8118, 7670.659
607.2939, 7696.331
607.7760, 7727.196
608.2581, 7748.836
608.7402, 7752.069
609.2224, 7759.140
609.7045, 7779.744
610.1866, 7806.944
610.6687, 7828.878
611.1508, 7837.012
611.6329, 7852.580
612.1151, 7883.403
612.5972, 7925.712
613.0793, 7951.931
613.5614, 7956.118
614.0435, 7966.774
614.5256, 8008.348
615.0078, 8074.305
615.4899, 8122.195
615.9720, 8149.860
616.4541, 8161.995
616.9362, 8141.808
617.4183, 8112.295
617.9005, 8119.058
618.3826, 8193.035
618.8647, 8275.835
619.3468, 8333.609
619.8289, 8370.795
620.3110, 8396.102
620.7932, 8393.724
621.2753, 8398.148
621.7574, 8425.856
622.2395, 8477.498
622.7216, 8520.286
623.2037, 8548.825
623.6859, 8575.439
624.1680, 8605.927
624.6501, 8639.255
625.1322, 8684.818
625.6143, 8745.309
626.0964, 8811.638
626.5786, 8877.770
627.0607, 8941.068
627.5428, 8986.896
628.0249, 8999.572
628.5070, 9009.384
628.9891, 9052.576
629.4713, 9123.254
629.9534, 9202.667
630.4355, 9295.933
630.9176, 9383.923
631.3997, 9443.165
631.8818, 9470.017
632.3640, 9523.924
632.8461, 9646.868
633.3282, 9778.607
633.8103, 9880.752
634.2924, 9945.913
634.7745, 9994.976
635.2567, 10012.24
635.7388, 10032.47
636.2209, 10118.06
636.7030, 10272.33
637.1851, 10414.58
637.6672, 10522.33
638.1494, 10607.21
638.6315, 10675.23
639.1136, 10733.68
639.5957, 10814.70
640.0778, 10957.38
640.5599, 11120.04
641.0421, 11261.38
641.5242, 11378.92
642.0063, 11496.20
642.4884, 11625.66
642.9705, 11757.60
643.4526, 11887.42
643.9348, 12003.43
644.4169, 12133.40
644.8990, 12285.63
645.3811, 12445.44
645.8632, 12587.63
646.3453, 12711.49
646.8275, 12824.89
647.3096, 12921.86
647.7917, 13016.94
648.2738, 13153.97
648.7559, 13329.15
649.2380, 13506.73
649.7202, 13655.36
650.2023, 13796.36
650.6844, 13961.55
651.1665, 14152.63
651.6486, 14344.59
652.1307, 14524.53
652.6129, 14700.33
653.0950, 14879.35
653.5771, 15064.28
654.0592, 15250.28
654.5413, 15437.35
655.0234, 15622.21
655.5056, 15796.04
655.9877, 15945.43
656.4698, 16118.78
656.9519, 16334.37
657.4340, 16577.20
657.9161, 16804.32
658.3983, 17016.57
658.8804, 17218.75
659.3624, 17409.08
659.8445, 17594.86
660.3267, 17790.43
660.8088, 17995.96
661.2909, 18203.80
661.7730, 18396.82
662.2551, 18596.20
662.7372, 18825.32
663.2194, 19098.22
663.7015, 19376.00
664.1836, 19658.35
664.6657, 19936.37
