##NAMES=Fergusonite-(Ce)
##RRUFFID=R110050
##IDEAL CHEMISTRY=Ce^3+^Nb^5+^O_4_&#183;0.3H_2_O
##LOCALITY=Mount Malosa, Zomba District, Malawi
##OWNER=RRUFF
##SOURCE=Donald M Doell
##DESCRIPTION=Brown prismatic crystals on microcline, associated with zircon
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110050
3.762211e+002, 8.156703e+003
3.767032e+002, 8.178250e+003
3.771853e+002, 8.196946e+003
3.776674e+002, 8.211649e+003
3.781495e+002, 8.222054e+003
3.786317e+002, 8.231246e+003
3.791138e+002, 8.239976e+003
3.795959e+002, 8.247890e+003
3.800780e+002, 8.253557e+003
3.805601e+002, 8.256771e+003
3.810422e+002, 8.260331e+003
3.815244e+002, 8.267342e+003
3.820065e+002, 8.276971e+003
3.824886e+002, 8.283566e+003
3.829707e+002, 8.286255e+003
3.834528e+002, 8.287267e+003
3.839349e+002, 8.289421e+003
3.844171e+002, 8.292697e+003
3.848992e+002, 8.296606e+003
3.853813e+002, 8.300735e+003
3.858634e+002, 8.305449e+003
3.863455e+002, 8.311483e+003
3.868276e+002, 8.318808e+003
3.873098e+002, 8.327017e+003
3.877919e+002, 8.336484e+003
3.882740e+002, 8.346474e+003
3.887561e+002, 8.355615e+003
3.892382e+002, 8.362607e+003
3.897203e+002, 8.369278e+003
3.902025e+002, 8.375841e+003
3.906846e+002, 8.382716e+003
3.911667e+002, 8.392447e+003
3.916488e+002, 8.409440e+003
3.921309e+002, 8.428103e+003
3.926130e+002, 8.443966e+003
3.930952e+002, 8.455916e+003
3.935773e+002, 8.465124e+003
3.940594e+002, 8.469075e+003
3.945415e+002, 8.470857e+003
3.950236e+002, 8.476159e+003
3.955057e+002, 8.489707e+003
3.959879e+002, 8.504654e+003
3.964700e+002, 8.518296e+003
3.969521e+002, 8.530207e+003
3.974342e+002, 8.542813e+003
3.979163e+002, 8.556433e+003
3.983984e+002, 8.571024e+003
3.988806e+002, 8.586538e+003
3.993627e+002, 8.608291e+003
3.998448e+002, 8.624726e+003
4.003269e+002, 8.630372e+003
4.008090e+002, 8.627567e+003
4.012911e+002, 8.634225e+003
4.017733e+002, 8.656585e+003
4.022554e+002, 8.680990e+003
4.027375e+002, 8.699790e+003
4.032196e+002, 8.708646e+003
4.037017e+002, 8.723324e+003
4.041838e+002, 8.746281e+003
4.046660e+002, 8.773348e+003
4.051481e+002, 8.795736e+003
4.056302e+002, 8.812294e+003
4.061123e+002, 8.829050e+003
4.065944e+002, 8.848862e+003
4.070765e+002, 8.871527e+003
4.075587e+002, 8.889704e+003
4.080408e+002, 8.902149e+003
4.085229e+002, 8.914981e+003
4.090050e+002, 8.934694e+003
4.094871e+002, 8.960860e+003
4.099692e+002, 8.989475e+003
4.104514e+002, 9.020986e+003
4.109335e+002, 9.053003e+003
4.114156e+002, 9.079483e+003
4.118977e+002, 9.100688e+003
